fname V Rs Rt Qt nt Rr Qr nr rmsre
d84bm0V2T270 -0.2 3.9687290E+1 4.0200181E+3 7.8828316E-10 1.0000000E+0 3.3392004E+5 5.4568673E-10 9.6813836E-1 5.0869375E-2
d84bm0V2T293 -0.2 2.8818256E+1 2.7498702E+3 9.0354655E-10 1.0000000E+0 1.6910153E+5 4.5784139E-10 9.6911670E-1 2.5201086E-2
d84b0VT213 0 1.0000000E-7 3.0456998E+4 1.4973272E-9 8.9889719E-1 1.0000000E+8 9.9174511E-10 9.5190632E-1 6.3134707E-2
d84b0VT245 0 4.2799916E+1 7.8340289E+3 1.2940506E-9 9.4604774E-1 9.3599148E+5 5.2233423E-10 1.0000000E+0 7.8362712E-2
d84b0VT245 0 4.2799916E+1 7.8340289E+3 1.2940506E-9 9.4604774E-1 9.3599148E+5 5.2233423E-10 1.0000000E+0 7.8362712E-2
d84b0VT270 0 3.9650159E+1 3.3488432E+3 8.6245711E-10 1.0000000E+0 3.4648554E+5 7.0885063E-10 9.6491375E-1 4.9545673E-2
d84b0VT293 0 2.8617286E+1 2.2171031E+3 9.9883197E-10 1.0000000E+0 1.6345199E+5 6.2714298E-10 9.6292331E-1 2.5485792E-2
d84b0V2T213 0.2 1.0000000E-7 2.6329214E+4 1.6249136E-9 8.9574328E-1 5.7263024E+5 1.4275986E-9 9.4559082E-1 5.9567486E-2
d84b0V2T245 0.2 2.8953173E+1 7.1952726E+3 2.1747682E-9 9.1591761E-1 2.8116889E+5 6.4052240E-10 1.0000000E+0 6.0647581E-2
d84b0V2T270 0.2 3.6586659E+1 2.6070659E+3 1.1255998E-9 9.9043179E-1 1.2847404E+5 9.3511465E-10 9.6860220E-1 4.5696437E-2
d84b0V2T293 0.2 2.8575953E+1 1.5712380E+3 1.1787653E-9 1.0000000E+0 6.6800408E+4 1.0218575E-9 9.5764765E-1 2.4397376E-2
d84b0V4T213 0.4 1.0000001E-7 1.8398195E+4 1.8151368E-9 8.9169982E-1 1.4342582E+5 6.7362733E-9 8.6087174E-1 5.6543471E-2
d84b0V4T245 0.4 1.0000000E-7 6.2140134E+3 7.7434127E-9 8.3931703E-1 5.4444863E+4 1.2716392E-9 1.0000000E+0 2.5104880E-2
d84b0V4T270 0.4 1.9093581E+1 2.1117327E+3 5.4490974E-9 9.0296607E-1 2.7021763E+4 1.1867843E-9 9.9814103E-1 3.2940687E-2
d84b0V4T293 0.4 1.5743049E+1 1.1699342E+3 7.8606045E-9 8.9852076E-1 1.6665379E+4 1.2462516E-9 9.9680985E-1 2.6188365E-2
