p d Ytrue Ypred
60 15 1.5 1.494799 
50 10 3.1 3.044485 
50 20 0.2 0.1850338 
70 50 3.5 3.530769 
40 20 0.9 0.8806108 
70 5 2.2 2.234908 
40 25 1.2 1.204598 
40 40 0.1 0.1015451 
40 30 3.8 3.811558 
70 40 4.8 4.794558 
70 30 3.1 3.077848 
70 45 0.2 0.2368746 
60 50 0.3 0.3383613 
60 15 2.5 2.544799 
70 25 0.8 0.8294631 
70 45 4 4.002655 
50 30 4.9 4.908497 
50 25 3 2.996289 
60 25 1.3 1.297921 
40 15 0.4 0.4075286 
40 15 2.8 2.782866 
60 50 3.8 3.822731 
50 10 3.6 3.598082 
40 35 4.2 4.233116 
60 45 4.8 4.804914 
40 30 2.4 2.394151 
40 45 4.5 4.510797 
40 45 1.6 1.588562 
70 15 1 0.997099 
60 50 1.3 1.301445 
40 10 1.3 1.325304 
60 35 2.1 2.122861 
70 30 2.6 2.576831 
50 25 2.3 2.283895 
40 40 4 4.020876 
40 40 0.2 0.2085781 
70 25 1 0.9845708 
40 50 4 3.989467 
40 50 3.3 3.290702 
50 50 0.8 0.8103359 
50 20 4.9 4.911375 
50 15 4.7 4.733712 
70 30 1.6 1.594857 
60 25 4.3 4.302238 
40 50 4.7 4.687401 
50 40 3.6 3.610425 
40 25 2.7 2.68061 
50 40 1.1 1.1034 
60 10 3.3 3.247342 
40 15 3.2 3.148837 
50 20 2.4 2.388208 
50 10 3.4 3.377189 
40 20 1.2 1.220477 
50 50 3.9 3.909081 
50 30 1 0.9831406 
40 45 3 2.999097 
60 45 4.4 4.411119 
60 50 1.7 1.684555 
50 30 4.8 4.807588 
50 45 1.3 1.287073 
40 50 0.1 0.1104542 
70 15 3 3.028874 
40 30 2.5 2.490832 
70 25 2.4 2.377303 
40 5 3 3.18748 
60 10 4.1 4.104032 
40 40 4.9 4.918037 
70 20 2.5 2.496602 
60 45 1.9 1.908882 
50 30 0.1 0.09697741 
40 50 2.8 2.811488 
60 30 2.8 2.784167 
50 35 3.7 3.723887 
50 20 2.8 2.80939 
60 50 0.2 0.2332452 
40 30 1.1 1.076836 
50 10 1.7 1.746894 
70 45 0.7 0.5793383 
60 40 0.1 0.08169109 
70 15 2.8 2.844682 
70 50 0.9 0.7417632 
60 5 1.2 1.07548 
50 5 0.3 0.2422935 
70 35 2.8 2.78775 
60 10 3.1 3.031782 
50 25 0.2 0.2054537 
50 5 3 3.194638 
70 45 0.1 0.04288203 
70 50 2.6 2.635686 
50 5 4.1 4.076259 
50 50 2.8 2.833311 
40 20 0.2 0.1552669 
40 45 0.2 0.2331214 
40 30 1.6 1.629052 
60 5 1.3 1.148057 
40 15 4.7 4.73281 
60 45 2.6 2.629222 
70 20 0.4 0.476499 
70 15 4.8 4.791985 
40 5 1.8 1.736245 
50 45 0.8 0.8057907 
70 5 3.8 3.888119 
40 40 0.6 0.6817653 
40 45 2.7 2.711028 
40 40 3.9 3.919083 
40 25 0.3 0.3158535 
40 5 2.5 2.657087 
70 25 1.7 1.704625 
70 10 4.9 4.832689 
70 35 5 5.011269 
70 25 3.9 3.914325 
70 35 2.9 2.886228 
60 50 2.1 2.115761 
40 45 3.5 3.497323 
50 20 1.9 1.883513 
70 20 0.9 0.8866295 
60 25 2.9 2.890546 
60 30 1.3 1.288466 
70 10 3 2.921737 
50 40 3.3 3.305157 
60 25 3.8 3.813049 
50 10 0.6 0.5826443 
70 35 1.1 1.137626 
40 45 1.7 1.699712 
60 10 2.6 2.530673 
70 20 3.6 3.622949 
60 5 0.4 0.3459438 
60 40 3.4 3.40018 
60 5 4.8 4.512751 
60 45 3.1 3.116489 
60 50 3.1 3.136983 
40 15 2.7 2.692706 
50 15 4.5 4.516806 
60 15 1.3 1.302228 
60 40 1.2 1.213115 
60 10 2.3 2.269409 
50 20 1.3 1.317829 
70 20 4.9 4.890237 
40 25 4.8 4.787623 
40 25 0.4 0.5631141 
60 50 4.2 4.218081 
70 35 4.9 4.911071 
70 40 3 2.989819 
50 15 2.1 2.11992 
50 5 3.1 3.291765 
40 50 1.6 1.574053 
70 5 5 4.636072 
60 50 3.3 3.331979 
50 45 3.2 3.210245 
60 10 4.6 4.592547 
50 30 0.4 0.4364417 
50 45 3.7 3.710127 
70 10 4.6 4.560703 
70 45 0.8 0.6006618 
60 25 1 0.9768363 
70 45 0.6 0.5350913 
50 50 4.5 4.504929 
50 10 1.9 1.924606 
50 30 1.8 1.82622 
60 20 4.6 4.58789 
70 35 4.7 4.711152 
50 30 0.6 0.5836987 
50 30 0.5 0.603389 
70 15 3.7 3.668798 
50 45 1.7 1.698105 
60 20 0.2 0.2076448 
40 15 0.6 0.5723074 
70 10 4.2 4.172798 
70 35 4.6 4.611186 
50 25 1.5 1.521672 
40 30 4.3 4.306771 
60 25 4.1 4.107444 
50 10 0.3 0.343871 
60 45 1.4 1.396767 
60 30 0.1 0.1021039 
40 30 2.6 2.589092 
70 30 3.2 3.180617 
40 20 0.5 0.5073488 
50 45 1.6 1.58921 
60 30 3.7 3.706376 
40 45 4.3 4.311368 
60 15 4 3.969593 
50 25 2.2 2.18775 
60 5 0.1 0.0486792 
70 20 4.5 4.483984 
70 35 1.8 1.801019 
40 40 3.2 3.200389 
50 5 1.8 1.71894 
50 50 1.7 1.682078 
70 50 0.7 0.6010307 
40 30 3.3 3.304045 
70 35 0.8 0.8041244 
70 20 2.3 2.286779 
40 35 0.9 0.8972481 
50 25 3.7 3.708089 
60 15 2 2.015124 
40 45 3.1 3.096829 
40 10 0.1 0.0501197 
40 20 4.7 4.688866 
40 20 3.8 3.761691 
40 45 3.6 3.59922 
60 40 4.7 4.707554 
70 15 0.9 0.8926641 
50 20 4.1 4.076664 
50 15 0.2 0.1593584 
60 15 4.8 4.822062 
70 5 0.7 0.688578 
50 20 4.3 4.277232 
60 30 3.1 3.088854 
50 35 3.1 3.107734 
60 15 3.5 3.471722 
70 35 3.3 3.288291 
50 20 3.8 3.785525 
70 25 2 1.993479 
50 15 4 3.974992 
70 15 4.3 4.268124 
50 45 4.2 4.214878 
60 5 1.9 1.838198 
60 20 2.1 2.08295 
50 40 0.5 0.5287884 
50 15 1.9 1.903507 
50 40 3 3.005543 
70 15 4.1 4.062936 
50 20 3.9 3.88148 
70 15 2.2 2.232868 
40 40 1.6 1.606769 
70 45 4.4 4.401653 
40 35 3.5 3.522572 
70 20 2.6 2.60292 
50 45 2.7 2.725445 
50 15 1.8 1.796451 
40 40 3.5 3.507948 
70 50 0.8 0.6291124 
50 50 1.6 1.57624 
60 15 1.2 1.205354 
70 50 1.7 1.69532 
60 45 3.4 3.41148 
60 45 0.1 0.08779934 
60 35 3.6 3.610518 
70 25 2.3 2.279771 
60 5 4 4.028904 
50 40 2.4 2.426162 
60 50 0.8 0.7140346 
50 40 4.4 4.419209 
60 45 3.8 3.810954 
50 40 2.1 2.131864 
50 15 4.8 4.841281 
60 40 3.3 3.29969 
70 20 1.8 1.792547 
40 25 3.9 3.889585 
70 15 2 2.014694 
60 15 4.4 4.392748 
70 15 0.5 0.5411059 
40 30 2.1 2.111893 
40 25 1.5 1.526855 
50 5 0.2 0.256987 
60 45 1.7 1.695077 
70 30 0.5 0.4662488 
60 30 1.7 1.713605 
70 15 4.2 4.164996 
70 35 1.3 1.298761 
60 25 1.7 1.713435 
60 45 0.7 0.3664192 
50 30 2.9 2.891477 
60 35 0.4 0.3527715 
60 35 4.5 4.521504 
60 35 4.6 4.621138 
50 45 3.5 3.508566 
50 25 0.1 0.09827429 
50 40 3.4 3.406516 
50 40 4.2 4.219557 
50 40 2.8 2.810319 
40 30 3.7 3.711267 
70 10 0.3 0.3850814 
70 25 2.1 2.08829 
70 40 4.1 4.094847 
40 40 4.4 4.422348 
70 50 4.5 4.513824 
40 10 0.2 0.1536481 
50 5 3.3 3.474586 
60 15 3 3.013598 
70 5 2.9 3.072177 
40 5 2.1 2.150758 
60 10 3.7 3.682538 
70 45 3.2 3.207203 
40 35 4.4 4.432246 
50 50 3.4 3.414408 
70 45 1.3 1.331868 
60 30 0.3 0.2510718 
70 50 2.3 2.321416 
50 35 4.6 4.628612 
70 5 0.8 0.7907352 
60 25 0.5 0.5066404 
70 15 3.2 3.208878 
60 35 1.6 1.607754 
40 50 1.2 1.198707 
50 10 4.9 4.870314 
50 45 0.7 0.7218539 
40 20 2.4 2.37778 
50 35 0.4 0.381282 
40 50 5 4.97967 
70 20 2.9 2.921614 
60 30 3.3 3.294926 
40 45 2.6 2.615891 
50 10 2.2 2.168338 
70 10 2.1 2.121823 
70 35 2.3 2.302346 
70 35 3.2 3.18666 
60 5 2.4 2.500875 
40 5 2.9 3.090266 
50 10 2.4 2.337718 
70 25 4 4.013164 
70 50 0.6 0.5868045 
40 10 1.8 1.818564 
70 50 2.9 2.939387 
40 40 3.3 3.302382 
50 50 0.4 0.461202 
50 30 4.5 4.508669 
60 25 4 4.009765 
50 10 1.5 1.544775 
50 15 3.1 3.083698 
40 15 0.5 0.4784547 
70 25 2.8 2.781477 
50 20 4.2 4.176187 
50 5 2.1 2.130777 
60 10 1.7 1.751523 
40 20 3.4 3.380722 
40 25 1.9 1.902499 
50 40 3.5 3.508336 
60 50 4.3 4.316676 
70 10 1.3 1.315584 
40 40 0.8 0.8207836 
70 50 2.8 2.839172 
60 5 4.3 4.226311 
70 40 0.5 0.4313323 
60 40 3.7 3.704065 
70 50 0.3 0.2830606 
40 20 2.2 2.169927 
50 45 3.8 3.81129 
60 40 0.8 0.7804862 
50 50 4.8 4.798015 
40 40 4.6 4.620621 
70 40 2 2.000921 
40 30 4.6 4.604482 
40 15 1.9 1.892745 
60 45 4.6 4.608696 
50 20 4.6 4.588839 
70 50 4.4 4.416012 
60 50 1.5 1.487582 
40 45 4.9 4.904799 
50 25 1.1 1.083949 
70 5 2.3 2.364432 
60 45 1.8 1.801551 
60 20 2.3 2.286934 
70 40 4.9 4.893652 
70 5 2 1.97096 
70 30 2.1 2.096251 
70 35 3.8 3.801115 
70 50 2.5 2.532152 
60 25 1.9 1.904746 
40 35 1.1 1.076667 
50 30 4.6 4.60786 
60 50 1.2 1.20089 
70 5 2.6 2.734859 
50 25 2.9 2.892294 
60 50 0.7 0.6146425 
50 45 4.8 4.808621 
40 40 0.5 0.425192 
50 40 1.3 1.286253 
50 25 1.8 1.814105 
40 10 4.2 4.226205 
40 30 0.1 0.09582424 
70 30 0.9 0.9501519 
40 35 4.8 4.831705 
60 5 2.3 2.373124 
70 35 4.8 4.811093 
60 30 4 4.010171 
70 30 1.8 1.800688 
50 25 4.3 4.294543 
40 45 4 4.008075 
50 35 0.5 0.4718985 
60 35 0.5 0.4815906 
40 50 3.2 3.193579 
70 15 0.4 0.45845 
50 10 0.9 0.9065274 
70 45 1.5 1.50635 
60 15 3.4 3.377543 
50 20 0.5 0.5239606 
60 45 4.2 4.212055 
60 5 0.6 0.6009804 
40 50 2.7 2.716383 
70 5 2.8 2.963618 
50 25 3.1 3.100118 
40 50 0.8 0.8637926 
70 30 4.7 4.701952 
70 25 5 4.995912 
70 5 2.7 2.851166 
70 45 4.9 4.894353 
40 35 0.8 0.8133923 
70 40 0.9 0.8851527 
70 45 4.5 4.500756 
70 30 1 1.018708 
70 10 1.9 1.947029 
60 5 4.9 4.564467 
70 40 1.4 1.404316 
40 50 2 2.012928 
50 5 3.7 3.798792 
70 5 4.5 4.361007 
60 40 2.4 2.420317 
70 50 2.4 2.427356 
70 25 2.9 2.885284 
50 30 0.2 0.2169357 
70 30 4.1 4.104202 
70 20 2.7 2.709528 
60 5 1 0.9535149 
60 15 0.6 0.5936878 
60 20 3.3 3.323758 
60 50 2.5 2.540286 
60 30 2.1 2.108093 
40 35 2.4 2.416047 
60 50 4 4.020423 
70 45 1.2 1.234633 
40 20 1.7 1.688273 
70 15 0.3 0.388301 
60 45 1 0.9985597 
70 15 2.6 2.651555 
40 25 4.3 4.280512 
60 40 2.3 2.32217 
70 5 3.2 3.375098 
60 10 1.4 1.432448 
50 50 4.2 4.208082 
60 20 5 5.010569 
70 40 2.7 2.697267 
40 15 2.3 2.31373 
60 40 1.4 1.394172 
50 30 2 2.019821 
70 30 1.5 1.490107 
40 35 2.5 2.511396 
40 25 4.7 4.683926 
40 25 1.1 1.089636 
60 50 4.7 4.708008 
60 40 4.4 4.410049 
60 35 0.8 0.8180823 
50 20 1.1 1.103293 
50 30 1.4 1.406141 
60 25 3.7 3.713595 
40 30 3 2.994671 
70 30 2.5 2.479773 
40 15 0.8 0.7983516 
50 25 2 1.999939 
50 10 0.2 0.1434594 
40 15 1 1.016986 
50 25 0.9 0.8724432 
40 20 3 2.995415 
70 25 2.2 2.183548 
70 20 1.2 1.200069 
70 25 1.1 1.081507 
70 15 4.6 4.581676 
70 45 4.8 4.796314 
60 50 1.4 1.394823 
50 15 2.3 2.331615 
40 5 3.7 3.764104 
50 5 0.5 0.5100074 
60 20 4.2 4.185439 
60 50 2.2 2.224155 
60 25 0.1 0.1223999 
70 10 3.2 3.126333 
60 10 4.5 4.498742 
70 10 2.3 2.287242 
50 20 3.3 3.30973 
50 40 2.3 2.329407 
40 25 2.1 2.086793 
60 25 1.8 1.809968 
70 10 1.2 1.206473 
50 30 1.6 1.622007 
70 20 0.1 0.08813956 
60 15 0.7 0.6844504 
60 10 5 4.947484 
50 50 3.8 3.809462 
50 20 1 0.9897549 
70 35 3.7 3.698444 
60 40 5 5.004158 
70 10 0.2 0.2574492 
40 35 4.3 4.33276 
60 25 0.4 0.4567843 
60 10 0.5 0.4886196 
70 30 1.3 1.282979 
60 50 4.9 4.901634 
50 10 1.3 1.327016 
60 35 3.3 3.302687 
60 30 3.4 3.398152 
40 15 5 5.048619 
60 25 3.6 3.613266 
50 10 4 4.02502 
60 45 4 4.011765 
40 10 3.6 3.607383 
60 25 2.7 2.683496 
40 30 0.2 0.1825319 
40 50 2.4 2.426067 
60 35 4.2 4.221286 
60 35 3.1 3.099383 
70 5 0.6 0.5810516 
40 10 0.4 0.4028381 
60 50 3.7 3.724095 
50 20 4.5 4.483587 
50 5 1.1 1.000392 
70 35 3.1 3.08572 
60 10 2.9 2.822824 
40 40 3.8 3.816778 
60 20 2.8 2.815259 
40 5 2.8 2.988748 
60 5 2.9 3.080895 
40 50 4.5 4.490397 
50 35 3 3.006393 
40 45 0.3 0.3336789 
50 35 4.8 4.828096 
50 20 1.2 1.213223 
60 25 0.9 0.8831359 
60 20 4.5 4.485236 
40 10 4 4.028375 
50 30 3.9 3.913579 
60 10 0.2 0.1748475 
50 25 3.6 3.608953 
40 10 0.9 0.9119517 
50 45 1.5 1.48301 
60 15 0.9 0.8937488 
40 40 1.5 1.495331 
60 50 4.6 4.610692 
50 35 2.2 2.229095 
50 5 4.8 4.474555 
60 15 2.2 2.232331 
40 15 1.4 1.387887 
60 5 3.5 3.647245 
60 20 0.5 0.5350215 
40 40 1.3 1.27554 
70 25 4.4 4.403723 
40 40 1.1 1.079946 
70 20 2.2 2.184165 
60 45 0.9 0.8707501 
50 20 3.2 3.212696 
40 5 1.2 1.043984 
50 40 3.7 3.712601 
50 20 2.5 2.493762 
50 50 4.3 4.307397 
50 45 0.1 0.1062759 
40 15 1.7 1.681172 
40 20 0.4 0.3624104 
60 15 4.6 4.607527 
60 20 3.8 3.801421 
40 35 2.6 2.607819 
40 45 4.7 4.708286 
60 35 1.5 1.501301 
70 40 1.5 1.494789 
60 30 1.9 1.91486 
50 10 0.7 0.6931384 
40 30 4.1 4.109363 
60 30 3.9 3.909476 
40 25 0.5 0.4763126 
40 10 4.5 4.505662 
50 5 4.9 4.524119 
40 45 1.5 1.478316 
50 15 1.4 1.396144 
60 50 0.1 0.09920272 
60 45 2.7 2.727178 
40 45 0.8 0.8369747 
60 40 1.9 1.915174 
40 15 2.4 2.412578 
70 35 4.1 4.107577 
70 30 3.5 3.490655 
40 30 3.1 3.097795 
70 20 3.9 3.906863 
60 30 4.8 4.80521 
50 45 4 4.01357 
40 50 3.7 3.6871 
40 25 1.4 1.424361 
70 50 4.6 4.611372 
50 15 5 5.053695 
70 15 0.2 0.211747 
40 50 1.3 1.28048 
60 5 4.4 4.287574 
70 20 2 1.984796 
50 5 4.6 4.370485 
40 10 1.7 1.731854 
50 40 0.2 0.2152605 
40 25 2.3 2.27769 
70 5 4.8 4.53138 
70 35 2.1 2.105662 
40 10 2.5 2.411522 
40 45 0.9 0.9331214 
60 25 0.2 0.2151877 
40 40 4.2 4.222674 
40 10 2.1 2.06006 
70 10 1.6 1.646668 
40 40 1.7 1.716751 
50 35 3.4 3.415353 
50 35 1.3 1.293138 
50 5 2 1.99417 
40 25 0.8 0.7668304 
70 5 3.1 3.277847 
50 35 4.5 4.529136 
50 50 0.3 0.3971073 
40 35 2.3 2.321396 
40 30 4.2 4.208068 
50 15 3.6 3.559891 
50 15 1.2 1.208389 
60 15 2.7 2.738736 
40 40 4.1 4.122068 
50 45 0.2 0.2238567 
40 35 1.2 1.18142 
60 30 3.6 3.604009 
40 35 2.7 2.705548 
70 50 4 4.022769 
50 50 3 3.026593 
70 25 4.5 4.501143 
40 20 1.5 1.508903 
40 25 4 3.986791 
50 45 1 1.016706 
50 40 4.9 4.913876 
40 45 1.3 1.271083 
40 5 0.3 0.2621298 
50 45 1.2 1.198416 
60 20 4.9 4.903273 
40 15 1.2 1.206728 
60 20 3 3.023269 
40 30 4.4 4.405622 
40 40 1.2 1.173145 
60 5 5 4.614598 
70 5 4.3 4.237474 
60 30 0.5 0.3713777 
70 15 2.7 2.749474 
70 5 4.7 4.476459 
50 5 2.4 2.522865 
70 15 1.5 1.49496 
60 40 2.1 2.121878 
40 45 2.8 2.806398 
60 10 1.5 1.5423 
70 45 0.4 0.3290046 
50 15 2.8 2.812707 
50 25 3.3 3.306121 
40 20 0.3 0.3724765 
50 35 4.1 4.129834 
40 25 2.9 2.887493 
50 5 0.8 0.8130083 
60 40 3.1 3.100675 
70 25 0.1 0.1128527 
50 15 0.6 0.5788807 
70 10 4 3.969249 
40 5 4.5 4.253729 
40 20 5 5.017576 
70 40 3.6 3.588314 
40 50 0.3 0.3441524 
60 15 4.5 4.500101 
70 40 1.2 1.239977 
60 25 3.2 3.203297 
60 5 2.1 2.108648 
70 40 3.7 3.68957 
40 10 1.1 1.112356 
70 50 1.3 1.308963 
60 25 3.5 3.512035 
50 10 2.6 2.522379 
50 10 3 2.935224 
70 5 1.7 1.583037 
70 50 3.7 3.727325 
50 40 1.4 1.388289 
60 10 2.1 2.106109 
60 35 4.8 4.820507 
40 10 3.8 3.821813 
60 35 2.5 2.509723 
60 40 1.1 1.127327 
50 30 3.2 3.199447 
50 25 1.7 1.719555 
50 25 1.2 1.196248 
50 20 1.4 1.417153 
70 50 4.7 4.708614 
50 5 1.6 1.455092 
70 50 0.5 0.4847941 
50 30 1.9 1.924053 
40 25 2 1.994059 
60 10 1.8 1.847741 
70 40 3.2 3.18709 
70 35 1.4 1.392013 
70 40 1.1 1.152302 
50 10 2.1 2.087379 
70 25 0.7 0.7621599 
40 40 2.5 2.514851 
50 45 2.6 2.628927 
70 40 2.3 2.304862 
60 15 4.2 4.179431 
40 5 1.4 1.222651 
40 5 3.4 3.537413 
50 20 1.7 1.696854 
60 20 1.4 1.412351 
50 30 4.1 4.112946 
50 20 2.1 2.078934 
50 10 1.8 1.838575 
50 45 1.9 1.916656 
50 5 0.7 0.7225701 
50 45 3.6 3.609172 
60 45 2.9 2.921811 
40 30 2 2.018785 
40 15 1.1 1.114521 
50 50 0.2 0.2485936 
40 40 4.3 4.322753 
40 25 0.1 0.08263388 
40 40 2.7 2.705668 
60 50 3.2 3.234477 
70 40 3.8 3.790967 
50 20 3.6 3.595524 
70 5 3.9 3.96304 
40 15 4.4 4.407857 
70 35 3 2.985546 
70 40 2.5 2.502278 
70 25 2.7 2.678543 
50 45 0.3 0.3530016 
40 30 0.6 0.5916706 
40 35 4.6 4.631323 
60 40 3 3.002264 
40 50 0.4 0.455526 
50 5 2.8 2.988021 
60 35 0.9 0.9429637 
60 50 1 0.9605465 
70 35 0.6 0.4769256 
50 5 1.3 1.135422 
70 5 1.3 1.17026 
50 35 0.3 0.2769065 
70 30 4.3 4.304708 
70 20 1.1 1.093659 
50 40 1 1.016813 
40 10 0.6 0.5972623 
40 25 1.6 1.624734 
50 50 2.7 2.735917 
60 50 3.5 3.527519 
60 15 1.8 1.799865 
40 30 0.4 0.4786603 
70 40 4.7 4.69536 
60 45 0.5 0.4994349 
50 40 0.7 0.7227662 
50 30 0.7 0.7199818 
50 15 2.6 2.628059 
40 40 3 2.999094 
60 40 4.1 4.109415 
60 40 0.3 0.2748989 
40 50 3.9 3.888522 
70 50 5 4.998768 
40 20 4.2 4.159652 
70 40 4.5 4.496412 
70 40 4.4 4.396522 
50 15 0.3 0.2525619 
60 10 1.6 1.649351 
60 5 0.9 0.8848685 
60 35 2.4 2.413717 
60 30 4.6 4.606489 
50 15 1.1 1.111495 
60 40 4.2 4.21003 
70 25 3.1 3.094314 
50 35 1.1 1.093274 
70 35 3.5 3.492948 
40 25 5 4.998604 
70 35 1.2 1.213998 
50 30 2.6 2.591166 
40 40 3.1 3.099235 
70 35 1.9 1.903881 
50 20 0.8 0.7684045 
60 10 3 2.926185 
40 25 2.2 2.181237 
70 50 3.2 3.236199 
50 50 2.5 2.537896 
50 45 4.4 4.41451 
50 40 0.4 0.4018866 
40 50 3 3.001612 
40 10 2.7 2.612999 
70 40 0.8 0.7491896 
40 30 1.8 1.829208 
40 10 0.8 0.8122033 
50 20 3.7 3.690321 
40 30 2.9 2.891932 
60 50 3.9 3.921541 
70 10 0.6 0.5740579 
60 25 5 5.000451 
70 20 1.3 1.30498 
40 5 3.6 3.6916 
60 5 1.5 1.336585 
60 5 1.8 1.704333 
70 30 4.9 4.900638 
60 30 3 2.986467 
70 45 4.7 4.698064 
70 40 1.7 1.691686 
70 30 1.4 1.385534 
60 30 3.2 3.191759 
50 10 3.2 3.154929 
70 30 4 4.003179 
70 35 4.3 4.310039 
40 35 1.7 1.732978 
40 25 0.7 0.6853719 
70 40 2.1 2.103328 
40 50 3.1 3.097258 
70 20 5 4.994678 
60 30 0.8 0.8430651 
60 50 2.3 2.331182 
70 20 4.3 4.287981 
70 30 4.4 4.404346 
50 35 0.8 0.8220522 
40 40 0.7 0.719679 
50 5 1 0.9468852 
40 5 3.2 3.369887 
40 5 5 4.495618 
50 10 4.6 4.607925 
50 10 2.9 2.827752 
60 20 4.7 4.691835 
60 40 3.8 3.805661 
70 5 2.4 2.491231 
60 15 4.9 4.928644 
70 5 0.1 0.05908045 
50 15 2.9 2.903039 
50 15 4.4 4.407871 
60 25 2.8 2.786657 
60 30 2.4 2.393204 
50 20 2.6 2.599538 
40 10 3.5 3.497694 
50 50 1 1.013178 
60 35 1.8 1.818927 
50 40 3.9 3.916506 
40 25 2.6 2.577927 
70 5 4.6 4.419629 
40 25 3.5 3.497839 
50 5 4.5 4.315707 
50 20 0.4 0.3640735 
70 40 0.1 0.04092908 
40 20 0.6 0.5762187 
60 30 1.8 1.815446 
70 30 4.8 4.801173 
60 35 4.3 4.32168 
70 35 1.7 1.69732 
40 25 1 0.9750345 
70 25 0.5 0.5486865 
70 10 2.8 2.726247 
70 40 0.2 0.2338912 
60 20 1.5 1.510105 
70 10 2.6 2.542461 
60 35 1.3 1.294648 
70 35 1 1.060917 
70 15 2.9 2.937609 
70 35 4.5 4.511067 
60 35 2.2 2.220767 
50 50 1.9 1.901548 
50 30 4.4 4.409742 
60 35 0.6 0.6248141 
60 30 5 5.00583 
70 10 1.4 1.426353 
40 45 2.9 2.902337 
60 25 4.7 4.696084 
70 5 4.2 4.172449 
60 30 4.9 4.905221 
60 10 2.5 2.440281 
50 30 1.3 1.295806 
60 40 0.5 0.4597751 
60 45 0.8 0.7612824 
40 35 1.8 1.836781 
70 25 2.6 2.576744 
50 50 1.3 1.292083 
40 10 4.3 4.321653 
70 40 4.3 4.296299 
60 25 4.8 4.796502 
60 45 1.2 1.216626 
50 35 3.2 3.209818 
40 35 1.6 1.62602 
60 45 3.7 3.710647 
50 25 0.6 0.6215094 
70 10 3.5 3.442813 
50 20 0.1 0.08970389 
50 35 0.1 0.09700638 
60 40 3.5 3.50117 
50 40 4.6 4.617393 
40 15 3.1 3.05522 
50 35 2.5 2.515437 
70 20 3.1 3.129527 
60 20 4.8 4.797025 
50 25 1.3 1.307951 
70 5 1.9 1.838862 
50 50 3.2 3.219777 
60 10 0.3 0.3624158 
70 15 0.6 0.6170911 
70 40 4.6 4.59602 
70 30 2.3 2.287863 
40 45 3.3 3.295325 
60 45 1.5 1.491231 
40 25 4.4 4.379785 
50 20 5 5.020616 
70 5 4 4.035347 
50 5 3.5 3.643137 
70 10 3.1 3.023076 
60 30 1 0.9987882 
40 35 4.1 4.133164 
50 25 3.5 3.508929 
40 40 3.6 3.611058 
60 50 1.8 1.789569 
70 5 1.1 1.029351 
50 40 1.8 1.820565 
50 10 2.3 2.251355 
40 5 2.4 2.537231 
60 35 3.4 3.40511 
60 30 4.4 4.408497 
40 50 2.9 2.906449 
70 15 3.1 3.119066 
50 45 0.6 0.3682161 
40 25 4.5 4.480068 
