p d Ytrue Ypred
60 35 4.9 4.920469 
70 10 0.4 0.4610613 
50 50 2.3 2.333405 
70 15 4.5 4.476647 
70 10 4.8 4.743877 
40 10 1.2 1.217462 
70 5 1.6 1.463921 
40 5 3.9 3.900798 
40 30 5 5.010535 
60 30 2.6 2.58631 
70 35 2.2 2.204535 
40 25 4.6 4.581402 
60 25 2.4 2.381326 
60 15 2.4 2.443364 
60 35 2.9 2.899205 
40 45 2.4 2.424576 
60 20 3.9 3.896269 
40 35 0.3 0.2958845 
70 30 5 5.000504 
70 35 4.4 4.410718 
70 5 2.5 2.61482 
60 50 2.6 2.6424 
40 45 4.4 4.411356 
40 45 5 5.00305 
70 10 0.5 0.5036224 
40 5 1.1 0.9825383 
50 30 3.7 3.712098 
60 35 0.3 0.2626751 
40 25 3.4 3.398209 
40 5 4.1 4.027275 
40 10 1 1.010917 
60 30 4.7 4.705671 
40 35 5 5.034439 
50 35 2.8 2.806726 
60 50 1.6 1.583719 
60 10 2.4 2.353378 
70 40 3.9 3.892391 
50 15 3.2 3.175326 
40 15 3.3 3.244531 
40 50 4.4 4.391085 
60 30 1.6 1.609303 
70 30 0.1 0.08819976 
70 15 2.5 2.550737 
50 15 2.7 2.721292 
40 20 0.7 0.6614546 
40 35 2.1 2.131931 
70 20 1.6 1.602677 
40 5 4.7 4.355406 
50 25 3.2 3.203449 
60 5 2.7 2.861137 
60 25 2.1 2.092766 
40 30 4.8 4.805828 
50 15 1.6 1.589941 
60 5 1.1 1.013463 
40 30 2.3 2.298989 
60 15 4.1 4.073895 
70 15 1.9 1.906448 
50 50 4.4 4.406362 
50 20 2.7 2.704905 
40 35 0.2 0.1916267 
70 20 3.7 3.71805 
50 50 1.4 1.381029 
60 5 0.7 0.7045305 
60 10 4.3 4.305162 
70 10 2 2.036416 
70 45 2.2 2.210892 
60 25 3.3 3.306937 
40 10 3.9 3.926156 
50 20 3.1 3.114295 
50 50 2.6 2.63756 
70 20 1 0.9881584 
40 45 1.2 1.1794 
60 15 1.7 1.695355 
60 35 1.7 1.713955 
60 20 0.7 0.6889659 
70 20 0.2 0.2222554 
50 45 3.4 3.408465 
40 5 0.4 0.4004534 
40 10 3 2.938372 
50 45 3.9 3.912488 
70 35 1.6 1.593593 
60 35 3.2 3.200721 
60 30 0.7 0.7199373 
50 35 5 5.029286 
70 30 2.8 2.774141 
60 25 2.2 2.187589 
40 35 2.2 2.226913 
60 45 4.7 4.706945 
40 25 4.1 4.084199 
60 20 4.3 4.284002 
70 15 2.4 2.447088 
70 5 0.9 0.8830389 
40 25 3.1 3.093886 
40 35 0.4 0.482756 
60 35 2.3 2.317563 
50 50 4.7 4.700738 
60 35 1.9 1.922144 
70 25 4.7 4.696989 
40 30 3.5 3.508842 
70 30 0.8 0.8650829 
40 50 3.8 3.787669 
40 10 1.9 1.90059 
70 10 3.3 3.231036 
40 40 2.8 2.802326 
70 20 3.3 3.331371 
50 20 1.5 1.512333 
50 5 4 4.010804 
40 45 3.2 3.195586 
