Model MSEn MRE MedRE R2
TestXg1p360e15EfPp 1.478310e-03 8.623419e-02 7.103837e-02 9.519616e-01
Test1p360e15EfPp 8.500506e-04 5.956664e-02 3.679887e-02 9.971946e-01
TestSv1p360e15EfPp 1.290910e-03 8.616448e-02 7.816461e-02 9.572595e-01
TestXg1p360e15YOflp 7.721166e-02 5.548745e-01 4.054699e-01 2.796718e-01
Test1p360e15YOflp 1.147676e-02 1.986573e-01 1.381948e-01 9.855676e-01
TestSv1p360e15YOflp 9.836439e-03 1.543698e-01 1.011525e-01 9.965943e-01
TestXg1p360e15MbPp 2.213476e-03 1.059201e-01 1.017225e-01 9.854277e-01
Test1p360e15MbPp 3.278434e-03 1.208883e-01 9.715088e-02 9.871806e-01
TestSv1p360e15MbPp 2.033681e-03 9.869504e-02 9.382894e-02 9.907892e-01
TestXg1p360e15NNCp 1.098734e-02 2.291683e-01 1.371597e-01 9.637761e-01
Test1p360e15NNCp 1.076903e-03 8.368785e-02 9.533873e-02 9.870936e-01
TestSv1p360e15NNCp 2.924721e-03 1.026073e-01 4.520458e-02 9.991478e-01
TestXg1p360e15YOfl2p 5.144293e-02 3.859775e-01 2.844742e-01 7.154073e-01
Test1p360e15YOfl2p 5.634570e-03 1.318446e-01 8.523875e-02 9.817703e-01
TestSv1p360e15YOfl2p 1.046342e-02 1.276843e-01 6.209808e-02 9.980775e-01
TestRf1p360e15MbPp 1.034675e-02 2.257263e-01 2.229487e-01 8.603584e-01
TestGb1p360e15MbPp 8.775600e-03 2.269093e-01 2.305442e-01 8.953537e-01
TestRf1p360e15NNCp 9.082553e-03 2.339759e-01 1.939440e-01 9.134971e-01
TestGb1p360e15NNCp 8.306418e-03 2.303555e-01 1.977713e-01 9.139230e-01
TestRf1p360e15YOfl2p 3.710907e-02 2.662419e-01 2.023057e-01 8.492397e-01
TestGb1p360e15YOfl2p 2.397897e-02 2.259562e-01 1.491864e-01 8.482491e-01
TestRf1p360e15EfPp 1.020746e-02 2.023101e-01 1.572769e-01 9.292429e-01
TestGb1p360e15EfPp 2.179602e-03 1.082910e-01 1.235599e-01 9.860267e-01
TestRf1p360e15YOflp 3.344001e-02 4.152714e-01 3.270017e-01 5.436748e-01
TestGb1p360e15YOflp 2.805870e-02 3.080908e-01 3.154213e-01 5.228688e-01
TestRf1p360e15EfC 5.827799e-03 1.829077e-01 1.665369e-01 9.148759e-01
TestGb1p360e15EfC 7.273256e-03 1.795473e-01 1.530552e-01 8.945214e-01
TestRf1p360e15EfP 3.811235e-03 1.462405e-01 1.316979e-01 9.685085e-01
TestGb1p360e15EfP 4.116906e-03 1.376002e-01 8.839535e-02 9.616498e-01
TestRf1p360e15RsC 1.128165e-02 1.972951e-01 1.915202e-01 9.468335e-01
TestGb1p360e15RsC 1.364647e-02 1.806586e-01 1.379815e-01 9.132121e-01
TestRf1p360e15RsP 2.722362e-03 1.028709e-01 7.965555e-02 9.550347e-01
TestGb1p360e15RsP 3.566069e-03 1.380478e-01 1.149205e-01 9.777298e-01
TestRf1p360e15MbC 6.833195e-03 1.713691e-01 1.453386e-01 9.423340e-01
TestGb1p360e15MbC 6.747708e-03 1.844806e-01 1.813823e-01 9.296513e-01
TestRf1p360e15YOL 2.803984e-02 3.591933e-01 3.987330e-01 6.352090e-01
TestGb1p360e15YOL 1.785335e-02 2.978671e-01 2.959429e-01 7.516172e-01
TestRf1p360e15MbP 5.335161e-03 1.650555e-01 1.600255e-01 9.388680e-01
TestGb1p360e15MbP 4.542450e-03 1.504398e-01 1.206442e-01 9.739752e-01
TestRf1p360e15XcC 3.742366e-03 1.420395e-01 1.472594e-01 9.397578e-01
TestGb1p360e15XcC 6.423562e-03 1.580273e-01 1.607118e-01 8.908985e-01
TestRf1p360e15XcP 2.890398e-03 1.132059e-01 7.797883e-02 9.420818e-01
TestGb1p360e15XcP 3.052283e-03 1.122705e-01 5.790391e-02 9.564506e-01
TestRf1p360e15NNC 2.177005e-03 8.429029e-02 6.465304e-02 9.930220e-01
TestGb1p360e15NNC 5.884423e-03 1.603919e-01 1.505938e-01 9.868889e-01
TestRf1p360e15NNP 2.633115e-03 1.094798e-01 1.008421e-01 9.789784e-01
TestGb1p360e15NNP 1.978773e-03 9.978817e-02 9.156004e-02 9.849586e-01
TestRf1p360e15YOL2 1.940806e-02 3.175345e-01 2.799231e-01 7.926409e-01
TestGb1p360e15YOL2 2.173474e-02 2.954559e-01 2.982447e-01 8.548143e-01
