Isc(A) T(K) L(mkm)
5.94019E-1 292 2.13E-4
5.15688E-1 306 1.14E-4
2.17249E-1 295 2.30E-5
6.25495E-1 294 2.75E-4
5.64644E-1 298 1.65E-4
5.90881E-1 324 1.72E-4
3.74502E-1 305 5.30E-5
6.08772E-1 313 2.12E-4
4.53287E-1 318 7.50E-5
5.20672E-1 326 1.05E-4
5.56608E-1 312 1.44E-4
6.47963E-1 324 2.87E-4
6.06470E-1 323 1.96E-4
5.88762E-1 292 2.05E-4
4.32423E-1 304 7.20E-5
4.63043E-1 315 8.00E-5
5.30897E-1 300 1.30E-4
5.62853E-1 319 1.44E-4
5.46950E-1 290 1.54E-4
6.32995E-1 301 2.83E-4
5.24073E-1 298 1.27E-4
5.33573E-1 298 1.34E-4
6.40878E-1 305 2.98E-4
3.93871E-1 297 6.10E-5
5.02792E-1 304 1.07E-4
6.19807E-1 301 2.50E-4
3.73575E-1 332 4.50E-5
6.48099E-1 338 2.66E-4
6.27345E-1 303 2.65E-4
6.41620E-1 307 2.98E-4
5.77122E-1 314 1.64E-4
4.78672E-1 299 9.60E-5
6.34237E-1 306 2.77E-4
5.93390E-1 294 2.09E-4
6.28677E-1 337 2.20E-4
6.11180E-1 325 2.02E-4
4.79737E-1 317 8.70E-5
5.04177E-1 332 9.20E-5
3.89646E-1 294 6.10E-5
5.21906E-1 306 1.19E-4
5.95486E-1 317 1.85E-4
6.19556E-1 321 2.21E-4
6.23402E-1 326 2.23E-4
4.66574E-1 316 8.10E-5
6.27031E-1 338 2.16E-4
4.61821E-1 291 9.20E-5
3.90007E-1 292 6.20E-5
5.04438E-1 294 1.15E-4
2.86125E-1 303 3.30E-5
4.26317E-1 302 7.10E-5
5.26419E-1 314 1.17E-4
6.46426E-1 334 2.66E-4
6.27889E-1 306 2.61E-4
3.24562E-1 294 4.30E-5
5.32622E-1 306 1.27E-4
5.97094E-1 329 1.75E-4
6.40698E-1 309 2.90E-4
4.16321E-1 299 6.80E-5
5.19356E-1 328 1.03E-4
4.45015E-1 314 7.30E-5
6.12292E-1 326 2.02E-4
4.73857E-1 296 9.60E-5
1.19461E-1 312 1.00E-5
6.29864E-1 314 2.53E-4
5.54827E-1 329 1.29E-4
6.17067E-1 321 2.17E-4
5.58856E-1 332 1.30E-4
5.80131E-1 299 1.83E-4
6.57358E-1 337 2.97E-4
6.49940E-1 340 2.69E-4
3.96080E-1 333 5.00E-5
6.29663E-1 334 2.26E-4
6.47502E-1 328 2.79E-4
6.34488E-1 310 2.71E-4
4.79058E-1 301 9.50E-5
4.02324E-1 340 5.00E-5
5.28596E-1 335 1.05E-4
6.05878E-1 307 2.13E-4
5.98420E-1 309 1.99E-4
6.16759E-1 303 2.41E-4
6.42676E-1 316 2.85E-4
4.56849E-1 297 8.60E-5
4.05823E-1 336 5.20E-5
1.74009E-1 339 1.30E-5
5.62285E-1 299 1.62E-4
5.64003E-1 313 1.50E-4
6.19284E-1 322 2.20E-4
5.89095E-1 312 1.82E-4
5.90581E-1 316 1.80E-4
6.19270E-1 292 2.63E-4
5.01037E-1 293 1.14E-4
5.76686E-1 301 1.77E-4
5.24763E-1 304 1.23E-4
3.23750E-1 303 4.10E-5
5.95769E-1 319 1.84E-4
2.17124E-1 326 1.90E-5
4.73339E-1 290 9.90E-5
5.71406E-1 336 1.39E-4
4.17666E-1 300 6.80E-5
5.91140E-1 325 1.71E-4
5.43391E-1 302 1.40E-4
6.09973E-1 298 2.34E-4
4.93688E-1 329 8.80E-5
5.86588E-1 331 1.60E-4
5.92129E-1 309 1.89E-4
5.90043E-1 296 2.01E-4
5.96193E-1 332 1.71E-4
4.71470E-1 306 8.90E-5
6.09039E-1 339 1.83E-4
3.32832E-1 296 4.50E-5
4.16005E-1 340 5.40E-5
2.91224E-1 328 2.90E-5
6.21341E-1 324 2.21E-4
4.60378E-1 311 8.10E-5
5.91807E-1 332 1.65E-4
6.36077E-1 328 2.48E-4
6.32727E-1 326 2.43E-4
5.81869E-1 314 1.70E-4
6.24314E-1 316 2.37E-4
6.10496E-1 334 1.90E-4
5.00642E-1 339 8.70E-5
4.86916E-1 339 8.00E-5
4.77765E-1 331 7.90E-5
4.33650E-1 315 6.80E-5
6.23621E-1 316 2.36E-4
5.03819E-1 339 8.80E-5
5.69191E-1 325 1.46E-4
3.29264E-1 328 3.60E-5
6.55027E-1 333 2.96E-4
3.59662E-1 304 4.90E-5
5.50924E-1 321 1.31E-4
6.01413E-1 322 1.89E-4
6.13880E-1 320 2.12E-4
5.96476E-1 322 1.82E-4
2.03182E-1 303 2.00E-5
5.94423E-1 293 2.13E-4
5.40918E-1 331 1.16E-4
2.60523E-1 297 3.00E-5
3.75977E-1 330 4.60E-5
5.95891E-1 338 1.65E-4
6.41388E-1 332 2.56E-4
2.23183E-1 324 2.00E-5
5.83876E-1 334 1.54E-4
1.44977E-1 320 1.20E-5
5.60259E-1 327 1.35E-4
1.97795E-1 314 1.80E-5
5.80505E-1 339 1.46E-4
6.52680E-1 329 2.94E-4
4.98015E-1 301 1.06E-4
5.96718E-1 318 1.86E-4
6.10470E-1 315 2.12E-4
4.56118E-1 301 8.40E-5
4.96027E-1 305 1.03E-4
1.93645E-1 312 1.80E-5
4.47061E-1 306 7.70E-5
6.14033E-1 336 1.93E-4
6.15513E-1 303 2.38E-4
6.43775E-1 330 2.66E-4
2.19482E-1 334 1.90E-5
5.58755E-1 326 1.35E-4
1.97704E-1 311 1.80E-5
4.80489E-1 300 9.60E-5
6.14696E-1 339 1.92E-4
3.36683E-1 323 3.90E-5
7.92206E-2 309 6.00E-6
4.97122E-1 339 8.50E-5
4.39505E-1 337 6.20E-5
5.85375E-1 330 1.59E-4
3.49249E-1 326 4.10E-5
5.80449E-1 339 1.46E-4
6.39808E-1 315 2.78E-4
2.70334E-1 322 2.70E-5
6.03469E-1 313 2.02E-4
4.10431E-1 323 5.70E-5
6.03232E-1 301 2.18E-4
5.86454E-1 291 2.02E-4
5.19994E-1 335 9.90E-5
6.34063E-1 337 2.31E-4
3.76960E-1 306 5.30E-5
5.66038E-1 330 1.38E-4
1.79075E-1 300 1.70E-5
4.07630E-1 308 6.20E-5
6.22539E-1 307 2.47E-4
5.40221E-1 326 1.19E-4
4.84297E-1 303 9.70E-5
3.84764E-1 297 5.90E-5
6.20269E-1 297 2.58E-4
5.91434E-1 308 1.90E-4
5.99645E-1 317 1.91E-4
4.72839E-1 311 8.70E-5
6.44831E-1 314 2.94E-4
6.28883E-1 339 2.18E-4
5.00188E-1 293 1.13E-4
6.06489E-1 312 2.08E-4
5.98415E-1 308 2.00E-4
6.02299E-1 324 1.88E-4
6.26829E-1 301 2.67E-4
6.54875E-1 339 2.86E-4
6.15119E-1 325 2.08E-4
5.57320E-1 313 1.43E-4
1.66256E-1 291 1.70E-5
5.39661E-1 316 1.25E-4
2.26256E-1 321 2.10E-5
4.65787E-1 306 8.50E-5
6.21050E-1 291 2.70E-4
5.80084E-1 336 1.48E-4
3.10094E-1 313 3.60E-5
5.02950E-1 316 1.00E-4
6.37992E-1 324 2.59E-4
6.31976E-1 326 2.41E-4
1.86161E-1 295 1.90E-5
5.66606E-1 333 1.37E-4
2.17716E-1 309 2.10E-5
2.84622E-1 331 2.80E-5
6.02444E-1 294 2.26E-4
3.17966E-1 339 3.20E-5
1.62198E-1 336 1.20E-5
6.16917E-1 292 2.59E-4
6.16567E-1 293 2.56E-4
4.37408E-1 333 6.30E-5
6.27833E-1 326 2.32E-4
2.38558E-1 331 2.10E-5
3.95167E-1 294 6.30E-5
6.24332E-1 298 2.65E-4
2.41840E-1 309 2.50E-5
4.57789E-1 292 9.00E-5
5.73092E-1 299 1.75E-4
6.53399E-1 333 2.90E-4
3.76723E-1 339 4.40E-5
2.21357E-1 324 2.00E-5
6.26828E-1 325 2.31E-4
4.90749E-1 328 8.70E-5
5.97040E-1 333 1.71E-4
6.19555E-1 331 2.09E-4
6.26221E-1 295 2.74E-4
6.13612E-1 302 2.35E-4
6.12049E-1 338 1.89E-4
4.20738E-1 317 6.30E-5
4.10184E-1 307 6.30E-5
5.89505E-1 333 1.61E-4
6.34818E-1 328 2.45E-4
6.34940E-1 337 2.34E-4
6.38338E-1 332 2.49E-4
5.29995E-1 302 1.29E-4
6.31485E-1 329 2.36E-4
4.70999E-1 294 9.50E-5
5.32773E-1 338 1.06E-4
6.27569E-1 330 2.26E-4
5.78148E-1 318 1.61E-4
5.64493E-1 305 1.58E-4
4.29072E-1 297 7.40E-5
6.05214E-1 330 1.86E-4
6.34754E-1 308 2.75E-4
2.34716E-1 303 2.40E-5
6.32621E-1 314 2.60E-4
2.72232E-1 297 3.20E-5
5.61494E-1 302 1.58E-4
5.05143E-1 301 1.11E-4
5.92712E-1 291 2.13E-4
4.57445E-1 319 7.60E-5
6.29967E-1 332 2.29E-4
4.36382E-1 308 7.20E-5
6.33009E-1 307 2.72E-4
6.44393E-1 321 2.82E-4
5.34399E-1 324 1.16E-4
5.19997E-1 300 1.22E-4
3.35955E-1 296 4.50E-5
5.79053E-1 332 1.50E-4
4.34523E-1 339 6.00E-5
6.35002E-1 336 2.35E-4
6.33483E-1 331 2.38E-4
2.71701E-1 292 3.30E-5
3.75199E-1 297 5.60E-5
6.02508E-1 339 1.73E-4
5.41316E-1 302 1.38E-4
2.62852E-1 313 2.70E-5
6.39738E-1 323 2.65E-4
3.85804E-1 320 5.10E-5
6.12182E-1 316 2.13E-4
6.36782E-1 302 2.92E-4
3.65338E-1 326 4.50E-5
6.28870E-1 312 2.55E-4
4.82929E-1 324 8.50E-5
5.47746E-1 327 1.24E-4
1.81019E-1 303 1.70E-5
5.24378E-1 301 1.25E-4
5.47976E-1 331 1.22E-4
6.05792E-1 293 2.33E-4
5.21435E-1 325 1.06E-4
5.39444E-1 316 1.25E-4
6.04835E-1 327 1.89E-4
6.20774E-1 315 2.32E-4
1.96279E-1 297 2.00E-5
5.36588E-1 321 1.20E-4
6.22161E-1 304 2.51E-4
5.97364E-1 301 2.07E-4
5.21097E-1 296 1.26E-4
6.21126E-1 302 2.52E-4
5.78246E-1 295 1.86E-4
5.93674E-1 333 1.67E-4
3.71533E-1 292 5.60E-5
6.47188E-1 321 2.89E-4
6.27376E-1 295 2.78E-4
2.31957E-1 304 2.40E-5
3.76417E-1 292 5.80E-5
4.95890E-1 314 9.70E-5
3.20565E-1 306 3.90E-5
5.15817E-1 305 1.15E-4
4.59676E-1 317 7.80E-5
3.65388E-1 291 5.50E-5
4.20286E-1 317 6.30E-5
5.99385E-1 320 1.88E-4
5.17708E-1 298 1.21E-4
6.09383E-1 295 2.37E-4
5.48239E-1 303 1.43E-4
5.08159E-1 318 1.02E-4
5.17491E-1 315 1.10E-4
5.39493E-1 310 1.30E-4
5.51793E-1 310 1.41E-4
5.83649E-1 303 1.84E-4
5.21746E-1 298 1.25E-4
4.19449E-1 326 5.90E-5
3.72265E-1 314 4.90E-5
3.59201E-1 316 4.50E-5
5.76043E-1 316 1.61E-4
5.98609E-1 300 2.10E-4
5.71793E-1 310 1.62E-4
1.18242E-1 339 8.00E-6
6.17824E-1 294 2.56E-4
5.96249E-1 328 1.75E-4
5.69480E-1 326 1.45E-4
5.01039E-1 302 1.07E-4
5.36575E-1 305 1.31E-4
6.13836E-1 317 2.15E-4
6.40720E-1 321 2.70E-4
6.02242E-1 295 2.23E-4
5.26794E-1 337 1.03E-4
5.19599E-1 308 1.16E-4
4.65865E-1 306 8.60E-5
5.84659E-1 331 1.58E-4
1.53982E-1 297 1.40E-5
3.29329E-1 304 4.20E-5
5.17850E-1 292 1.27E-4
6.24474E-1 313 2.42E-4
3.59833E-1 338 4.00E-5
5.65327E-1 303 1.61E-4
5.95649E-1 323 1.79E-4
5.31388E-1 307 1.26E-4
4.96962E-1 310 1.00E-4
6.22636E-1 331 2.15E-4
6.53118E-1 331 2.93E-4
5.66547E-1 310 1.56E-4
6.18765E-1 299 2.51E-4
6.19307E-1 330 2.09E-4
5.25227E-1 320 1.12E-4
4.14237E-1 332 5.60E-5
6.54158E-1 333 2.91E-4
5.68906E-1 298 1.70E-4
4.64352E-1 332 7.30E-5
6.05906E-1 322 1.96E-4
3.57656E-1 329 4.20E-5
5.61740E-1 333 1.32E-4
3.41431E-1 335 3.70E-5
5.63932E-1 302 1.61E-4
1.67664E-1 301 1.60E-5
4.75576E-1 329 7.90E-5
4.39069E-1 296 7.80E-5
5.96158E-1 303 2.03E-4
5.27959E-1 318 1.15E-4
5.43419E-1 327 1.21E-4
6.03603E-1 326 1.88E-4
6.36747E-1 303 2.89E-4
5.99976E-1 316 1.93E-4
2.32436E-1 317 2.20E-5
4.20575E-1 304 6.80E-5
6.39751E-1 321 2.68E-4
5.17037E-1 309 1.13E-4
5.54752E-1 296 1.56E-4
6.15594E-1 337 1.96E-4
6.35745E-1 310 2.75E-4
6.03862E-1 317 1.98E-4
3.45789E-1 325 4.00E-5
3.39159E-1 335 3.70E-5
5.97977E-1 306 2.02E-4
6.49892E-1 322 2.97E-4
3.85576E-1 293 6.00E-5
5.95440E-1 325 1.77E-4
6.51260E-1 330 2.87E-4
5.28818E-1 306 1.24E-4
6.09956E-1 331 1.92E-4
5.15091E-1 290 1.26E-4
5.71502E-1 294 1.78E-4
6.41412E-1 319 2.77E-4
5.72255E-1 333 1.42E-4
3.93437E-1 332 5.00E-5
6.39680E-1 304 2.96E-4
5.09850E-1 316 1.04E-4
2.26573E-1 324 2.10E-5
6.22573E-1 318 2.32E-4
6.10797E-1 327 1.99E-4
5.09291E-1 333 9.40E-5
4.78343E-1 340 7.60E-5
3.01283E-1 303 3.60E-5
5.27395E-1 299 1.29E-4
6.25636E-1 335 2.17E-4
4.48053E-1 301 8.00E-5
6.20073E-1 330 2.12E-4
5.49659E-1 297 1.50E-4
5.70389E-1 339 1.36E-4
5.28959E-1 297 1.32E-4
6.33532E-1 309 2.70E-4
5.14192E-1 308 1.12E-4
5.11253E-1 326 9.90E-5
6.18013E-1 316 2.24E-4
4.87222E-1 326 8.60E-5
5.51920E-1 298 1.51E-4
5.72502E-1 321 1.53E-4
4.19565E-1 340 5.50E-5
5.36376E-1 324 1.17E-4
6.14689E-1 295 2.47E-4
2.99866E-1 302 3.60E-5
6.35608E-1 325 2.51E-4
6.26264E-1 318 2.40E-4
2.40378E-1 316 2.40E-5
3.71960E-1 298 5.50E-5
6.41614E-1 306 2.99E-4
5.82568E-1 338 1.49E-4
6.20743E-1 295 2.61E-4
6.26856E-1 295 2.76E-4
6.40151E-1 333 2.52E-4
5.51022E-1 296 1.52E-4
6.26747E-1 329 2.26E-4
4.99767E-1 295 1.11E-4
2.13710E-1 329 1.80E-5
6.51412E-1 336 2.78E-4
6.25024E-1 307 2.52E-4
4.10252E-1 329 5.50E-5
4.30079E-1 290 7.80E-5
4.38785E-1 307 7.30E-5
5.51239E-1 308 1.42E-4
6.38544E-1 316 2.72E-4
4.63184E-1 340 7.00E-5
6.34325E-1 319 2.57E-4
5.54234E-1 292 1.59E-4
5.54278E-1 291 1.61E-4
6.25495E-1 291 2.80E-4
3.71759E-1 322 4.70E-5
5.98509E-1 305 2.04E-4
4.46026E-1 313 7.40E-5
5.26354E-1 308 1.21E-4
5.92805E-1 321 1.77E-4
5.21023E-1 322 1.08E-4
5.83115E-1 304 1.82E-4
5.04390E-1 321 9.80E-5
5.18291E-1 309 1.14E-4
5.78716E-1 309 1.71E-4
2.07727E-1 311 2.00E-5
5.72382E-1 293 1.80E-4
4.85294E-1 336 8.00E-5
5.90395E-1 324 1.71E-4
5.84014E-1 300 1.88E-4
5.73147E-1 299 1.75E-4
6.08308E-1 305 2.21E-4
4.76588E-1 336 7.70E-5
2.10067E-1 327 1.80E-5
4.36227E-1 340 6.00E-5
5.93769E-1 339 1.61E-4
5.58433E-1 329 1.32E-4
3.95976E-1 337 4.90E-5
6.36475E-1 330 2.47E-4
5.58834E-1 339 1.25E-4
6.48103E-1 330 2.79E-4
5.65641E-1 293 1.72E-4
2.65576E-1 323 2.60E-5
4.67895E-1 305 8.70E-5
5.43542E-1 318 1.27E-4
6.25652E-1 328 2.25E-4
4.60721E-1 299 8.70E-5
5.87219E-1 302 1.90E-4
3.34339E-1 308 4.20E-5
5.08393E-1 330 9.50E-5
6.22611E-1 300 2.58E-4
4.89806E-1 335 8.30E-5
5.25538E-1 318 1.13E-4
5.97252E-1 306 2.00E-4
5.68304E-1 319 1.49E-4
5.26637E-1 321 1.12E-4
6.23679E-1 307 2.49E-4
6.48420E-1 317 3.00E-4
2.27038E-1 300 2.40E-5
6.35256E-1 324 2.52E-4
6.02862E-1 301 2.16E-4
5.64543E-1 301 1.62E-4
5.74900E-1 327 1.50E-4
1.18450E-1 329 9.00E-6
6.21104E-1 333 2.10E-4
3.05451E-1 314 3.40E-5
4.98941E-1 328 9.10E-5
6.09213E-1 335 1.87E-4
6.10956E-1 330 1.96E-4
2.17701E-1 309 2.10E-5
1.00596E-1 329 7.00E-6
3.06204E-1 337 3.10E-5
4.40841E-1 304 7.60E-5
5.76168E-1 334 1.45E-4
5.38601E-1 307 1.31E-4
4.09551E-1 321 5.80E-5
4.78615E-1 302 9.40E-5
6.07929E-1 315 2.07E-4
5.87713E-1 302 1.91E-4
6.32059E-1 307 2.70E-4
1.36356E-1 300 1.20E-5
2.90442E-1 314 3.20E-5
6.35340E-1 327 2.48E-4
6.04659E-1 297 2.25E-4
6.36906E-1 304 2.88E-4
5.01301E-1 314 1.00E-4
1.22148E-1 337 9.00E-6
4.71638E-1 324 8.00E-5
6.26115E-1 308 2.53E-4
6.24265E-1 337 2.11E-4
5.40237E-1 292 1.46E-4
6.30690E-1 310 2.62E-4
4.20859E-1 300 6.90E-5
6.56393E-1 334 2.98E-4
2.42386E-1 335 2.10E-5
3.48673E-1 316 4.30E-5
6.40873E-1 322 2.70E-4
5.66762E-1 307 1.59E-4
4.51385E-1 314 7.60E-5
3.50048E-1 312 4.50E-5
4.39392E-1 334 6.30E-5
5.72014E-1 308 1.64E-4
2.89699E-1 308 3.30E-5
5.35409E-1 327 1.14E-4
1.23089E-1 334 9.00E-6
6.42581E-1 316 2.84E-4
6.44605E-1 314 2.94E-4
6.37552E-1 332 2.46E-4
6.18070E-1 325 2.14E-4
4.74319E-1 294 9.70E-5
2.90672E-1 324 3.00E-5
5.01068E-1 291 1.15E-4
6.38290E-1 338 2.40E-4
4.33215E-1 319 6.70E-5
6.24164E-1 317 2.37E-4
5.79887E-1 301 1.82E-4
5.52570E-1 313 1.39E-4
6.20583E-1 298 2.57E-4
6.13824E-1 299 2.40E-4
6.10563E-1 300 2.32E-4
6.34133E-1 321 2.53E-4
2.59769E-1 304 2.80E-5
3.52886E-1 297 4.90E-5
4.54850E-1 315 7.60E-5
4.27613E-1 307 6.90E-5
5.74171E-1 296 1.79E-4
6.39773E-1 304 2.97E-4
3.55764E-1 327 4.20E-5
6.37326E-1 314 2.72E-4
5.82058E-1 316 1.68E-4
3.94731E-1 329 5.10E-5
4.82398E-1 318 8.80E-5
1.90385E-1 332 1.50E-5
5.63004E-1 309 1.53E-4
5.84273E-1 302 1.86E-4
5.82982E-1 300 1.86E-4
3.44904E-1 336 3.80E-5
5.87016E-1 328 1.63E-4
6.13534E-1 329 2.01E-4
6.11401E-1 316 2.12E-4
5.46398E-1 327 1.23E-4
6.31092E-1 317 2.52E-4
6.37855E-1 301 2.97E-4
6.17573E-1 322 2.16E-4
3.03413E-1 291 3.90E-5
5.73273E-1 313 1.61E-4
5.60454E-1 306 1.53E-4
5.90550E-1 301 1.96E-4
5.68527E-1 338 1.34E-4
6.36844E-1 338 2.37E-4
6.36651E-1 297 2.99E-4
6.23053E-1 294 2.68E-4
5.01454E-1 318 9.80E-5
5.01330E-1 312 1.01E-4
5.95870E-1 308 1.96E-4
2.91344E-1 324 3.00E-5
3.19685E-1 319 3.60E-5
3.64335E-1 297 5.20E-5
4.81045E-1 326 8.30E-5
5.06142E-1 335 9.10E-5
1.43395E-1 335 1.10E-5
6.08748E-1 315 2.09E-4
5.45853E-1 318 1.29E-4
5.70067E-1 317 1.53E-4
5.33332E-1 326 1.14E-4
2.82740E-1 300 3.30E-5
5.05876E-1 305 1.08E-4
5.35286E-1 306 1.30E-4
6.15044E-1 336 1.96E-4
2.13124E-1 323 1.90E-5
5.94254E-1 299 2.04E-4
5.89301E-1 312 1.82E-4
5.33569E-1 315 1.21E-4
6.04786E-1 301 2.20E-4
6.50817E-1 332 2.83E-4
6.38778E-1 329 2.54E-4
6.51096E-1 339 2.73E-4
4.06361E-1 326 5.50E-5
6.33367E-1 296 2.92E-4
6.45075E-1 317 2.91E-4
6.31548E-1 340 2.23E-4
6.44412E-1 329 2.68E-4
1.70112E-1 333 1.30E-5
6.30978E-1 314 2.56E-4
7.89630E-2 332 5.00E-6
6.37648E-1 322 2.62E-4
6.30828E-1 328 2.35E-4
6.34272E-1 333 2.37E-4
5.60441E-1 298 1.60E-4
6.20882E-1 309 2.40E-4
3.02335E-1 308 3.50E-5
4.09510E-1 326 5.60E-5
6.27245E-1 322 2.37E-4
5.87898E-1 290 2.05E-4
6.18709E-1 338 2.00E-4
5.81569E-1 332 1.53E-4
6.11206E-1 328 1.98E-4
6.23935E-1 331 2.18E-4
5.21744E-1 327 1.05E-4
5.95991E-1 307 1.97E-4
6.51320E-1 326 2.94E-4
5.78409E-1 314 1.65E-4
5.70142E-1 336 1.38E-4
5.78768E-1 324 1.57E-4
6.37372E-1 304 2.89E-4
6.15876E-1 324 2.11E-4
6.32466E-1 331 2.36E-4
6.32513E-1 303 2.78E-4
5.25735E-1 327 1.08E-4
5.56479E-1 300 1.54E-4
5.40360E-1 301 1.38E-4
6.42703E-1 328 2.65E-4
5.66252E-1 337 1.33E-4
4.37657E-1 328 6.40E-5
5.84624E-1 322 1.66E-4
3.57070E-1 329 4.20E-5
6.33614E-1 312 2.66E-4
5.21090E-1 302 1.22E-4
6.02487E-1 324 1.88E-4
6.37379E-1 301 2.95E-4
5.27468E-1 318 1.15E-4
6.30853E-1 316 2.52E-4
6.45584E-1 316 2.93E-4
5.67610E-1 297 1.70E-4
8.97799E-2 324 6.00E-6
5.50254E-1 291 1.57E-4
6.13995E-1 308 2.28E-4
4.25030E-1 301 7.10E-5
5.91384E-1 316 1.81E-4
1.66542E-1 315 1.40E-5
6.46239E-1 339 2.60E-4
5.51098E-1 332 1.24E-4
6.10385E-1 309 2.19E-4
5.19340E-1 329 1.02E-4
6.03996E-1 310 2.06E-4
6.12727E-1 316 2.15E-4
6.03740E-1 325 1.89E-4
6.19635E-1 327 2.14E-4
5.98404E-1 319 1.87E-4
5.10123E-1 299 1.16E-4
6.29621E-1 310 2.59E-4
3.48983E-1 292 5.00E-5
5.31438E-1 295 1.35E-4
6.51280E-1 330 2.89E-4
6.31218E-1 313 2.59E-4
6.39760E-1 304 2.97E-4
5.75890E-1 340 1.41E-4
5.56966E-1 322 1.36E-4
4.28294E-1 315 6.60E-5
6.41481E-1 336 2.51E-4
5.69675E-1 324 1.47E-4
5.69521E-1 299 1.70E-4
6.22422E-1 313 2.37E-4
6.34906E-1 317 2.62E-4
6.04894E-1 332 1.84E-4
5.60490E-1 309 1.51E-4
6.07994E-1 305 2.20E-4
5.60833E-1 327 1.35E-4
6.26080E-1 310 2.50E-4
6.38281E-1 324 2.60E-4
3.87869E-1 328 4.90E-5
6.47009E-1 328 2.78E-4
5.62281E-1 323 1.40E-4
1.69075E-1 317 1.40E-5
6.07277E-1 301 2.25E-4
6.39186E-1 307 2.90E-4
4.89601E-1 309 9.70E-5
6.11112E-1 316 2.12E-4
3.69925E-1 320 4.70E-5
6.44273E-1 314 2.92E-4
6.35392E-1 335 2.37E-4
6.43166E-1 333 2.60E-4
3.27472E-1 308 4.00E-5
6.46690E-1 317 2.95E-4
6.10938E-1 317 2.11E-4
1.71777E-1 326 1.40E-5
5.88638E-1 312 1.81E-4
6.36091E-1 338 2.35E-4
6.47117E-1 327 2.79E-4
6.36753E-1 338 2.37E-4
5.53012E-1 314 1.38E-4
5.27234E-1 320 1.13E-4
6.42615E-1 320 2.78E-4
5.99161E-1 312 1.97E-4
4.10453E-1 334 5.40E-5
6.18861E-1 319 2.22E-4
6.33379E-1 298 2.89E-4
4.90191E-1 334 8.40E-5
4.87801E-1 340 8.00E-5
6.47888E-1 324 2.87E-4
4.95065E-1 339 8.40E-5
6.32479E-1 311 2.64E-4
5.75569E-1 317 1.60E-4
5.75659E-1 307 1.69E-4
6.44544E-1 327 2.72E-4
3.65707E-1 315 4.80E-5
3.86733E-1 329 4.90E-5
4.46797E-1 300 8.00E-5
5.84594E-1 328 1.60E-4
4.54619E-1 315 7.70E-5
5.59735E-1 293 1.65E-4
6.34816E-1 301 2.88E-4
6.42974E-1 327 2.67E-4
5.12619E-1 334 9.50E-5
2.01479E-1 301 2.00E-5
3.20906E-1 307 3.90E-5
4.40540E-1 317 7.00E-5
4.08712E-1 336 5.30E-5
5.39851E-1 293 1.44E-4
5.24649E-1 325 1.08E-4
5.40931E-1 337 1.12E-4
5.44816E-1 334 1.17E-4
4.97007E-1 294 1.10E-4
5.43528E-1 313 1.31E-4
6.21185E-1 315 2.32E-4
6.13856E-1 335 1.95E-4
4.00126E-1 339 5.00E-5
5.57688E-1 297 1.59E-4
4.78535E-1 319 8.50E-5
5.38285E-1 310 1.29E-4
3.53111E-1 315 4.40E-5
6.26526E-1 317 2.41E-4
5.99277E-1 302 2.08E-4
6.55760E-1 339 2.88E-4
3.75390E-1 295 5.60E-5
4.91326E-1 302 1.01E-4
4.47002E-1 309 7.60E-5
6.06817E-1 338 1.80E-4
5.10000E-1 334 9.40E-5
