X GeCrN200 GeCrN300 GeCrN400 OrCrN200 OrCrN300 OrCrN400 OrCrN500 OrCrN600 OrCrN700 OrCrN750 OsCrN200 OsCrN300 OsCrN400 OsCrN500 OsCrN600 OsCrN700
4.81000E+2 1.70755E-4 2.79748E-4 3.43790E-4 0.00000E+0 3.61779E-5 1.34053E-4 2.04479E-4 2.57588E-4 2.94293E-4 3.08875E-4 9.89797E-5 1.45227E-4 1.69478E-4 2.35538E-4 2.86514E-4 3.22837E-4
4.82000E+2 1.76681E-4 2.86332E-4 3.50760E-4 0.00000E+0 4.09217E-5 1.37646E-4 2.07242E-4 2.59726E-4 2.97188E-4 3.12070E-4 1.01902E-4 1.49484E-4 1.74435E-4 2.39565E-4 2.89824E-4 3.24994E-4
4.83000E+2 1.82851E-4 2.91258E-4 3.54954E-4 0.00000E+0 4.27925E-5 1.40205E-4 2.10296E-4 2.63153E-4 3.00389E-4 3.15182E-4 1.05333E-4 1.53661E-4 1.79003E-4 2.42316E-4 2.91172E-4 3.28335E-4
4.84000E+2 1.87896E-4 2.96340E-4 3.60059E-4 0.00000E+0 4.48943E-5 1.42828E-4 2.13294E-4 2.66433E-4 3.03170E-4 3.17764E-4 1.09664E-4 1.57394E-4 1.82423E-4 2.45462E-4 2.94109E-4 3.29982E-4
4.85000E+2 1.96494E-4 3.02062E-4 3.64092E-4 0.00000E+0 4.57276E-5 1.45657E-4 2.17560E-4 2.71782E-4 3.07999E-4 3.22387E-4 1.12056E-4 1.61527E-4 1.87469E-4 2.49419E-4 2.97224E-4 3.33952E-4
4.86000E+2 2.02191E-4 3.05998E-4 3.66992E-4 0.00000E+0 4.68681E-5 1.48263E-4 2.21220E-4 2.76238E-4 3.12564E-4 3.26996E-4 1.14552E-4 1.64622E-4 1.90877E-4 2.52702E-4 3.00411E-4 3.37277E-4
4.87000E+2 2.07478E-4 3.12182E-4 3.73703E-4 0.00000E+0 4.87956E-5 1.51495E-4 2.25390E-4 2.81115E-4 3.17917E-4 3.32537E-4 1.16164E-4 1.67601E-4 1.94573E-4 2.56728E-4 3.04691E-4 3.43286E-4
4.88000E+2 2.14799E-4 3.18331E-4 3.79165E-4 0.00000E+0 5.13528E-5 1.54662E-4 2.28996E-4 2.85051E-4 3.24289E-4 3.39877E-4 1.22083E-4 1.73522E-4 2.00496E-4 2.61184E-4 3.08016E-4 3.45737E-4
4.89000E+2 2.22584E-4 3.25326E-4 3.85694E-4 0.00000E+0 4.96838E-5 1.56732E-4 2.33757E-4 2.91842E-4 3.31937E-4 3.47866E-4 1.25863E-4 1.78310E-4 2.05812E-4 2.66270E-4 3.12923E-4 3.50098E-4
4.90000E+2 2.27571E-4 3.32036E-4 3.93417E-4 0.00000E+0 5.04384E-5 1.60575E-4 2.39821E-4 2.99581E-4 3.37229E-4 3.52185E-4 1.29271E-4 1.83005E-4 2.11183E-4 2.71623E-4 3.18262E-4 3.56263E-4
4.91000E+2 2.34688E-4 3.38319E-4 3.99210E-4 0.00000E+0 5.29060E-5 1.65458E-4 2.46442E-4 3.07513E-4 3.44135E-4 3.58684E-4 1.32600E-4 1.89574E-4 2.19449E-4 2.79040E-4 3.25025E-4 3.62543E-4
4.92000E+2 2.42872E-4 3.47887E-4 4.09591E-4 0.00000E+0 5.46006E-5 1.69097E-4 2.51480E-4 3.13605E-4 3.53275E-4 3.69035E-4 1.37301E-4 1.95083E-4 2.25383E-4 2.85491E-4 3.31875E-4 3.68394E-4
4.93000E+2 2.51484E-4 3.56198E-4 4.17726E-4 0.00000E+0 5.36680E-5 1.72353E-4 2.57750E-4 3.22149E-4 3.60296E-4 3.75451E-4 1.43474E-4 2.00999E-4 2.31164E-4 2.93009E-4 3.40734E-4 3.78718E-4
4.94000E+2 2.60686E-4 3.64706E-4 4.25826E-4 0.00000E+0 5.62800E-5 1.76980E-4 2.63827E-4 3.29319E-4 3.67440E-4 3.82585E-4 1.49776E-4 2.08837E-4 2.39808E-4 3.01332E-4 3.48808E-4 3.86876E-4
4.95000E+2 2.69167E-4 3.75305E-4 4.37669E-4 0.00000E+0 5.93730E-5 1.81286E-4 2.69006E-4 3.35156E-4 3.74249E-4 3.89779E-4 1.55775E-4 2.16609E-4 2.48508E-4 3.10187E-4 3.57784E-4 3.95010E-4
4.96000E+2 2.78184E-4 3.86364E-4 4.49927E-4 0.00000E+0 6.49153E-5 1.86497E-4 2.73977E-4 3.39946E-4 3.78518E-4 3.93841E-4 1.62248E-4 2.24723E-4 2.57484E-4 3.20083E-4 3.68389E-4 4.06308E-4
4.97000E+2 2.89190E-4 3.97773E-4 4.61573E-4 0.00000E+0 7.31849E-5 1.92888E-4 2.79014E-4 3.43962E-4 3.82978E-4 3.98479E-4 1.69395E-4 2.33667E-4 2.67370E-4 3.30017E-4 3.78360E-4 4.17930E-4
4.98000E+2 3.00071E-4 4.09112E-4 4.73181E-4 0.00000E+0 7.93093E-5 1.98629E-4 2.84477E-4 3.49215E-4 3.89104E-4 4.04951E-4 1.75719E-4 2.42211E-4 2.77078E-4 3.39921E-4 3.88415E-4 4.28261E-4
4.99000E+2 3.09332E-4 4.21725E-4 4.87763E-4 0.00000E+0 8.41975E-5 2.03986E-4 2.90170E-4 3.55162E-4 3.95105E-4 4.10973E-4 1.85730E-4 2.52380E-4 2.87330E-4 3.50706E-4 3.99612E-4 4.38567E-4
5.00000E+2 3.21306E-4 4.30221E-4 4.94216E-4 0.00000E+0 8.91748E-5 2.09599E-4 2.96239E-4 3.61575E-4 4.02222E-4 4.18371E-4 1.96181E-4 2.62900E-4 2.97885E-4 3.61285E-4 4.10209E-4 4.50055E-4
5.01000E+2 3.27693E-4 4.37249E-4 5.01620E-4 0.00000E+0 9.42160E-5 2.16317E-4 3.04163E-4 3.70409E-4 4.10756E-4 4.26785E-4 1.96937E-4 2.68401E-4 3.05875E-4 3.69215E-4 4.18092E-4 4.59658E-4
5.02000E+2 3.33061E-4 4.45569E-4 5.11676E-4 0.00000E+0 9.89146E-5 2.22503E-4 3.11418E-4 3.78470E-4 4.19651E-4 4.36012E-4 2.03830E-4 2.74186E-4 3.11079E-4 3.75003E-4 4.24331E-4 4.66212E-4
5.03000E+2 3.37941E-4 4.51787E-4 5.18679E-4 0.00000E+0 9.97845E-5 2.26575E-4 3.17794E-4 3.86583E-4 4.26969E-4 4.43014E-4 2.07479E-4 2.79367E-4 3.17064E-4 3.81205E-4 4.30701E-4 4.72207E-4
5.04000E+2 3.46104E-4 4.59444E-4 5.26039E-4 0.00000E+0 1.00518E-4 2.29709E-4 3.22656E-4 3.92748E-4 4.31930E-4 4.47497E-4 2.08378E-4 2.83972E-4 3.23611E-4 3.88537E-4 4.38639E-4 4.79800E-4
5.05000E+2 3.55498E-4 4.68043E-4 5.34171E-4 0.00000E+0 1.04258E-4 2.34141E-4 3.27586E-4 3.98053E-4 4.36951E-4 4.52404E-4 2.17678E-4 2.91756E-4 3.30600E-4 3.96188E-4 4.46800E-4 4.87970E-4
5.06000E+2 3.63031E-4 4.76229E-4 5.42742E-4 0.00000E+0 1.09129E-4 2.39391E-4 3.33106E-4 4.03778E-4 4.43305E-4 4.59009E-4 2.27074E-4 3.00460E-4 3.38942E-4 4.04156E-4 4.54480E-4 4.96756E-4
5.07000E+2 3.70348E-4 4.86751E-4 5.55146E-4 0.00000E+0 1.13348E-4 2.43988E-4 3.37975E-4 4.08851E-4 4.49673E-4 4.65890E-4 2.34052E-4 3.08507E-4 3.47550E-4 4.12451E-4 4.62533E-4 5.07346E-4
5.08000E+2 3.79564E-4 4.98831E-4 5.68909E-4 0.00000E+0 1.19069E-4 2.50157E-4 3.44464E-4 4.15582E-4 4.56743E-4 4.73095E-4 2.42972E-4 3.17779E-4 3.57006E-4 4.22640E-4 4.73287E-4 5.18386E-4
5.09000E+2 3.90828E-4 5.07529E-4 5.76099E-4 0.00000E+0 1.28916E-4 2.58310E-4 3.51397E-4 4.21594E-4 4.64131E-4 4.81029E-4 2.47733E-4 3.26834E-4 3.68313E-4 4.34615E-4 4.85778E-4 5.27970E-4
5.10000E+2 3.98948E-4 5.16106E-4 5.84945E-4 0.00000E+0 1.33492E-4 2.63284E-4 3.56656E-4 4.27068E-4 4.70165E-4 4.87287E-4 2.45696E-4 3.32067E-4 3.77358E-4 4.43246E-4 4.94091E-4 5.37579E-4
5.11000E+2 4.07222E-4 5.24055E-4 5.92703E-4 0.00000E+0 1.36057E-4 2.67117E-4 3.61401E-4 4.32501E-4 4.75330E-4 4.92345E-4 2.50142E-4 3.38254E-4 3.84458E-4 4.50301E-4 5.01111E-4 5.46401E-4
5.12000E+2 4.14064E-4 5.31309E-4 6.00199E-4 0.00000E+0 1.42934E-4 2.73437E-4 3.67317E-4 4.38113E-4 4.80338E-4 4.97113E-4 2.57604E-4 3.45621E-4 3.91774E-4 4.58355E-4 5.09733E-4 5.53518E-4
5.13000E+2 4.22194E-4 5.39008E-4 6.07645E-4 0.00000E+0 1.48992E-4 2.79443E-4 3.73285E-4 4.44052E-4 4.84928E-4 5.01167E-4 2.63911E-4 3.52608E-4 3.99118E-4 4.66285E-4 5.18116E-4 5.60087E-4
5.14000E+2 4.34466E-4 5.48078E-4 6.14833E-4 0.00000E+0 1.51671E-4 2.83167E-4 3.77761E-4 4.49094E-4 4.90814E-4 5.07388E-4 2.69881E-4 3.59823E-4 4.06987E-4 4.73913E-4 5.25559E-4 5.68062E-4
5.15000E+2 4.39392E-4 5.58822E-4 6.28996E-4 0.00000E+0 1.56018E-4 2.87757E-4 3.82523E-4 4.53988E-4 4.97089E-4 5.14212E-4 2.76207E-4 3.67477E-4 4.15336E-4 4.82154E-4 5.33716E-4 5.77770E-4
5.16000E+2 4.45400E-4 5.67446E-4 6.39156E-4 0.00000E+0 1.67987E-4 2.97050E-4 3.89889E-4 4.59899E-4 5.03615E-4 5.20983E-4 2.81954E-4 3.73766E-4 4.21909E-4 4.89949E-4 5.42453E-4 5.87267E-4
5.17000E+2 4.55032E-4 5.76807E-4 6.48359E-4 0.00000E+0 1.81161E-4 3.07650E-4 3.98632E-4 4.67243E-4 5.10462E-4 5.27632E-4 2.89106E-4 3.81375E-4 4.29759E-4 4.98233E-4 5.51074E-4 5.94926E-4
5.18000E+2 4.64523E-4 5.86296E-4 6.57847E-4 0.00000E+0 1.84600E-4 3.13051E-4 4.05444E-4 4.75120E-4 5.17147E-4 5.33843E-4 2.96658E-4 3.89390E-4 4.38016E-4 5.06422E-4 5.59209E-4 6.01868E-4
5.19000E+2 4.72572E-4 5.94209E-4 6.65679E-4 4.04931E-7 1.90873E-4 3.19342E-4 4.11748E-4 4.81431E-4 5.24238E-4 5.41243E-4 3.02761E-4 3.96288E-4 4.45332E-4 5.13873E-4 5.66764E-4 6.10005E-4
5.20000E+2 4.81803E-4 6.04212E-4 6.76136E-4 8.43430E-6 1.98177E-4 3.26127E-4 4.18158E-4 4.87559E-4 5.31223E-4 5.48570E-4 3.07387E-4 4.02244E-4 4.51985E-4 5.21006E-4 5.74267E-4 6.18711E-4
5.21000E+2 4.89521E-4 6.13045E-4 6.85625E-4 1.17490E-5 2.02664E-4 3.31394E-4 4.23984E-4 4.93808E-4 5.38054E-4 5.55632E-4 3.12541E-4 4.08435E-4 4.58720E-4 5.28549E-4 5.82434E-4 6.25934E-4
5.22000E+2 4.98162E-4 6.21662E-4 6.94227E-4 1.35840E-5 2.06267E-4 3.36183E-4 4.29625E-4 5.00091E-4 5.45142E-4 5.63040E-4 3.19636E-4 4.15342E-4 4.65528E-4 5.36050E-4 5.90469E-4 6.34411E-4
5.23000E+2 5.07972E-4 6.31642E-4 7.04306E-4 1.84311E-5 2.12661E-4 3.43602E-4 4.37782E-4 5.08803E-4 5.52294E-4 5.69572E-4 3.25990E-4 4.22452E-4 4.73034E-4 5.44060E-4 5.98869E-4 6.43015E-4
5.24000E+2 5.16984E-4 6.42252E-4 7.15856E-4 3.02434E-5 2.23118E-4 3.53102E-4 4.46591E-4 5.17091E-4 5.60108E-4 5.77198E-4 3.30805E-4 4.29447E-4 4.81172E-4 5.52487E-4 6.07519E-4 6.51240E-4
5.25000E+2 5.28325E-4 6.52473E-4 7.25419E-4 4.39116E-5 2.34193E-4 3.62380E-4 4.54571E-4 5.24094E-4 5.68832E-4 5.86605E-4 3.36243E-4 4.36727E-4 4.89418E-4 5.60582E-4 6.15498E-4 6.59962E-4
5.26000E+2 5.39090E-4 6.62398E-4 7.34850E-4 5.30113E-5 2.42316E-4 3.69812E-4 4.61504E-4 5.30650E-4 5.76942E-4 5.95332E-4 3.43245E-4 4.44668E-4 4.97852E-4 5.68417E-4 6.22871E-4 6.68372E-4
5.27000E+2 5.48148E-4 6.73301E-4 7.46839E-4 6.10301E-5 2.49269E-4 3.76017E-4 4.67169E-4 5.35908E-4 5.81795E-4 6.00024E-4 3.49474E-4 4.52039E-4 5.05822E-4 5.76632E-4 6.31274E-4 6.76979E-4
5.28000E+2 5.57570E-4 6.85191E-4 7.60178E-4 6.72080E-5 2.55558E-4 3.82358E-4 4.73546E-4 5.42313E-4 5.87396E-4 6.05307E-4 3.54795E-4 4.59198E-4 5.13944E-4 5.85074E-4 6.39963E-4 6.85638E-4
5.29000E+2 5.68855E-4 6.95688E-4 7.70212E-4 7.83548E-5 2.65038E-4 3.90674E-4 4.81022E-4 5.49155E-4 5.94535E-4 6.12563E-4 3.60874E-4 4.67086E-4 5.22781E-4 5.93496E-4 6.48064E-4 6.94162E-4
5.30000E+2 5.80415E-4 7.06740E-4 7.80965E-4 1.01151E-4 2.80687E-4 4.01420E-4 4.88236E-4 5.53706E-4 6.00362E-4 6.18897E-4 3.68152E-4 4.75208E-4 5.31345E-4 6.02470E-4 6.57356E-4 7.03490E-4
5.31000E+2 5.90926E-4 7.18635E-4 7.93674E-4 1.21553E-4 2.94726E-4 4.11095E-4 4.94767E-4 5.57865E-4 6.05453E-4 6.24359E-4 3.74950E-4 4.83215E-4 5.39987E-4 6.11553E-4 6.66778E-4 7.13530E-4
5.32000E+2 6.00211E-4 7.29970E-4 8.06213E-4 1.36457E-4 3.05261E-4 4.18629E-4 5.00139E-4 5.61606E-4 6.09619E-4 6.28693E-4 3.80984E-4 4.91076E-4 5.48805E-4 6.20443E-4 6.75724E-4 7.23490E-4
5.33000E+2 6.08819E-4 7.41009E-4 8.18680E-4 1.46601E-4 3.12779E-4 4.24339E-4 5.04546E-4 5.65031E-4 6.13496E-4 6.32751E-4 3.87381E-4 4.98998E-4 5.57528E-4 6.29103E-4 6.84336E-4 7.32835E-4
5.34000E+2 6.19066E-4 7.51600E-4 8.29473E-4 1.50874E-4 3.17200E-4 4.28845E-4 5.09113E-4 5.69643E-4 6.18975E-4 6.38574E-4 3.94732E-4 5.07069E-4 5.65977E-4 6.37306E-4 6.92350E-4 7.41901E-4
5.35000E+2 6.29836E-4 7.61763E-4 8.39280E-4 1.60151E-4 3.24624E-4 4.34985E-4 5.14327E-4 5.74159E-4 6.24267E-4 6.44173E-4 4.01542E-4 5.14239E-4 5.73335E-4 6.45057E-4 7.00404E-4 7.50713E-4
5.36000E+2 6.37834E-4 7.71623E-4 8.50233E-4 1.71861E-4 3.33411E-4 4.41759E-4 5.19649E-4 5.78388E-4 6.28787E-4 6.48810E-4 4.07362E-4 5.20533E-4 5.79877E-4 6.52538E-4 7.08608E-4 7.59182E-4
5.37000E+2 6.46089E-4 7.80448E-4 8.59394E-4 1.73511E-4 3.36482E-4 4.45783E-4 5.24359E-4 5.83614E-4 6.33531E-4 6.53362E-4 4.13156E-4 5.27027E-4 5.86737E-4 6.59850E-4 7.16269E-4 7.67001E-4
5.38000E+2 6.53463E-4 7.87635E-4 8.66470E-4 1.70611E-4 3.37218E-4 4.48981E-4 5.29329E-4 5.89920E-4 6.37774E-4 6.56785E-4 4.18749E-4 5.33467E-4 5.93621E-4 6.66543E-4 7.22814E-4 7.73085E-4
5.39000E+2 6.58553E-4 7.93790E-4 8.73251E-4 1.73413E-4 3.41167E-4 4.53694E-4 5.34591E-4 5.95595E-4 6.42537E-4 6.61186E-4 4.23600E-4 5.39236E-4 5.99872E-4 6.72279E-4 7.28153E-4 7.78335E-4
5.40000E+2 6.65027E-4 8.01024E-4 8.80933E-4 1.84284E-4 3.49458E-4 4.60206E-4 5.39820E-4 5.99858E-4 6.49050E-4 6.68593E-4 4.27339E-4 5.44093E-4 6.05315E-4 6.77333E-4 7.32907E-4 7.83653E-4
5.41000E+2 6.71565E-4 8.08414E-4 8.88822E-4 1.86908E-4 3.53549E-4 4.65277E-4 5.45596E-4 6.06165E-4 6.55697E-4 6.75375E-4 4.30224E-4 5.48623E-4 6.10709E-4 6.82685E-4 7.38227E-4 7.88129E-4
5.42000E+2 6.77446E-4 8.14849E-4 8.95584E-4 1.84161E-4 3.54637E-4 4.68962E-4 5.51149E-4 6.13127E-4 6.62125E-4 6.81591E-4 4.33620E-4 5.53592E-4 6.16502E-4 6.88409E-4 7.43898E-4 7.93635E-4
5.43000E+2 6.84906E-4 8.20839E-4 9.00709E-4 1.84588E-4 3.57125E-4 4.72838E-4 5.56023E-4 6.18754E-4 6.68835E-4 6.88732E-4 4.37903E-4 5.59022E-4 6.22534E-4 6.94311E-4 7.49699E-4 8.00365E-4
5.44000E+2 6.92322E-4 8.27307E-4 9.06620E-4 1.81969E-4 3.58529E-4 4.76965E-4 5.62109E-4 6.26318E-4 6.75953E-4 6.95672E-4 4.42158E-4 5.64286E-4 6.28327E-4 7.00443E-4 7.56094E-4 8.05946E-4
5.45000E+2 6.99501E-4 8.34641E-4 9.14045E-4 1.80477E-4 3.60912E-4 4.81968E-4 5.68996E-4 6.34626E-4 6.83687E-4 7.03178E-4 4.47738E-4 5.70342E-4 6.34632E-4 7.07293E-4 7.63364E-4 8.12721E-4
5.46000E+2 7.08339E-4 8.42661E-4 9.21585E-4 1.84742E-4 3.66242E-4 4.88000E-4 5.75533E-4 6.41543E-4 6.91960E-4 7.11989E-4 4.54195E-4 5.77216E-4 6.41725E-4 7.14651E-4 7.70926E-4 8.21531E-4
5.47000E+2 7.17241E-4 8.51409E-4 9.30243E-4 1.85162E-4 3.69596E-4 4.93331E-4 5.82287E-4 6.49369E-4 6.99964E-4 7.20063E-4 4.59518E-4 5.83961E-4 6.49216E-4 7.21921E-4 7.78026E-4 8.30409E-4
5.48000E+2 7.25607E-4 8.60642E-4 9.39984E-4 1.84796E-4 3.72727E-4 4.98823E-4 5.89476E-4 6.57839E-4 7.08466E-4 7.28579E-4 4.65887E-4 5.91610E-4 6.57536E-4 7.30309E-4 7.86466E-4 8.38934E-4
5.49000E+2 7.34547E-4 8.69907E-4 9.49442E-4 1.90897E-4 3.79546E-4 5.06104E-4 5.97088E-4 6.65700E-4 7.18288E-4 7.39180E-4 4.73383E-4 5.99711E-4 6.65954E-4 7.39201E-4 7.95724E-4 8.46813E-4
5.50000E+2 7.43916E-4 8.79185E-4 9.58665E-4 1.95806E-4 3.86067E-4 5.13694E-4 6.05447E-4 6.74638E-4 7.27421E-4 7.48391E-4 4.79831E-4 6.06723E-4 6.73261E-4 7.46824E-4 8.03590E-4 8.54106E-4
5.51000E+2 7.53428E-4 8.89230E-4 9.69024E-4 1.96962E-4 3.90787E-4 5.20814E-4 6.14292E-4 6.84785E-4 7.36357E-4 7.56846E-4 4.86775E-4 6.14823E-4 6.81969E-4 7.55872E-4 8.12902E-4 8.63262E-4
5.52000E+2 7.63089E-4 9.00982E-4 9.82003E-4 1.97945E-4 3.95353E-4 5.27794E-4 6.23007E-4 6.94809E-4 7.47164E-4 7.67964E-4 4.94668E-4 6.24264E-4 6.92220E-4 7.66507E-4 8.23832E-4 8.74476E-4
5.53000E+2 7.73461E-4 9.13210E-4 9.95322E-4 2.00308E-4 4.00759E-4 5.35244E-4 6.31927E-4 7.04837E-4 7.58031E-4 7.79163E-4 5.02192E-4 6.32840E-4 7.01349E-4 7.75826E-4 8.33299E-4 8.85397E-4
5.54000E+2 7.84615E-4 9.24833E-4 1.00722E-3 2.05118E-4 4.07587E-4 5.43416E-4 6.41065E-4 7.14703E-4 7.67827E-4 7.88931E-4 5.10143E-4 6.41474E-4 7.10341E-4 7.85237E-4 8.43033E-4 8.96243E-4
5.55000E+2 7.95877E-4 9.35988E-4 1.01831E-3 2.13093E-4 4.15940E-4 5.51995E-4 6.49805E-4 7.23565E-4 7.77505E-4 7.98934E-4 5.18969E-4 6.51051E-4 7.20311E-4 7.95926E-4 8.54277E-4 9.07194E-4
5.56000E+2 8.07563E-4 9.48074E-4 1.03063E-3 2.20954E-4 4.24258E-4 5.60592E-4 6.58601E-4 7.32511E-4 7.87209E-4 8.08939E-4 5.27893E-4 6.61147E-4 7.31022E-4 8.07076E-4 8.65765E-4 9.17642E-4
5.57000E+2 8.19729E-4 9.61730E-4 1.04517E-3 2.26468E-4 4.31561E-4 5.69083E-4 6.67944E-4 7.42497E-4 7.96775E-4 8.18338E-4 5.37087E-4 6.71709E-4 7.42301E-4 8.18602E-4 8.77481E-4 9.29584E-4
5.58000E+2 8.31350E-4 9.75254E-4 1.05981E-3 2.33925E-4 4.39849E-4 5.77904E-4 6.77147E-4 7.51988E-4 8.06118E-4 8.27622E-4 5.46699E-4 6.82529E-4 7.53754E-4 8.30426E-4 8.89591E-4 9.43630E-4
5.59000E+2 8.44354E-4 9.88168E-4 1.07267E-3 2.46392E-4 4.50243E-4 5.86855E-4 6.85057E-4 7.59113E-4 8.13852E-4 8.35599E-4 5.56110E-4 6.92866E-4 7.64577E-4 8.41916E-4 9.01596E-4 9.55993E-4
5.60000E+2 8.60426E-4 1.00109E-3 1.08375E-3 2.64331E-4 4.62573E-4 5.95337E-4 6.90768E-4 7.62733E-4 8.18192E-4 8.40225E-4 5.65866E-4 7.03725E-4 7.76015E-4 8.53894E-4 9.13992E-4 9.67830E-4
5.61000E+2 8.74240E-4 1.01507E-3 1.09781E-3 2.84498E-4 4.75894E-4 6.03968E-4 6.96021E-4 7.65438E-4 8.21048E-4 8.43141E-4 5.76715E-4 7.16299E-4 7.89494E-4 8.67310E-4 9.27359E-4 9.82154E-4
5.62000E+2 8.85006E-4 1.02992E-3 1.11507E-3 3.04062E-4 4.89375E-4 6.13276E-4 7.02322E-4 7.69473E-4 8.24574E-4 8.46465E-4 5.87397E-4 7.28471E-4 8.02447E-4 8.80169E-4 9.40145E-4 9.96252E-4
5.63000E+2 8.97788E-4 1.04425E-3 1.13031E-3 3.23132E-4 5.02763E-4 6.22763E-4 7.08999E-4 7.74030E-4 8.28947E-4 8.50764E-4 5.97307E-4 7.39338E-4 8.13816E-4 8.91829E-4 9.52029E-4 1.00875E-3
5.64000E+2 9.11312E-4 1.05772E-3 1.14374E-3 3.37986E-4 5.13645E-4 6.30913E-4 7.15179E-4 7.78725E-4 8.33740E-4 8.55596E-4 6.07027E-4 7.50032E-4 8.25020E-4 9.03642E-4 9.64312E-4 1.02105E-3
