X GeCr200 GeCr300 GeCr400 OrCr200 OrCr300 OrCr400 OrCr500 OrCr600 OrCr700 OrCr750 OsCr200 OsCr300 OsCr400 OsCr500 OsCr600 OsCr700
4.93000E+2 3.77226E-2 8.01447E-2 1.25318E-1 0.00000E+0 1.28803E-2 5.51529E-2 1.03100E-1 1.54632E-1 2.01766E-1 2.25271E-1 2.29558E-2 4.82397E-2 7.39723E-2 1.17204E-1 1.63552E-1 2.12082E-1
4.94000E+2 3.91029E-2 8.20589E-2 1.27748E-1 0.00000E+0 1.35072E-2 5.66336E-2 1.05531E-1 1.58073E-1 2.05766E-1 2.29551E-1 2.39642E-2 5.01210E-2 7.67385E-2 1.20533E-1 1.67428E-1 2.16651E-1
4.95000E+2 4.03750E-2 8.44436E-2 1.31301E-1 0.00000E+0 1.42495E-2 5.80116E-2 1.07602E-1 1.60875E-1 2.09579E-1 2.33868E-1 2.49241E-2 5.19861E-2 7.95227E-2 1.24075E-1 1.71736E-1 2.21206E-1
4.96000E+2 4.17277E-2 8.69319E-2 1.34978E-1 0.00000E+0 1.55797E-2 5.96791E-2 1.09591E-1 1.63174E-1 2.11970E-1 2.36305E-1 2.59596E-2 5.39336E-2 8.23949E-2 1.28033E-1 1.76827E-1 2.27533E-1
4.97000E+2 4.33784E-2 8.94989E-2 1.38472E-1 0.00000E+0 1.75644E-2 6.17242E-2 1.11605E-1 1.65102E-1 2.14468E-1 2.39087E-1 2.71031E-2 5.60800E-2 8.55582E-2 1.32007E-1 1.81613E-1 2.34041E-1
4.98000E+2 4.50107E-2 9.20502E-2 1.41954E-1 0.00000E+0 1.90342E-2 6.35612E-2 1.13791E-1 1.67623E-1 2.17898E-1 2.42971E-1 2.81150E-2 5.81307E-2 8.86651E-2 1.35968E-1 1.86439E-1 2.39826E-1
4.99000E+2 4.63998E-2 9.48880E-2 1.46329E-1 0.00000E+0 2.02074E-2 6.52754E-2 1.16068E-1 1.70478E-1 2.21259E-1 2.46584E-1 2.97169E-2 6.05713E-2 9.19456E-2 1.40283E-1 1.91814E-1 2.45597E-1
5.00000E+2 4.81959E-2 9.67996E-2 1.48265E-1 0.00000E+0 2.14019E-2 6.70715E-2 1.18496E-1 1.73556E-1 2.25245E-1 2.51022E-1 3.13889E-2 6.30959E-2 9.53233E-2 1.44514E-1 1.96900E-1 2.52031E-1
5.01000E+2 4.91540E-2 9.83809E-2 1.50486E-1 0.00000E+0 2.26118E-2 6.92215E-2 1.21665E-1 1.77796E-1 2.30023E-1 2.56071E-1 3.15099E-2 6.44163E-2 9.78801E-2 1.47686E-1 2.00684E-1 2.57409E-1
5.02000E+2 4.99591E-2 1.00253E-1 1.53503E-1 0.00000E+0 2.37395E-2 7.12009E-2 1.24567E-1 1.81665E-1 2.35005E-1 2.61607E-1 3.26127E-2 6.58046E-2 9.95452E-2 1.50001E-1 2.03679E-1 2.61079E-1
5.03000E+2 5.06912E-2 1.01652E-1 1.55604E-1 0.00000E+0 2.39483E-2 7.25038E-2 1.27117E-1 1.85560E-1 2.39103E-1 2.65808E-1 3.31966E-2 6.70481E-2 1.01460E-1 1.52482E-1 2.06737E-1 2.64436E-1
5.04000E+2 5.19156E-2 1.03375E-1 1.57812E-1 0.00000E+0 2.41244E-2 7.35069E-2 1.29062E-1 1.88519E-1 2.41881E-1 2.68498E-1 3.33405E-2 6.81532E-2 1.03556E-1 1.55415E-1 2.10547E-1 2.68688E-1
5.05000E+2 5.33248E-2 1.05310E-1 1.60251E-1 0.00000E+0 2.50218E-2 7.49252E-2 1.31034E-1 1.91065E-1 2.44693E-1 2.71443E-1 3.48285E-2 7.00213E-2 1.05792E-1 1.58475E-1 2.14464E-1 2.73263E-1
5.06000E+2 5.44547E-2 1.07152E-1 1.62823E-1 0.00000E+0 2.61910E-2 7.66051E-2 1.33242E-1 1.93813E-1 2.48251E-1 2.75405E-1 3.63318E-2 7.21104E-2 1.08461E-1 1.61662E-1 2.18150E-1 2.78183E-1
5.07000E+2 5.55523E-2 1.09519E-1 1.66544E-1 0.00000E+0 2.72036E-2 7.80763E-2 1.35190E-1 1.96248E-1 2.51817E-1 2.79534E-1 3.74483E-2 7.40418E-2 1.11216E-1 1.64980E-1 2.22016E-1 2.84114E-1
5.08000E+2 5.69347E-2 1.12237E-1 1.70673E-1 0.00000E+0 2.85766E-2 8.00501E-2 1.37786E-1 1.99479E-1 2.55776E-1 2.83857E-1 3.88754E-2 7.62669E-2 1.14242E-1 1.69056E-1 2.27178E-1 2.90296E-1
5.09000E+2 5.86242E-2 1.14194E-1 1.72830E-1 0.00000E+0 3.09398E-2 8.26593E-2 1.40559E-1 2.02365E-1 2.59913E-1 2.88618E-1 3.96372E-2 7.84402E-2 1.17860E-1 1.73846E-1 2.33174E-1 2.95663E-1
5.10000E+2 5.98422E-2 1.16124E-1 1.75484E-1 0.00000E+0 3.20382E-2 8.42510E-2 1.42662E-1 2.04993E-1 2.63292E-1 2.92372E-1 3.93114E-2 7.96961E-2 1.20754E-1 1.77299E-1 2.37164E-1 3.01044E-1
5.11000E+2 6.10833E-2 1.17912E-1 1.77811E-1 0.00000E+0 3.26537E-2 8.54775E-2 1.44560E-1 2.07600E-1 2.66185E-1 2.95407E-1 4.00227E-2 8.11809E-2 1.23026E-1 1.80120E-1 2.40533E-1 3.05984E-1
5.12000E+2 6.21097E-2 1.19545E-1 1.80060E-1 0.00000E+0 3.43042E-2 8.74997E-2 1.46927E-1 2.10294E-1 2.68989E-1 2.98268E-1 4.12167E-2 8.29490E-2 1.25368E-1 1.83342E-1 2.44672E-1 3.09970E-1
5.13000E+2 6.33291E-2 1.21277E-1 1.82294E-1 0.00000E+0 3.57580E-2 8.94217E-2 1.49314E-1 2.13145E-1 2.71560E-1 3.00700E-1 4.22258E-2 8.46258E-2 1.27718E-1 1.86514E-1 2.48695E-1 3.13649E-1
5.14000E+2 6.51699E-2 1.23318E-1 1.84450E-1 0.00000E+0 3.64011E-2 9.06136E-2 1.51104E-1 2.15565E-1 2.74856E-1 3.04433E-1 4.31810E-2 8.63576E-2 1.30236E-1 1.89565E-1 2.52268E-1 3.18115E-1
5.15000E+2 6.59088E-2 1.25735E-1 1.88699E-1 0.00000E+0 3.74444E-2 9.20821E-2 1.53009E-1 2.17914E-1 2.78370E-1 3.08527E-1 4.41932E-2 8.81945E-2 1.32908E-1 1.92862E-1 2.56183E-1 3.23551E-1
5.16000E+2 6.68101E-2 1.27675E-1 1.91747E-1 0.00000E+0 4.03169E-2 9.50561E-2 1.55956E-1 2.20752E-1 2.82025E-1 3.12590E-1 4.51127E-2 8.97037E-2 1.35011E-1 1.95979E-1 2.60378E-1 3.28869E-1
5.17000E+2 6.82548E-2 1.29782E-1 1.94508E-1 0.00000E+0 4.34786E-2 9.84479E-2 1.59453E-1 2.24277E-1 2.85859E-1 3.16579E-1 4.62569E-2 9.15300E-2 1.37523E-1 1.99293E-1 2.64515E-1 3.33159E-1
5.18000E+2 6.96784E-2 1.31917E-1 1.97354E-1 0.00000E+0 4.43039E-2 1.00176E-1 1.62178E-1 2.28057E-1 2.89602E-1 3.20306E-1 4.74653E-2 9.34536E-2 1.40165E-1 2.02569E-1 2.68421E-1 3.37046E-1
5.19000E+2 7.08858E-2 1.33697E-1 1.99704E-1 6.47889E-5 4.58096E-2 1.02190E-1 1.64699E-1 2.31087E-1 2.93573E-1 3.24746E-1 4.84418E-2 9.51092E-2 1.42506E-1 2.05549E-1 2.72047E-1 3.41603E-1
5.20000E+2 7.22705E-2 1.35948E-1 2.02841E-1 1.34949E-3 4.75624E-2 1.04361E-1 1.67263E-1 2.34028E-1 2.97485E-1 3.29142E-1 4.91819E-2 9.65387E-2 1.44635E-1 2.08402E-1 2.75648E-1 3.46478E-1
5.21000E+2 7.34281E-2 1.37935E-1 2.05687E-1 1.87984E-3 4.86395E-2 1.06046E-1 1.69594E-1 2.37028E-1 3.01310E-1 3.33379E-1 5.00065E-2 9.80244E-2 1.46790E-1 2.11420E-1 2.79568E-1 3.50523E-1
5.22000E+2 7.47243E-2 1.39874E-1 2.08268E-1 2.17344E-3 4.95041E-2 1.07578E-1 1.71850E-1 2.40044E-1 3.05280E-1 3.37824E-1 5.11418E-2 9.96822E-2 1.48969E-1 2.14420E-1 2.83425E-1 3.55270E-1
5.23000E+2 7.61958E-2 1.42119E-1 2.11292E-1 2.94898E-3 5.10386E-2 1.09953E-1 1.75113E-1 2.44225E-1 3.09285E-1 3.41743E-1 5.21584E-2 1.01388E-1 1.51371E-1 2.17624E-1 2.87457E-1 3.60089E-1
5.24000E+2 7.75476E-2 1.44507E-1 2.14757E-1 4.83894E-3 5.35482E-2 1.12993E-1 1.78636E-1 2.48204E-1 3.13660E-1 3.46319E-1 5.29288E-2 1.03067E-1 1.53975E-1 2.20995E-1 2.91609E-1 3.64694E-1
5.25000E+2 7.92487E-2 1.46806E-1 2.17626E-1 7.02586E-3 5.62063E-2 1.15962E-1 1.81829E-1 2.51565E-1 3.18546E-1 3.51963E-1 5.37989E-2 1.04814E-1 1.56614E-1 2.24233E-1 2.95439E-1 3.69579E-1
5.26000E+2 8.08636E-2 1.49040E-1 2.20455E-1 8.48181E-3 5.81559E-2 1.18340E-1 1.84602E-1 2.54712E-1 3.23087E-1 3.57199E-1 5.49191E-2 1.06720E-1 1.59313E-1 2.27367E-1 2.98978E-1 3.74288E-1
5.27000E+2 8.22221E-2 1.51493E-1 2.24052E-1 9.76482E-3 5.98246E-2 1.20325E-1 1.86868E-1 2.57236E-1 3.25805E-1 3.60014E-1 5.59158E-2 1.08489E-1 1.61863E-1 2.30653E-1 3.03012E-1 3.79108E-1
5.28000E+2 8.36354E-2 1.54168E-1 2.28053E-1 1.07533E-2 6.13338E-2 1.22354E-1 1.89419E-1 2.60310E-1 3.28942E-1 3.63184E-1 5.67671E-2 1.10207E-1 1.64462E-1 2.34030E-1 3.07182E-1 3.83957E-1
5.29000E+2 8.53283E-2 1.56530E-1 2.31064E-1 1.25368E-2 6.36091E-2 1.25016E-1 1.92409E-1 2.63594E-1 3.32939E-1 3.67538E-1 5.77399E-2 1.12101E-1 1.67290E-1 2.37398E-1 3.11071E-1 3.88730E-1
5.30000E+2 8.70623E-2 1.59016E-1 2.34289E-1 1.61842E-2 6.73649E-2 1.28454E-1 1.95295E-1 2.65779E-1 3.36203E-1 3.71338E-1 5.89043E-2 1.14050E-1 1.70031E-1 2.40988E-1 3.15531E-1 3.93954E-1
5.31000E+2 8.86389E-2 1.61693E-1 2.38102E-1 1.94485E-2 7.07343E-2 1.31550E-1 1.97907E-1 2.67775E-1 3.39054E-1 3.74616E-1 5.99919E-2 1.15972E-1 1.72796E-1 2.44621E-1 3.20053E-1 3.99577E-1
5.32000E+2 9.00316E-2 1.64243E-1 2.41864E-1 2.18331E-2 7.32626E-2 1.33961E-1 2.00055E-1 2.69571E-1 3.41386E-1 3.77216E-1 6.09574E-2 1.17858E-1 1.75618E-1 2.48177E-1 3.24348E-1 4.05154E-1
5.33000E+2 9.13228E-2 1.66727E-1 2.45604E-1 2.34562E-2 7.50669E-2 1.35788E-1 2.01818E-1 2.71215E-1 3.43558E-1 3.79650E-1 6.19809E-2 1.19760E-1 1.78409E-1 2.51641E-1 3.28481E-1 4.10388E-1
5.34000E+2 9.28600E-2 1.69110E-1 2.48842E-1 2.41398E-2 7.61280E-2 1.37230E-1 2.03645E-1 2.73429E-1 3.46626E-1 3.83144E-1 6.31570E-2 1.21697E-1 1.81112E-1 2.54923E-1 3.32328E-1 4.15464E-1
5.35000E+2 9.44754E-2 1.71397E-1 2.51784E-1 2.56241E-2 7.79097E-2 1.39195E-1 2.05731E-1 2.75597E-1 3.49589E-1 3.86504E-1 6.42467E-2 1.23417E-1 1.83467E-1 2.58023E-1 3.36194E-1 4.20399E-1
5.36000E+2 9.56751E-2 1.73615E-1 2.55070E-1 2.74977E-2 8.00186E-2 1.41363E-1 2.07860E-1 2.77626E-1 3.52121E-1 3.89286E-1 6.51779E-2 1.24928E-1 1.85561E-1 2.61015E-1 3.40132E-1 4.25142E-1
5.37000E+2 9.69133E-2 1.75601E-1 2.57818E-1 2.77617E-2 8.07558E-2 1.42651E-1 2.09744E-1 2.80135E-1 3.54777E-1 3.92017E-1 6.61050E-2 1.26486E-1 1.87756E-1 2.63940E-1 3.43809E-1 4.29521E-1
5.38000E+2 9.80194E-2 1.77218E-1 2.59941E-1 2.72978E-2 8.09323E-2 1.43674E-1 2.11732E-1 2.83162E-1 3.57153E-1 3.94071E-1 6.69999E-2 1.28032E-1 1.89959E-1 2.66617E-1 3.46951E-1 4.32928E-1
5.39000E+2 9.87830E-2 1.78603E-1 2.61975E-1 2.77460E-2 8.18801E-2 1.45182E-1 2.13836E-1 2.85886E-1 3.59821E-1 3.96712E-1 6.77761E-2 1.29417E-1 1.91959E-1 2.68912E-1 3.49514E-1 4.35868E-1
5.40000E+2 9.97540E-2 1.80230E-1 2.64280E-1 2.94855E-2 8.38700E-2 1.47266E-1 2.15928E-1 2.87932E-1 3.63468E-1 4.01156E-1 6.83743E-2 1.30582E-1 1.93701E-1 2.70933E-1 3.51795E-1 4.38846E-1
5.41000E+2 1.00735E-1 1.81893E-1 2.66647E-1 2.99053E-2 8.48518E-2 1.48889E-1 2.18238E-1 2.90959E-1 3.67190E-1 4.05225E-1 6.88359E-2 1.31670E-1 1.95427E-1 2.73074E-1 3.54349E-1 4.41353E-1
5.42000E+2 1.01617E-1 1.83341E-1 2.68675E-1 2.94657E-2 8.51130E-2 1.50068E-1 2.20460E-1 2.94301E-1 3.70790E-1 4.08955E-1 6.93792E-2 1.32862E-1 1.97281E-1 2.75364E-1 3.57071E-1 4.44436E-1
5.43000E+2 1.02736E-1 1.84689E-1 2.70213E-1 2.95341E-2 8.57100E-2 1.51308E-1 2.22409E-1 2.97002E-1 3.74548E-1 4.13239E-1 7.00645E-2 1.34165E-1 1.99211E-1 2.77724E-1 3.59855E-1 4.48204E-1
5.44000E+2 1.03848E-1 1.86144E-1 2.71986E-1 2.91150E-2 8.60470E-2 1.52629E-1 2.24844E-1 3.00632E-1 3.78534E-1 4.17403E-1 7.07453E-2 1.35429E-1 2.01065E-1 2.80177E-1 3.62925E-1 4.51330E-1
5.45000E+2 1.04925E-1 1.87794E-1 2.74214E-1 2.88763E-2 8.66190E-2 1.54230E-1 2.27599E-1 3.04620E-1 3.82865E-1 4.21907E-1 7.16381E-2 1.36882E-1 2.03082E-1 2.82917E-1 3.66415E-1 4.55123E-1
5.46000E+2 1.06251E-1 1.89599E-1 2.76475E-1 2.95587E-2 8.78981E-2 1.56160E-1 2.30213E-1 3.07941E-1 3.87498E-1 4.27194E-1 7.26712E-2 1.38532E-1 2.05352E-1 2.85860E-1 3.70045E-1 4.60057E-1
5.47000E+2 1.07586E-1 1.91567E-1 2.79073E-1 2.96259E-2 8.87030E-2 1.57866E-1 2.32915E-1 3.11697E-1 3.91980E-1 4.32038E-1 7.35229E-2 1.40151E-1 2.07749E-1 2.88769E-1 3.73453E-1 4.65029E-1
5.48000E+2 1.08841E-1 1.93644E-1 2.81995E-1 2.95673E-2 8.94546E-2 1.59623E-1 2.35791E-1 3.15763E-1 3.96741E-1 4.37147E-1 7.45419E-2 1.41986E-1 2.10412E-1 2.92124E-1 3.77504E-1 4.69803E-1
5.49000E+2 1.10182E-1 1.95729E-1 2.84832E-1 3.05435E-2 9.10911E-2 1.61953E-1 2.38835E-1 3.19536E-1 4.02241E-1 4.43508E-1 7.57413E-2 1.43931E-1 2.13105E-1 2.95680E-1 3.81947E-1 4.74215E-1
5.50000E+2 1.11587E-1 1.97817E-1 2.87599E-1 3.13289E-2 9.26560E-2 1.64382E-1 2.42179E-1 3.23826E-1 4.07356E-1 4.49035E-1 7.67730E-2 1.45613E-1 2.15444E-1 2.98729E-1 3.85723E-1 4.78299E-1
5.51000E+2 1.13014E-1 2.00077E-1 2.90707E-1 3.15139E-2 9.37888E-2 1.66660E-1 2.45717E-1 3.28697E-1 4.12360E-1 4.54107E-1 7.78840E-2 1.47558E-1 2.18230E-1 3.02349E-1 3.90193E-1 4.83427E-1
5.52000E+2 1.14463E-1 2.02721E-1 2.94601E-1 3.16712E-2 9.48847E-2 1.68894E-1 2.49203E-1 3.33508E-1 4.18412E-1 4.60778E-1 7.91469E-2 1.49823E-1 2.21511E-1 3.06603E-1 3.95439E-1 4.89707E-1
5.53000E+2 1.16019E-1 2.05472E-1 2.98597E-1 3.20493E-2 9.61823E-2 1.71278E-1 2.52771E-1 3.38322E-1 4.24497E-1 4.67498E-1 8.03508E-2 1.51882E-1 2.24432E-1 3.10331E-1 3.99983E-1 4.95822E-1
5.54000E+2 1.17692E-1 2.08087E-1 3.02167E-1 3.28188E-2 9.78210E-2 1.73893E-1 2.56426E-1 3.43058E-1 4.29983E-1 4.73359E-1 8.16229E-2 1.53954E-1 2.27309E-1 3.14095E-1 4.04656E-1 5.01896E-1
5.55000E+2 1.19382E-1 2.10597E-1 3.05494E-1 3.40949E-2 9.98257E-2 1.76639E-1 2.59922E-1 3.47311E-1 4.35403E-1 4.79360E-1 8.30350E-2 1.56252E-1 2.30500E-1 3.18371E-1 4.10053E-1 5.08029E-1
5.56000E+2 1.21134E-1 2.13317E-1 3.09190E-1 3.53526E-2 1.01822E-1 1.79389E-1 2.63440E-1 3.51605E-1 4.40837E-1 4.85363E-1 8.44629E-2 1.58675E-1 2.33927E-1 3.22830E-1 4.15567E-1 5.13879E-1
5.57000E+2 1.22959E-1 2.16389E-1 3.13550E-1 3.62348E-2 1.03575E-1 1.82106E-1 2.67178E-1 3.56398E-1 4.46194E-1 4.91003E-1 8.59339E-2 1.61210E-1 2.37536E-1 3.27441E-1 4.21191E-1 5.20567E-1
5.58000E+2 1.24703E-1 2.19432E-1 3.17942E-1 3.74280E-2 1.05564E-1 1.84929E-1 2.70859E-1 3.60954E-1 4.51426E-1 4.96573E-1 8.74719E-2 1.63807E-1 2.41201E-1 3.32170E-1 4.27004E-1 5.28433E-1
5.59000E+2 1.26653E-1 2.22338E-1 3.21801E-1 3.94227E-2 1.08058E-1 1.87793E-1 2.74023E-1 3.64374E-1 4.55757E-1 5.01359E-1 8.89776E-2 1.66288E-1 2.44665E-1 3.36766E-1 4.32766E-1 5.35356E-1
5.60000E+2 1.29064E-1 2.25246E-1 3.25124E-1 4.22929E-2 1.11017E-1 1.90508E-1 2.76307E-1 3.66112E-1 4.58188E-1 5.04135E-1 9.05386E-2 1.68894E-1 2.48325E-1 3.41558E-1 4.38716E-1 5.41985E-1
5.61000E+2 1.31136E-1 2.28390E-1 3.29344E-1 4.55196E-2 1.14215E-1 1.93270E-1 2.78408E-1 3.67410E-1 4.59787E-1 5.05884E-1 9.22744E-2 1.71912E-1 2.52638E-1 3.46924E-1 4.45132E-1 5.50006E-1
5.62000E+2 1.32751E-1 2.31733E-1 3.34521E-1 4.86500E-2 1.17450E-1 1.96248E-1 2.80929E-1 3.69347E-1 4.61761E-1 5.07879E-1 9.39836E-2 1.74833E-1 2.56783E-1 3.52068E-1 4.51270E-1 5.57901E-1
5.63000E+2 1.34668E-1 2.34956E-1 3.39092E-1 5.17011E-2 1.20663E-1 1.99284E-1 2.83599E-1 3.71534E-1 4.64210E-1 5.10459E-1 9.55692E-2 1.77441E-1 2.60421E-1 3.56731E-1 4.56974E-1 5.64900E-1
5.64000E+2 1.36697E-1 2.37986E-1 3.43122E-1 5.40778E-2 1.23275E-1 2.01892E-1 2.86072E-1 3.73788E-1 4.66894E-1 5.13358E-1 9.71243E-2 1.80008E-1 2.64006E-1 3.61457E-1 4.62870E-1 5.71790E-1
