N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Vmp_Fe Jmp_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Vmp_FeB Jmp_FeB Jsc_e Eta_e Voc_e FF_e Vmp_e Jmp_e
4.642000E+10 1.000E+15 295 1.800E-4 3.587390E-1 2.790300E+1 4.922960E-1 7.899770E+1 4.135840E-1 3.373309E-1 3.611008E-1 2.847950E+1 4.913860E-1 8.025090E+1 4.184080E-1 3.403305E-1 6.5405560E-01 2.0242631E+00 -1.8519046E-01 1.5616024E+00 1.1529416E+00 8.8137854E-01
6.813000E+10 1.000E+15 295 1.800E-4 3.566642E-1 2.742600E+1 4.889640E-1 7.863130E+1 4.092090E-1 3.351090E-1 3.600807E-1 2.819180E+1 4.883700E-1 8.015740E+1 4.155370E-1 3.392207E-1 9.4881509E-01 2.7163927E+00 -1.2162909E-01 1.9038791E+00 1.5228487E+00 1.2121017E+00
1.000000E+11 1.000E+15 295 1.800E-4 3.536963E-1 2.682130E+1 4.840840E-1 7.832460E+1 4.038380E-1 3.320795E-1 3.586029E-1 2.781280E+1 4.844970E-1 8.004030E+1 4.118850E-1 3.376273E-1 1.3682544E+00 3.5649054E+00 8.5243046E-02 2.1435452E+00 1.9537007E+00 1.6431728E+00
1.468000E+11 1.000E+15 295 1.800E-4 3.494991E-1 2.607230E+1 4.773950E-1 7.813120E+1 3.976270E-1 3.278479E-1 3.564752E-1 2.732540E+1 4.798180E-1 7.987860E+1 4.073730E-1 3.353852E-1 1.9569664E+00 4.5858432E+00 5.0498314E-01 2.1875696E+00 2.3924020E+00 2.2473562E+00
2.154000E+11 1.000E+15 295 1.800E-4 3.436582E-1 2.516590E+1 4.689520E-1 7.807770E+1 3.907130E-1 3.220510E-1 3.534378E-1 2.671380E+1 4.740980E-1 7.971210E+1 4.020210E-1 3.322428E-1 2.7669932E+00 5.7943834E+00 1.0854296E+00 2.0503788E+00 2.8127884E+00 3.0675759E+00
3.162000E+11 1.000E+15 295 1.800E-4 3.357087E-1 2.408880E+1 4.594040E-1 7.809560E+1 3.832520E-1 3.142680E-1 3.491546E-1 2.596260E+1 4.676380E-1 7.950410E+1 3.959280E-1 3.278694E-1 3.8509875E+00 7.2173049E+00 1.7607637E+00 1.7716067E+00 3.2015922E+00 4.1484201E+00
4.642000E+11 1.000E+15 295 1.800E-4 3.252082E-1 2.283300E+1 4.495460E-1 7.809020E+1 3.754980E-1 3.040357E-1 3.432166E-1 2.505720E+1 4.605370E-1 7.926260E+1 3.892090E-1 3.218980E-1 5.2469490E+00 8.8764906E+00 2.3865618E+00 1.4791339E+00 3.5227860E+00 5.5490559E+00
6.813000E+11 1.000E+15 295 1.800E-4 3.118649E-1 2.140360E+1 4.398770E-1 7.801140E+1 3.676070E-1 2.911195E-1 3.351743E-1 2.398480E+1 4.528330E-1 7.901280E+1 3.820020E-1 3.139355E-1 6.9544115E+00 1.0761816E+01 2.8610989E+00 1.2673896E+00 3.7683049E+00 7.2677349E+00
1.000000E+12 1.000E+15 295 1.800E-4 2.956977E-1 1.982510E+1 4.305890E-1 7.785270E+1 3.597170E-1 2.755649E-1 3.246138E-1 2.273870E+1 4.448320E-1 7.873550E+1 3.745210E-1 3.035691E-1 8.9078468E+00 1.2813397E+01 3.2018830E+00 1.1212223E+00 3.9527824E+00 9.2249837E+00
1.468000E+12 1.000E+15 295 1.800E-4 2.771484E-1 1.814680E+1 4.217350E-1 7.762760E+1 3.519430E-1 2.578076E-1 3.112833E-1 2.132450E+1 4.367080E-1 7.843330E+1 3.668850E-1 2.906150E-1 1.0965863E+01 1.4901639E+01 3.4286068E+00 1.0272423E+00 4.0726658E+00 1.1288956E+01
2.154000E+12 1.000E+15 295 1.800E-4 2.570396E-1 1.643510E+1 4.133050E-1 7.735190E+1 3.443650E-1 2.386286E-1 2.952386E-1 1.976800E+1 4.286110E-1 7.810780E+1 3.592290E-1 2.751442E-1 1.2938349E+01 1.6860077E+01 3.5710703E+00 9.6776506E-01 4.1377506E+00 1.3271441E+01
3.162000E+12 1.000E+15 295 1.800E-4 2.363436E-1 1.475650E+1 4.052390E-1 7.703680E+1 3.369820E-1 2.189508E-1 2.769330E-1 1.811720E+1 4.206200E-1 7.776700E+1 3.516890E-1 2.575734E-1 1.4656758E+01 1.8549776E+01 3.6567448E+00 9.3895868E-01 4.1818197E+00 1.4994794E+01
4.642000E+12 1.000E+15 295 1.800E-4 2.158772E-1 1.315880E+1 3.974370E-1 7.668510E+1 3.297360E-1 1.995352E-1 2.571592E-1 1.643520E+1 4.127270E-1 7.742440E+1 3.442870E-1 2.386834E-1 1.6053091E+01 1.9935261E+01 3.7046280E+00 9.5486694E-01 4.2264158E+00 1.6401727E+01
6.813000E+12 1.000E+15 295 1.800E-4 1.961159E-1 1.166360E+1 3.897680E-1 7.629280E+1 3.225290E-1 1.808144E-1 2.368258E-1 1.478350E+1 4.050250E-1 7.706090E+1 3.370410E-1 2.193122E-1 1.7189808E+01 2.1103933E+01 3.7669280E+00 9.9674413E-01 4.3057076E+00 1.7553880E+01
1.000000E+13 1.000E+15 295 1.800E-4 1.772235E-1 1.027270E+1 3.819500E-1 7.588010E+1 3.152440E-1 1.629328E-1 2.166839E-1 1.320590E+1 3.974720E-1 7.666630E+1 3.298730E-1 2.001663E-1 1.8211044E+01 2.2211284E+01 3.9051807E+00 1.0254832E+00 4.4347370E+00 1.8601283E+01
1.468000E+13 1.000E+15 295 1.800E-4 1.592173E-1 8.980800E+0 3.739570E-1 7.541760E+1 3.077440E-1 1.459135E-1 1.971682E-1 1.172250E+1 3.899770E-1 7.622800E+1 3.226860E-1 1.816397E-1 1.9247982E+01 2.3388356E+01 4.1079346E+00 1.0631264E+00 4.6305077E+00 1.9668718E+01
2.154000E+13 1.000E+15 295 1.800E-4 1.421224E-1 7.785000E+0 3.657150E-1 7.488980E+1 2.999510E-1 1.297710E-1 1.784321E-1 1.033560E+1 3.822550E-1 7.576640E+1 3.153810E-1 1.638580E-1 2.0349309E+01 2.4677813E+01 4.3269545E+00 1.1569772E+00 4.8924951E+00 2.0802768E+01
3.162000E+13 1.000E+15 295 1.800E-4 1.260278E-1 6.687000E+0 3.571470E-1 7.428300E+1 2.917870E-1 1.145873E-1 1.605023E-1 9.041000E+0 3.743410E-1 7.523790E+1 3.078030E-1 1.468629E-1 2.1479131E+01 2.6036943E+01 4.5931383E+00 1.2691742E+00 5.2033281E+00 2.1976687E+01
4.642000E+13 1.000E+15 295 1.800E-4 1.110595E-1 5.690400E+0 3.481700E-1 7.358150E+1 2.831740E-1 1.004760E-1 1.434196E-1 7.837700E+0 3.661560E-1 7.462450E+1 2.998930E-1 1.306741E-1 2.2563234E+01 2.7397068E+01 4.9121140E+00 1.3976643E+00 5.5749884E+00 2.3109476E+01
6.813000E+13 1.000E+15 295 1.800E-4 9.733443E-2 4.797500E+0 3.386780E-1 7.276650E+1 2.740330E-1 8.753508E-2 1.272880E-1 6.728800E+0 3.576300E-1 7.390730E+1 2.915720E-1 1.153886E-1 2.3532124E+01 2.8701997E+01 5.2993317E+00 1.5435552E+00 6.0153238E+00 2.4138884E+01
1.000000E+14 1.000E+15 295 1.800E-4 8.492941E-2 4.007300E+0 3.285190E-1 7.181240E+1 2.641890E-1 7.584069E-2 1.122458E-1 5.719500E+0 3.486930E-1 7.306580E+1 2.827440E-1 1.011425E-1 2.4336225E+01 2.9936183E+01 5.7856051E+00 1.7154401E+00 6.5624735E+00 2.5016002E+01
1.000000E+10 1.000E+15 300 1.800E-4 3.637913E-1 2.806290E+1 4.853770E-1 7.946400E+1 4.103810E-1 3.419128E-1 3.643207E-1 2.822160E+1 4.849770E-1 7.986290E+1 4.117090E-1 3.427363E-1 1.4531153E-01 5.6233523E-01 -8.2478138E-02 4.9948099E-01 3.2255792E-01 2.4027219E-01
1.468000E+10 1.000E+15 300 1.800E-4 3.633287E-1 2.791740E+1 4.846460E-1 7.927210E+1 4.089750E-1 3.413096E-1 3.641032E-1 2.814340E+1 4.841180E-1 7.983060E+1 4.108690E-1 3.424849E-1 2.1271442E-01 8.0303020E-01 -1.0906432E-01 6.9960642E-01 4.6097418E-01 3.4316841E-01
2.154000E+10 1.000E+15 300 1.800E-4 3.626537E-1 2.771470E+1 4.835690E-1 7.901850E+1 4.069820E-1 3.404896E-1 3.637849E-1 2.803240E+1 4.829120E-1 7.978430E+1 4.096970E-1 3.421109E-1 3.1095298E-01 1.1333314E+00 -1.3604963E-01 9.5983796E-01 6.6268486E-01 4.7391065E-01
3.162000E+10 1.000E+15 300 1.800E-4 3.616712E-1 2.743820E+1 4.819820E-1 7.870100E+1 4.042870E-1 3.393401E-1 3.633196E-1 2.787730E+1 4.812480E-1 7.971900E+1 4.080570E-1 3.415853E-1 4.5370522E-01 1.5751167E+00 -1.5252011E-01 1.2769854E+00 9.2389053E-01 6.5728824E-01
4.642000E+10 1.000E+15 300 1.800E-4 3.602465E-1 2.706870E+1 4.796200E-1 7.833220E+1 4.007520E-1 3.377238E-1 3.626407E-1 2.766400E+1 4.789390E-1 7.963920E+1 4.058500E-1 3.408147E-1 6.6021271E-01 2.1518942E+00 -1.4218930E-01 1.6411516E+00 1.2561291E+00 9.0691511E-01
6.813000E+10 1.000E+15 300 1.800E-4 3.581924E-1 2.658880E+1 4.760480E-1 7.796530E+1 3.962210E-1 3.355301E-1 3.616530E-1 2.737680E+1 4.758430E-1 7.954180E+1 4.029200E-1 3.397288E-1 9.5688409E-01 2.8783496E+00 -4.3081437E-02 1.9819768E+00 1.6626129E+00 1.2358976E+00
1.000000E+11 1.000E+15 300 1.800E-4 3.552543E-1 2.598360E+1 4.710060E-1 7.764310E+1 3.907520E-1 3.324815E-1 3.602220E-1 2.699920E+1 4.719660E-1 7.940340E+1 3.991890E-1 3.381743E-1 1.3790662E+00 3.7615929E+00 2.0340448E-01 2.2169076E+00 2.1135352E+00 1.6833923E+00
1.468000E+11 1.000E+15 300 1.800E-4 3.510997E-1 2.523840E+1 4.640340E-1 7.745540E+1 3.843850E-1 3.282959E-1 3.581606E-1 2.651530E+1 4.670980E-1 7.924650E+1 3.946000E-1 3.359767E-1 1.9714340E+00 4.8157102E+00 6.5596513E-01 2.2601629E+00 2.5886974E+00 2.2861109E+00
2.154000E+11 1.000E+15 300 1.800E-4 3.453190E-1 2.434070E+1 4.553630E-1 7.739700E+1 3.773140E-1 3.225518E-1 3.552162E-1 2.591030E+1 4.613740E-1 7.904900E+1 3.891700E-1 3.328913E-1 2.7862468E+00 6.0578226E+00 1.3028476E+00 2.0898430E+00 3.0464835E+00 3.1059688E+00
3.162000E+11 1.000E+15 300 1.800E-4 3.374526E-1 2.328090E+1 4.456540E-1 7.740290E+1 3.697560E-1 3.148136E-1 3.510604E-1 2.517060E+1 4.547250E-1 7.883730E+1 3.829590E-1 3.286322E-1 3.8761991E+00 7.5075684E+00 1.9948320E+00 1.8194433E+00 3.4476276E+00 4.2048831E+00
4.642000E+11 1.000E+15 300 1.800E-4 3.270634E-1 2.205240E+1 4.356710E-1 7.738110E+1 3.618850E-1 3.046876E-1 3.452920E-1 2.428330E+1 4.474400E-1 7.858790E+1 3.761230E-1 3.228099E-1 5.2791840E+00 9.1869721E+00 2.6302968E+00 1.5356054E+00 3.7854638E+00 5.6139232E+00
6.813000E+11 1.000E+15 300 1.800E-4 3.138631E-1 2.066090E+1 4.258840E-1 7.728360E+1 3.538770E-1 2.919218E-1 3.374664E-1 2.323750E+1 4.396810E-1 7.830520E+1 3.688180E-1 3.150257E-1 6.9942667E+00 1.1088112E+01 3.1379568E+00 1.3046388E+00 4.0510496E+00 7.3339731E+00
1.000000E+12 1.000E+15 300 1.800E-4 2.978688E-1 1.913110E+1 4.164980E-1 7.710310E+1 3.458890E-1 2.765500E-1 3.271682E-1 2.202740E+1 4.315200E-1 7.801180E+1 3.612010E-1 3.049182E-1 8.9554547E+00 1.3148624E+01 3.4811828E+00 1.1648238E+00 4.2391909E+00 9.3035444E+00
1.468000E+12 1.000E+15 300 1.800E-4 2.795121E-1 1.751040E+1 4.075770E-1 7.685210E+1 3.380370E-1 2.590011E-1 3.141330E-1 2.065880E+1 4.232060E-1 7.769790E+1 3.534670E-1 2.922309E-1 1.1021096E+01 1.5239995E+01 3.6930006E+00 1.0885751E+00 4.3653297E+00 1.1371077E+01
2.154000E+12 1.000E+15 300 1.800E-4 2.595973E-1 1.586150E+1 3.991130E-1 7.654500E+1 3.304000E-1 2.400337E-1 2.983920E-1 1.915600E+1 4.149120E-1 7.736240E+1 3.457130E-1 2.770499E-1 1.3001253E+01 1.7198267E+01 3.8077954E+00 1.0565856E+00 4.4293966E+00 1.3360842E+01
3.162000E+12 1.000E+15 300 1.800E-4 2.390734E-1 1.424630E+1 3.909850E-1 7.620430E+1 3.229590E-1 2.205584E-1 2.803659E-1 1.756380E+1 4.067580E-1 7.700640E+1 3.380760E-1 2.597609E-1 1.4728075E+01 1.8888282E+01 3.8777357E+00 1.0416017E+00 4.4714798E+00 1.5091763E+01
4.642000E+12 1.000E+15 300 1.800E-4 2.187357E-1 1.270900E+1 3.830510E-1 7.584090E+1 3.156740E-1 2.012991E-1 2.608175E-1 1.594160E+1 3.988180E-1 7.662840E+1 3.305760E-1 2.411177E-1 1.6134577E+01 2.0277764E+01 3.9534324E+00 1.0276869E+00 4.5078893E+00 1.6514175E+01
6.813000E+12 1.000E+15 300 1.800E-4 1.990460E-1 1.126900E+1 3.752230E-1 7.544140E+1 3.084080E-1 1.826952E-1 2.406388E-1 1.434750E+1 3.910360E-1 7.623670E+1 3.232520E-1 2.219247E-1 1.7284328E+01 2.1456700E+01 4.0438732E+00 1.0431984E+00 4.5920830E+00 1.7676942E+01
1.000000E+13 1.000E+15 300 1.800E-4 1.801628E-1 9.927300E+0 3.673640E-1 7.499620E+1 3.010640E-1 1.648698E-1 2.205791E-1 1.282360E+1 3.833210E-1 7.583210E+1 3.160250E-1 2.028890E-1 1.8322815E+01 2.2585701E+01 4.1628296E+00 1.1023036E+00 4.7341191E+00 1.8738916E+01
1.468000E+13 1.000E+15 300 1.800E-4 1.621062E-1 8.679000E+0 3.593490E-1 7.449420E+1 2.935060E-1 1.478503E-1 2.010804E-1 1.138890E+1 3.756480E-1 7.538780E+1 3.087790E-1 1.844181E-1 1.9382396E+01 2.3794221E+01 4.3389024E+00 1.1853377E+00 4.9462561E+00 1.9828748E+01
2.154000E+13 1.000E+15 300 1.800E-4 1.449087E-1 7.521800E+0 3.510100E-1 7.393960E+1 2.856740E-1 1.316499E-1 1.823035E-1 1.004560E+1 3.679030E-1 7.488840E+1 3.013960E-1 1.666499E-1 2.0512387E+01 2.5123437E+01 4.5916994E+00 1.2669519E+00 5.2163931E+00 2.1002113E+01
3.162000E+13 1.000E+15 300 1.800E-4 1.286692E-1 6.457800E+0 3.422940E-1 7.331220E+1 2.774510E-1 1.163762E-1 1.642789E-1 8.789900E+0 3.599760E-1 7.431830E+1 2.937790E-1 1.495994E-1 2.1676369E+01 2.6531587E+01 4.9119941E+00 1.3537715E+00 5.5579194E+00 2.2208110E+01
4.642000E+13 1.000E+15 300 1.800E-4 1.135256E-1 5.490900E+0 3.331650E-1 7.258760E+1 2.687790E-1 1.021457E-1 1.470504E-1 7.620900E+0 3.516540E-1 7.368700E+1 2.858300E-1 1.333107E-1 2.2798170E+01 2.7949455E+01 5.2577249E+00 1.4919864E+00 5.9654340E+00 2.3377718E+01
6.813000E+13 1.000E+15 300 1.800E-4 9.960575E-2 4.624000E+0 3.235240E-1 7.174510E+1 2.595800E-1 8.906605E-2 1.307272E-1 6.541700E+0 3.429780E-1 7.295090E+1 2.774510E-1 1.178897E-1 2.3806408E+01 2.9315010E+01 5.6720839E+00 1.6528926E+00 6.4411374E+00 2.4449676E+01
1.000000E+14 1.000E+15 300 1.800E-4 8.699642E-2 3.856400E+0 3.132300E-1 7.075990E+1 2.496780E-1 7.722765E-2 1.154571E-1 5.557900E+0 3.338840E-1 7.208820E+1 2.685640E-1 1.034742E-1 2.4650437E+01 3.0614081E+01 6.1859808E+00 1.8426039E+00 7.0322158E+00 2.5365308E+01
1.000000E+10 1.000E+15 305 1.800E-4 3.651501E-1 2.722750E+1 4.729570E-1 7.882860E+1 3.978610E-1 3.421724E-1 3.656837E-1 2.739030E+1 4.726020E-1 7.924350E+1 3.992480E-1 3.430226E-1 1.4591845E-01 5.9437100E-01 -7.5116060E-02 5.2357607E-01 3.4740312E-01 2.4785539E-01
1.468000E+10 1.000E+15 305 1.800E-4 3.646926E-1 2.707950E+1 4.721950E-1 7.862530E+1 3.963960E-1 3.415705E-1 3.654706E-1 2.731090E+1 4.717330E-1 7.920560E+1 3.983690E-1 3.427831E-1 2.1287622E-01 8.4728076E-01 -9.7936757E-02 7.3265022E-01 4.9526946E-01 3.5375140E-01
2.154000E+10 1.000E+15 305 1.800E-4 3.640249E-1 2.687410E+1 4.710710E-1 7.835860E+1 3.943460E-1 3.407428E-1 3.651587E-1 2.719850E+1 4.705110E-1 7.915210E+1 3.971580E-1 3.424128E-1 3.1049514E-01 1.1927128E+00 -1.1901953E-01 1.0025002E+00 7.0803056E-01 4.8771541E-01
