fname time Tem kT_1 Io Et Ud Iph dev 
64RV 64rv.dat 300 38.65 6.212E-004 1.366E-003 1.308E-015 0.000E+000 1.487E-002 
65RV 65rv.dat 300 38.65 2.953E-003 1.702E-003 7.566E-001 0.000E+000 1.495E-002 
66RV 66rv.dat 300 38.65 5.752E-004 1.354E-003 3.732E-016 0.000E+000 1.121E-002 
67RV 67rv.dat 300 38.65 6.275E-004 1.381E-003 5.129E-002 0.000E+000 1.782E-002 
68RV 68rv.dat 300 38.65 2.262E-003 1.654E-003 6.635E-001 0.000E+000 1.057E-002 
69RV 69rv.dat 300 38.65 5.813E-004 1.362E-003 3.828E-015 0.000E+000 1.166E-002 
70RV 70rv.dat 300 38.65 6.639E-004 1.388E-003 1.912E-015 0.000E+000 2.357E-002 
71RV 71rv.dat 300 38.65 1.290E-003 1.534E-003 3.849E-001 0.000E+000 9.212E-003 
72RV 72rv.dat 300 38.65 5.335E-004 1.360E-003 4.389E-016 0.000E+000 8.906E-003 
73RV 73rv.dat 300 38.65 9.487E-004 1.477E-003 2.402E-001 0.000E+000 1.296E-002 
74RV 74rv.dat 300 38.65 5.174E-003 1.826E-003 1.015E+000 0.000E+000 1.248E-002 
75RV 75rv.dat 300 38.65 1.694E-003 1.594E-003 4.779E-001 0.000E+000 1.009E-002 
76RV 76rv.dat 300 38.65 8.891E-004 1.461E-003 2.097E-001 0.000E+000 6.105E-003 
77RV 77rv.dat 300 38.65 1.207E-003 1.525E-003 3.919E-001 0.000E+000 7.218E-003 
78RV 78rv.dat 300 38.65 5.492E-004 1.358E-003 1.669E-013 0.000E+000 1.307E-002 
79RV 79rv.dat 300 38.65 1.228E-003 1.521E-003 3.488E-001 0.000E+000 1.767E-002 
80RV 80rv.dat 300 38.65 2.803E-003 1.682E-003 6.833E-001 0.000E+000 1.705E-002 
81RV 81rv.dat 300 38.65 2.222E-003 1.639E-003 5.599E-001 0.000E+000 1.817E-002 
82RV 82rv.dat 300 38.65 5.561E-004 1.367E-003 2.044E-002 0.000E+000 1.549E-002 
83RV 83rv.dat 300 38.65 2.391E-003 1.660E-003 6.180E-001 0.000E+000 1.084E-002 
84RV 84rv.dat 300 38.65 1.106E-003 1.507E-003 3.203E-001 0.000E+000 9.850E-003 
85RV 85rv.dat 300 38.65 5.266E-004 1.353E-003 8.728E-016 0.000E+000 1.274E-002 
86RV 86rv.dat 300 38.65 2.352E-003 1.662E-003 6.475E-001 0.000E+000 1.355E-002 
87RV 87rv.dat 300 38.65 8.670E-004 1.463E-003 2.667E-001 0.000E+000 6.984E-003 
88RV 88rv.dat 300 38.65 8.001E-004 1.440E-003 1.525E-001 0.000E+000 1.204E-002 
89RV 89rv.dat 300 38.65 1.743E-003 1.605E-003 5.289E-001 0.000E+000 1.100E-002 
90RV 90rv.dat 300 38.65 1.828E-003 1.608E-003 5.155E-001 0.000E+000 4.636E-003 
91RV 91rv.dat 300 38.65 2.354E-003 1.667E-003 6.887E-001 0.000E+000 7.913E-003 
92RV 92rv.dat 300 38.65 1.060E-003 1.492E-003 2.485E-001 0.000E+000 1.202E-002 
93RV 93rv.dat 300 38.65 3.712E-003 1.750E-003 8.154E-001 0.000E+000 1.441E-002 
94RV 94rv.dat 300 38.65 1.532E-003 1.579E-003 5.047E-001 0.000E+000 1.533E-002 
95RV 95rv.dat 300 38.65 6.203E-004 1.387E-003 1.697E-002 0.000E+000 8.483E-003 
96RV 96rv.dat 300 38.65 2.936E-003 1.703E-003 6.724E-001 0.000E+000 1.692E-002 
97RV 97rv.dat 300 38.65 6.288E-004 1.394E-003 4.977E-002 0.000E+000 1.111E-002 
98RV 98rv.dat 300 38.65 7.554E-004 1.441E-003 2.176E-001 0.000E+000 1.139E-002 
99RV 99rv.dat 300 38.65 2.027E-003 1.634E-003 5.717E-001 0.000E+000 1.476E-002 
