N_B;T;d;Jsc_e;Eta_e;Voc_e;FF_e;N_Fe;All_var_AM(4);All_var_AM(3);All_var_AM(2);All_var_AM(1)
1.57E+01;303;2.00E-04;-1.11E-01;-9.47E-01;-1.98E+00;1.13E+00;1.13E+01;11.4727478;11.51177788;11.35666847;11.39670086
1.57E+01;303;2.00E-04;-1.26E-01;-1.08E+00;-2.36E+00;1.37E+00;1.14E+01;11.44001389;11.53442001;11.33100224;11.36406136
1.57E+01;303;2.00E-04;-1.37E-01;-1.13E+00;-2.75E+00;1.71E+00;1.15E+01;11.56652546;11.64735031;11.38182163;11.49803352
1.57E+01;303;2.00E-04;-1.38E-01;-1.09E+00;-3.16E+00;2.14E+00;1.16E+01;11.77170181;11.83009052;11.34886551;11.54375553
1.57E+01;303;2.00E-04;-1.25E-01;-1.07E+00;-3.53E+00;2.50E+00;1.17E+01;11.87875652;11.83792686;11.32878399;11.35037041
1.57E+01;303;2.00E-04;-9.22E-02;-9.49E-01;-3.84E+00;2.87E+00;1.18E+01;11.92401218;11.90167904;11.35186291;11.05405331
1.57E+01;303;2.00E-04;-3.69E-02;-7.31E-01;-4.04E+00;3.22E+00;1.20E+01;11.9812603;11.99201393;11.4724741;10.67180061
1.57E+01;303;2.00E-04;4.14E-02;-5.63E-01;-4.03E+00;3.29E+00;1.21E+01;12.03725815;12.10851479;11.94986248;12.60569763
1.57E+01;303;2.00E-04;1.38E-01;-2.81E-01;-3.77E+00;3.23E+00;1.22E+01;12.11226559;12.26776505;12.22162342;12.79341888
1.57E+01;303;2.00E-04;2.46E-01;-4.37E-02;-3.21E+00;2.83E+00;1.23E+01;12.14151287;12.24276161;12.54967117;13.15955353
1.57E+01;303;2.00E-04;3.55E-01;1.70E-01;-2.49E+00;2.25E+00;1.24E+01;12.19751453;12.25826645;13.172122;13.30223942
1.57E+01;303;2.00E-04;4.58E-01;3.71E-01;-1.89E+00;1.77E+00;1.25E+01;12.34251785;12.39076519;13.35976028;13.69608212
1.57E+01;303;2.00E-04;5.54E-01;5.43E-01;-1.48E+00;1.45E+00;1.26E+01;12.49700546;12.52999973;13.53950977;13.7982254
1.57E+01;303;2.00E-04;6.42E-01;6.93E-01;-1.21E+00;1.24E+00;1.28E+01;12.63374615;12.67773628;13.60558319;13.95561886
1.57E+01;303;2.00E-04;7.26E-01;8.35E-01;-1.03E+00;1.13E+00;1.29E+01;12.76298809;12.78398705;13.70491123;13.95119858
1.57E+01;303;2.00E-04;8.08E-01;9.70E-01;-8.65E-01;1.02E+00;1.30E+01;12.89948654;12.92423344;13.7474556;13.93165493
1.57E+01;303;2.00E-04;8.91E-01;1.10E+00;-7.20E-01;9.27E-01;1.31E+01;13.01422691;13.01423264;13.77859879;13.87819576
1.57E+01;303;2.00E-04;9.75E-01;1.24E+00;-5.91E-01;8.53E-01;1.32E+01;13.14473629;13.16374302;13.83070374;13.88425922
1.57E+01;303;2.00E-04;1.06E+00;1.38E+00;-4.55E-01;7.71E-01;1.33E+01;13.25972843;13.28472424;13.81907463;13.87378788
1.57E+01;303;2.00E-04;1.15E+00;1.51E+00;-3.42E-01;7.10E-01;1.34E+01;13.36246395;13.39696312;13.91024494;13.94484138
1.57E+01;303;2.00E-04;1.24E+00;1.66E+00;-2.23E-01;6.51E-01;1.36E+01;13.47896767;13.52446556;13.91421127;13.91554165
1.57E+01;303;2.00E-04;1.33E+00;1.81E+00;-1.11E-01;5.95E-01;1.37E+01;13.57448387;13.67399979;13.93886757;13.95956898
1.57E+01;303;2.00E-04;1.42E+00;1.96E+00;-9.69E-03;5.55E-01;1.38E+01;13.64824295;13.71924686;13.9753809;13.87141323
1.57E+01;303;2.00E-04;1.51E+00;2.17E+00;9.33E-02;5.77E-01;1.39E+01;13.73224545;13.85073757;13.91606426;13.90466785
1.57E+01;308;2.00E-04;-1.60E-03;-1.08E-01;-2.02E-01;9.50E-02;1.01E+01;10.17225647;10.17050171;10.24571037;10.67346573
1.57E+01;308;2.00E-04;-2.98E-03;-1.39E-01;-2.60E-01;1.23E-01;1.02E+01;10.26777267;10.28428078;10.31642628;10.51027107
1.57E+01;308;2.00E-04;-4.71E-03;-1.79E-01;-3.34E-01;1.59E-01;1.03E+01;10.33702183;10.36776257;10.44439125;10.46779251
1.57E+01;308;2.00E-04;-6.83E-03;-2.28E-01;-4.28E-01;2.06E-01;1.05E+01;10.62947655;10.66647243;10.77716351;10.46097374
1.57E+01;308;2.00E-04;-9.41E-03;-3.28E-01;-5.45E-01;2.25E-01;1.06E+01;10.65172195;10.75448227;11.1925354;10.45350361
1.57E+01;308;2.00E-04;-1.24E-02;-4.00E-01;-6.91E-01;3.01E-01;1.07E+01;10.77874374;10.78576565;11.34992123;10.46338367
1.57E+01;308;2.00E-04;-1.59E-02;-4.81E-01;-8.69E-01;4.00E-01;1.08E+01;10.84102535;11.14201736;11.69872665;10.4739399
1.57E+01;308;2.00E-04;-1.94E-02;-5.34E-01;-1.08E+00;5.64E-01;1.09E+01;10.95828056;11.15002441;11.7055006;10.48399162
1.57E+01;308;2.00E-04;-2.28E-02;-6.25E-01;-1.34E+00;7.28E-01;1.10E+01;11.11026955;11.299757;11.66628265;10.65635777
1.57E+01;308;2.00E-04;-2.50E-02;-7.15E-01;-1.65E+00;9.41E-01;1.11E+01;11.41048431;11.37398434;11.55105305;10.67125416
1.57E+01;308;2.00E-04;-2.49E-02;-7.95E-01;-2.00E+00;1.20E+00;1.13E+01;11.43549633;11.44349957;11.505826;10.67171955
1.57E+01;308;2.00E-04;-2.02E-02;-8.96E-01;-2.37E+00;1.46E+00;1.14E+01;11.49501228;11.57491779;11.53381348;10.49430275
1.57E+01;308;2.00E-04;-8.01E-03;-9.04E-01;-2.77E+00;1.82E+00;1.15E+01;11.58128071;11.66352654;11.5074358;10.45661354
1.57E+01;308;2.00E-04;1.54E-02;-8.27E-01;-3.18E+00;2.27E+00;1.16E+01;11.77670479;11.84125614;11.51001358;11.515378
1.57E+01;308;2.00E-04;5.44E-02;-7.74E-01;-3.56E+00;2.64E+00;1.17E+01;11.90850067;11.92400551;11.58957481;11.98960972
1.57E+01;308;2.00E-04;1.13E-01;-5.78E-01;-3.86E+00;3.05E+00;1.18E+01;11.95550346;11.98550415;11.88323307;12.25374794
1.57E+01;308;2.00E-04;1.92E-01;-3.65E-01;-4.04E+00;3.34E+00;1.20E+01;11.98875809;12.04226112;12.02305126;12.3570776
1.57E+01;308;2.00E-04;2.90E-01;-1.36E-01;-4.00E+00;3.43E+00;1.21E+01;12.0267601;12.07776451;12.15480709;12.50493526
1.57E+01;308;2.00E-04;4.03E-01;1.27E-01;-3.69E+00;3.29E+00;1.22E+01;12.06975651;12.1125145;12.50374794;12.71630383
1.57E+01;308;2.00E-04;5.22E-01;3.26E-01;-3.08E+00;2.80E+00;1.23E+01;12.12576199;12.16151714;12.65188408;12.97846413
1.57E+01;308;2.00E-04;6.39E-01;5.95E-01;-2.34E+00;2.25E+00;1.24E+01;12.26226616;12.28401566;12.91509247;13.20288563
1.57E+01;308;2.00E-04;7.49E-01;7.99E-01;-1.76E+00;1.78E+00;1.25E+01;12.48050022;12.47674847;13.16769791;13.2989378
1.57E+01;308;2.00E-04;8.50E-01;9.71E-01;-1.36E+00;1.46E+00;1.26E+01;12.63724995;12.59398746;13.36231518;13.49521637
1.57E+01;308;2.00E-04;9.45E-01;1.13E+00;-1.10E+00;1.27E+00;1.28E+01;12.75174618;12.71623135;13.623456;13.6850214
1.57E+01;308;2.00E-04;1.04E+00;1.29E+00;-9.11E-01;1.15E+00;1.29E+01;12.91148567;12.84172726;13.74139118;13.77662373
1.57E+01;308;2.00E-04;1.13E+00;1.43E+00;-7.38E-01;1.04E+00;1.30E+01;12.98149586;12.95923901;13.80279732;13.93427086
1.57E+01;308;2.00E-04;1.22E+00;1.58E+00;-6.03E-01;9.57E-01;1.31E+01;13.11323357;13.10224438;13.89675999;13.9184618
1.57E+01;308;2.00E-04;1.32E+00;1.78E+00;-4.59E-01;9.21E-01;1.32E+01;13.22122765;13.24673271;13.90583897;13.90171719
1.57E+01;308;2.00E-04;1.42E+00;1.89E+00;-3.24E-01;7.93E-01;1.33E+01;13.36096573;13.3509655;13.94072056;13.88652897
1.57E+01;308;2.00E-04;1.53E+00;2.05E+00;-2.06E-01;7.34E-01;1.34E+01;13.53573608;13.52998734;13.93653202;13.91838837
1.57E+01;308;2.00E-04;1.63E+00;2.22E+00;-8.51E-02;6.77E-01;1.36E+01;13.56298733;13.5952425;13.93304729;13.91002369
1.57E+01;308;2.00E-04;1.74E+00;2.38E+00;2.61E-02;6.23E-01;1.37E+01;13.67899323;13.73650932;13.87792683;13.89583874
1.57E+01;308;2.00E-04;1.85E+00;2.61E+00;1.32E-01;6.41E-01;1.38E+01;13.72573662;13.83973312;13.92769432;13.98724556
1.57E+01;308;2.00E-04;1.96E+00;2.74E+00;2.45E-01;5.49E-01;1.39E+01;13.82550335;13.90747929;13.82953358;13.87496948
1.57E+01;313;2.00E-04;4.84E-03;-1.00E-01;-2.05E-01;1.00E-01;1.01E+01;10.1750021;10.16675091;10.20823956;10.84166718
1.57E+01;313;2.00E-04;4.82E-03;-1.30E-01;-2.65E-01;1.30E-01;1.02E+01;10.2830286;10.29853344;10.31534004;10.84166718
1.57E+01;313;2.00E-04;4.82E-03;-1.67E-01;-3.40E-01;1.68E-01;1.03E+01;10.36601162;10.41124916;10.41418934;10.84166718
1.57E+01;313;2.00E-04;4.90E-03;-2.53E-01;-4.36E-01;1.77E-01;1.05E+01;10.56973648;10.7679739;10.80369568;10.85097694
1.57E+01;313;2.00E-04;5.18E-03;-3.10E-01;-5.56E-01;2.40E-01;1.06E+01;10.64722347;10.73773575;10.99753189;10.86265182
1.57E+01;313;2.00E-04;5.78E-03;-3.74E-01;-7.04E-01;3.22E-01;1.07E+01;10.72249222;10.77026367;11.08389664;10.86772919
1.57E+01;313;2.00E-04;6.96E-03;-4.10E-01;-8.86E-01;4.65E-01;1.08E+01;10.83902359;10.93327713;11.24986935;10.89032459
1.57E+01;313;2.00E-04;9.09E-03;-4.89E-01;-1.11E+00;6.02E-01;1.09E+01;10.97228241;11.09902573;11.60013866;10.9591856
1.57E+01;313;2.00E-04;1.29E-02;-5.69E-01;-1.37E+00;7.75E-01;1.10E+01;11.08401585;11.16100693;11.64465046;11.21190357
1.57E+01;313;2.00E-04;1.94E-02;-6.46E-01;-1.68E+00;1.00E+00;1.11E+01;11.27373314;11.28023243;11.58977032;11.3008194
1.57E+01;313;2.00E-04;3.00E-02;-7.53E-01;-2.04E+00;1.23E+00;1.13E+01;11.31024265;11.39349651;11.5691309;11.33476353
1.57E+01;313;2.00E-04;4.69E-02;-7.87E-01;-2.43E+00;1.55E+00;1.14E+01;11.43351555;11.57152462;11.48736572;11.71308231
1.57E+01;313;2.00E-04;7.30E-02;-7.40E-01;-2.83E+00;1.97E+00;1.15E+01;11.62828159;11.6997776;11.57460022;11.83683872
1.57E+01;313;2.00E-04;1.12E-01;-6.70E-01;-3.25E+00;2.39E+00;1.16E+01;11.78876114;11.82475567;11.63840771;12.0171957
1.57E+01;313;2.00E-04;1.66E-01;-5.90E-01;-3.63E+00;2.77E+00;1.17E+01;11.89725018;11.91725159;11.75507545;12.1106472
1.57E+01;313;2.00E-04;2.40E-01;-3.68E-01;-3.93E+00;3.20E+00;1.18E+01;11.93300629;11.96625042;11.89771366;12.21475601
1.57E+01;313;2.00E-04;3.33E-01;-1.85E-01;-4.08E+00;3.42E+00;1.20E+01;11.94176674;11.97126293;11.97349262;12.33525085
1.57E+01;313;2.00E-04;4.44E-01;1.09E-01;-4.01E+00;3.53E+00;1.21E+01;12.02826023;12.07401657;12.30510807;12.51090908
1.57E+01;313;2.00E-04;5.65E-01;3.76E-01;-3.65E+00;3.34E+00;1.22E+01;12.06175137;12.12775993;12.50119114;12.70652199
1.57E+01;313;2.00E-04;6.90E-01;6.19E-01;-2.99E+00;2.84E+00;1.23E+01;12.12950897;12.16076469;12.74717999;12.85289288
1.57E+01;313;2.00E-04;8.10E-01;8.51E-01;-2.25E+00;2.25E+00;1.24E+01;12.31301594;12.31701374;13.06836414;13.18735313
1.57E+01;313;2.00E-04;9.22E-01;1.05E+00;-1.67E+00;1.78E+00;1.25E+01;12.48349667;12.46450424;13.29513264;13.29648018
1.57E+01;313;2.00E-04;1.03E+00;1.23E+00;-1.28E+00;1.46E+00;1.26E+01;12.66375065;12.58999348;13.34976482;13.47938919
1.57E+01;313;2.00E-04;1.12E+00;1.39E+00;-1.03E+00;1.29E+00;1.28E+01;12.73949909;12.71948147;13.58368015;13.7386961
1.57E+01;313;2.00E-04;1.22E+00;1.55E+00;-8.33E-01;1.16E+00;1.29E+01;12.85998249;12.81872177;13.73230934;13.78750896
1.57E+01;313;2.00E-04;1.31E+00;1.70E+00;-6.67E-01;1.05E+00;1.30E+01;12.96074486;12.96100616;13.77210331;13.79086685
1.57E+01;313;2.00E-04;1.42E+00;1.86E+00;-5.25E-01;9.69E-01;1.31E+01;13.13073921;13.15549469;13.90141582;13.88306236
1.57E+01;313;2.00E-04;1.52E+00;2.02E+00;-3.78E-01;8.81E-01;1.32E+01;13.21123791;13.24648285;13.94839668;13.91352654
1.57E+01;313;2.00E-04;1.63E+00;2.18E+00;-2.51E-01;8.12E-01;1.33E+01;13.34547329;13.3794651;13.92281246;13.90585899
1.57E+01;313;2.00E-04;1.74E+00;2.41E+00;-1.23E-01;7.99E-01;1.34E+01;13.46848297;13.51273537;13.88141632;13.89097691
1.57E+01;313;2.00E-04;1.86E+00;2.53E+00;-8.17E-04;6.87E-01;1.36E+01;13.53648663;13.58423996;13.97933388;13.98933887
1.57E+01;313;2.00E-04;1.97E+00;2.71E+00;1.10E-01;6.45E-01;1.37E+01;13.70748329;13.77297783;13.85674286;13.88310909
1.57E+01;313;2.00E-04;2.09E+00;2.90E+00;2.20E-01;6.09E-01;1.38E+01;13.77648544;13.87448215;13.87582684;13.86317921
1.57E+01;313;2.00E-04;2.21E+00;3.09E+00;3.30E-01;5.72E-01;1.39E+01;13.81999588;13.86673355;13.89490604;13.93621349
1.57E+01;318;2.00E-04;1.27E-02;-8.65E-02;-2.05E-01;1.06E-01;1.01E+01;10.17150402;10.16524982;10.19645882;10.89404488
1.57E+01;318;2.00E-04;1.45E-02;-1.52E-01;-2.65E-01;9.74E-02;1.02E+01;10.2587719;10.29678154;10.42371178;10.92149067
1.57E+01;318;2.00E-04;1.68E-02;-1.85E-01;-3.40E-01;1.37E-01;1.03E+01;10.35151482;10.40199852;10.53985023;10.92356491
1.57E+01;318;2.00E-04;1.98E-02;-2.25E-01;-4.36E-01;1.89E-01;1.05E+01;10.57773781;10.75172424;10.75356483;10.99044991
1.57E+01;318;2.00E-04;2.38E-02;-2.35E-01;-5.55E-01;2.95E-01;1.06E+01;10.67272854;10.7019825;10.75680065;11.00825214
1.57E+01;318;2.00E-04;2.93E-02;-2.90E-01;-7.04E-01;3.83E-01;1.07E+01;10.74124146;10.87900257;10.92592716;11.03161144
1.57E+01;318;2.00E-04;3.66E-02;-3.49E-01;-8.87E-01;4.96E-01;1.08E+01;10.82702732;10.89427662;10.899827;11.17239285
1.57E+01;318;2.00E-04;4.64E-02;-4.13E-01;-1.11E+00;6.41E-01;1.09E+01;10.95528126;11.03827953;11.13351917;11.39690399
1.57E+01;318;2.00E-04;5.98E-02;-4.76E-01;-1.37E+00;8.26E-01;1.10E+01;11.05502033;11.10376549;11.3170414;11.46417809
1.57E+01;318;2.00E-04;7.80E-02;-5.32E-01;-1.69E+00;1.07E+00;1.11E+01;11.21223259;11.22873306;11.47902584;11.56507874
1.57E+01;318;2.00E-04;1.03E-01;-6.13E-01;-2.05E+00;1.31E+00;1.13E+01;11.28148937;11.34225178;11.51403236;11.64898491
