name MSE MRE R R2
ExF94IEp 2.8875e-02 3.1413e-01 9.6065e-01 9.2101e-01
Ex2F94IEp 2.5085e-02 2.6514e-01 9.8453e-01 9.6860e-01
Ex94IEV 1.6737e-01 2.1803e+00 4.3633e-01 -1.4323e+00
Ex294IEV 1.6017e-01 2.0907e+00 4.8549e-01 -1.3213e+00
ExF94IEV 2.2625e-01 3.4081e+00 1.8852e-01 -7.4401e+00
Ex2F94IEV 1.6194e-01 2.0123e+00 4.4785e-01 -2.3093e+00
Ex94IEVp 1.9160e-01 1.4493e+00 6.2521e-01 -7.1658e-01
Ex294IEVp 1.5673e-01 5.2881e-01 9.9077e-01 9.1615e-01
ExF94IEVp 2.2356e-01 1.5921e+00 6.3834e-01 -1.1447e+00
Ex2F94IEVp 1.9007e-01 5.9723e-01 9.8997e-01 7.8683e-01
Ex94A 9.3799e-01 1.0356e+00 8.6103e-01 -2.7262e+00
ExF94A 5.8316e-01 9.1317e-01 8.6209e-01 -4.3504e-01
Ex94Ap 6.0787e-01 2.9124e+01 -1.1280e-01 -5.0754e+02
ExF94Ap 8.6873e-01 2.1178e+02 -1.6907e-01 -2.9326e+04
ExSv94I 4.2427e-02 3.9965e-01 9.7960e-01 7.9928e-01
Ex2Sv94I 4.3398e-02 3.9400e-01 9.8591e-01 7.4588e-01
ExFSv94I 4.3134e-02 3.6897e-01 9.7718e-01 8.6468e-01
Ex2FSv94I 4.6270e-02 3.7124e-01 9.8723e-01 8.4010e-01
ExSv94Ip 4.0509e-02 4.0067e-01 9.8033e-01 7.7723e-01
Ex2Sv94Ip 4.1142e-02 3.9073e-01 9.8379e-01 7.1219e-01
ExFSv94Ip 3.9819e-02 3.5679e-01 9.7448e-01 8.8385e-01
Ex2FSv94Ip 4.2189e-02 3.5507e-01 9.8599e-01 8.7081e-01
ExSv94IE 8.2090e-02 7.3917e-01 8.7837e-01 2.6219e-01
Ex2Sv94IE 8.2961e-02 6.7481e-01 8.9755e-01 5.1444e-01
ExFSv94IE 9.0952e-02 7.2232e-01 8.9650e-01 3.7043e-01
Ex2FSv94IE 9.4891e-02 6.6350e-01 9.2283e-01 6.1973e-01
ExSv94IEp 4.5768e-02 4.5425e-01 9.3971e-01 5.6958e-01
Ex2Sv94IEp 4.1643e-02 3.8734e-01 9.4656e-01 6.8194e-01
ExFSv94IEp 5.7690e-02 4.7915e-01 9.4654e-01 5.5119e-01
Ex2FSv94IEp 5.4971e-02 4.1440e-01 9.5437e-01 6.6981e-01
ExSv94IEV 3.3404e-01 5.0591e+00 1.2141e-02 -2.6238e+01
Ex2Sv94IEV 2.2172e-01 1.1728e+00 7.8004e-01 5.4375e-01
ExFSv94IEV 4.2592e-01 6.8504e+00 -2.6510e-02 -5.2304e+01
Ex2FSv94IEV 2.9907e-01 1.4640e+00 7.7272e-01 5.0429e-01
ExSv94IEVp 2.4858e-01 1.2732e+00 6.4286e-01 -1.9285e-01
Ex2Sv94IEVp 2.4774e-01 6.5381e-01 8.3882e-01 6.0091e-01
ExFSv94IEVp 3.0039e-01 1.3435e+00 7.1603e-01 -4.1270e-01
Ex2FSv94IEVp 3.0731e-01 6.5723e-01 9.0532e-01 5.9334e-01
ExSv94A 6.8503e-01 7.2185e-01 8.1390e-01 -1.3069e+00
ExFSv94A 7.9178e-01 7.5485e-01 8.0851e-01 -2.3224e+00
ExSv94Ap 3.7002e-01 6.1635e-01 9.8144e-01 8.9022e-01
ExFSv94Ap 4.0778e-01 6.2171e-01 9.7609e-01 9.2153e-01
