Model MSEn MRE MedRE R2
TrainXg1p360e15YOfl2p 2.261792e-03 9.633397e-02 5.989687e-02 9.313419e-01
Train1p360e15YOfl2p 3.877568e-03 1.257784e-01 1.232224e-01 9.509933e-01
TrainSv1p360e15YOfl2p 6.760538e-04 1.809780e-02 7.347246e-04 9.999991e-01
TrainXg1p360e15YOflp 1.277897e-02 2.811894e-01 2.410555e-01 8.332842e-01
Train1p360e15YOflp 9.894201e-04 7.429790e-02 7.687062e-02 9.960195e-01
TrainSv1p360e15YOflp 2.950976e-04 1.077987e-02 1.842341e-05 1.000000e+00
TrainRf1p360e15EfC 1.005358e-04 1.868341e-02 1.135627e-02 9.974614e-01
TrainGb1p360e15EfC 3.594946e-06 1.894048e-03 3.473130e-04 9.999972e-01
TrainRf1p360e15EfP 4.790365e-05 1.268852e-02 6.413660e-03 9.983453e-01
TrainGb1p360e15EfP 1.732914e-08 1.503577e-04 4.619821e-05 1.000000e+00
TrainRf1p360e15RsC 3.370903e-04 3.929414e-02 2.501952e-02 9.985533e-01
TrainGb1p360e15RsC 4.522740e-17 1.390429e-08 1.049487e-08 1.000000e+00
TrainRf1p360e15RsP 1.996564e-29 9.992501e-15 8.170272e-15 1.000000e+00
TrainGb1p360e15RsP 8.552607e-06 3.354257e-03 8.801114e-04 9.999245e-01
TrainRf1p360e15MbC 6.139233e-05 1.621580e-02 1.200848e-02 9.993331e-01
TrainGb1p360e15MbC 1.633840e-06 1.343555e-03 3.045734e-04 9.999962e-01
TrainRf1p360e15YOL 7.485444e-05 1.824990e-02 1.415672e-02 9.991271e-01
TrainGb1p360e15YOL 8.493503e-10 4.414373e-05 2.320540e-05 1.000000e+00
TrainRf1p360e15MbP 4.247644e-05 1.502817e-02 1.551374e-02 9.997756e-01
TrainGb1p360e15MbP 1.481662e-07 3.997237e-04 7.138057e-05 9.999993e-01
TrainRf1p360e15XcC 7.098063e-29 1.866249e-14 1.640625e-14 1.000000e+00
TrainGb1p360e15XcC 3.776237e-08 2.308521e-04 9.173570e-05 9.999998e-01
TrainRf1p360e15XcP 3.435671e-05 1.252572e-02 9.643307e-03 9.993686e-01
TrainGb1p360e15XcP 9.936952e-11 1.135673e-05 2.682371e-06 1.000000e+00
TrainRf1p360e15NNC 1.715242e-29 9.325690e-15 8.185488e-15 1.000000e+00
TrainGb1p360e15NNC 3.484259e-08 3.027739e-04 1.779137e-04 9.999999e-01
TrainRf1p360e15NNP 1.221356e-04 1.230648e-02 8.128560e-04 9.999961e-01
TrainGb1p360e15NNP 9.358166e-08 6.141185e-04 5.712238e-04 9.999980e-01
TrainRf1p360e15YOL2 7.489747e-29 1.931334e-14 1.643472e-14 1.000000e+00
TrainGb1p360e15YOL2 2.801848e-09 9.974789e-05 4.740661e-05 1.000000e+00
TrainRf1p360e15EfPp 2.136142e-03 1.040907e-01 9.047824e-02 9.515566e-01
TrainGb1p360e15EfPp 4.584683e-07 1.505354e-03 1.409423e-03 9.999978e-01
TrainRf1p360e15YOflp 2.664326e-03 1.056358e-01 6.975168e-02 9.277148e-01
TrainGb1p360e15YOflp 1.478674e-05 8.390804e-03 7.533088e-03 9.998289e-01
TrainRf1p360e15MbPp 4.628302e-04 4.526767e-02 3.240346e-02 9.928050e-01
TrainGb1p360e15MbPp 3.705697e-06 2.011872e-03 6.987115e-04 9.999934e-01
TrainRf1p360e15NNCp 1.535971e-28 2.586831e-14 1.640625e-14 1.000000e+00
TrainGb1p360e15NNCp 3.812271e-06 3.250120e-03 2.055133e-03 9.999869e-01
TrainRf1p360e15YOfl2p 3.685452e-06 3.646291e-03 2.821718e-03 9.999867e-01
TrainGb1p360e15YOfl2p 8.716228e-08 6.683181e-04 4.923981e-04 9.999989e-01
