fname time Tem kT_1 n1 Rs tau_n Rsh n2 tau_g rmsre 
0D26 56246 340.04 34.097 1.000000000E+00 1.944073946E-15 4.122703308E-04 9.985628182E+19 1.559255794E+00 7.953707268E-07 4.765230321E-01 
0D27 56334 340.02 34.099 1.000000000E+00 1.696814367E-16 5.480987485E-04 5.529995373E+19 1.550132654E+00 8.211399626E-07 4.878314517E-01 
0D28 56434 340.01 34.1 1.000000000E+00 1.100812443E-15 3.499981925E-05 8.763654194E+19 1.794928046E+00 3.839349545E-07 4.295988891E-01 
0D29 56518 340.01 34.1 1.000000000E+00 9.929826334E-01 1.707045421E-06 1.605775233E+03 4.381049606E+00 5.196531939E-08 2.608866947E-02 
0D30 56604 340.03 34.098 1.000000000E+00 8.210257718E-01 2.270488353E-06 7.657823601E+18 4.344325735E+00 2.933696125E-08 1.324805443E-01 
0D31 56690 340.01 34.1 1.000000000E+00 9.958197654E-01 1.715829386E-06 1.542768243E+03 4.256668817E+00 5.669205865E-08 2.634568275E-02 
0D32 56778 340.01 34.1 1.000000000E+00 1.001480734E+00 1.701901123E-06 1.650914904E+03 4.451846063E+00 4.946487136E-08 2.653715876E-02 
0D33 56870 340.03 34.098 1.000000000E+00 6.686347531E-16 3.464917023E-05 9.445185727E+19 1.799588211E+00 3.805128967E-07 4.287925972E-01 
0D34 56962 340.01 34.1 1.000000000E+00 3.241594626E-16 6.342032844E-04 7.121742449E+19 1.546747303E+00 8.342673662E-07 4.893445855E-01 
0D35 57044 340.01 34.1 1.000000000E+00 9.892654029E-01 1.731470197E-06 1.676666213E+03 4.462946003E+00 4.857576674E-08 2.600611681E-02 
0D36 57138 340.02 34.099 1.000000000E+00 9.948005449E-01 1.721592382E-06 1.672512486E+03 4.472719316E+00 4.852357506E-08 2.705066059E-02 
0D37 57230 340.05 34.096 1.000000000E+00 1.000716989E+00 1.716600631E-06 1.939513008E+03 4.839050843E+00 3.831587087E-08 2.762191044E-02 
0D38 57324 340.03 34.098 1.000000000E+00 8.228756776E-01 2.284462555E-06 8.603047600E+18 4.347414760E+00 2.931717130E-08 1.324126085E-01 
0D39 57430 340.03 34.098 1.000000000E+00 9.968225462E-01 1.742997532E-06 1.497552536E+03 4.171157729E+00 6.059678260E-08 2.574471370E-02 
0D40 57490 340.02 34.099 1.000000000E+00 9.956730326E-01 1.739694409E-06 1.544830320E+03 4.259880230E+00 5.662050783E-08 2.583063307E-02 
0D41 57580 340 34.101 1.000000000E+00 8.574819791E-01 2.174859272E-06 8.556693643E+18 4.329174960E+00 2.944921243E-08 1.318502942E-01 
0D42 57672 340.01 34.1 1.000000000E+00 4.452129403E-16 5.156513962E-04 6.208035391E+19 1.552278874E+00 8.189118087E-07 4.881140603E-01 
0D43 57760 340.02 34.099 1.000000000E+00 2.384718930E-15 5.385696340E-04 5.033973918E+19 1.552028014E+00 8.197012634E-07 4.883362903E-01 
0D44 57850 340.04 34.097 1.000000000E+00 9.922641753E-01 1.753649697E-06 1.545646642E+03 4.257827123E+00 5.662231700E-08 2.596254539E-02 
