X GE200Nph GE300Nph Orion400Nph Orion600Nph Orion700Nph Osram200Nph Osram400Nph Osram600Nph Osram700Nph
4.96000E+2 2.86001E-2 4.46665E-2 1.90108E-2 3.85057E-2 4.39670E-2 1.40979E-2 2.48788E-2 3.92876E-2 4.47907E-2
4.97000E+2 2.97915E-2 4.60781E-2 1.97019E-2 3.90392E-2 4.45749E-2 1.47485E-2 2.58860E-2 4.04323E-2 4.61648E-2
4.98000E+2 3.09747E-2 4.74870E-2 2.03291E-2 3.97152E-2 4.53790E-2 1.53299E-2 2.68800E-2 4.15903E-2 4.74011E-2
4.99000E+2 3.19948E-2 4.90493E-2 2.09192E-2 4.04725E-2 4.61713E-2 1.62359E-2 2.79305E-2 4.28752E-2 4.86392E-2
5.00000E+2 3.32999E-2 5.01377E-2 2.15379E-2 4.12860E-2 4.70973E-2 1.71838E-2 2.90146E-2 4.41004E-2 5.00133E-2
5.01000E+2 3.40298E-2 5.10587E-2 2.22728E-2 4.23792E-2 4.81927E-2 1.72845E-2 2.98524E-2 4.50378E-2 5.11827E-2
5.02000E+2 3.46562E-2 5.21341E-2 2.29554E-2 4.33879E-2 4.93346E-2 1.79252E-2 3.04208E-2 4.58010E-2 5.20160E-2
5.03000E+2 3.52341E-2 5.29670E-2 2.34220E-2 4.44063E-2 5.02949E-2 1.82825E-2 3.10679E-2 4.65813E-2 5.27899E-2
5.04000E+2 3.61568E-2 5.39717E-2 2.37933E-2 4.52041E-2 5.09805E-2 1.83982E-2 3.17725E-2 4.75341E-2 5.37454E-2
5.05000E+2 3.72119E-2 5.50910E-2 2.43005E-2 4.59056E-2 5.16754E-2 1.92575E-2 3.25230E-2 4.85145E-2 5.47690E-2
5.06000E+2 3.80757E-2 5.61656E-2 2.48945E-2 4.66580E-2 5.25307E-2 2.01285E-2 3.34097E-2 4.94461E-2 5.58655E-2
5.07000E+2 3.89199E-2 5.75200E-2 2.54228E-2 4.73377E-2 5.33905E-2 2.07880E-2 3.43259E-2 5.04217E-2 5.71693E-2
5.08000E+2 3.99671E-2 5.90637E-2 2.61169E-2 4.82119E-2 5.43369E-2 2.16228E-2 3.53294E-2 5.16958E-2 5.85285E-2
5.09000E+2 4.12342E-2 6.02119E-2 2.70212E-2 4.90057E-2 5.53245E-2 2.20899E-2 3.65201E-2 5.31647E-2 5.97279E-2
5.10000E+2 4.21735E-2 6.13498E-2 2.75957E-2 4.97394E-2 5.61539E-2 2.19514E-2 3.74904E-2 5.41806E-2 6.09344E-2
5.11000E+2 4.31326E-2 6.24168E-2 2.80523E-2 5.04710E-2 5.68821E-2 2.23924E-2 3.82707E-2 5.50582E-2 6.20558E-2
5.12000E+2 4.39432E-2 6.34046E-2 2.87722E-2 5.12259E-2 5.75939E-2 2.31055E-2 3.90753E-2 5.61152E-2 6.29872E-2
5.13000E+2 4.48934E-2 6.44490E-2 2.94616E-2 5.20217E-2 5.82578E-2 2.37174E-2 3.98856E-2 5.71493E-2 6.38592E-2
5.14000E+2 4.62884E-2 6.56612E-2 2.99125E-2 5.27150E-2 5.90798E-2 2.43013E-2 4.07512E-2 5.80833E-2 6.48947E-2
5.15000E+2 4.69043E-2 6.70786E-2 3.04564E-2 5.33931E-2 5.99516E-2 2.49193E-2 4.16682E-2 5.90995E-2 6.61321E-2
5.16000E+2 4.76380E-2 6.82460E-2 3.15011E-2 5.41934E-2 6.08567E-2 2.54872E-2 4.24097E-2 6.01837E-2 6.73497E-2
5.17000E+2 4.87625E-2 6.95064E-2 3.26883E-2 5.51655E-2 6.18036E-2 2.61843E-2 4.32825E-2 6.12586E-2 6.83603E-2
5.18000E+2 4.98758E-2 7.07865E-2 3.33265E-2 5.62039E-2 6.27340E-2 2.69202E-2 4.41995E-2 6.22833E-2 6.92917E-2
5.19000E+2 5.08380E-2 7.18803E-2 3.40620E-2 5.70605E-2 6.37170E-2 2.75271E-2 4.50244E-2 6.32465E-2 7.03641E-2
5.20000E+2 5.19310E-2 7.32312E-2 3.48527E-2 5.78981E-2 6.46904E-2 2.80015E-2 4.57851E-2 6.42073E-2 7.15058E-2
5.21000E+2 5.28642E-2 7.44447E-2 3.54837E-2 5.87529E-2 6.56482E-2 2.85257E-2 4.65567E-2 6.52457E-2 7.24797E-2
5.22000E+2 5.39007E-2 7.56359E-2 3.60655E-2 5.96147E-2 6.66407E-2 2.92294E-2 4.73384E-2 6.62727E-2 7.36023E-2
5.23000E+2 5.50675E-2 7.69974E-2 3.69321E-2 6.07694E-2 6.76444E-2 2.98675E-2 4.81938E-2 6.73442E-2 7.47435E-2
5.24000E+2 5.61516E-2 7.84405E-2 3.80257E-2 6.18774E-2 6.87326E-2 3.03666E-2 4.91167E-2 6.84476E-2 7.58443E-2
5.25000E+2 5.74928E-2 7.98409E-2 3.90993E-2 6.28351E-2 6.99363E-2 3.09247E-2 5.00537E-2 6.94789E-2 7.70067E-2
5.26000E+2 5.87761E-2 8.12098E-2 3.99772E-2 6.37423E-2 7.10685E-2 3.16288E-2 5.10132E-2 7.04451E-2 7.81366E-2
5.27000E+2 5.98772E-2 8.27035E-2 4.07252E-2 6.44963E-2 7.18025E-2 3.22640E-2 5.19284E-2 7.15312E-2 7.92932E-2
5.28000E+2 6.10220E-2 8.43236E-2 4.14906E-2 6.53909E-2 7.26315E-2 3.28174E-2 5.28624E-2 7.26534E-2 8.04599E-2
5.29000E+2 6.23750E-2 8.57776E-2 4.24733E-2 6.63414E-2 7.36533E-2 3.34429E-2 5.38731E-2 7.37125E-2 8.16144E-2
5.30000E+2 6.37629E-2 8.73050E-2 4.37241E-2 6.70176E-2 7.45158E-2 3.41819E-2 5.48592E-2 7.49106E-2 8.28674E-2
5.31000E+2 6.50401E-2 8.89419E-2 4.48623E-2 6.76483E-2 7.52896E-2 3.48787E-2 5.58567E-2 7.61277E-2 8.42088E-2
5.32000E+2 6.61864E-2 9.05149E-2 4.57706E-2 6.82303E-2 7.59503E-2 3.55068E-2 5.68757E-2 7.72944E-2 8.55450E-2
5.33000E+2 6.72618E-2 9.20564E-2 4.64821E-2 6.87754E-2 7.65771E-2 3.61708E-2 5.78883E-2 7.84267E-2 8.68128E-2
5.34000E+2 6.85223E-2 9.35474E-2 4.70639E-2 6.94669E-2 7.74059E-2 3.69263E-2 5.88758E-2 7.94939E-2 8.80517E-2
5.35000E+2 6.98449E-2 9.49899E-2 4.78271E-2 7.01488E-2 7.82138E-2 3.76338E-2 5.97529E-2 8.05693E-2 8.92643E-2
5.36000E+2 7.08640E-2 9.63992E-2 4.86626E-2 7.07974E-2 7.89275E-2 3.82506E-2 6.05477E-2 8.16654E-2 9.04401E-2
5.37000E+2 7.19150E-2 9.76837E-2 4.91976E-2 7.15705E-2 7.96713E-2 3.88671E-2 6.13783E-2 8.27023E-2 9.15421E-2
5.38000E+2 7.28713E-2 9.87667E-2 4.96428E-2 7.24785E-2 8.03542E-2 3.94666E-2 6.22141E-2 8.36134E-2 9.24400E-2
5.39000E+2 7.35754E-2 9.97236E-2 5.02571E-2 7.33118E-2 8.11048E-2 3.99980E-2 6.29861E-2 8.43876E-2 9.32408E-2
5.40000E+2 7.44365E-2 1.00819E-1 5.10731E-2 7.39735E-2 8.20789E-2 4.04259E-2 6.36755E-2 8.50961E-2 9.40520E-2
5.41000E+2 7.53076E-2 1.01938E-1 5.17315E-2 7.48897E-2 8.30730E-2 4.07742E-2 6.43618E-2 8.58725E-2 9.47644E-2
5.42000E+2 7.61075E-2 1.02939E-1 5.22376E-2 7.58898E-2 8.40425E-2 4.11720E-2 6.50925E-2 8.66921E-2 9.56028E-2
5.43000E+2 7.70876E-2 1.03887E-1 5.27665E-2 7.67276E-2 8.50509E-2 4.16554E-2 6.58506E-2 8.75293E-2 9.65914E-2
5.44000E+2 7.80657E-2 1.04898E-1 5.33250E-2 7.78086E-2 8.61142E-2 4.21376E-2 6.65858E-2 8.84386E-2 9.74440E-2
5.45000E+2 7.90202E-2 1.06023E-1 5.39834E-2 7.89856E-2 8.72596E-2 4.27478E-2 6.73776E-2 8.94531E-2 9.84437E-2
5.46000E+2 8.01654E-2 1.07238E-1 5.47594E-2 7.99931E-2 8.84776E-2 4.34438E-2 6.82556E-2 9.05050E-2 9.96935E-2
5.47000E+2 8.13215E-2 1.08550E-1 5.54590E-2 8.11172E-2 8.96649E-2 4.40335E-2 6.91788E-2 9.15058E-2 1.00955E-1
5.48000E+2 8.24206E-2 1.09928E-1 5.61788E-2 8.23254E-2 9.09199E-2 4.47254E-2 7.01936E-2 9.26675E-2 1.02178E-1
5.49000E+2 8.35882E-2 1.11314E-1 5.71029E-2 8.34613E-2 9.23487E-2 4.55280E-2 7.12218E-2 9.39294E-2 1.03326E-1
5.50000E+2 8.48086E-2 1.12706E-1 5.80648E-2 8.47359E-2 9.36932E-2 4.62322E-2 7.21345E-2 9.50307E-2 1.04406E-1
5.51000E+2 8.60492E-2 1.14201E-1 5.89766E-2 8.61667E-2 9.50166E-2 4.69865E-2 7.32003E-2 9.63067E-2 1.05717E-1
5.52000E+2 8.73108E-2 1.15920E-1 5.98755E-2 8.75868E-2 9.65861E-2 4.78350E-2 7.44355E-2 9.77788E-2 1.07285E-1
5.53000E+2 8.86577E-2 1.17706E-1 6.08307E-2 8.90119E-2 9.81683E-2 4.86506E-2 7.55538E-2 9.90816E-2 1.08821E-1
5.54000E+2 9.00989E-2 1.19420E-1 6.18711E-2 9.04210E-2 9.96168E-2 4.95102E-2 7.66608E-2 1.00420E-1 1.10353E-1
5.55000E+2 9.15571E-2 1.21078E-1 6.29614E-2 9.17074E-2 1.01054E-1 5.04577E-2 7.78772E-2 1.01943E-1 1.11903E-1
5.56000E+2 9.30688E-2 1.22863E-1 6.40571E-2 9.30085E-2 1.02500E-1 5.14178E-2 7.91776E-2 1.03500E-1 1.13396E-1
5.57000E+2 9.46409E-2 1.24857E-1 6.51443E-2 9.44460E-2 1.03932E-1 5.24074E-2 8.05438E-2 1.05090E-1 1.15079E-1
5.58000E+2 9.61549E-2 1.26840E-1 6.62728E-2 9.58250E-2 1.05340E-1 5.34411E-2 8.19334E-2 1.06731E-1 1.17027E-1
5.59000E+2 9.78340E-2 1.28750E-1 6.74199E-2 9.69063E-2 1.06541E-1 5.44585E-2 8.32588E-2 1.08365E-1 1.18773E-1
5.60000E+2 9.98746E-2 1.30667E-1 6.85167E-2 9.75426E-2 1.07301E-1 5.55130E-2 8.46555E-2 1.10052E-1 1.20459E-1
5.61000E+2 1.01659E-1 1.32727E-1 6.96342E-2 9.80634E-2 1.07868E-1 5.66784E-2 8.62797E-2 1.11861E-1 1.22460E-1
5.62000E+2 1.03095E-1 1.34910E-1 7.08334E-2 9.87560E-2 1.08524E-1 5.78311E-2 8.78516E-2 1.13605E-1 1.24439E-1
5.63000E+2 1.04770E-1 1.37030E-1 7.20572E-2 9.95176E-2 1.09294E-1 5.89114E-2 8.92548E-2 1.15246E-1 1.26224E-1
5.64000E+2 1.06537E-1 1.39044E-1 7.31298E-2 1.00299E-1 1.10121E-1 5.99764E-2 9.06443E-2 1.16940E-1 1.27991E-1
5.65000E+2 1.08051E-1 1.40912E-1 7.38551E-2 1.01141E-1 1.10935E-1 6.10398E-2 9.19545E-2 1.18512E-1 1.29674E-1
5.66000E+2 1.09305E-1 1.42455E-1 7.44235E-2 1.02089E-1 1.11831E-1 6.20363E-2 9.30503E-2 1.19727E-1 1.31099E-1
5.67000E+2 1.10457E-1 1.43608E-1 7.50681E-2 1.03137E-1 1.12883E-1 6.27590E-2 9.38960E-2 1.20601E-1 1.32114E-1
5.68000E+2 1.11693E-1 1.44472E-1 7.57776E-2 1.04147E-1 1.13953E-1 6.32419E-2 9.45836E-2 1.21280E-1 1.32830E-1
5.69000E+2 1.12675E-1 1.45346E-1 7.65217E-2 1.05136E-1 1.15024E-1 6.37699E-2 9.53033E-2 1.21987E-1 1.33602E-1
5.70000E+2 1.13185E-1 1.46497E-1 7.72974E-2 1.06309E-1 1.16241E-1 6.44062E-2 9.60737E-2 1.22812E-1 1.34560E-1
5.71000E+2 1.13925E-1 1.47879E-1 7.81091E-2 1.07560E-1 1.17505E-1 6.51192E-2 9.68684E-2 1.23762E-1 1.35698E-1
5.72000E+2 1.15185E-1 1.49386E-1 7.89534E-2 1.08652E-1 1.18618E-1 6.58948E-2 9.77574E-2 1.24783E-1 1.36927E-1
5.73000E+2 1.16573E-1 1.50902E-1 7.97685E-2 1.09613E-1 1.19614E-1 6.67279E-2 9.87687E-2 1.25863E-1 1.38203E-1
5.74000E+2 1.17868E-1 1.52400E-1 8.05255E-2 1.10530E-1 1.20563E-1 6.76188E-2 9.98496E-2 1.27051E-1 1.39548E-1
5.75000E+2 1.19033E-1 1.53897E-1 8.13266E-2 1.11399E-1 1.21436E-1 6.85015E-2 1.00933E-1 1.28295E-1 1.40882E-1
5.76000E+2 1.20277E-1 1.55391E-1 8.22070E-2 1.12257E-1 1.22292E-1 6.92825E-2 1.01971E-1 1.29500E-1 1.42076E-1
5.77000E+2 1.21735E-1 1.56864E-1 8.30811E-2 1.13213E-1 1.23335E-1 6.99603E-2 1.03058E-1 1.30774E-1 1.43131E-1
5.78000E+2 1.23224E-1 1.58269E-1 8.38942E-2 1.14309E-1 1.24574E-1 7.05810E-2 1.04239E-1 1.32153E-1 1.44097E-1
5.79000E+2 1.24626E-1 1.59614E-1 8.46249E-2 1.15502E-1 1.25841E-1 7.12215E-2 1.05299E-1 1.33324E-1 1.45003E-1
5.80000E+2 1.25975E-1 1.60985E-1 8.53190E-2 1.16765E-1 1.27176E-1 7.18854E-2 1.06129E-1 1.34187E-1 1.45854E-1
5.81000E+2 1.27286E-1 1.62409E-1 8.60547E-2 1.18083E-1 1.28696E-1 7.24771E-2 1.06832E-1 1.35018E-1 1.46637E-1
5.82000E+2 1.28546E-1 1.63848E-1 8.68599E-2 1.19483E-1 1.30217E-1 7.30326E-2 1.07554E-1 1.35912E-1 1.47432E-1
5.83000E+2 1.29758E-1 1.65256E-1 8.77466E-2 1.20972E-1 1.31525E-1 7.36890E-2 1.08436E-1 1.36806E-1 1.48390E-1
5.84000E+2 1.30958E-1 1.66627E-1 8.87493E-2 1.22461E-1 1.32780E-1 7.44284E-2 1.09434E-1 1.37747E-1 1.49511E-1
5.85000E+2 1.32294E-1 1.68158E-1 8.98697E-2 1.23864E-1 1.34170E-1 7.51725E-2 1.10434E-1 1.38823E-1 1.50723E-1
5.86000E+2 1.33869E-1 1.69983E-1 9.09991E-2 1.25191E-1 1.35678E-1 7.59555E-2 1.11470E-1 1.40049E-1 1.51949E-1
5.87000E+2 1.35577E-1 1.71884E-1 9.20664E-2 1.26479E-1 1.37239E-1 7.68262E-2 1.12602E-1 1.41399E-1 1.53163E-1
5.88000E+2 1.37329E-1 1.73759E-1 9.31254E-2 1.27804E-1 1.38757E-1 7.77655E-2 1.13822E-1 1.42804E-1 1.54483E-1
5.89000E+2 1.39136E-1 1.75851E-1 9.42221E-2 1.29203E-1 1.40192E-1 7.87443E-2 1.15106E-1 1.44199E-1 1.55985E-1
5.90000E+2 1.40951E-1 1.78193E-1 9.53496E-2 1.30651E-1 1.41612E-1 7.97392E-2 1.16436E-1 1.45557E-1 1.57583E-1
5.91000E+2 1.42623E-1 1.80456E-1 9.64761E-2 1.32091E-1 1.43069E-1 8.07049E-2 1.17756E-1 1.46881E-1 1.59180E-1
5.92000E+2 1.44198E-1 1.82514E-1 9.75401E-2 1.33431E-1 1.44581E-1 8.15635E-2 1.18963E-1 1.48206E-1 1.60703E-1
5.93000E+2 1.45945E-1 1.84501E-1 9.85551E-2 1.34688E-1 1.46107E-1 8.23529E-2 1.20078E-1 1.49550E-1 1.62133E-1
5.94000E+2 1.47885E-1 1.86477E-1 9.96521E-2 1.36040E-1 1.47535E-1 8.32622E-2 1.21302E-1 1.50906E-1 1.63522E-1
5.95000E+2 1.49795E-1 1.88415E-1 1.00868E-1 1.37507E-1 1.48851E-1 8.43273E-2 1.22686E-1 1.52283E-1 1.64922E-1
5.96000E+2 1.51566E-1 1.90363E-1 1.02092E-1 1.38855E-1 1.50201E-1 8.54104E-2 1.24108E-1 1.53717E-1 1.66375E-1
5.97000E+2 1.53207E-1 1.92424E-1 1.03275E-1 1.40026E-1 1.51633E-1 8.64433E-2 1.25476E-1 1.55199E-1 1.67909E-1
5.98000E+2 1.54820E-1 1.94590E-1 1.04471E-1 1.41252E-1 1.53030E-1 8.74372E-2 1.26739E-1 1.56678E-1 1.69530E-1
5.99000E+2 1.56563E-1 1.96760E-1 1.05684E-1 1.42609E-1 1.54332E-1 8.84204E-2 1.27928E-1 1.58141E-1 1.71164E-1
6.00000E+2 1.58400E-1 1.98826E-1 1.06821E-1 1.43895E-1 1.55596E-1 8.94401E-2 1.29149E-1 1.59609E-1 1.72682E-1
6.01000E+2 1.60165E-1 2.00685E-1 1.07846E-1 1.45041E-1 1.56882E-1 9.04933E-2 1.30424E-1 1.61077E-1 1.74090E-1
6.02000E+2 1.61859E-1 2.02445E-1 1.08837E-1 1.46284E-1 1.58232E-1 9.15359E-2 1.31699E-1 1.62511E-1 1.75507E-1
6.03000E+2 1.63620E-1 2.04367E-1 1.09863E-1 1.47743E-1 1.59654E-1 9.25544E-2 1.32975E-1 1.63931E-1 1.76936E-1
6.04000E+2 1.65453E-1 2.06452E-1 1.10938E-1 1.49170E-1 1.61078E-1 9.35612E-2 1.34294E-1 1.65391E-1 1.78281E-1
6.05000E+2 1.67270E-1 2.08493E-1 1.12054E-1 1.50371E-1 1.62451E-1 9.45683E-2 1.35631E-1 1.66863E-1 1.79582E-1
6.06000E+2 1.69066E-1 2.10417E-1 1.13156E-1 1.51483E-1 1.63814E-1 9.55885E-2 1.36894E-1 1.68232E-1 1.81016E-1
6.07000E+2 1.70922E-1 2.12268E-1 1.14203E-1 1.52679E-1 1.65220E-1 9.66065E-2 1.38054E-1 1.69482E-1 1.82556E-1
6.08000E+2 1.72775E-1 2.14075E-1 1.15229E-1 1.53987E-1 1.66652E-1 9.75790E-2 1.39151E-1 1.70717E-1 1.83940E-1
6.09000E+2 1.74394E-1 2.15831E-1 1.16285E-1 1.55385E-1 1.68084E-1 9.85008E-2 1.40241E-1 1.72008E-1 1.85154E-1
6.10000E+2 1.75752E-1 2.17585E-1 1.17401E-1 1.56769E-1 1.69487E-1 9.94254E-2 1.41403E-1 1.73378E-1 1.86535E-1
6.11000E+2 1.77125E-1 2.19482E-1 1.18592E-1 1.58015E-1 1.70839E-1 1.00404E-1 1.42665E-1 1.74828E-1 1.88211E-1
6.12000E+2 1.78681E-1 2.21556E-1 1.19830E-1 1.59121E-1 1.72075E-1 1.01471E-1 1.43981E-1 1.76317E-1 1.89876E-1
6.13000E+2 1.80290E-1 2.23576E-1 1.21055E-1 1.60156E-1 1.73105E-1 1.02627E-1 1.45306E-1 1.77802E-1 1.91332E-1
6.14000E+2 1.81845E-1 2.25387E-1 1.22217E-1 1.61179E-1 1.74001E-1 1.03794E-1 1.46635E-1 1.79250E-1 1.92778E-1
6.15000E+2 1.83439E-1 2.27151E-1 1.23288E-1 1.62227E-1 1.75041E-1 1.04905E-1 1.47974E-1 1.80656E-1 1.94404E-1
6.16000E+2 1.85162E-1 2.29038E-1 1.24295E-1 1.63313E-1 1.76344E-1 1.05976E-1 1.49314E-1 1.82089E-1 1.96094E-1
6.17000E+2 1.86922E-1 2.30997E-1 1.25367E-1 1.64389E-1 1.77682E-1 1.07037E-1 1.50646E-1 1.83615E-1 1.97679E-1
6.18000E+2 1.88590E-1 2.32908E-1 1.26611E-1 1.65419E-1 1.78843E-1 1.08099E-1 1.51940E-1 1.85153E-1 1.99126E-1
6.19000E+2 1.90157E-1 2.34723E-1 1.27961E-1 1.66440E-1 1.79865E-1 1.09161E-1 1.53168E-1 1.86577E-1 2.00467E-1
6.20000E+2 1.91679E-1 2.36424E-1 1.29311E-1 1.67498E-1 1.80845E-1 1.10173E-1 1.54308E-1 1.87829E-1 2.01729E-1
6.21000E+2 1.93154E-1 2.38020E-1 1.30588E-1 1.68569E-1 1.81781E-1 1.11053E-1 1.55329E-1 1.88898E-1 2.02936E-1
6.22000E+2 1.94529E-1 2.39548E-1 1.31745E-1 1.69589E-1 1.82628E-1 1.11823E-1 1.56264E-1 1.89854E-1 2.04155E-1
6.23000E+2 1.95809E-1 2.41059E-1 1.32787E-1 1.70532E-1 1.83415E-1 1.12631E-1 1.57206E-1 1.90863E-1 2.05497E-1
6.24000E+2 1.97118E-1 2.42614E-1 1.33775E-1 1.71420E-1 1.84279E-1 1.13557E-1 1.58218E-1 1.92009E-1 2.06968E-1
6.25000E+2 1.98547E-1 2.44238E-1 1.34772E-1 1.72283E-1 1.85306E-1 1.14505E-1 1.59298E-1 1.93177E-1 2.08315E-1
6.26000E+2 2.00011E-1 2.45816E-1 1.35815E-1 1.73155E-1 1.86389E-1 1.15383E-1 1.60436E-1 1.94254E-1 2.09342E-1
6.27000E+2 2.01385E-1 2.47197E-1 1.36932E-1 1.74067E-1 1.87401E-1 1.16252E-1 1.61590E-1 1.95310E-1 2.10273E-1
6.28000E+2 2.02656E-1 2.48482E-1 1.38105E-1 1.75025E-1 1.88390E-1 1.17216E-1 1.62721E-1 1.96470E-1 2.11458E-1
6.29000E+2 2.03871E-1 2.49882E-1 1.39296E-1 1.76023E-1 1.89505E-1 1.18233E-1 1.63822E-1 1.97709E-1 2.12878E-1
6.30000E+2 2.05078E-1 2.51427E-1 1.40449E-1 1.77067E-1 1.90760E-1 1.19154E-1 1.64900E-1 1.98899E-1 2.14227E-1
6.31000E+2 2.06328E-1 2.52881E-1 1.41497E-1 1.78193E-1 1.91982E-1 1.19920E-1 1.65944E-1 1.99980E-1 2.15343E-1
6.32000E+2 2.07639E-1 2.54086E-1 1.42397E-1 1.79430E-1 1.93038E-1 1.20625E-1 1.66888E-1 2.01022E-1 2.16316E-1
6.33000E+2 2.08913E-1 2.55197E-1 1.43231E-1 1.80731E-1 1.94070E-1 1.21371E-1 1.67698E-1 2.02100E-1 2.17257E-1
6.34000E+2 2.10039E-1 2.56439E-1 1.44117E-1 1.82037E-1 1.95297E-1 1.22223E-1 1.68545E-1 2.03268E-1 2.18295E-1
6.35000E+2 2.11083E-1 2.57841E-1 1.45111E-1 1.83352E-1 1.96748E-1 1.23227E-1 1.69650E-1 2.04570E-1 2.19552E-1
6.36000E+2 2.12219E-1 2.59315E-1 1.46205E-1 1.84738E-1 1.98254E-1 1.24343E-1 1.71005E-1 2.05982E-1 2.20997E-1
