fname time Tem kT_1 Io Et Ud Iph dev 
37RV 37rv.dat 320 36.23 1.249E-002 1.931E-003 1.266E+000 0.000E+000 8.536E-003 
38RV 38rv.dat 322.5 35.95 1.507E-002 1.955E-003 1.329E+000 0.000E+000 9.557E-003 
39RV 39rv.dat 322.5 35.95 1.219E-002 1.916E-003 1.268E+000 0.000E+000 1.241E-002 
40RV 40rv.dat 322.4 35.96 2.875E-002 2.073E-003 1.531E+000 0.000E+000 9.639E-003 
41RV 41rv.dat 325.1 35.66 3.329E-002 2.094E-003 1.583E+000 0.000E+000 1.156E-002 
42RV 42rv.dat 325 35.67 2.329E-002 2.020E-003 1.439E+000 0.000E+000 1.267E-002 
43RV 43rv.dat 325 35.67 2.086E-002 1.993E-003 1.356E+000 0.000E+000 9.286E-003 
44RV 44rv.dat 327.6 35.39 2.836E-002 2.063E-003 1.614E+000 0.000E+000 9.723E-003 
45RV 45rv.dat 327.6 35.39 1.273E-001 2.341E-003 2.110E+000 0.000E+000 1.391E-002 
46RV 46rv.dat 327.5 35.4 1.892E+001 3.276E-003 3.940E+000 0.000E+000 2.085E-002 
47RV 47rv.dat 330.1 35.12 8.798E-002 2.267E-003 2.021E+000 0.000E+000 9.920E-003 
48RV 48rv.dat 330.1 35.12 3.675E-002 2.091E-003 1.651E+000 0.000E+000 8.641E-003 
49RV 49rv.dat 329.9 35.14 6.790E-002 2.229E-003 1.995E+000 0.000E+000 9.942E-003 
50RV 50rv.dat 332.6 34.86 3.371E-002 2.072E-003 1.685E+000 0.000E+000 1.453E-002 
51RV 51rv.dat 332.5 34.87 2.406E-002 2.009E-003 1.539E+000 0.000E+000 9.805E-003 
52RV 52rv.dat 332.6 34.86 5.661E-002 2.176E-003 1.899E+000 0.000E+000 1.029E-002 
53RV 53rv.dat 332.5 34.87 6.985E-002 2.214E-003 1.971E+000 0.000E+000 1.127E-002 
54RV 54rv.dat 335 34.61 5.642E-002 2.172E-003 1.943E+000 0.000E+000 1.204E-002 
55RV 55rv.dat 335.1 34.6 6.353E-002 2.184E-003 1.925E+000 0.000E+000 8.482E-003 
56RV 56rv.dat 335 34.61 1.961E-002 1.955E-003 1.472E+000 0.000E+000 1.062E-002 
57RV 57rv.dat 337.5 34.35 4.047E-002 2.091E-003 1.793E+000 0.000E+000 9.278E-003 
58RV 58rv.dat 337.5 34.35 4.993E-002 2.131E-003 1.897E+000 0.000E+000 9.905E-003 
59RV 59rv.dat 337.5 34.35 6.734E+002 3.883E-003 5.216E+000 0.000E+000 3.176E-002 
60RV 60rv.dat 340.1 34.09 2.709E-002 2.008E-003 1.716E+000 0.000E+000 1.004E-002 
61RV 61rv.dat 340 34.1 6.515E-002 2.174E-003 2.034E+000 0.000E+000 8.751E-003 
62RV 62rv.dat 339.9 34.11 1.221E-001 2.284E-003 2.208E+000 0.000E+000 1.171E-002 
