Ytrue T Nd Ypred RelError
2.992196e+00 4.000000e+01 4.000000e+02 1.503750e+02 3.003036e+00 3.622998e-03
5.691278e+00 2.000000e+01 9.000000e+02 4.138750e+02 5.691804e+00 9.246230e-05
2.646337e+00 4.000000e+01 8.000000e+02 4.358750e+02 2.644821e+00 5.730406e-04
2.949097e+00 4.000000e+01 4.000000e+02 9.637500e+01 2.946460e+00 8.942299e-04
7.572826e+01 -3.552714e-15 8.000000e+02 1.778750e+02 7.572822e+01 4.212908e-07
7.320131e+01 -3.552714e-15 8.000000e+02 1.288750e+02 7.320138e+01 9.267717e-07
6.634319e+01 -3.552714e-15 9.000000e+02 2.563750e+02 6.634233e+01 1.292075e-05
2.976350e+00 4.000000e+01 6.000000e+02 9.787500e+01 2.973981e+00 7.961880e-04
6.346619e+01 -3.552714e-15 9.000000e+02 2.088750e+02 6.346400e+01 3.450086e-05
6.604104e+01 -3.552714e-15 9.000000e+02 3.203750e+02 6.604089e+01 2.228124e-06
6.208062e+00 2.000000e+01 6.000000e+02 3.523750e+02 6.207504e+00 8.988474e-05
6.636766e+01 -3.552714e-15 9.000000e+02 2.643750e+02 6.636714e+01 7.885040e-06
2.308828e+00 4.000000e+01 1.000000e+03 2.648750e+02 2.312169e+00 1.447007e-03
8.236303e+00 2.000000e+01 3.000000e+02 2.578750e+02 8.228955e+00 8.921393e-04
2.617627e+00 4.000000e+01 7.000000e+02 2.928750e+02 2.618069e+00 1.686796e-04
1.013120e+02 -3.552714e-15 6.000000e+02 1.678750e+02 1.013126e+02 5.423198e-06
6.889806e+00 2.000000e+01 6.000000e+02 4.487500e+01 6.889978e+00 2.484607e-05
1.700520e+00 5.000000e+01 3.000000e+02 1.688750e+02 1.697829e+00 1.582567e-03
5.988264e+00 2.000000e+01 7.000000e+02 3.273750e+02 5.987460e+00 1.343642e-04
4.600327e+00 2.000000e+01 7.000000e+02 4.983750e+02 4.603992e+00 7.967658e-04
4.839604e+00 3.000000e+01 3.000000e+02 1.963750e+02 4.821840e+00 3.670581e-03
7.892673e+01 -3.552714e-15 7.000000e+02 1.533750e+02 7.892700e+01 3.318346e-06
2.484200e+00 4.000000e+01 7.000000e+02 1.018750e+02 2.487695e+00 1.406758e-03
7.905254e+01 -3.552714e-15 8.000000e+02 3.653750e+02 7.905251e+01 4.607019e-07
3.427730e+00 4.000000e+01 6.000000e+02 4.563750e+02 3.426406e+00 3.863344e-04
5.514314e+00 2.000000e+01 1.000000e+03 2.287500e+01 5.514605e+00 5.278869e-05
4.734288e+00 3.000000e+01 3.000000e+02 4.058750e+02 4.735342e+00 2.227415e-04
2.614917e+02 -3.552714e-15 3.000000e+02 4.208750e+02 2.614918e+02 2.593721e-07
3.412271e+00 4.000000e+01 6.000000e+02 4.633750e+02 3.409388e+00 8.449291e-04
5.801159e+01 -3.552714e-15 1.000000e+03 3.793750e+02 5.801137e+01 3.793056e-06
8.878551e+01 -3.552714e-15 7.000000e+02 3.503750e+02 8.878538e+01 1.464006e-06
3.123733e+00 4.000000e+01 3.000000e+02 4.768750e+02 3.119104e+00 1.481831e-03
7.979795e+00 2.000000e+01 3.000000e+02 2.833750e+02 7.973187e+00 8.280243e-04
1.003025e+02 -3.552714e-15 6.000000e+02 1.593750e+02 1.003038e+02 1.326126e-05
2.276236e+00 4.000000e+01 1.000000e+03 1.688750e+02 2.276481e+00 1.076442e-04
8.599799e+00 2.000000e+01 3.000000e+02 1.693750e+02 8.587621e+00 1.416105e-03
5.618389e+00 2.000000e+01 8.000000e+02 3.375000e+00 5.570066e+00 8.600931e-03
6.076407e+00 2.000000e+01 6.000000e+02 2.888750e+02 6.074725e+00 2.768119e-04
7.369143e+00 2.000000e+01 5.000000e+02 3.353750e+02 7.367956e+00 1.610692e-04
1.750949e+00 5.000000e+01 3.000000e+02 3.843750e+02 1.751433e+00 2.767237e-04
4.890265e+00 3.000000e+01 3.000000e+02 2.208750e+02 4.880213e+00 2.055574e-03
9.542023e-01 7.000000e+01 3.000000e+02 6.875000e+00 9.781312e-01 2.507744e-02
1.661836e+01 1.000000e+01 3.000000e+02 4.423750e+02 1.661671e+01 9.965846e-05
5.722051e+00 2.000000e+01 4.000000e+02 4.453750e+02 5.716916e+00 8.973554e-04
5.693166e+00 2.000000e+01 8.000000e+02 9.637500e+01 5.694582e+00 2.487078e-04
7.997626e+01 -3.552714e-15 8.000000e+02 2.923750e+02 7.997668e+01 5.154592e-06
5.615784e+00 2.000000e+01 9.000000e+02 4.798750e+02 5.615182e+00 1.071562e-04
2.874801e+00 4.000000e+01 4.000000e+02 3.583750e+02 2.876717e+00 6.665152e-04
7.024949e+01 -3.552714e-15 8.000000e+02 8.737500e+01 7.025008e+01 8.303032e-06
2.676866e+00 4.000000e+01 8.000000e+02 4.518750e+02 2.675633e+00 4.606793e-04
7.968625e+00 2.000000e+01 3.000000e+02 3.438750e+02 7.965965e+00 3.337798e-04
6.270186e+00 2.000000e+01 8.000000e+02 2.523750e+02 6.269053e+00 1.806531e-04
5.049821e+01 -3.552714e-15 1.000000e+03 7.837500e+01 5.049805e+01 3.189839e-06
9.019754e+01 -3.552714e-15 7.000000e+02 3.723750e+02 9.019748e+01 6.897008e-07
7.849102e+01 -3.552714e-15 8.000000e+02 2.303750e+02 7.849115e+01 1.660215e-06
1.111603e+00 7.000000e+01 3.000000e+02 3.113750e+02 1.118877e+00 6.543452e-03
8.258103e+00 2.000000e+01 3.000000e+02 9.237500e+01 8.258080e+00 2.707710e-06
1.063603e+02 -3.552714e-15 6.000000e+02 3.648750e+02 1.063617e+02 1.265087e-05
2.556857e+00 4.000000e+01 7.000000e+02 5.287500e+01 2.555001e+00 7.258721e-04
1.764319e+00 5.000000e+01 3.000000e+02 7.187500e+01 1.765240e+00 5.223423e-04
7.287452e+00 2.000000e+01 4.000000e+02 2.513750e+02 7.283551e+00 5.353530e-04
1.450021e+02 -3.552714e-15 3.000000e+02 4.387500e+01 1.450060e+02 2.699744e-05
9.598039e+01 -3.552714e-15 5.000000e+02 4.237500e+01 9.599953e+01 1.994391e-04
8.027417e+00 2.000000e+01 3.000000e+02 1.038750e+02 8.021504e+00 7.365615e-04
2.731582e+00 4.000000e+01 8.000000e+02 3.553750e+02 2.732461e+00 3.217604e-04
1.118079e+00 7.000000e+01 3.000000e+02 2.608750e+02 1.113211e+00 4.353660e-03
2.441951e+00 4.000000e+01 9.000000e+02 6.237500e+01 2.439165e+00 1.141216e-03
1.172845e+00 6.000000e+01 3.000000e+02 9.287500e+01 1.182368e+00 8.119317e-03
8.160693e+00 2.000000e+01 4.000000e+02 1.887500e+01 8.153192e+00 9.191627e-04
1.681754e+01 1.000000e+01 3.000000e+02 4.353750e+02 1.682133e+01 2.258904e-04
1.758968e+00 5.000000e+01 3.000000e+02 4.068750e+02 1.759697e+00 4.145509e-04
2.986471e+00 4.000000e+01 4.000000e+02 2.243750e+02 2.988156e+00 5.640732e-04
5.513094e+00 2.000000e+01 9.000000e+02 3.213750e+02 5.513573e+00 8.703411e-05
3.011147e+00 4.000000e+01 4.000000e+02 1.928750e+02 3.004256e+00 2.288513e-03
2.938904e+00 4.000000e+01 4.000000e+02 3.375000e+00 2.968521e+00 1.007738e-02
8.101743e+01 -3.552714e-15 7.000000e+02 2.483750e+02 8.101810e+01 8.313709e-06
8.047272e+00 2.000000e+01 3.000000e+02 1.118750e+02 8.068202e+00 2.600824e-03
9.354928e+01 -3.552714e-15 7.000000e+02 4.303750e+02 9.354800e+01 1.359822e-05
6.394499e+00 2.000000e+01 8.000000e+02 3.693750e+02 6.398531e+00 6.306899e-04
7.405680e+00 2.000000e+01 4.000000e+02 1.503750e+02 7.410707e+00 6.789171e-04
5.546201e+00 2.000000e+01 1.000000e+03 1.287500e+01 5.546543e+00 6.163031e-05
6.671910e+00 2.000000e+01 7.000000e+02 3.737500e+01 6.674551e+00 3.958413e-04
2.988420e+00 4.000000e+01 5.000000e+02 2.118750e+02 2.988573e+00 5.137947e-05
7.445486e+00 2.000000e+01 5.000000e+02 4.413750e+02 7.446077e+00 7.941501e-05
6.362859e+00 2.000000e+01 6.000000e+02 1.528750e+02 6.365155e+00 3.609648e-04
2.675861e+00 4.000000e+01 9.000000e+02 3.738750e+02 2.675592e+00 1.006329e-04
1.968339e+02 -3.552714e-15 4.000000e+02 4.203750e+02 1.968341e+02 1.307880e-06
5.649396e+00 2.000000e+01 9.000000e+02 4.118750e+02 5.656097e+00 1.186207e-03
1.121128e+00 6.000000e+01 3.000000e+02 2.903750e+02 1.124451e+00 2.963536e-03
6.524058e+00 2.000000e+01 7.000000e+02 1.243750e+02 6.526986e+00 4.487199e-04
2.457796e+00 4.000000e+01 1.000000e+03 4.578750e+02 2.458013e+00 8.791053e-05
2.516957e+00 4.000000e+01 7.000000e+02 1.038750e+02 2.509653e+00 2.901574e-03
1.050180e+02 -3.552714e-15 6.000000e+02 3.393750e+02 1.050185e+02 5.013235e-06
2.303839e+02 -3.552714e-15 3.000000e+02 1.713750e+02 2.303744e+02 4.154531e-05
1.224845e+00 6.000000e+01 3.000000e+02 1.068750e+02 1.222862e+00 1.618712e-03
6.753457e+00 2.000000e+01 7.000000e+02 1.608750e+02 6.756437e+00 4.411601e-04
6.357646e+00 2.000000e+01 6.000000e+02 1.488750e+02 6.356507e+00 1.792090e-04
6.176555e+00 2.000000e+01 8.000000e+02 4.908750e+02 6.173211e+00 5.414759e-04
2.390951e+00 4.000000e+01 1.000000e+03 3.298750e+02 2.393325e+00 9.928364e-04
8.335209e+00 2.000000e+01 3.000000e+02 2.438750e+02 8.333692e+00 1.819761e-04
6.319668e+00 2.000000e+01 8.000000e+02 2.993750e+02 6.319118e+00 8.693718e-05
6.070853e+00 2.000000e+01 6.000000e+02 3.428750e+02 6.070594e+00 4.276344e-05
7.871641e+01 -3.552714e-15 8.000000e+02 2.393750e+02 7.871648e+01 8.796336e-07
1.105469e+00 6.000000e+01 3.000000e+02 3.713750e+02 1.105581e+00 1.017691e-04
8.525378e+01 -3.552714e-15 3.000000e+02 1.737500e+01 8.516697e+01 1.018273e-03
2.976162e+00 4.000000e+01 4.000000e+02 2.418750e+02 2.975488e+00 2.267310e-04
2.755948e+00 4.000000e+01 8.000000e+02 1.833750e+02 2.756346e+00 1.444005e-04
9.245251e+01 -3.552714e-15 7.000000e+02 4.163750e+02 9.245104e+01 1.592096e-05
1.769750e+00 5.000000e+01 3.000000e+02 2.078750e+02 1.769234e+00 2.915266e-04
3.320593e+00 4.000000e+01 6.000000e+02 4.343750e+02 3.320747e+00 4.621503e-05
5.021975e+00 3.000000e+01 3.000000e+02 1.418750e+02 5.066344e+00 8.835096e-03
2.986920e+00 4.000000e+01 3.000000e+02 4.338750e+02 2.975809e+00 3.719908e-03
6.615548e+01 -3.552714e-15 9.000000e+02 3.183750e+02 6.615819e+01 4.099614e-05
5.429509e+01 -3.552714e-15 1.000000e+03 1.268750e+02 5.429440e+01 1.275655e-05
2.443311e+00 4.000000e+01 7.000000e+02 2.393750e+02 2.444355e+00 4.273051e-04
2.980738e+00 4.000000e+01 4.000000e+02 1.783750e+02 2.975607e+00 1.721517e-03
2.472579e+00 4.000000e+01 1.000000e+03 4.987500e+01 2.471272e+00 5.285574e-04
2.578378e+01 -3.552714e-15 9.000000e+02 6.375000e+00 2.577794e+01 2.265053e-04
2.483327e+00 4.000000e+01 1.000000e+03 2.737500e+01 2.481186e+00 8.621598e-04
2.677758e+02 -3.552714e-15 3.000000e+02 4.708750e+02 2.677752e+02 2.142659e-06
3.102662e+00 4.000000e+01 5.000000e+02 3.303750e+02 3.107194e+00 1.460691e-03
7.030629e+00 -3.552714e-15 5.000000e+02 8.750000e-01 7.034831e+00 5.976189e-04
9.394891e+01 -3.552714e-15 7.000000e+02 4.578750e+02 9.394867e+01 2.527381e-06
8.080578e+00 2.000000e+01 4.000000e+02 6.887500e+01 8.072925e+00 9.470524e-04
7.293731e+00 2.000000e+01 4.000000e+02 1.558750e+02 7.303950e+00 1.401122e-03
6.258136e+00 2.000000e+01 7.000000e+02 1.838750e+02 6.255263e+00 4.592105e-04
2.768927e+00 4.000000e+01 8.000000e+02 2.568750e+02 2.769598e+00 2.424153e-04
2.440734e+00 4.000000e+01 1.000000e+03 3.683750e+02 2.441221e+00 1.998005e-04
1.193321e+00 6.000000e+01 3.000000e+02 2.563750e+02 1.193652e+00 2.776819e-04
3.027483e+00 4.000000e+01 3.000000e+02 1.543750e+02 3.026575e+00 2.998225e-04
8.581142e+00 2.000000e+01 3.000000e+02 1.658750e+02 8.578278e+00 3.337117e-04
1.750405e+00 5.000000e+01 3.000000e+02 3.663750e+02 1.748967e+00 8.216072e-04
3.285260e+00 4.000000e+01 5.000000e+02 3.853750e+02 3.285485e+00 6.831552e-05
3.129599e+00 4.000000e+01 3.000000e+02 1.903750e+02 3.101076e+00 9.113815e-03
1.026102e+02 -3.552714e-15 6.000000e+02 2.608750e+02 1.026087e+02 1.431034e-05
3.186307e+00 4.000000e+01 5.000000e+02 3.348750e+02 3.184238e+00 6.491522e-04
7.154045e+00 2.000000e+01 5.000000e+02 1.028750e+02 7.157333e+00 4.595227e-04
2.401891e+00 4.000000e+01 1.000000e+03 3.258750e+02 2.402071e+00 7.489296e-05
2.525815e+00 4.000000e+01 8.000000e+02 6.337500e+01 2.524509e+00 5.169066e-04
2.489208e+00 4.000000e+01 9.000000e+02 2.988750e+02 2.491149e+00 7.798290e-04
5.950811e+01 -3.552714e-15 1.000000e+03 4.128750e+02 5.950786e+01 4.189625e-06
1.704468e+01 1.000000e+01 3.000000e+02 3.778750e+02 1.703473e+01 5.835811e-04
1.768492e+00 5.000000e+01 3.000000e+02 3.063750e+02 1.764883e+00 2.040756e-03
5.822291e+00 2.000000e+01 9.000000e+02 1.318750e+02 5.822436e+00 2.477604e-05
8.179282e+00 2.000000e+01 3.000000e+02 6.487500e+01 8.165144e+00 1.728433e-03
7.327258e+00 2.000000e+01 5.000000e+02 1.348750e+02 7.324956e+00 3.141921e-04
5.635318e+00 2.000000e+01 9.000000e+02 3.728750e+02 5.635247e+00 1.272482e-05
6.811251e+00 2.000000e+01 4.000000e+02 3.248750e+02 6.815568e+00 6.338976e-04
5.777036e+00 2.000000e+01 1.000000e+03 1.738750e+02 5.773428e+00 6.246075e-04
2.522550e+00 4.000000e+01 9.000000e+02 2.137500e+01 2.517244e+00 2.103569e-03
2.596066e+00 4.000000e+01 7.000000e+02 1.913750e+02 2.597082e+00 3.914342e-04
2.636016e+00 4.000000e+01 7.000000e+02 1.787500e+01 2.642138e+00 2.322440e-03
5.729134e+00 2.000000e+01 9.000000e+02 1.193750e+02 5.728805e+00 5.735593e-05
7.343744e+00 2.000000e+01 5.000000e+02 3.743750e+02 7.343072e+00 9.150635e-05
1.568234e+01 1.000000e+01 3.000000e+02 5.387500e+01 1.568311e+01 4.913414e-05
1.180915e+00 6.000000e+01 3.000000e+02 2.028750e+02 1.184450e+00 2.993513e-03
2.700837e+00 4.000000e+01 8.000000e+02 3.888750e+02 2.700066e+00 2.856637e-04
5.570784e+00 2.000000e+01 7.000000e+02 3.523750e+02 5.570868e+00 1.515094e-05
6.509910e+00 2.000000e+01 8.000000e+02 3.493750e+02 6.509565e+00 5.299984e-05
7.272539e+00 2.000000e+01 5.000000e+02 2.783750e+02 7.273763e+00 1.683521e-04
7.649972e+01 -3.552714e-15 8.000000e+02 1.928750e+02 7.649949e+01 2.976797e-06
2.366057e+00 4.000000e+01 1.000000e+03 2.778750e+02 2.366538e+00 2.032836e-04
2.958191e+00 4.000000e+01 4.000000e+02 2.868750e+02 2.956523e+00 5.638835e-04
1.219718e+02 -3.552714e-15 5.000000e+02 2.558750e+02 1.219709e+02 6.972683e-06
5.309210e+00 2.000000e+01 1.000000e+03 5.437500e+01 5.312396e+00 6.001402e-04
6.194763e+00 2.000000e+01 8.000000e+02 4.828750e+02 6.197785e+00 4.878187e-04
3.376571e+01 -3.552714e-15 8.000000e+02 8.875000e+00 3.375359e+01 3.589100e-04
2.721002e+00 4.000000e+01 6.000000e+02 4.637500e+01 2.717850e+00 1.158449e-03
6.016977e+00 2.000000e+01 7.000000e+02 2.943750e+02 6.016901e+00 1.275500e-05
2.475442e+02 -3.552714e-15 3.000000e+02 2.848750e+02 2.475447e+02 2.165027e-06
5.736793e+00 2.000000e+01 9.000000e+02 4.213750e+02 5.737212e+00 7.312925e-05
5.112714e+00 2.000000e+01 1.000000e+03 9.637500e+01 5.114195e+00 2.895497e-04
6.231419e+00 2.000000e+01 7.000000e+02 2.378750e+02 6.230489e+00 1.492540e-04
5.712709e+01 -3.552714e-15 1.000000e+03 3.138750e+02 5.712335e+01 6.542864e-05
3.056254e+00 4.000000e+01 3.000000e+02 1.893750e+02 3.086841e+00 1.000790e-02
9.204193e-01 7.000000e+01 3.000000e+02 2.375000e+00 9.496501e-01 3.175809e-02
7.931285e+01 -3.552714e-15 7.000000e+02 1.848750e+02 7.931104e+01 2.288414e-05
2.386116e+00 4.000000e+01 9.000000e+02 1.648750e+02 2.387205e+00 4.564703e-04
1.986545e+02 -3.552714e-15 4.000000e+02 4.628750e+02 1.986524e+02 1.082323e-05
1.858685e+00 5.000000e+01 3.000000e+02 2.468750e+02 1.852487e+00 3.334387e-03
6.782669e+00 2.000000e+01 7.000000e+02 2.837500e+01 6.772901e+00 1.440161e-03
7.020547e+00 2.000000e+01 7.000000e+02 5.187500e+01 7.016867e+00 5.241967e-04
1.075440e+00 6.000000e+01 3.000000e+02 4.123750e+02 1.082002e+00 6.101500e-03
1.989619e+02 -3.552714e-15 4.000000e+02 4.768750e+02 1.989606e+02 6.686791e-06
6.005198e+00 2.000000e+01 6.000000e+02 2.943750e+02 6.005555e+00 5.944239e-05
9.559855e+01 -3.552714e-15 7.000000e+02 4.933750e+02 9.559817e+01 3.954812e-06
5.843135e+00 2.000000e+01 4.000000e+02 4.268750e+02 5.841075e+00 3.524476e-04
7.411272e+01 -3.552714e-15 8.000000e+02 1.493750e+02 7.411305e+01 4.357909e-06
1.004771e+00 7.000000e+01 3.000000e+02 6.987500e+01 1.005847e+00 1.071255e-03
2.759147e+00 4.000000e+01 5.000000e+02 7.887500e+01 2.757249e+00 6.877317e-04
4.739050e+00 3.000000e+01 3.000000e+02 4.603750e+02 4.741326e+00 4.801479e-04
3.228648e+00 4.000000e+01 3.000000e+02 4.587500e+01 3.213356e+00 4.736359e-03
1.225026e+02 -3.552714e-15 5.000000e+02 2.828750e+02 1.225020e+02 4.213442e-06
2.508007e+00 4.000000e+01 7.000000e+02 5.587500e+01 2.517914e+00 3.950296e-03
2.434762e+00 4.000000e+01 7.000000e+02 2.538750e+02 2.435192e+00 1.764006e-04
6.086162e+01 -3.552714e-15 9.000000e+02 4.308750e+02 6.086185e+01 3.670358e-06
5.951860e+01 -3.552714e-15 1.000000e+03 4.668750e+02 5.951856e+01 7.498697e-07
1.181489e+00 6.000000e+01 3.000000e+02 2.198750e+02 1.182746e+00 1.064242e-03
3.048172e+00 4.000000e+01 4.000000e+02 2.748750e+02 3.048550e+00 1.240357e-04
6.138142e+00 2.000000e+01 1.000000e+03 4.798750e+02 6.139272e+00 1.840768e-04
3.486989e+00 4.000000e+01 5.000000e+02 4.553750e+02 3.489322e+00 6.690453e-04
1.762733e+00 5.000000e+01 3.000000e+02 2.233750e+02 1.762997e+00 1.496178e-04
2.290060e+02 -3.552714e-15 3.000000e+02 1.663750e+02 2.290223e+02 7.116394e-05
2.973661e+00 4.000000e+01 6.000000e+02 9.987500e+01 2.974354e+00 2.329969e-04
8.544082e+01 -3.552714e-15 5.000000e+02 3.087500e+01 8.543542e+01 6.317581e-05
3.283791e+00 4.000000e+01 6.000000e+02 3.928750e+02 3.288896e+00 1.554826e-03
4.802000e+00 3.000000e+01 3.000000e+02 3.938750e+02 4.792075e+00 2.066897e-03
8.641355e+01 -3.552714e-15 7.000000e+02 3.208750e+02 8.641300e+01 6.356067e-06
8.141941e+00 2.000000e+01 3.000000e+02 8.087500e+01 8.152215e+00 1.261874e-03
2.881811e+00 4.000000e+01 4.000000e+02 4.178750e+02 2.882645e+00 2.894214e-04
6.150687e+00 2.000000e+01 7.000000e+02 2.713750e+02 6.154973e+00 6.967068e-04
6.353613e+00 2.000000e+01 6.000000e+02 3.683750e+02 6.353257e+00 5.596066e-05
6.045858e+00 2.000000e+01 1.000000e+03 4.278750e+02 6.046290e+00 7.137173e-05
1.994557e+02 -3.552714e-15 4.000000e+02 4.878750e+02 1.994550e+02 3.624236e-06
3.055449e+00 4.000000e+01 6.000000e+02 1.978750e+02 3.054948e+00 1.639814e-04
