Model	MSEn	MRE	MedRE	R2	BestVar
TrainSv1p360e15MbC	3.74559E-4	0.01328	2.32794E-4	1	Var1
TrainXg1p360e15YOL	0.00325	0.1314	0.10886	0.98634	Var1
Train1p360e15YOL	3.51001E-4	0.02307	0.00694	0.98389	Var1
TrainSv1p360e15YOL	4.71918E-5	0.00463	4.87411E-4	1	Var1
TrainXg1p360e15YOfl2p	0.00226	0.09633	0.0599	0.93134	Var1
Train1p360e15YOfl2p	0.00388	0.12578	0.12322	0.95099	Var1
TrainSv1p360e15YOfl2p	6.76054E-4	0.0181	7.34725E-4	1	Var1
TrainXg1p360e15YOflp	0.01278	0.28119	0.24106	0.83328	Var1
Train1p360e15YOflp	9.8942E-4	0.0743	0.07687	0.99602	Var1
TrainSv1p360e15YOflp	2.95098E-4	0.01078	1.84234E-5	1	Var1
TrainRf1p360e15EfC	1.00536E-4	0.01868	0.01136	0.99746	Var1
TrainGb1p360e15EfC	3.59495E-6	0.00189	3.47313E-4	1	Var1
TrainRf1p360e15EfP	4.79036E-5	0.01269	0.00641	0.99835	Var1
TrainGb1p360e15EfP	1.73291E-8	1.50358E-4	4.61982E-5	1	Var1
TrainRf1p360e15RsC	3.3709E-4	0.03929	0.02502	0.99855	Var1
TrainGb1p360e15RsC	4.52274E-17	1.39043E-8	1.04949E-8	1	Var1
TrainRf1p360e15RsP	1.99656E-29	9.9925E-15	8.17027E-15	1	Var1
TrainGb1p360e15RsP	8.55261E-6	0.00335	8.80111E-4	0.99992	Var1
TrainRf1p360e15MbC	6.13923E-5	0.01622	0.01201	0.99933	Var1
TrainGb1p360e15MbC	1.63384E-6	0.00134	3.04573E-4	1	Var1
TrainRf1p360e15YOL	7.48544E-5	0.01825	0.01416	0.99913	Var1
TrainGb1p360e15YOL	8.4935E-10	4.41437E-5	2.32054E-5	1	Var1
TrainRf1p360e15MbP	4.24764E-5	0.01503	0.01551	0.99978	Var1
TrainGb1p360e15MbP	1.48166E-7	3.99724E-4	7.13806E-5	1	Var1
TrainRf1p360e15XcC	7.09806E-29	1.86625E-14	1.64063E-14	1	Var1
TrainGb1p360e15XcC	3.77624E-8	2.30852E-4	9.17357E-5	1	Var1
TrainRf1p360e15XcP	3.43567E-5	0.01253	0.00964	0.99937	Var1
TrainGb1p360e15XcP	9.93695E-11	1.13567E-5	2.68237E-6	1	Var1
TrainRf1p360e15NNC	1.71524E-29	9.32569E-15	8.18549E-15	1	Var1
TrainGb1p360e15NNC	3.48426E-8	3.02774E-4	1.77914E-4	1	Var1
TrainRf1p360e15NNP	1.22136E-4	0.01231	8.12856E-4	1	Var1
TrainGb1p360e15NNP	9.35817E-8	6.14119E-4	5.71224E-4	1	Var1
TrainRf1p360e15YOL2	7.48975E-29	1.93133E-14	1.64347E-14	1	Var1
TrainGb1p360e15YOL2	2.80185E-9	9.97479E-5	4.74066E-5	1	Var1
TrainRf1p360e15EfPp	0.00214	0.10409	0.09048	0.95156	Var1
TrainGb1p360e15EfPp	4.58468E-7	0.00151	0.00141	1	Var1
TrainRf1p360e15YOflp	0.00266	0.10564	0.06975	0.92771	Var1
TrainGb1p360e15YOflp	1.47867E-5	0.00839	0.00753	0.99983	Var1
TrainRf1p360e15MbPp	4.6283E-4	0.04527	0.0324	0.99281	Var1
TrainGb1p360e15MbPp	3.7057E-6	0.00201	6.98712E-4	0.99999	Var1
TrainRf1p360e15NNCp	1.53597E-28	2.58683E-14	1.64063E-14	1	Var1
TrainGb1p360e15NNCp	3.81227E-6	0.00325	0.00206	0.99999	Var1
TrainRf1p360e15YOfl2p	3.68545E-6	0.00365	0.00282	0.99999	Var1
TrainGb1p360e15YOfl2p	8.71623E-8	6.68318E-4	4.92398E-4	1	Var1
