fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 rmsre
d51b0Vn1Nt 9.0197260E+12 2.8350396E-1 8.4493635E-3 4.4686697E+13 3.0383946E-1 1.7422326E-2 1.1291195E+14 3.4483670E-1 1.8944797E-2 1.9556060E+14 3.5018756E-1 2.7896366E-2 4.4407634E+14 4.9260782E-1 5.4793909E-2 5.5325187E-2
d51b0Vn1Nt 9.0482945E+12 2.8347780E-1 8.4612888E-3 5.7871245E+13 3.0485817E-1 1.7851778E-2 2.5114880E+14 3.4522339E-1 2.0790885E-2 4.7292796E+13 3.7698565E-1 2.1459935E-2 7.1328567E+14 5.0975226E-1 5.5602685E-2 5.4953496E-2
d51b0Vn1Nt 6.0093587E+12 2.8209064E-1 6.6228906E-3 1.7604735E+13 2.9441713E-1 1.2419257E-2 3.3305882E+14 3.4532571E-1 2.7757593E-2 1.5937945E+13 3.4904224E-1 1.2370347E-2 6.7692156E+13 4.2365234E-1 2.2672115E-2 2.8622895E-2
d51c0Vn1Nt 9.2448067E+12 2.8237460E-1 7.5393387E-3 3.7724948E+13 2.9838710E-1 1.4542156E-2 3.2686071E+14 3.3709142E-1 2.1610675E-2 4.8204185E+12 3.7334014E-1 8.6745945E-3 2.3815126E+13 4.0037378E-1 1.8483930E-2 3.7299691E-2
d51c0Vn1Nt 1.3076137E+13 2.8382091E-1 9.0008258E-3 8.7174802E+13 3.1017098E-1 1.8002913E-2 1.0804334E+14 3.3776636E-1 1.5700441E-2 1.8239691E+14 3.4660796E-1 2.5121831E-2 9.5384003E+12 4.0633873E-1 1.0828744E-2 5.2874381E-2
d51c0Vn1Nt 9.2636966E+12 2.8237461E-1 7.5426060E-3 3.7757241E+13 2.9840289E-1 1.4538896E-2 3.2669093E+14 3.3708666E-1 2.1601297E-2 4.6423858E+12 3.7328871E-1 8.6044092E-3 2.4326040E+13 4.0031805E-1 1.8893769E-2 3.7227150E-2
d51d0Vn1Nt 6.8676463E+12 2.8214612E-1 6.6473674E-3 2.2919818E+13 2.9548936E-1 1.2918889E-2 3.4253368E+14 3.3957693E-1 2.3467600E-2 2.3184250E+13 3.9040143E-1 1.3596036E-2 1.0943171E+15 4.8490792E-1 3.2580694E-2 1.5321977E-2
d51d0Vn1Nt 7.0513888E+12 2.8209984E-1 7.2135733E-3 2.7125763E+13 2.9612898E-1 1.4219914E-2 3.2795397E+14 3.3934352E-1 2.2879894E-2 7.8399971E+12 3.8626552E-1 1.0064427E-2 1.3734947E+15 5.4646072E-1 7.0600501E-2 3.8459641E-2
d51d0Vn1Nt 6.5844013E+12 2.8189639E-1 6.8467691E-3 2.3368930E+13 2.9504319E-1 1.3249945E-2 3.4439014E+14 3.3969156E-1 2.3576613E-2 1.1078474E+13 3.8508007E-1 9.9830668E-3 5.3690166E+13 4.1506345E-1 1.8184108E-2 2.6662867E-2
d53a0Vn1Nt 9.7467136E+12 2.8220264E-1 7.2974915E-3 3.0208193E+13 2.9691404E-1 1.4306370E-2 3.1259466E+14 3.5780598E-1 3.2761869E-2 8.0753050E+13 3.6940384E-1 1.6302779E-2 3.5634777E+15 5.3658173E-1 4.2090744E-2 4.2167968E-2
d53a0Vn1Nt 9.6586288E+12 2.8194070E-1 6.8200564E-3 2.8835678E+13 2.9521853E-1 1.2907536E-2 1.0083321E+14 3.2832071E-1 2.1733343E-2 2.7220609E+14 3.6825413E-1 2.0733527E-2 4.0696286E+13 4.1803114E-1 1.7704932E-2 1.3457776E-2
d53a0Vn1Nt 9.4497797E+12 2.8219434E-1 7.2349938E-3 2.8408574E+13 2.9646508E-1 1.4118095E-2 2.7538555E+14 3.5400797E-1 3.2369024E-2 1.0197400E+14 3.6952535E-1 1.7090164E-2 6.7011820E+14 5.3699093E-1 6.5331538E-2 4.2833978E-2
d53b0Vn1Nt 1.1532857E+13 2.8273399E-1 8.5964557E-3 3.3986518E+13 3.0115529E-1 1.6028278E-2 2.2984092E+14 3.6109371E-1 2.8932499E-2 6.4407371E+12 3.6456631E-1 1.0550557E-2 1.7281139E+12 3.7171004E-1 5.8885805E-3 4.7725165E-2
d53b0Vn1Nt 1.2505334E+13 2.8291046E-1 8.7646507E-3 3.4817452E+13 3.0213022E-1 1.6325433E-2 3.2787417E+12 3.5871583E-1 8.7366744E-3 2.2847564E+14 3.6138366E-1 2.8590362E-2 4.1677689E+12 3.7086452E-1 6.9513995E-3 5.1003358E-2
d53c0Vn1Nt 9.0688286E+12 2.8069356E-1 6.0365911E-3 1.7287756E+13 2.9013151E-1 9.9315640E-3 3.4608617E+13 3.0594337E-1 1.6634691E-2 3.0048640E+14 3.7480857E-1 3.8647538E-2 7.9553906E+13 3.8186778E-1 1.7128816E-2 1.0248012E-2
d53c0Vn1Nt 1.1565281E+13 2.8185967E-1 6.8530768E-3 2.9538541E+13 2.9416062E-1 1.3071855E-2 8.8843850E+13 3.2555442E-1 2.4291354E-2 2.8261458E+14 3.8121412E-1 2.3543936E-2 3.2717449E+13 4.3300182E-1 1.4762242E-2 2.1632931E-2
