Na T290 T291 T292 T293 T294 T295 T296 T297 T298 T299 T300 T301 T302 T303 T304 T305 T306 T307 T308 T309 T310 T311 T312 T313 T314 T315 T316 T317 T318 T319 T320 T321 T322 T323 T324 T325 T326 T327 T328 T329 T330 T331 T332 T333 T334 T335 T336 T337 T338 T339 T340
1.562500000E+1 5.064341609E-7 5.059608447E-7 5.054865920E-7 5.050114018E-7 5.045352730E-7 5.040582043E-7 5.035801948E-7 5.031012432E-7 5.026213483E-7 5.021405089E-7 5.016587238E-7 5.011759919E-7 5.006923117E-7 5.002076821E-7 4.997221017E-7 4.992355692E-7 4.987480834E-7 4.982596428E-7 4.977702461E-7 4.972798918E-7 4.967885786E-7 4.962963051E-7 4.958030698E-7 4.953088712E-7 4.948137078E-7 4.943175782E-7 4.938204808E-7 4.933224140E-7 4.928233764E-7 4.923233662E-7 4.918223820E-7 4.913204220E-7 4.908174847E-7 4.903135684E-7 4.898086713E-7 4.893027918E-7 4.887959282E-7 4.882880787E-7 4.877792415E-7 4.872694149E-7 4.867585971E-7 4.862467861E-7 4.857339803E-7 4.852201776E-7 4.847053762E-7 4.841895743E-7 4.836727698E-7 4.831549608E-7 4.826361454E-7 4.821163214E-7 4.815954870E-7
1.568750000E+1 4.722716005E-7 4.718356004E-7 4.713987391E-7 4.709610155E-7 4.705224288E-7 4.700829778E-7 4.696426617E-7 4.692014794E-7 4.687594298E-7 4.683165118E-7 4.678727245E-7 4.674280666E-7 4.669825372E-7 4.665361350E-7 4.660888589E-7 4.656407078E-7 4.651916805E-7 4.647417757E-7 4.642909923E-7 4.638393290E-7 4.633867846E-7 4.629333578E-7 4.624790474E-7 4.620238520E-7 4.615677703E-7 4.611108009E-7 4.606529426E-7 4.601941939E-7 4.597345535E-7 4.592740199E-7 4.588125917E-7 4.583502675E-7 4.578870459E-7 4.574229252E-7 4.569579041E-7 4.564919810E-7 4.560251544E-7 4.555574227E-7 4.550887844E-7 4.546192378E-7 4.541487814E-7 4.536774135E-7 4.532051325E-7 4.527319367E-7 4.522578245E-7 4.517827941E-7 4.513068437E-7 4.508299718E-7 4.503521764E-7 4.498734558E-7 4.493938083E-7
1.575000000E+1 4.404072756E-7 4.400056738E-7 4.396032798E-7 4.392000928E-7 4.387961120E-7 4.383913364E-7 4.379857653E-7 4.375793976E-7 4.371722325E-7 4.367642690E-7 4.363555062E-7 4.359459431E-7 4.355355788E-7 4.351244122E-7 4.347124423E-7 4.342996681E-7 4.338860886E-7 4.334717026E-7 4.330565092E-7 4.326405072E-7 4.322236956E-7 4.318060731E-7 4.313876388E-7 4.309683913E-7 4.305483296E-7 4.301274524E-7 4.297057586E-7 4.292832469E-7 4.288599161E-7 4.284357650E-7 4.280107923E-7 4.275849967E-7 4.271583769E-7 4.267309316E-7 4.263026594E-7 4.258735591E-7 4.254436292E-7 4.250128683E-7 4.245812752E-7 4.241488482E-7 4.237155862E-7 4.232814874E-7 4.228465506E-7 4.224107742E-7 4.219741568E-7 4.215366967E-7 4.210983925E-7 4.206592426E-7 4.202192455E-7 4.197783996E-7 4.193367032E-7
1.581250000E+1 4.106867121E-7 4.103168175E-7 4.099461943E-7 4.095748418E-7 4.092027591E-7 4.088299456E-7 4.084564004E-7 4.080821227E-7 4.077071117E-7 4.073313667E-7 4.069548867E-7 4.065776710E-7 4.061997186E-7 4.058210287E-7 4.054416004E-7 4.050614328E-7 4.046805249E-7 4.042988759E-7 4.039164847E-7 4.035333505E-7 4.031494721E-7 4.027648488E-7 4.023794793E-7 4.019933628E-7 4.016064981E-7 4.012188843E-7 4.008305203E-7 4.004414049E-7 4.000515371E-7 3.996609158E-7 3.992695398E-7 3.988774081E-7 3.984845195E-7 3.980908727E-7 3.976964667E-7 3.973013001E-7 3.969053719E-7 3.965086808E-7 3.961112255E-7 3.957130048E-7 3.953140174E-7 3.949142620E-7 3.945137374E-7 3.941124421E-7 3.937103749E-7 3.933075344E-7 3.929039193E-7 3.924995281E-7 3.920943595E-7 3.916884121E-7 3.912816843E-7
1.587500000E+1 3.829657824E-7 3.826251135E-7 3.822837745E-7 3.819417645E-7 3.815990830E-7 3.812557293E-7 3.809117026E-7 3.805670024E-7 3.802216279E-7 3.798755784E-7 3.795288531E-7 3.791814513E-7 3.788333722E-7 3.784846151E-7 3.781351792E-7 3.777850636E-7 3.774342676E-7 3.770827904E-7 3.767306310E-7 3.763777887E-7 3.760242625E-7 3.756700517E-7 3.753151553E-7 3.749595724E-7 3.746033021E-7 3.742463435E-7 3.738886956E-7 3.735303575E-7 3.731713282E-7 3.728116067E-7 3.724511921E-7 3.720900832E-7 3.717282792E-7 3.713657789E-7 3.710025813E-7 3.706386854E-7 3.702740900E-7 3.699087942E-7 3.695427967E-7 3.691760965E-7 3.688086924E-7 3.684405833E-7 3.680717680E-7 3.677022454E-7 3.673320143E-7 3.669610734E-7 3.665894216E-7 3.662170576E-7 3.658439802E-7 3.654701882E-7 3.650956802E-7
1.593750000E+1 3.571100137E-7 3.567962822E-7 3.564819341E-7 3.561669689E-7 3.558513859E-7 3.555351847E-7 3.552183647E-7 3.549009251E-7 3.545828654E-7 3.542641850E-7 3.539448831E-7 3.536249593E-7 3.533044127E-7 3.529832427E-7 3.526614486E-7 3.523390298E-7 3.520159854E-7 3.516923148E-7 3.513680173E-7 3.510430920E-7 3.507175383E-7 3.503913553E-7 3.500645422E-7 3.497370983E-7 3.494090228E-7 3.490803148E-7 3.487509735E-7 3.484209981E-7 3.480903877E-7 3.477591414E-7 3.474272583E-7 3.470947376E-7 3.467615784E-7 3.464277796E-7 3.460933405E-7 3.457582601E-7 3.454225374E-7 3.450861714E-7 3.447491611E-7 3.444115057E-7 3.440732040E-7 3.437342550E-7 3.433946578E-7 3.430544113E-7 3.427135144E-7 3.423719661E-7 3.420297652E-7 3.416869108E-7 3.413434016E-7 3.409992366E-7 3.406544147E-7
1.600000000E+1 3.329939418E-7 3.327050374E-7 3.324155657E-7 3.321255264E-7 3.318349189E-7 3.315437426E-7 3.312519972E-7 3.309596819E-7 3.306667964E-7 3.303733400E-7 3.300793121E-7 3.297847123E-7 3.294895398E-7 3.291937942E-7 3.288974748E-7 3.286005810E-7 3.283031122E-7 3.280050676E-7 3.277064468E-7 3.274072489E-7 3.271074735E-7 3.268071196E-7 3.265061868E-7 3.262046742E-7 3.259025811E-7 3.255999069E-7 3.252966508E-7 3.249928120E-7 3.246883899E-7 3.243833835E-7 3.240777922E-7 3.237716152E-7 3.234648516E-7 3.231575006E-7 3.228495615E-7 3.225410333E-7 3.222319153E-7 3.219222066E-7 3.216119062E-7 3.213010135E-7 3.209895273E-7 3.206774469E-7 3.203647714E-7 3.200514997E-7 3.197376311E-7 3.194231644E-7 3.191080989E-7 3.187924334E-7 3.184761671E-7 3.181592988E-7 3.178418277E-7
1.606250000E+1 3.105005076E-7 3.102344845E-7 3.099679396E-7 3.097008725E-7 3.094332826E-7 3.091651696E-7 3.088965330E-7 3.086273724E-7 3.083576872E-7 3.080874769E-7 3.078167412E-7 3.075454795E-7 3.072736912E-7 3.070013759E-7 3.067285330E-7 3.064551620E-7 3.061812623E-7 3.059068334E-7 3.056318747E-7 3.053563856E-7 3.050803655E-7 3.048038139E-7 3.045267301E-7 3.042491135E-7 3.039709634E-7 3.036922793E-7 3.034130605E-7 3.031333063E-7 3.028530160E-7 3.025721891E-7 3.022908247E-7 3.020089222E-7 3.017264809E-7 3.014435001E-7 3.011599791E-7 3.008759170E-7 3.005913132E-7 3.003061669E-7 3.000204773E-7 2.997342437E-7 2.994474652E-7 2.991601411E-7 2.988722706E-7 2.985838528E-7 2.982948869E-7 2.980053721E-7 2.977153075E-7 2.974246922E-7 2.971335255E-7 2.968418063E-7 2.965495339E-7
1.612500000E+1 2.895204949E-7 2.892755591E-7 2.890301432E-7 2.887842468E-7 2.885378695E-7 2.882910110E-7 2.880436708E-7 2.877958486E-7 2.875475439E-7 2.872987564E-7 2.870494855E-7 2.867997309E-7 2.865494921E-7 2.862987687E-7 2.860475601E-7 2.857958660E-7 2.855436857E-7 2.852910190E-7 2.850378651E-7 2.847842237E-7 2.845300942E-7 2.842754761E-7 2.840203688E-7 2.837647718E-7 2.835086846E-7 2.832521066E-7 2.829950372E-7 2.827374759E-7 2.824794220E-7 2.822208749E-7 2.819618341E-7 2.817022989E-7 2.814422688E-7 2.811817430E-7 2.809207210E-7 2.806592020E-7 2.803971854E-7 2.801346706E-7 2.798716569E-7 2.796081436E-7 2.793441299E-7 2.790796152E-7 2.788145988E-7 2.785490799E-7 2.782830578E-7 2.780165318E-7 2.777495011E-7 2.774819649E-7 2.772139225E-7 2.769453731E-7 2.766763158E-7
1.618750000E+1 2.699520044E-7 2.697265017E-7 2.695005573E-7 2.692741707E-7 2.690473418E-7 2.688200701E-7 2.685923554E-7 2.683641972E-7 2.681355953E-7 2.679065492E-7 2.676770586E-7 2.674471231E-7 2.672167423E-7 2.669859158E-7 2.667546432E-7 2.665229241E-7 2.662907581E-7 2.660581447E-7 2.658250835E-7 2.655915741E-7 2.653576160E-7 2.651232088E-7 2.648883519E-7 2.646530449E-7 2.644172874E-7 2.641810787E-7 2.639444185E-7 2.637073062E-7 2.634697413E-7 2.632317232E-7 2.629932515E-7 2.627543256E-7 2.625149449E-7 2.622751089E-7 2.620348170E-7 2.617940686E-7 2.615528632E-7 2.613112002E-7 2.610690789E-7 2.608264988E-7 2.605834592E-7 2.603399595E-7 2.600959991E-7 2.598515774E-7 2.596066936E-7 2.593613472E-7 2.591155374E-7 2.588692637E-7 2.586225252E-7 2.583753213E-7 2.581276514E-7
1.625000000E+1 2.516999640E-7 2.514923693E-7 2.512843681E-7 2.510759602E-7 2.508671452E-7 2.506579229E-7 2.504482930E-7 2.502382552E-7 2.500278092E-7 2.498169546E-7 2.496056912E-7 2.493940185E-7 2.491819363E-7 2.489694443E-7 2.487565420E-7 2.485432292E-7 2.483295053E-7 2.481153702E-7 2.479008233E-7 2.476858643E-7 2.474704929E-7 2.472547085E-7 2.470385108E-7 2.468218994E-7 2.466048739E-7 2.463874337E-7 2.461695785E-7 2.459513079E-7 2.457326213E-7 2.455135183E-7 2.452939985E-7 2.450740613E-7 2.448537063E-7 2.446329330E-7 2.444117409E-7 2.441901294E-7 2.439680981E-7 2.437456465E-7 2.435227739E-7 2.432994800E-7 2.430757641E-7 2.428516256E-7 2.426270641E-7 2.424020789E-7 2.421766696E-7 2.419508354E-7 2.417245758E-7 2.414978902E-7 2.412707781E-7 2.410432387E-7 2.408152715E-7
1.631250000E+1 2.346756703E-7 2.344845776E-7 2.342931109E-7 2.341012699E-7 2.339090543E-7 2.337164640E-7 2.335234987E-7 2.333301582E-7 2.331364421E-7 2.329423502E-7 2.327478822E-7 2.325530378E-7 2.323578168E-7 2.321622188E-7 2.319662435E-7 2.317698907E-7 2.315731599E-7 2.313760509E-7 2.311785634E-7 2.309806970E-7 2.307824513E-7 2.305838261E-7 2.303848208E-7 2.301854353E-7 2.299856691E-7 2.297855218E-7 2.295849931E-7 2.293840825E-7 2.291827896E-7 2.289811141E-7 2.287790556E-7 2.285766136E-7 2.283737876E-7 2.281705774E-7 2.279669823E-7 2.277630020E-7 2.275586361E-7 2.273538840E-7 2.271487453E-7 2.269432195E-7 2.267373062E-7 2.265310049E-7 2.263243150E-7 2.261172360E-7 2.259097676E-7 2.257019090E-7 2.254936599E-7 2.252850197E-7 2.250759879E-7 2.248665638E-7 2.246567470E-7
1.637500000E+1 2.187963625E-7 2.186204756E-7 2.184442445E-7 2.182676690E-7 2.180907488E-7 2.179134839E-7 2.177358740E-7 2.175579187E-7 2.173796181E-7 2.172009717E-7 2.170219793E-7 2.168426408E-7 2.166629558E-7 2.164829241E-7 2.163025454E-7 2.161218195E-7 2.159407460E-7 2.157593248E-7 2.155775554E-7 2.153954377E-7 2.152129713E-7 2.150301559E-7 2.148469912E-7 2.146634769E-7 2.144796127E-7 2.142953981E-7 2.141108330E-7 2.139259169E-7 2.137406494E-7 2.135550304E-7 2.133690593E-7 2.131827358E-7 2.129960596E-7 2.128090302E-7 2.126216473E-7 2.124339104E-7 2.122458193E-7 2.120573734E-7 2.118685724E-7 2.116794159E-7 2.114899034E-7 2.113000345E-7 2.111098088E-7 2.109192258E-7 2.107282851E-7 2.105369862E-7 2.103453286E-7 2.101533120E-7 2.099609358E-7 2.097681996E-7 2.095751028E-7
1.643750000E+1 2.039848228E-7 2.038229468E-7 2.036607540E-7 2.034982444E-7 2.033354176E-7 2.031722735E-7 2.030088120E-7 2.028450329E-7 2.026809359E-7 2.025165209E-7 2.023517876E-7 2.021867359E-7 2.020213655E-7 2.018556762E-7 2.016896677E-7 2.015233400E-7 2.013566926E-7 2.011897254E-7 2.010224381E-7 2.008548304E-7 2.006869022E-7 2.005186531E-7 2.003500828E-7 2.001811911E-7 2.000119777E-7 1.998424424E-7 1.996725847E-7 1.995024045E-7 1.993319014E-7 1.991610751E-7 1.989899253E-7 1.988184516E-7 1.986466538E-7 1.984745315E-7 1.983020844E-7 1.981293121E-7 1.979562143E-7 1.977827906E-7 1.976090407E-7 1.974349642E-7 1.972605607E-7 1.970858298E-7 1.969107712E-7 1.967353846E-7 1.965596693E-7 1.963836252E-7 1.962072518E-7 1.960305486E-7 1.958535153E-7 1.956761514E-7 1.954984565E-7
1.650000000E+1 1.901690049E-7 1.900200384E-7 1.898707804E-7 1.897212307E-7 1.895713893E-7 1.894212559E-7 1.892708304E-7 1.891201126E-7 1.889691024E-7 1.888177996E-7 1.886662041E-7 1.885143156E-7 1.883621339E-7 1.882096589E-7 1.880568905E-7 1.879038282E-7 1.877504721E-7 1.875968218E-7 1.874428772E-7 1.872886380E-7 1.871341040E-7 1.869792750E-7 1.868241507E-7 1.866687309E-7 1.865130154E-7 1.863570039E-7 1.862006961E-7 1.860440918E-7 1.858871907E-7 1.857299926E-7 1.855724972E-7 1.854147042E-7 1.852566132E-7 1.850982241E-7 1.849395365E-7 1.847805502E-7 1.846212648E-7 1.844616799E-7 1.843017954E-7 1.841416109E-7 1.839811260E-7 1.838203404E-7 1.836592538E-7 1.834978658E-7 1.833361761E-7 1.831741844E-7 1.830118903E-7 1.828492933E-7 1.826863933E-7 1.825231897E-7 1.823596822E-7
1.656250000E+1 1.772816868E-7 1.771446145E-7 1.770072740E-7 1.768696651E-7 1.767317876E-7 1.765936415E-7 1.764552267E-7 1.763165429E-7 1.761775900E-7 1.760383680E-7 1.758988766E-7 1.757591157E-7 1.756190852E-7 1.754787848E-7 1.753382145E-7 1.751973740E-7 1.750562632E-7 1.749148819E-7 1.747732298E-7 1.746313069E-7 1.744891130E-7 1.743466477E-7 1.742039110E-7 1.740609025E-7 1.739176222E-7 1.737740698E-7 1.736302450E-7 1.734861477E-7 1.733417776E-7 1.731971344E-7 1.730522180E-7 1.729070281E-7 1.727615644E-7 1.726158268E-7 1.724698148E-7 1.723235283E-7 1.721769670E-7 1.720301307E-7 1.718830190E-7 1.717356317E-7 1.715879684E-7 1.714400290E-7 1.712918130E-7 1.711433203E-7 1.709945505E-7 1.708455033E-7 1.706961783E-7 1.705465753E-7 1.703966940E-7 1.702465339E-7 1.700960948E-7
1.662500000E+1 1.652601463E-7 1.651340327E-7 1.650076720E-7 1.648810644E-7 1.647542097E-7 1.646271077E-7 1.644997584E-7 1.643721617E-7 1.642443174E-7 1.641162254E-7 1.639878856E-7 1.638592980E-7 1.637304622E-7 1.636013782E-7 1.634720459E-7 1.633424652E-7 1.632126358E-7 1.630825576E-7 1.629522304E-7 1.628216541E-7 1.626908286E-7 1.625597536E-7 1.624284290E-7 1.622968546E-7 1.621650303E-7 1.620329557E-7 1.619006308E-7 1.617680554E-7 1.616352292E-7 1.615021520E-7 1.613688237E-7 1.612352440E-7 1.611014127E-7 1.609673296E-7 1.608329945E-7 1.606984071E-7 1.605635672E-7 1.604284745E-7 1.602931289E-7 1.601575301E-7 1.600216778E-7 1.598855718E-7 1.597492118E-7 1.596125975E-7 1.594757288E-7 1.593386052E-7 1.592012266E-7 1.590635927E-7 1.589257032E-7 1.587875577E-7 1.586491561E-7
1.668750000E+1 1.540458595E-7 1.539298419E-7 1.538135971E-7 1.536971249E-7 1.535804254E-7 1.534634983E-7 1.533463436E-7 1.532289613E-7 1.531113511E-7 1.529935131E-7 1.528754471E-7 1.527571530E-7 1.526386307E-7 1.525198801E-7 1.524009010E-7 1.522816934E-7 1.521622571E-7 1.520425919E-7 1.519226979E-7 1.518025747E-7 1.516822223E-7 1.515616405E-7 1.514408292E-7 1.513197882E-7 1.511985174E-7 1.510770166E-7 1.509552856E-7 1.508333243E-7 1.507111325E-7 1.505887100E-7 1.504660566E-7 1.503431722E-7 1.502200566E-7 1.500967096E-7 1.499731309E-7 1.498493205E-7 1.497252780E-7 1.496010033E-7 1.494764962E-7 1.493517564E-7 1.492267838E-7 1.491015781E-7 1.489761391E-7 1.488504665E-7 1.487245602E-7 1.485984199E-7 1.484720453E-7 1.483454362E-7 1.482185924E-7 1.480915137E-7 1.479641996E-7
1.675000000E+1 1.435842176E-7 1.434775014E-7 1.433705760E-7 1.432634414E-7 1.431560975E-7 1.430485443E-7 1.429407816E-7 1.428328094E-7 1.427246276E-7 1.426162361E-7 1.425076349E-7 1.423988238E-7 1.422898028E-7 1.421805718E-7 1.420711306E-7 1.419614792E-7 1.418516174E-7 1.417415452E-7 1.416312624E-7 1.415207689E-7 1.414100646E-7 1.412991494E-7 1.411880231E-7 1.410766857E-7 1.409651369E-7 1.408533766E-7 1.407414048E-7 1.406292212E-7 1.405168257E-7 1.404042182E-7 1.402913985E-7 1.401783664E-7 1.400651219E-7 1.399516646E-7 1.398379945E-7 1.397241113E-7 1.396100150E-7 1.394957053E-7 1.393811820E-7 1.392664450E-7 1.391514940E-7 1.390363290E-7 1.389209496E-7 1.388053556E-7 1.386895470E-7 1.385735234E-7 1.384572847E-7 1.383408306E-7 1.382241610E-7 1.381072755E-7 1.379901741E-7
