Name I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph rmsre 
STD 3.64271E-06 4.06928E-01 1.31353E+05 5.98003E-09 3.64405E-03 4.82182E+00 7.40580E+00 1.24785E-05 2.20001E-06
IQR 2.49391E-06 2.38776E-01 2.80094E+03 2.66597E-09 1.73634E-03 2.37254E+00 3.15653E+00 4.50969E-06 2.02140E-07
GOTLBO % % % % % % % % %
MEAN 1.38343E-04 1.00611E+01 4.98093E+04 1.17919E-05 3.11751E+00 1.73665E+04 1.16759E+02 1.62579E-02 4.77176E-01
MEDIAN 5.37507E-06 7.28573E+00 4.15155E+02 9.57098E-06 2.85578E+00 1.36144E+04 1.29627E+01 2.67967E-03 3.90311E-01
STD 2.62287E-04 8.16600E+00 1.34161E+05 9.12450E-06 1.71413E+00 9.85001E+03 1.61999E+02 2.76955E-02 2.65655E-01
IQR 1.44051E-04 9.29239E+00 5.05273E+03 1.47588E-05 2.33102E+00 8.67457E+03 2.23950E+02 1.26027E-02 3.34857E-01
STLBO % % % % % % % % %
MEAN 1.49795E-05 6.36854E+00 9.97536E+03 8.96098E-06 2.92306E+00 1.41753E+04 1.00339E+01 9.60039E-04 9.95037E-02
MEDIAN 1.49998E-05 6.37041E+00 1.00019E+04 8.96101E-06 2.92307E+00 1.41753E+04 1.00025E+01 9.59996E-04 9.95037E-02
STD 1.44843E-07 1.33906E-02 1.89741E+02 1.76253E-10 1.03160E-04 1.40774E-01 2.24315E-01 3.09387E-07 1.68034E-09
IQR 1.45000E-13 1.35000E-08 2.20000E-04 0.00000E+00 0.00000E+00 0.00000E+00 2.00000E-07 3.00000E-13 0.00000E+00
PSO % % % % % % % % %
MEAN 4.96545E-04 1.91264E+01 4.50294E+05 6.73083E-06 3.11462E+00 1.44364E+04 2.73896E+02 4.28324E-02 3.72144E-01
MEDIAN 3.93736E-04 3.00000E+01 6.26289E+02 6.46051E-06 1.83190E+00 1.27767E+04 4.06458E+02 5.33325E-02 3.85700E-01
STD 4.91736E-04 1.25858E+01 5.01487E+05 7.61651E-06 5.71557E+00 9.27566E+03 2.51077E+02 3.94865E-02 2.22745E-01
IQR 1.00000E-03 2.45495E+01 9.99990E+05 7.18939E-06 2.05427E+00 2.47101E+03 4.96305E+02 6.45831E-02 1.50075E-01
IJAYA % % % % % % % % %
MEAN 9.42349E-06 5.29024E+00 4.56409E+04 8.85416E-06 2.89893E+00 1.41009E+04 2.95165E+01 1.03031E-03 1.03602E-01
MEDIAN 4.06721E-06 4.99484E+00 2.15019E+03 8.96174E-06 2.92351E+00 1.41640E+04 2.09875E+01 1.03297E-03 9.97036E-02
STD 9.97079E-06 1.37877E+00 1.50209E+05 6.34878E-07 1.40577E-01 3.50896E+02 3.18446E+01 6.87619E-05 1.39971E-02
IQR 1.70485E-05 2.48413E+00 1.00581E+04 1.15569E-07 5.21455E-02 8.11628E+01 4.12794E+01 9.07897E-05 1.38672E-03
ISCA % % % % % % % % %
MEAN 2.14398E-04 1.13257E+01 4.95872E+04 1.32313E-05 4.09783E+00 1.71151E+04 4.73098E+01 1.38167E-02 8.18085E-01
MEDIAN 4.64450E-05 8.71622E+00 8.29500E+02 1.14849E-05 4.22265E+00 1.40675E+04 6.47950E+00 3.14781E-03 7.88469E-01
STD 2.85623E-04 7.27020E+00 1.37358E+05 1.04956E-05 2.02014E+00 1.02917E+04 9.73633E+01 2.06994E-02 3.51104E-01
IQR 3.31054E-04 1.15029E+01 2.90738E+04 1.70564E-05 3.35400E+00 1.04869E+04 2.36857E+01 1.53414E-02 5.49263E-01
NNA % % % % % % % % %
MEAN 6.97328E-05 1.11960E+01 3.53652E+04 3.24448E-05 6.99158E+00 1.39565E+04 1.20903E+02 2.02108E-02 7.63030E-01
MEDIAN 4.83914E-07 5.40878E+00 2.85860E+02 7.14148E-06 4.64963E+00 8.24641E+03 8.38115E+00 7.48303E-03 7.72851E-01
STD 1.73519E-04 1.02970E+01 1.47089E+05 8.29188E-05 7.83605E+00 1.43488E+04 2.04252E+02 2.29392E-02 3.27747E-01
IQR 3.03647E-05 1.84023E+01 4.76218E+03 2.75607E-05 5.16022E+00 8.11209E+03 1.42647E+02 2.78367E-02 4.84035E-01
CWOA % % % % % % % % %
MEAN 4.49032E-04 1.44168E+01 1.85295E+05 2.74796E-04 9.56700E+00 2.60700E+04 1.87729E+02 2.08770E-02 5.30129E-01
MEDIAN 4.09507E-05 8.93518E+00 5.11516E+02 1.47994E-05 5.62832E+00 1.43077E+04 2.18000E+01 5.06958E-03 4.31416E-01
STD 4.90289E-04 1.06173E+01 3.68325E+05 1.40060E-03 9.90648E+00 1.93858E+04 2.42860E+02 3.19845E-02 2.44593E-01
IQR 9.99991E-04 2.02686E+01 3.31672E+04 2.48264E-05 1.35909E+01 3.90139E+04 3.84579E+02 1.75534E-02 3.97857E-01
WW % % % % % % % % %
MEAN 2.20155E-04 1.11588E+01 4.54647E+04 1.39193E-05 3.35375E+00 1.85707E+04 1.43130E+02 1.81508E-02 4.63896E-01
MEDIAN 1.26821E-05 7.49752E+00 3.58915E+02 7.11711E-06 1.90408E+00 1.19046E+04 4.99410E+01 4.23071E-03 4.19885E-01
STD 3.27795E-04 8.79605E+00 1.95860E+05 2.06209E-05 3.08596E+00 1.40779E+04 1.64633E+02 2.56551E-02 2.32534E-01
IQR 4.03710E-04 1.07669E+01 1.11765E+03 1.81979E-05 3.84336E+00 8.32636E+03 2.54327E+02 2.11628E-02 3.14131E-01
% % % % % T=270 % % % %
true_value 1.50000E-05 6.13450E+00 1.00000E+04 1.73488E-05 2.85185E+00 8.35610E+03 2.00000E+01 9.70000E-04 5.55000E+02
DE % % % % % % % % %
MEAN 3.97827E-05 6.46318E+00 1.47957E+04 1.60419E-05 2.40776E+00 8.07538E+03 7.98556E+01 1.14786E-03 2.22913E-01
MEDIAN 5.77314E-06 5.29869E+00 2.38569E+03 1.56412E-05 2.38705E+00 7.93938E+03 4.24117E+01 1.09825E-03 1.94071E-01
STD 1.11777E-04 4.47231E+00 6.33642E+04 4.08053E-06 5.99120E-01 9.05848E+02 8.63818E+01 1.81649E-04 9.77005E-02
IQR 2.76233E-05 4.99615E+00 5.31820E+03 5.17515E-06 8.98643E-01 1.07949E+03 1.04027E+02 2.48342E-04 1.54062E-01
EBLSHADE % % % % % % % % %
MEAN 1.20138E-05 4.98071E+00 3.38125E+04 1.57012E-05 2.47307E+00 8.03848E+03 1.04170E+02 1.73934E-03 1.36977E-01
MEDIAN 1.01808E-05 5.66058E+00 7.25031E+03 1.71043E-05 2.73316E+00 8.29864E+03 6.89136E+01 9.73795E-04 1.01068E-01
STD 1.60470E-05 1.92840E+00 1.12391E+05 2.60446E-06 4.99355E-01 4.76023E+02 1.05545E+02 4.74130E-03 7.59595E-02
IQR 1.46272E-05 2.85879E+00 8.20152E+03 4.16504E-06 8.06062E-01 7.87928E+02 1.38323E+02 1.21335E-04 4.13082E-02
ADELI % % % % % % % % %
MEAN 1.50038E-05 6.13482E+00 1.00067E+04 1.73488E-05 2.85185E+00 8.35610E+03 1.99953E+01 9.69990E-04 9.95037E-02
MEDIAN 1.50041E-05 6.13485E+00 1.00072E+04 1.73488E-05 2.85185E+00 8.35610E+03 1.99947E+01 9.69989E-04 9.95037E-02
STD 2.58165E-09 2.27269E-04 3.34077E+00 5.03827E-12 2.93864E-06 2.37866E-03 4.38562E-03 4.30177E-09 2.80056E-12
IQR 1.15000E-13 9.50000E-09 1.65000E-04 0.00000E+00 0.00000E+00 0.00000E+00 1.45000E-07 2.00000E-13 0.00000E+00
NDE % % % % % % % % %
MEAN 3.60465E-05 7.52609E+00 4.39246E+04 1.72948E-05 2.78308E+00 8.80209E+03 1.01459E+02 4.81775E-03 3.23871E-01
MEDIAN 7.62416E-06 5.53708E+00 4.46543E+03 1.73249E-05 2.84084E+00 8.34608E+03 4.09988E+01 9.94233E-04 9.95174E-02
STD 1.37707E-04 6.43194E+00 1.86180E+05 1.10173E-05 1.24892E+00 3.93863E+03 1.23126E+02 1.04508E-02 3.19557E-01
IQR 1.01408E-05 1.26505E+00 6.36841E+03 3.40922E-07 3.80923E-01 3.04136E+02 7.78842E+01 1.56030E-03 4.32743E-01
MABC % % % % % % % % %
MEAN 8.35160E-05 1.13300E+01 1.90230E+03 1.52458E-05 1.83437E+00 8.14462E+03 1.71108E+02 6.46840E-03 4.09273E-01
MEDIAN 2.71136E-06 6.75135E+00 4.44996E+02 1.28359E-05 1.49147E+00 7.32573E+03 1.10384E+02 1.51852E-03 4.53471E-01
STD 1.77793E-04 8.72640E+00 6.86129E+03 8.14470E-06 8.54012E-01 2.87251E+03 1.63207E+02 1.15945E-02 1.19907E-01
IQR 3.74323E-05 1.16597E+01 4.56164E+02 3.63794E-06 8.02846E-01 7.22304E+02 2.89850E+02 1.58740E-03 1.09724E-01
TLBO % % % % % % % % %
MEAN 3.42920E-05 6.14136E+00 1.03102E+04 1.72507E-05 2.82232E+00 8.33313E+03 2.88516E+01 2.91144E-03 1.06683E-01
MEDIAN 1.50041E-05 6.13485E+00 1.00072E+04 1.73488E-05 2.85185E+00 8.35610E+03 1.99947E+01 9.69989E-04 9.95037E-02
STD 1.37902E-04 1.08243E-01 5.07984E+03 6.99104E-07 2.10329E-01 1.63655E+02 6.26792E+01 1.38641E-02 5.12710E-02
IQR 1.65000E-13 1.45000E-08 2.10000E-04 0.00000E+00 0.00000E+00 0.00000E+00 2.80000E-07 3.00000E-13 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 2.21297E-04 1.02327E+01 5.82929E+04 2.63430E-05 3.18704E+00 1.50645E+04 1.82996E+02 1.79608E-02 5.37131E-01
MEDIAN 4.36767E-05 7.24878E+00 6.00680E+02 1.74105E-05 2.17765E+00 7.65899E+03 3.58986E+01 3.30988E-03 4.68831E-01
STD 3.29794E-04 7.75064E+00 1.71753E+05 2.14681E-05 2.49472E+00 1.31466E+04 2.04525E+02 2.51704E-02 2.56434E-01
IQR 3.04017E-04 1.37737E+01 1.12995E+04 3.81661E-05 4.72482E+00 1.19406E+04 3.96259E+02 2.55133E-02 3.08822E-01
STLBO % % % % % % % % %
MEAN 1.50041E-05 6.13485E+00 1.00072E+04 1.73488E-05 2.85185E+00 8.35610E+03 1.99947E+01 9.69989E-04 9.95037E-02
MEDIAN 1.50041E-05 6.13485E+00 1.00072E+04 1.73488E-05 2.85185E+00 8.35610E+03 1.99947E+01 9.69989E-04 9.95037E-02
STD 7.11701E-14 6.30226E-09 9.65869E-05 1.02655E-20 4.48508E-16 9.18545E-12 1.22443E-07 1.29342E-13 0.00000E+00
IQR 1.00000E-13 9.00000E-09 1.25000E-04 0.00000E+00 0.00000E+00 0.00000E+00 1.85000E-07 1.50000E-13 0.00000E+00
PSO % % % % % % % % %
MEAN 5.42121E-04 1.73060E+01 4.04042E+05 2.21554E-04 1.81735E+00 1.15906E+04 3.66525E+02 5.55091E-02 4.57577E-01
MEDIAN 7.65571E-04 1.03874E+01 5.01498E+01 1.23559E-05 1.34967E+00 7.18728E+03 4.67262E+02 5.94252E-02 4.65652E-01
STD 4.73026E-04 1.25113E+01 4.90627E+05 1.39832E-03 1.84670E+00 1.42994E+04 2.48536E+02 4.03759E-02 1.56622E-01
IQR 1.00000E-03 2.44417E+01 9.99990E+05 7.56079E-06 1.03118E+00 8.23241E+02 3.67990E+02 9.82999E-02 8.89681E-02
IJAYA % % % % % % % % %
MEAN 1.34436E-05 5.56862E+00 7.06023E+04 1.72620E-05 2.85474E+00 8.33257E+03 2.57141E+01 1.01548E-03 1.04705E-01
MEDIAN 8.14670E-06 5.43119E+00 3.84502E+03 1.73289E-05 2.85875E+00 8.35131E+03 5.99943E+00 9.95066E-04 9.97465E-02
STD 1.27047E-05 1.41515E+00 1.75091E+05 8.14931E-07 1.31050E-01 1.78679E+02 3.22800E+01 9.14166E-05 2.34925E-02
IQR 2.05442E-05 2.30946E+00 2.69783E+04 2.64758E-07 8.27546E-02 7.15931E+01 4.59218E+01 6.75688E-05 6.59079E-04
ISCA % % % % % % % % %
MEAN 2.28542E-04 8.84677E+00 5.20611E+04 3.69271E-05 5.46702E+00 1.50917E+04 6.69038E+01 1.61026E-02 7.96817E-01
MEDIAN 6.51884E-05 7.58798E+00 1.83515E+03 3.69600E-05 5.95693E+00 1.01392E+04 2.54027E+01 5.61353E-03 7.96935E-01
STD 2.94528E-04 5.73257E+00 1.37975E+05 2.35718E-05 2.67474E+00 1.14491E+04 1.03287E+02 2.05783E-02 3.65124E-01
IQR 3.44632E-04 5.30328E+00 2.35572E+04 4.36206E-05 4.77947E+00 1.34149E+04 9.05064E+01 2.15636E-02 6.73399E-01
NNA % % % % % % % % %
MEAN 1.33163E-04 1.18191E+01 1.34310E+05 3.42653E-05 7.99323E+00 8.49075E+03 1.34474E+02 2.18238E-02 6.45683E-01
MEDIAN 1.80058E-06 9.75274E+00 3.66720E+02 9.51081E-06 5.34996E+00 3.74761E+03 4.70315E+00 7.83039E-03 6.02627E-01
STD 2.67511E-04 8.74011E+00 2.82548E+05 7.36358E-05 8.15039E+00 1.25501E+04 2.14004E+02 2.78684E-02 3.64232E-01
IQR 1.21611E-04 1.40399E+01 7.06111E+04 3.55724E-05 8.30687E+00 5.76668E+03 2.43160E+02 2.34230E-02 4.50381E-01
CWOA % % % % % % % % %
MEAN 3.93696E-04 1.55911E+01 1.09481E+05 6.65485E-04 9.65336E+00 2.68805E+04 1.94785E+02 2.85699E-02 6.35434E-01
MEDIAN 4.35791E-07 1.54541E+01 2.42849E+02 5.98460E-05 6.62586E+00 1.70441E+04 1.40753E+01 1.75843E-02 6.05750E-01
STD 4.77009E-04 1.16298E+01 2.88059E+05 2.36125E-03 9.53654E+00 2.20374E+04 2.58012E+02 3.27865E-02 2.98087E-01
IQR 1.00000E-03 2.47268E+01 1.68690E+03 5.32964E-05 6.52389E+00 4.28198E+04 3.88437E+02 4.24920E-02 3.42745E-01
WW % % % % % % % % %
MEAN 2.16269E-04 9.40052E+00 5.15084E+03 2.29466E-05 3.64496E+00 1.32663E+04 1.65863E+02 2.69972E-02 7.00965E-01
MEDIAN 9.75714E-06 7.18348E+00 1.81856E+02 1.20356E-05 3.41832E+00 6.57734E+03 1.20930E+02 1.17396E-02 7.09785E-01
STD 3.51729E-04 7.77397E+00 1.77662E+04 2.79248E-05 2.69874E+00 1.44664E+04 1.70058E+02 3.05017E-02 2.85715E-01
IQR 2.91627E-04 9.53794E+00 9.84394E+02 3.08470E-05 3.24640E+00 6.24479E+03 1.93044E+02 4.65641E-02 5.01708E-01
% % % % % T=280 % % % %
true_value 1.50000E-05 5.91541E+00 1.00000E+04 3.20396E-05 2.78571E+00 5.11528E+03 3.00000E+01 9.80000E-04 5.55000E+02
DE % % % % % % % % %
MEAN 4.03971E-05 6.47375E+00 3.43403E+04 3.19652E-05 2.43732E+00 5.16621E+03 7.48714E+01 1.16245E-03 2.69919E-01
MEDIAN 1.05665E-05 5.55661E+00 2.33187E+03 3.00393E-05 2.24036E+00 4.86298E+03 3.35295E+01 1.11319E-03 2.40187E-01
STD 7.82385E-05 3.76377E+00 1.02886E+05 1.19898E-05 9.93911E-01 1.35207E+03 8.65413E+01 2.04066E-04 1.41998E-01
IQR 3.80577E-05 4.53467E+00 7.58220E+03 1.19566E-05 1.26054E+00 9.83531E+02 1.22586E+02 2.28513E-04 2.65492E-01
EBLSHADE % % % % % % % % %
MEAN 1.18545E-05 5.14036E+00 8.00183E+03 3.04040E-05 2.56009E+00 4.98407E+03 7.10561E+01 1.03308E-03 1.22161E-01
MEDIAN 1.50050E-05 5.91584E+00 9.18706E+03 3.20374E-05 2.78327E+00 5.11486E+03 2.99905E+01 9.80532E-04 9.95039E-02
STD 1.20503E-05 1.57676E+00 1.06627E+04 3.89328E-06 4.69538E-01 2.80340E+02 7.51483E+01 1.06631E-04 5.98735E-02
IQR 1.34067E-05 2.02795E+00 7.81235E+03 2.27881E-06 2.81145E-01 2.05100E+02 7.09991E+01 6.26323E-05 5.74356E-03
ADELI % % % % % % % % %
MEAN 1.50050E-05 5.91584E+00 1.00056E+04 3.20396E-05 2.78572E+00 5.11528E+03 2.99905E+01 9.79994E-04 9.95037E-02
MEDIAN 1.50050E-05 5.91584E+00 1.00056E+04 3.20396E-05 2.78572E+00 5.11528E+03 2.99905E+01 9.79994E-04 9.95037E-02
STD 4.68791E-14 4.08594E-09 5.84150E-05 4.15390E-15 1.96039E-10 1.96039E-07 9.17494E-08 7.99019E-14 0.00000E+00
IQR 6.50000E-14 6.00000E-09 8.50000E-05 0.00000E+00 0.00000E+00 0.00000E+00 1.25000E-07 1.50000E-13 0.00000E+00
NDE % % % % % % % % %
MEAN 2.77117E-05 8.69583E+00 5.56285E+04 5.33777E-05 3.87503E+00 1.31572E+04 8.64157E+01 3.21307E-03 4.11828E-01
MEDIAN 1.05499E-05 5.72903E+00 4.33185E+03 3.20377E-05 2.78288E+00 5.11362E+03 3.69645E+01 1.01834E-03 1.01189E-01
STD 8.06873E-05 7.83219E+00 1.96568E+05 3.96424E-05 2.47164E+00 1.51291E+04 9.27014E+01 6.11367E-03 3.61927E-01
IQR 1.36463E-05 2.84525E+00 8.39135E+03 5.06552E-05 1.58487E+00 9.24994E+03 8.21456E+01 1.12110E-03 6.09675E-01
MABC % % % % % % % % %
MEAN 1.05079E-04 9.48064E+00 1.00918E+04 3.74310E-05 2.17608E+00 7.21156E+03 2.01627E+02 9.75615E-03 4.43772E-01
MEDIAN 8.08438E-06 5.85840E+00 4.74797E+02 2.57093E-05 1.36866E+00 4.37556E+03 1.47165E+02 1.52239E-03 5.30317E-01
STD 2.37915E-04 7.78150E+00 4.30445E+04 2.39975E-05 1.76970E+00 7.87100E+03 1.93659E+02 1.67765E-02 1.98345E-01
IQR 3.18799E-05 1.00038E+01 1.25100E+03 1.56437E-05 2.30682E+00 1.44114E+03 3.72880E+02 5.68043E-03 3.13886E-01
TLBO % % % % % % % % %
MEAN 1.57491E-05 5.96851E+00 5.39360E+04 3.20421E-05 2.78672E+00 5.11587E+03 2.89571E+01 9.79193E-04 9.95041E-02
MEDIAN 1.50050E-05 5.91584E+00 1.00056E+04 3.20396E-05 2.78572E+00 5.11528E+03 2.99905E+01 9.79994E-04 9.95037E-02
STD 2.73367E-06 2.03931E-01 1.90143E+05 1.22930E-08 4.46177E-03 2.55500E+00 4.17713E+00 3.26380E-06 1.12462E-06
IQR 1.35000E-13 1.10000E-08 1.70000E-04 1.00000E-14 0.00000E+00 0.00000E+00 2.45000E-07 2.00000E-13 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 1.33014E-04 9.91098E+00 1.75797E+04 6.13097E-05 4.42251E+00 1.28409E+04 1.39907E+02 1.96162E-02 7.08323E-01
MEDIAN 2.95516E-06 6.77589E+00 3.38128E+02 6.45502E-05 3.81116E+00 7.51306E+03 2.34557E+01 2.75168E-03 6.79184E-01
STD 2.77360E-04 7.83704E+00 5.05155E+04 3.90846E-05 3.18270E+00 1.30797E+04 1.77222E+02 2.83219E-02 2.64995E-01
IQR 7.16887E-05 1.22921E+01 1.49611E+03 7.08709E-05 5.29957E+00 1.13359E+04 2.57643E+02 2.71988E-02 3.56115E-01
STLBO % % % % % % % % %
MEAN 1.50050E-05 5.91584E+00 1.00056E+04 3.20396E-05 2.78572E+00 5.11528E+03 2.99905E+01 9.79994E-04 9.95037E-02
MEDIAN 1.50050E-05 5.91584E+00 1.00056E+04 3.20396E-05 2.78572E+00 5.11528E+03 2.99905E+01 9.79994E-04 9.95037E-02
STD 6.79313E-14 5.71795E-09 8.35703E-05 4.28403E-15 1.96039E-10 2.37635E-07 1.24334E-07 1.13863E-13 0.00000E+00
IQR 1.10000E-13 9.00000E-09 1.35000E-04 4.99999E-15 0.00000E+00 0.00000E+00 2.25000E-07 2.00000E-13 0.00000E+00
PSO % % % % % % % % %
MEAN 4.90580E-04 1.76613E+01 4.91086E+05 4.20596E-05 2.29212E+00 9.41958E+03 2.84719E+02 3.41257E-02 4.34537E-01
MEDIAN 3.74885E-04 1.53835E+01 2.13639E+04 2.38043E-05 8.18861E-01 4.11017E+03 3.23952E+02 2.60703E-03 5.18227E-01
STD 4.72548E-04 1.22030E+01 5.03958E+05 7.40977E-05 4.49178E+00 1.49906E+04 2.64010E+02 3.85989E-02 2.10950E-01
IQR 1.00000E-03 2.37458E+01 9.99990E+05 7.19490E-06 1.32207E+00 4.12745E+02 5.18089E+02 6.16710E-02 2.58364E-01
IJAYA % % % % % % % % %
MEAN 1.19277E-05 5.45879E+00 1.63419E+04 3.23995E-05 2.84490E+00 5.15540E+03 2.64533E+01 1.00538E-03 1.00681E-01
MEDIAN 9.05189E-06 5.39475E+00 4.01672E+03 3.23243E-05 2.84374E+00 5.14506E+03 2.20458E+01 1.00048E-03 9.96693E-02
STD 8.87445E-06 9.19306E-01 3.71416E+04 9.63524E-07 1.17815E-01 8.07806E+01 2.35787E+01 2.82317E-05 2.17705E-03
IQR 1.17422E-05 1.28966E+00 4.70664E+03 7.86839E-07 1.18051E-01 8.54310E+01 4.03945E+01 3.36021E-05 9.82662E-04
ISCA % % % % % % % % %
MEAN 1.83766E-04 9.86647E+00 4.69925E+04 7.03646E-05 6.07375E+00 1.25942E+04 5.42215E+01 1.47866E-02 8.75664E-01
MEDIAN 5.47205E-05 8.41675E+00 7.75965E+02 6.50218E-05 6.57588E+00 8.94831E+03 8.57698E+00 4.47212E-03 8.50597E-01
STD 2.51264E-04 6.52144E+00 9.88665E+04 5.30048E-05 3.61334E+00 1.15304E+04 9.58071E+01 2.33692E-02 3.68388E-01
IQR 2.53087E-04 8.90420E+00 2.90583E+04 9.40261E-05 6.41914E+00 1.18267E+04 5.34118E+01 1.22838E-02 4.41164E-01
NNA % % % % % % % % %
MEAN 8.78895E-05 1.14990E+01 2.67358E+04 9.98624E-05 9.76851E+00 7.62042E+03 8.55876E+01 1.72191E-02 6.43180E-01
MEDIAN 8.59411E-07 6.50432E+00 3.25105E+02 1.66778E-05 4.73042E+00 3.19642E+03 1.17920E+01 7.07644E-03 3.43187E-01
STD 2.21259E-04 1.01545E+01 9.73571E+04 1.79068E-04 9.59993E+00 1.23248E+04 1.37935E+02 2.05363E-02 4.44218E-01
IQR 2.08350E-05 1.55855E+01 1.79409E+03 1.03583E-04 1.19909E+01 2.63282E+03 9.10212E+01 1.87243E-02 7.10095E-01
CWOA % % % % % % % % %
MEAN 3.85449E-04 1.39379E+01 2.70838E+05 8.46368E-04 9.62326E+00 1.74583E+04 2.02366E+02 2.14748E-02 5.27628E-01
MEDIAN 2.19171E-06 8.88450E+00 1.00137E+03 3.09983E-05 5.84803E+00 4.23165E+03 1.00462E+02 4.83641E-03 4.81295E-01
STD 4.74388E-04 1.12526E+01 4.19853E+05 2.68209E-03 9.67793E+00 2.13337E+04 2.37390E+02 3.15758E-02 3.13645E-01
IQR 1.00000E-03 2.48353E+01 4.37554E+05 1.03505E-04 1.37793E+01 4.70393E+04 3.85010E+02 2.62552E-02 3.94971E-01
WW % % % % % % % % %
MEAN 1.44647E-04 8.49699E+00 2.25207E+04 8.06690E-05 5.87753E+00 1.55260E+04 1.21233E+02 2.13644E-02 7.02521E-01
MEDIAN 2.07544E-05 5.55207E+00 3.49887E+02 2.88009E-05 3.97374E+00 4.18031E+03 3.14306E+01 1.25676E-02 6.55868E-01
STD 2.67028E-04 7.05764E+00 1.39847E+05 1.26299E-04 6.35493E+00 1.97252E+04 1.69308E+02 2.68815E-02 3.07217E-01
IQR 1.14146E-04 6.32558E+00 1.55561E+03 9.78762E-05 7.21343E+00 1.76767E+04 1.56014E+02 2.90273E-02 4.14570E-01
% % % % % T=290 % % % %
true_value 1.50000E-05 5.71143E+00 1.00000E+04 5.67193E-05 2.72414E+00 3.23917E+03 4.00000E+01 9.90000E-04 5.55000E+02
DE % % % % % % % % %
