T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD
300 037_300 38.647 5.530000E-1 3.086733E+1 8.070520E+1 1.377610E+1 4.719630E-1 2.918891E+1 1.000000E+2 6.661000E+12
300 038_300 38.647 5.507550E-1 3.062963E+1 8.059850E+1 1.359650E+1 4.696190E-1 2.895219E+1 1.000000E+2 7.979000E+12
300 039_300 38.647 5.483850E-1 3.037505E+1 8.049890E+1 1.340890E+1 4.672360E-1 2.869832E+1 1.000000E+2 9.559000E+12
300 040_300 38.647 5.459720E-1 3.010480E+1 8.039750E+1 1.321440E+1 4.648140E-1 2.842948E+1 1.000000E+2 1.145000E+13
300 041_300 38.647 5.435350E-1 2.982027E+1 8.029150E+1 1.301400E+1 4.623730E-1 2.814600E+1 1.000000E+2 1.372000E+13
300 042_300 38.647 5.410520E-1 2.952287E+1 8.018650E+1 1.280850E+1 4.599120E-1 2.784989E+1 1.000000E+2 1.643000E+13
300 043_300 38.647 5.385110E-1 2.921400E+1 8.008450E+1 1.259900E+1 4.574120E-1 2.754400E+1 1.000000E+2 1.968000E+13
300 044_300 38.647 5.359500E-1 2.889489E+1 7.998200E+1 1.238620E+1 4.549120E-1 2.722762E+1 1.000000E+2 2.358000E+13
300 045_300 38.647 5.333690E-1 2.856660E+1 7.987750E+1 1.217060E+1 4.523930E-1 2.690266E+1 1.000000E+2 2.825000E+13
300 046_300 38.647 5.307800E-1 2.822998E+1 7.977000E+1 1.195270E+1 4.498730E-1 2.656895E+1 1.000000E+2 3.384000E+13
300 047_300 38.647 5.281360E-1 2.788571E+1 7.966630E+1 1.173280E+1 4.473340E-1 2.622831E+1 1.000000E+2 4.054000E+13
300 048_300 38.647 5.254770E-1 2.753430E+1 7.956120E+1 1.151140E+1 4.447950E-1 2.588027E+1 1.000000E+2 4.856000E+13
300 049_300 38.647 5.228210E-1 2.717750E+1 7.945040E+1 1.128910E+1 4.422360E-1 2.552727E+1 1.000000E+2 5.817000E+13
300 050_300 38.647 5.201370E-1 2.681292E+1 7.933850E+1 1.106490E+1 4.396780E-1 2.516586E+1 1.000000E+2 6.968000E+13
300 051_300 38.647 5.174040E-1 2.644220E+1 7.922870E+1 1.083950E+1 4.371000E-1 2.479874E+1 1.000000E+2 8.348000E+13
