fname time Tem kT_1 A Rs Io Rsh dev 
41FR 41fr.dat 330 35.13 2.206E+001 9.041E+002 5.978E-009 1.000E+015 3.144E-003 
42FR 42fr.dat 330 35.13 2.207E+001 9.191E+002 6.105E-009 1.000E+015 2.457E-003 
43FR 43fr.dat 332.5 34.87 2.204E+001 8.986E+002 6.528E-009 1.000E+015 3.345E-003 
44FR 44fr.dat 332.5 34.87 2.207E+001 8.416E+002 6.730E-009 1.000E+015 3.336E-003 
45FR 45fr.dat 332.5 34.87 2.212E+001 8.170E+002 6.918E-009 1.000E+015 2.429E-003 
46FR 46fr.dat 335.1 34.6 2.220E+001 8.210E+002 7.646E-009 1.000E+015 2.785E-003 
47FR 47fr.dat 335 34.61 2.224E+001 8.547E+002 7.506E-009 1.000E+015 3.308E-003 
48FR 48fr.dat 335 34.61 2.223E+001 8.687E+002 7.552E-009 1.000E+015 4.280E-003 
49FR 49fr.dat 337.6 34.34 2.211E+001 7.723E+002 8.514E-009 1.000E+015 5.273E-003 
50FR 50fr.dat 337.5 34.35 2.238E+001 7.088E+002 8.874E-009 1.000E+015 3.263E-003 
51FR 51fr.dat 337.5 34.35 2.221E+001 7.701E+002 9.199E-009 1.000E+015 2.274E-003 
52FR 52fr.dat 340.1 34.09 2.218E+001 8.294E+002 9.910E-009 1.000E+015 3.551E-003 
53FR 53fr.dat 340 34.1 2.230E+001 8.515E+002 9.619E-009 1.000E+015 3.691E-003 
54FR 54fr.dat 340 34.1 2.259E+001 7.154E+002 9.618E-009 1.000E+015 3.527E-003 
55FR 55fr.dat 340.1 34.09 2.244E+001 7.711E+002 1.016E-008 1.000E+015 3.594E-003 
