  i	       x(um)	        y	      Ec(eV)	      Fn(eV)	      Fp(eV)	      Ev(eV)	     n(/cm3)	     p(/cm3)	rho(defect) (/cm3)	net doping (/cm3)	   rho(/cm3)	     E(V/cm)	  jn(mA/cm2)	  jp(mA/cm2)	  jn_tunnel(mA/cm2)	  jp_tunnel(mA/cm2)	jtot(mA/cm2)	 generation(#/cm3.s)	  recombination(#/cm3.s)	cumulative generation (mA/cm2)	cumulative recombination L to R (mA/cm2)	cumulative recombination R to L (mA/cm2)
  24	       0.031517	     0.00406672	     0.99070703	     0.33211700	    -0.00000000	    -0.07308533	   6.27427309e+09	   2.63055945e+18	   0.00000000e+00	  -2.63054170e+18	   1.77494810e+13	   5.27426834e+01	   1.52118756e+00	  -3.02013807e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   1.66653206e+19	    4.37257963e+15	   3.29949133e+01	    1.52969938e+00	    2.78744239e+00
  25	       0.040372	     0.00520924	     0.99075479	     0.33843182	    -0.00000000	    -0.07298920	   7.76760717e+09	   2.63918778e+18	   0.00000000e+00	  -2.63918650e+18	   1.27430003e+12	   5.40232592e+01	   1.51878712e+00	  -3.01989802e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   1.66884186e+19	    5.44887420e+15	   3.29925477e+01	    1.52970008e+00	    2.78744170e+00
  26	       0.051725	     0.00667417	     0.99081625	     0.34494551	    -0.00000000	    -0.07286573	   9.67721940e+09	   2.65031255e+18	   0.00000000e+00	  -2.65031249e+18	   5.84172638e+10	   5.41382872e+01	   1.51570650e+00	  -3.01958996e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.67180916e+19	    6.84580270e+15	   3.29895098e+01	    1.52970120e+00	    2.78744058e+00
  27	       0.066227	     0.00854537	     0.99089476	     0.35160208	    -0.00000000	    -0.07270801	   1.21080860e+10	   2.66459224e+18	   0.00000000e+00	  -2.66459223e+18	   1.69978807e+09	   5.41449149e+01	   1.51176665e+00	  -3.01919597e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.67560867e+19	    8.65798982e+15	   3.29856214e+01	    1.52970300e+00	    2.78743878e+00
  28	       0.084665	     0.01092452	     0.99099460	     0.35834922	    -0.00000001	    -0.07250746	   1.51853597e+10	   2.68285954e+18	   0.00000000e+00	  -2.68285953e+18	   2.62868105e+07	   5.41451569e+01	   1.50674874e+00	  -3.01869419e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.68045470e+19	    1.10078187e+16	   3.29806648e+01	    1.52970590e+00	    2.78743587e+00
  29	       0.107984	     0.01393336	     0.99112086	     0.36513938	    -0.00000001	    -0.07225384	   1.90554910e+10	   2.70614105e+18	   0.00000000e+00	  -2.70614103e+18	  -9.87058110e+08	   5.41449866e+01	   1.50038813e+00	  -3.01805813e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.68660764e+19	    1.40540464e+16	   3.29743758e+01	    1.52971058e+00	    2.78743119e+00
  30	       0.137295	     0.01771547	     0.99127956	     0.37193016	    -0.00000001	    -0.07193503	   2.38860546e+10	   2.73569264e+18	   0.00000000e+00	  -2.73569273e+18	  -1.11219522e+11	   5.41199831e+01	   1.49236831e+00	  -3.01725614e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.69438061e+19	    1.80035973e+16	   3.29664377e+01	    1.52971811e+00	    2.78742367e+00
  31	       0.173891	     0.02243752	     0.99147751	     0.37868430	    -0.00000001	    -0.07153720	   2.98638609e+10	   2.77302248e+18	   0.00000000e+00	  -2.77304197e+18	  -1.95197759e+13	   4.86583809e+01	   1.48231513e+00	  -3.01625082e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.70414618e+19	    2.31277138e+16	   3.29564755e+01	    1.52973017e+00	    2.78741161e+00
  32	       0.219243	     0.02828945	     0.99166766	     0.38536061	    -0.00000001	    -0.07115414	   3.72487177e+10	   2.80944831e+18	   0.00000000e+00	  -2.80946978e+18	  -2.15006725e+13	   3.45151820e+01	   1.46979488e+00	  -3.01499880e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.71554588e+19	    2.96096358e+16	   3.29440527e+01	    1.52974933e+00	    2.78739245e+00
  33	       0.274997	     0.03548348	     0.99180929	     0.39190810	    -0.00000002	    -0.07086677	   4.63328112e+10	   2.83708789e+18	   0.00000000e+00	  -2.83708789e+18	  -4.31244685e+10	   2.53836782e+01	   1.45431585e+00	  -3.01345090e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.72834924e+19	    3.75589681e+16	   3.29286727e+01	    1.52977932e+00	    2.78736246e+00
  34	       0.342948	     0.04425131	     0.99198162	     0.39828844	    -0.00000002	    -0.07051681	   5.72451483e+10	   2.87111500e+18	   0.00000000e+00	  -2.87111521e+18	  -2.75491616e+11	   2.52190867e+01	   1.43532178e+00	  -3.01155149e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.74411637e+19	    4.75246508e+16	   3.29097726e+01	    1.52982563e+00	    2.78731615e+00
  35	       0.425005	     0.05483939	     0.99218715	     0.40447947	    -0.00000003	    -0.07009857	   7.01934457e+10	   2.91231754e+18	   0.00000000e+00	  -2.91231799e+18	  -5.21167157e+11	   2.47221087e+01	   1.41218951e+00	  -3.00923826e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.76337499e+19	    5.99587584e+16	   3.28867185e+01	    1.52989628e+00	    2.78724550e+00
  36	       0.523140	     0.06750190	     0.99242595	     0.41045936	    -0.00000003	    -0.06961027	   8.53568565e+10	   2.96117052e+18	   0.00000000e+00	  -2.96116828e+18	   2.15729492e+12	   2.59427411e+01	   1.38423683e+00	  -3.00644299e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.78669287e+19	    7.53777737e+16	   3.28588129e+01	    1.53000266e+00	    2.78713912e+00
  37	       0.639309	     0.08249144	     0.99274945	     0.41621328	    -0.00000004	    -0.06894636	   1.02703114e+11	   3.02891019e+18	   0.00000000e+00	  -3.02890651e+18	   3.58188361e+12	   3.10113135e+01	   1.35072288e+00	  -3.00309160e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.81549384e+19	    9.48928911e+16	   3.28252941e+01	    1.53016110e+00	    2.78698068e+00
  38	       0.775367	     0.10004737	     0.99322180	     0.42173951	    -0.00000005	    -0.06797216	   1.21999425e+11	   3.13112306e+18	   0.00000000e+00	  -3.13112772e+18	  -4.78185785e+12	   2.97701086e+01	   1.31084483e+00	  -2.99910379e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.85156452e+19	    1.20457594e+17	   3.27853295e+01	    1.53039580e+00	    2.78674598e+00
  39	       0.932963	     0.12038234	     0.99360067	     0.42700790	    -0.00000006	    -0.06718584	   1.44112016e+11	   3.21613444e+18	   0.00000000e+00	  -3.21613274e+18	   1.55931178e+12	   2.59091928e+01	   1.26380143e+00	  -2.99439945e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.89172652e+19	    1.50121821e+17	   3.27380763e+01	    1.53073736e+00	    2.78640442e+00
  40	       1.113423	     0.14366745	     0.99410683	     0.43198773	    -0.00000007	    -0.06612728	   1.67837891e+11	   3.33423461e+18	   0.00000000e+00	  -3.33423549e+18	  -1.04402090e+12	   2.66161265e+01	   1.20878695e+00	  -2.98889801e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.94047030e+19	    1.87912818e+17	   3.26826826e+01	    1.53122598e+00	    2.78591580e+00
  41	       1.317632	     0.17001709	     0.99461726	     0.43666137	    -0.00000008	    -0.06505348	   1.93413307e+11	   3.45846711e+18	   0.00000000e+00	  -3.45846487e+18	   2.04477062e+12	   2.81697578e+01	   1.14500142e+00	  -2.98251945e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.99654414e+19	    2.32984274e+17	   3.26182840e+01	    1.53191445e+00	    2.78522733e+00
  42	       1.545927	     0.19947439	     0.99534138	     0.44101812	    -0.00000009	    -0.06351296	   2.18893401e+11	   3.64482344e+18	   0.00000000e+00	  -3.64482575e+18	  -2.52452758e+12	   2.73371087e+01	   1.07166042e+00	  -2.97518535e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.06485166e+19	    2.92857999e+17	   3.25440159e+01	    1.53287603e+00	    2.78426575e+00
  43	       1.797990	     0.23199873	     0.99590851	     0.44502649	    -0.00000010	    -0.06229700	   2.46120177e+11	   3.79898230e+18	   0.00000000e+00	  -3.79898176e+18	   2.93242386e+11	   2.30613693e+01	   9.88113231e-01	  -2.96683063e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.13931092e+19	    3.57727286e+17	   3.24591326e+01	    1.53418958e+00	    2.78295220e+00
  44	       2.072788	     0.26745647	     0.99655906	     0.44864533	    -0.00000012	    -0.06088567	   2.72310324e+11	   3.98610444e+18	   0.00000000e+00	  -3.98610476e+18	  -5.98337756e+11	   2.24239953e+01	   8.93871486e-01	  -2.95740646e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.22543696e+19	    4.35743118e+17	   3.23630590e+01	    1.53593611e+00	    2.78120567e+00
  45	       2.368526	     0.30561621	     0.99718244	     0.45184886	    -0.00000013	    -0.05951939	   2.97329888e+11	   4.17603028e+18	   0.00000000e+00	  -4.17603100e+18	  -1.01584358e+12	   1.87948408e+01	   7.88581784e-01	  -2.94687749e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.32176207e+19	    5.22196337e+17	   3.22553421e+01	    1.53820533e+00	    2.77893645e+00
  46	       2.682658	     0.34614940	     0.99769664	     0.45459815	    -0.00000015	    -0.05838180	   3.20854138e+11	   4.34105041e+18	   0.00000000e+00	  -4.34105039e+18	  -3.02591690e+11	   1.56462415e+01	   6.72178577e-01	  -2.93523717e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.42691029e+19	    6.08925851e+17	   3.21358561e+01	    1.54105146e+00	    2.77609032e+00
  47	       3.011936	     0.38863692	     0.99818690	     0.45686106	    -0.00000016	    -0.05728774	   3.40827628e+11	   4.50590679e+18	   0.00000000e+00	  -4.50590659e+18	  -1.37703908e+11	   1.45440591e+01	   5.44856897e-01	  -2.92250500e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.54300420e+19	    6.96892066e+17	   3.20047736e+01	    1.54449558e+00	    2.77264620e+00
  48	       3.352507	     0.43258153	     0.99867008	     0.45861488	    -0.00000018	    -0.05619974	   3.55905249e+11	   4.67605783e+18	   0.00000000e+00	  -4.67605832e+18	  -8.49494867e+11	   1.19880765e+01	   4.07065468e-01	  -2.90872586e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.67058576e+19	    7.83717806e+17	   3.18625484e+01	    1.54853464e+00	    2.76860714e+00
  49	       3.700050	     0.47742577	     0.99900871	     0.45983323	    -0.00000019	    -0.05543189	   3.66733120e+11	   4.79999436e+18	   0.00000000e+00	  -4.80000000e+18	  -6.00463896e+12	  -6.12144876e+00	   2.59632409e-01	  -2.89398255e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.80572584e+19	    8.50935534e+17	   3.17100978e+01	    1.55308522e+00	    2.76405656e+00
  50	       4.049950	     0.52257423	     0.99823564	     0.46047638	    -0.00000021	    -0.05717556	   3.84860915e+11	   4.52316608e+18	   0.00000000e+00	  -4.52316853e+18	  -2.83587342e+12	  -2.96377003e+01	   1.04285050e-01	  -2.87844782e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.92016955e+19	    7.92967047e+17	   3.15496179e+01	    1.55769259e+00	    2.75944919e+00
  51	       4.397493	     0.56741848	     0.99694520	     0.46055771	    -0.00000022	    -0.06004132	   4.03273487e+11	   4.10244408e+18	   0.00000000e+00	  -4.10244831e+18	  -4.63703798e+12	  -4.93821175e+01	  -5.66153213e-02	  -2.86235778e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.02736841e+19	    6.83523529e+17	   3.13840493e+01	    1.56180287e+00	    2.75533890e+00
  52	       4.738064	     0.61136308	     0.99485450	     0.46015023	    -0.00000024	    -0.06454312	   4.27074328e+11	   3.51914370e+18	   0.00000000e+00	  -3.51915131e+18	  -8.03747165e+12	  -8.21980281e+01	  -2.20408402e-01	  -2.84597847e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.11899549e+19	    5.32659987e+17	   3.12163782e+01	    1.56512059e+00	    2.75202119e+00
  53	       5.067342	     0.65385060	     0.99148539	     0.45938526	    -0.00000026	    -0.07151201	   4.66694627e+11	   2.77542655e+18	   0.00000000e+00	  -2.77542038e+18	   5.70401401e+12	  -8.80393215e+01	  -3.83747949e-01	  -2.82964452e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.18320863e+19	    3.62054086e+17	   3.10501564e+01	    1.56748041e+00	    2.74966136e+00
  54	       5.381474	     0.69438379	     0.98914770	     0.45838944	    -0.00000028	    -0.07617024	   4.88524510e+11	   2.36815229e+18	   0.00000000e+00	  -2.36815643e+18	  -4.62525241e+12	  -8.54630949e+01	  -5.44152405e-01	  -2.81360407e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.27466043e+19	    2.75927121e+17	   3.08876635e+01	    1.56908570e+00	    2.74805608e+00
  55	       5.677212	     0.73254354	     0.98631270	     0.45725129	    -0.00000030	    -0.08159949	   5.17597362e+11	   1.96825791e+18	   0.00000000e+00	  -1.96828117e+18	  -2.37732082e+13	  -1.49311187e+02	  -6.99682817e-01	  -2.79805103e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.35586232e+19	    2.01955709e+17	   3.07305957e+01	    1.57021774e+00	    2.74692404e+00
  56	       5.952010	     0.76800127	     0.98084489	     0.45615424	    -0.00000032	    -0.09163373	   6.00702041e+11	   1.39836864e+18	   0.00000000e+00	  -1.39838363e+18	  -1.55924450e+13	  -2.31549882e+02	  -8.47038214e-01	  -2.78331549e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.38306135e+19	    1.18313140e+17	   3.05822633e+01	    1.57092269e+00	    2.74621909e+00
  57	       6.204073	     0.80052560	     0.97425522	     0.45526029	    -0.00000035	    -0.10306357	   7.29339457e+11	   9.47355521e+17	   0.00000000e+00	  -9.47339038e+17	   1.57539000e+13	  -2.31240491e+02	  -9.83346622e-01	  -2.76968465e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.39424899e+19	    6.59393084e+16	   3.04454275e+01	    1.57129470e+00	    2.74584707e+00
  58	       6.432368	     0.82998290	     0.96960033	     0.45455634	    -0.00000038	    -0.11070546	   8.34421289e+11	   7.30211104e+17	   0.00000000e+00	  -7.30232501e+17	  -2.22312430e+13	  -2.42482336e+02	  -1.10801798e+00	  -2.75721751e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.43939034e+19	    4.49195255e+16	   3.03204651e+01	    1.57149742e+00	    2.74564435e+00
  59	       6.636577	     0.85633255	     0.96394381	     0.45401180	    -0.00000041	    -0.11968224	   9.93159905e+11	   5.37816209e+17	   0.00000000e+00	  -5.37792272e+17	   2.29440214e+13	  -2.41375771e+02	  -1.22086651e+00	  -2.74593266e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.46591144e+19	    2.97818255e+16	   3.02075137e+01	    1.57161961e+00	    2.74552216e+00
  60	       6.817037	     0.87961766	     0.96015599	     0.45359580	    -0.00000044	    -0.12549046	   1.11405520e+12	   4.41264826e+17	   0.00000000e+00	  -4.41288356e+17	  -2.46438900e+13	  -2.43707841e+02	  -1.32174112e+00	  -2.73584520e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.51264978e+19	    2.48080039e+16	   3.01066399e+01	    1.57169852e+00	    2.74544326e+00
  61	       6.974633	     0.89995264	     0.95584994	     0.45327599	    -0.00000047	    -0.13191902	   1.27609986e+12	   3.54475918e+17	   0.00000000e+00	  -3.54577917e+17	  -1.03274488e+14	  -3.96966187e+02	  -1.41094357e+00	  -2.72692495e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.54613872e+19	    2.36615167e+16	   3.00175337e+01	    1.57175971e+00	    2.74538207e+00
  62	       7.110691	     0.91750856	     0.94899546	     0.45305467	    -0.00000051	    -0.14174339	   1.59965004e+12	   2.53648104e+17	   0.00000000e+00	  -2.53651681e+17	  -5.17648911e+12	  -5.09143493e+02	  -1.48844323e+00	  -2.71917499e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.54833336e+19	    2.21471095e+16	   2.99402161e+01	    1.57180963e+00	    2.74533215e+00
  63	       7.226860	     0.93249810	     0.94302769	     0.45291085	    -0.00000055	    -0.15019504	   1.95070973e+12	   1.90189573e+17	   0.00000000e+00	  -1.90102166e+17	   8.54564643e+13	  -4.38243997e+02	  -1.55473185e+00	  -2.71254613e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.55176398e+19	    2.03677185e+16	   2.98741488e+01	    1.57184919e+00	    2.74529259e+00
