r0 AplusA epsSig
2.500E-8 1.800E-9 2.592E-3
2.500E-8 1.850E-9 2.738E-3
2.500E-8 1.900E-9 2.888E-3
2.500E-8 1.950E-9 3.042E-3
2.500E-8 2.000E-9 3.200E-3
2.500E-8 2.050E-9 3.362E-3
2.500E-8 2.100E-9 3.528E-3
2.500E-8 2.150E-9 3.698E-3
2.500E-8 2.200E-9 3.872E-3
2.500E-8 2.250E-9 4.050E-3
2.500E-8 2.300E-9 4.232E-3
2.500E-8 2.350E-9 4.418E-3
2.500E-8 2.400E-9 4.608E-3
2.500E-8 2.450E-9 4.802E-3
2.500E-8 2.500E-9 5.000E-3
2.500E-8 2.550E-9 5.202E-3
2.500E-8 2.600E-9 5.408E-3
2.500E-8 2.650E-9 5.618E-3
2.500E-8 2.700E-9 5.832E-3
2.500E-8 2.750E-9 6.050E-3
2.500E-8 2.800E-9 6.272E-3
2.500E-8 2.850E-9 6.498E-3
2.500E-8 2.900E-9 6.728E-3
2.500E-8 2.950E-9 6.962E-3
2.500E-8 3.000E-9 7.200E-3
2.500E-8 3.050E-9 7.442E-3
2.500E-8 3.100E-9 7.688E-3
2.500E-8 3.150E-9 7.938E-3
2.500E-8 3.200E-9 8.192E-3
2.500E-8 3.250E-9 8.450E-3
2.500E-8 3.300E-9 8.712E-3
2.500E-8 3.350E-9 8.978E-3
2.500E-8 3.400E-9 9.248E-3
2.500E-8 3.450E-9 9.522E-3
2.500E-8 3.500E-9 9.800E-3
2.500E-8 3.550E-9 1.008E-2
2.500E-8 3.600E-9 1.037E-2
2.500E-8 3.650E-9 1.066E-2
2.500E-8 3.700E-9 1.095E-2
2.500E-8 3.750E-9 1.125E-2
2.500E-8 3.800E-9 1.155E-2
2.500E-8 3.850E-9 1.186E-2
2.500E-8 3.900E-9 1.217E-2
2.500E-8 3.950E-9 1.248E-2
2.500E-8 4.000E-9 1.280E-2
