fname time Tem kT_1 n Rs Io Rsh Fb rmsre 
0L35 50966 328.03 35.345 1.677655443E+00 8.177002477E+02 4.317869552E-10 6.693551529E+08 9.734588264E-01 5.052728137E-02 
0L36 51782 329.01 35.24 1.666860512E+00 7.960611503E+02 4.399128095E-10 5.460648764E+07 9.760072980E-01 4.980772724E-02 
0L37 52484 330.02 35.132 1.654124590E+00 7.963889455E+02 4.466745308E-10 2.848959945E+07 9.787437688E-01 5.314638712E-02 
0L38 53300 331.03 35.025 1.662205289E+00 7.814749711E+02 5.174226944E-10 6.447245023E+07 9.777157268E-01 5.860127916E-02 
0L39 54002 332.01 34.921 1.651614505E+00 7.759708705E+02 5.323668346E-10 4.492995141E+07 9.799641727E-01 4.604337471E-02 
0L40 54702 333.02 34.815 1.652024351E+00 7.602223215E+02 5.887558724E-10 3.743257431E+07 9.802279935E-01 5.173123836E-02 
0L41 55404 334 34.713 1.635488142E+00 7.701771158E+02 5.972644329E-10 2.534792462E+07 9.828685342E-01 4.887297955E-02 
0L42 56268 335.01 34.609 1.637355903E+00 7.529359797E+02 6.586198344E-10 3.525667384E+07 9.831896657E-01 6.154066624E-02 
0L43 57084 336.03 34.503 1.621656222E+00 7.551787955E+02 6.725595702E-10 2.395639508E+07 9.857523692E-01 5.030753918E-02 
0L44 57810 337.04 34.4 1.619787438E+00 7.332686045E+02 7.403530105E-10 1.993559417E+07 9.860979658E-01 4.629415971E-02 
0L45 58482 338.01 34.301 1.622618162E+00 7.162225158E+02 8.253768124E-10 2.389969800E+07 9.859341711E-01 4.996653421E-02 
0L46 59170 339.02 34.199 1.608875726E+00 7.239402601E+02 8.619346521E-10 2.661661106E+07 9.877874380E-01 4.929675891E-02 
0L47 59792 340.01 34.1 1.596158478E+00 7.232039071E+02 8.751569051E-10 1.750386344E+07 9.903965319E-01 4.673239075E-02 
DARK1 28766 294.02 39.433 1.539188978E+00 3.005890796E+03 7.162932737E-12 2.999203498E+07 9.709273464E-01 3.463927594E-02 
DARK10 34756 303.03 38.261 1.539505676E+00 1.626916541E+03 2.618351970E-11 2.522938622E+07 9.683802119E-01 2.579887795E-02 
DARK11 35428 304.03 38.135 1.563967790E+00 1.506169219E+03 3.499441733E-11 3.448880286E+07 9.641425736E-01 2.738255735E-02 
DARK12 36092 305.01 38.013 1.583863853E+00 1.433502543E+03 4.208193920E-11 3.464396482E+07 9.625678567E-01 1.721993768E-02 
DARK13 36764 306.02 37.887 1.568157969E+00 1.318254706E+03 4.622415707E-11 4.467190019E+07 9.634517926E-01 1.693535539E-02 
DARK14 37422 307.03 37.762 1.612405427E+00 1.313335464E+03 5.957733945E-11 6.378774084E+07 9.600858758E-01 1.780301243E-02 
DARK15 38080 308.02 37.641 1.645633624E+00 1.275930290E+03 7.467684615E-11 1.609730228E+08 9.573513808E-01 2.559535643E-02 
DARK16 38732 309.03 37.518 1.642257314E+00 1.229040131E+03 7.846462517E-11 5.287514079E+07 9.593462805E-01 2.229257796E-02 
DARK17 39376 310.03 37.397 1.674064362E+00 1.203810431E+03 9.693414565E-11 8.195835831E+07 9.569710132E-01 2.547225199E-02 
DARK18 40026 311.03 37.277 1.688613130E+00 1.161778236E+03 1.147561618E-10 9.996015148E+19 9.557028079E-01 2.676544518E-02 
DARK19 40672 312.02 37.159 1.700349753E+00 1.128576659E+03 1.278516144E-10 9.303550321E+07 9.560077282E-01 4.319410871E-02 
DARK2 29396 295.03 39.298 1.552086171E+00 2.834877570E+03 8.771541929E-12 4.050579962E+07 9.692818894E-01 3.387048163E-02 
DARK20 41322 313.03 37.039 1.715337324E+00 1.077990018E+03 1.517628787E-10 9.581144937E+19 9.546478824E-01 3.954128615E-02 
DARK21 41976 314.02 36.922 1.716035474E+00 1.046233945E+03 1.630873474E-10 9.995212772E+19 9.558889705E-01 4.457041665E-02 
DARK22 42616 315.03 36.803 1.729820492E+00 1.012202689E+03 1.883229774E-10 3.990410960E+08 9.552287454E-01 5.000356465E-02 
DARK23 43268 316.03 36.687 1.756369759E+00 1.007065858E+03 2.180176636E-10 9.881416350E+19 9.544427109E-01 4.809780593E-02 
DARK24 43918 317.01 36.574 1.733141731E+00 9.841780414E+02 2.217011091E-10 9.983190834E+19 9.571136316E-01 4.142970785E-02 
DARK25 44556 318 36.46 1.748705858E+00 9.703121559E+02 2.424612540E-10 9.894157129E+19 9.578185869E-01 5.043224249E-02 
DARK26 45198 319.03 36.342 1.738416629E+00 9.359561272E+02 2.669442877E-10 9.471668024E+19 9.584518995E-01 4.896655510E-02 
DARK27 45834 320.03 36.228 1.729353537E+00 9.187133291E+02 2.809423044E-10 3.367362206E+08 9.602181881E-01 4.998653314E-02 
DARK28 46466 321.04 36.115 1.730327802E+00 9.100145451E+02 3.034836620E-10 9.997927526E+19 9.612860442E-01 4.876440537E-02 
DARK29 47102 322.02 36.005 1.721516748E+00 9.044074118E+02 3.181106214E-10 1.830972625E+08 9.630823817E-01 4.779699428E-02 
DARK3 30054 296.02 39.167 1.539436488E+00 2.689968015E+03 8.790325215E-12 2.610630061E+07 9.726508492E-01 3.545921252E-02 
DARK30 47732 323.03 35.892 1.718592451E+00 8.837799051E+02 3.368975177E-10 9.889657758E+19 9.646788682E-01 5.231066225E-02 
DARK31 48370 324.02 35.782 1.714847084E+00 8.733150427E+02 3.657494292E-10 5.269835524E+07 9.655100118E-01 5.362526478E-02 
DARK32 49010 325.03 35.671 1.721548856E+00 8.451518006E+02 4.125730529E-10 2.323303662E+08 9.653170003E-01 4.922072646E-02 
DARK33 49632 326.03 35.562 1.719452103E+00 8.313749288E+02 4.443424247E-10 1.180926462E+08 9.663736873E-01 4.941000139E-02 
DARK34 50318 327.03 35.453 1.709426062E+00 8.157319369E+02 4.645083461E-10 4.149030606E+08 9.682586042E-01 4.562546746E-02 
DARK35 50952 328.02 35.346 1.689449664E+00 8.200110068E+02 4.608041010E-10 5.430094980E+07 9.715873118E-01 4.734928850E-02 
DARK36 51770 329.02 35.239 1.701274413E+00 7.885640659E+02 5.353554997E-10 5.360135303E+07 9.704665459E-01 5.907521044E-02 
DARK37 52470 330.01 35.133 1.694569126E+00 7.869224971E+02 5.690144499E-10 9.294227885E+07 9.718221006E-01 5.283111247E-02 
DARK38 53286 331.01 35.027 1.672159952E+00 7.914360390E+02 5.463137052E-10 2.992323322E+07 9.761020131E-01 4.638578182E-02 
DARK39 53990 332.02 34.92 1.671117544E+00 7.698391812E+02 5.949267117E-10 2.636836836E+07 9.768137181E-01 5.489886262E-02 
DARK4 30708 297.02 39.035 1.566374908E+00 2.518159966E+03 1.197758129E-11 3.412993555E+07 9.681835845E-01 3.339841914E-02 
DARK40 54690 333.01 34.816 1.673152368E+00 7.643162020E+02 6.647300840E-10 5.708757309E+07 9.767108470E-01 5.206027930E-02 
DARK41 55390 334.02 34.711 1.668905890E+00 7.464689607E+02 7.066989307E-10 3.334124474E+07 9.780838369E-01 5.599670934E-02 
DARK42 56250 335.02 34.607 1.648669769E+00 7.601689365E+02 6.899951757E-10 1.847280398E+07 9.818759977E-01 4.899300248E-02 
DARK43 57068 336.02 34.505 1.659625310E+00 7.337044584E+02 8.155795846E-10 4.327807747E+07 9.801333913E-01 5.386439882E-02 
DARK44 57798 337.03 34.401 1.630960582E+00 7.475001801E+02 7.835387513E-10 1.784796106E+07 9.844189718E-01 4.673425690E-02 
DARK45 58470 338.01 34.301 1.637488682E+00 7.232908890E+02 8.819869062E-10 1.949352645E+07 9.840002191E-01 4.792648370E-02 
DARK46 59154 339.02 34.199 1.642971613E+00 7.061052486E+02 9.919392339E-10 1.896070574E+07 9.836796662E-01 4.747097097E-02 
DARK47 59778 340.03 34.098 1.624394426E+00 7.125085360E+02 1.007324111E-09 2.514471311E+07 9.863333281E-01 5.313954320E-02 
DARK5 31364 298.02 38.904 1.589026825E+00 2.377108490E+03 1.546300575E-11 4.961635629E+07 9.650508194E-01 3.183308026E-02 
DARK6 32046 299.02 38.774 1.605028239E+00 2.243204090E+03 1.908419984E-11 9.519763382E+07 9.630352348E-01 3.042258128E-02 
DARK7 32704 300.02 38.645 1.611277674E+00 2.105839126E+03 2.187393057E-11 4.742680746E+07 9.628981758E-01 2.647820904E-02 
DARK8 33372 301.02 38.516 1.619438163E+00 1.938470405E+03 2.677767851E-11 8.488219399E+07 9.610287979E-01 2.686711803E-02 
DARK9 34050 302.03 38.388 1.574997854E+00 1.777084756E+03 2.479272893E-11 2.616212266E+07 9.664341468E-01 2.882671510E-02 
