Model MSEn MRE MedRE R2
ExpTestSv1p360e15YOflp 5.074754e-02 2.456749e-01 1.593515e-01 9.220996e-01
ExpTestRf1p360e15MbPp 9.360843e-02 4.191269e-01 2.528878e-01 8.770960e-01
ExpTestGb1p360e15MbPp 8.247019e-02 3.633573e-01 2.328631e-01 9.095523e-01
ExpTestXg1p360e15MbPp 2.729754e-02 1.894487e-01 8.040737e-02 9.737460e-01
ExpTest1p360e15MbPp 5.279883e-02 2.684869e-01 1.086400e-01 9.619376e-01
ExpTestSv1p360e15MbPp 3.506955e-02 2.085422e-01 1.318365e-01 9.590019e-01
ExpTestRf1p360e15NNCp 1.685936e-01 6.577380e-01 2.483959e-01 9.299356e-01
ExpTestGb1p360e15NNCp 9.882009e-02 4.435378e-01 2.493049e-01 9.246481e-01
ExpTestXg1p360e15NNCp 1.952837e-02 1.686281e-01 1.335057e-01 9.807141e-01
ExpTest1p360e15NNCp 2.166724e-02 1.517716e-01 6.616121e-02 9.957842e-01
ExpTestSv1p360e15NNCp 1.715662e-02 1.612408e-01 1.285842e-01 9.887463e-01
ExpTestRf1p360e15YOfl2p 1.009962e-01 4.409345e-01 2.286433e-01 9.051237e-01
ExpTestGb1p360e15YOfl2p 9.740281e-02 4.366818e-01 2.154479e-01 9.144018e-01
ExpTestXg1p360e15YOfl2p 1.239433e-01 5.043292e-01 2.465846e-01 8.447275e-01
ExpTest1p360e15YOfl2p 5.276157e-02 3.030062e-01 2.470406e-01 9.599105e-01
ExpTestSv1p360e15YOfl2p 3.804917e-02 2.199067e-01 1.344270e-01 9.441101e-01
