Model MSEn MRE MedRE R2
ExpTrain1p360e15MbC 3.098023e-02 2.298330e-01 1.985168e-01 9.037367e-01
ExpTrainSv1p360e15MbC 5.972974e-07 3.598844e-04 1.461780e-04 1.000000e+00
ExpTrainRf1p360e15YOL 1.905939e-04 1.534754e-02 1.185774e-02 9.997308e-01
ExpTrainGb1p360e15YOL 4.835649e-10 2.341307e-05 1.806918e-05 1.000000e+00
ExpTrainXg1p360e15YOL 2.636937e-03 6.441462e-02 5.974175e-02 9.918099e-01
ExpTrain1p360e15YOL 2.341908e-03 4.140913e-02 2.126203e-02 9.997319e-01
ExpTrainSv1p360e15YOL 1.065229e-07 3.600835e-04 2.240557e-04 9.999998e-01
ExpTrainRf1p360e15MbP 1.314288e-04 1.118360e-02 6.385831e-03 9.998560e-01
ExpTrainGb1p360e15MbP 7.128865e-08 1.668950e-04 2.675298e-05 1.000000e+00
ExpTrainXg1p360e15MbP 1.868693e-05 4.833205e-03 3.463655e-03 9.999732e-01
ExpTrain1p360e15MbP 3.476066e-01 1.260276e+00 4.266295e-01 6.960786e-01
ExpTrainSv1p360e15MbP 4.133696e-09 7.281080e-05 5.373196e-05 1.000000e+00
ExpTrainRf1p360e15XcC 9.159638e-29 1.226876e-14 1.225757e-14 1.000000e+00
ExpTrainGb1p360e15XcC 6.375557e-09 1.026206e-04 1.005534e-04 1.000000e+00
ExpTrainXg1p360e15XcC 4.162124e-04 2.518726e-02 2.158897e-02 9.987416e-01
ExpTrain1p360e15XcC 6.073415e-04 2.934333e-02 2.444752e-02 9.995124e-01
ExpTrainSv1p360e15XcC 2.215716e-04 7.726282e-03 1.162946e-03 9.999963e-01
ExpTrainRf1p360e15XcP 9.958378e-05 1.109379e-02 8.459351e-03 9.997847e-01
ExpTrainGb1p360e15XcP 2.003249e-12 1.328388e-06 8.071256e-07 1.000000e+00
ExpTrainXg1p360e15XcP 9.607224e-05 1.056277e-02 7.112225e-03 9.998255e-01
ExpTrain1p360e15XcP 2.031930e-03 5.742882e-02 5.382607e-02 9.851077e-01
ExpTrainSv1p360e15XcP 1.018282e-07 3.697552e-04 2.482920e-04 9.999996e-01
ExpTrainRf1p360e15NNC 2.463060e-29 5.106704e-15 4.071507e-15 1.000000e+00
ExpTrainGb1p360e15NNC 5.880789e-07 9.546528e-04 9.244761e-04 9.999956e-01
ExpTrainXg1p360e15NNC 8.767605e-05 1.173925e-02 8.992239e-03 9.997802e-01
ExpTrain1p360e15NNC 1.615441e-03 4.542392e-02 3.207508e-02 9.951830e-01
ExpTrainSv1p360e15NNC 1.117268e-08 1.310663e-04 1.232822e-04 1.000000e+00
ExpTrainRf1p360e15NNP 3.812288e-06 1.421242e-03 1.762701e-04 9.999942e-01
ExpTrainGb1p360e15NNP 7.383850e-08 3.261554e-04 2.917628e-04 9.999996e-01
ExpTrainXg1p360e15NNP 8.645576e-06 2.963479e-03 1.841210e-03 9.999941e-01
ExpTrain1p360e15NNP 1.398687e-04 1.518580e-02 1.581595e-02 9.990448e-01
ExpTrainSv1p360e15NNP 4.541209e-09 8.184104e-05 6.412471e-05 1.000000e+00
ExpTrainRf1p360e15YOL2 9.140059e-29 1.206427e-14 1.225757e-14 1.000000e+00
ExpTrainGb1p360e15YOL2 6.416624e-08 1.598359e-04 8.768304e-05 1.000000e+00
ExpTrainXg1p360e15YOL2 9.502675e-05 9.757603e-03 3.695966e-03 9.999679e-01
ExpTrain1p360e15YOL2 2.814498e-03 4.652870e-02 2.411659e-02 9.963975e-01
ExpTrainSv1p360e15YOL2 4.194889e-10 2.558315e-05 2.273159e-05 1.000000e+00
ExpTrainSv1p360e15YOfl 3.304188e-09 6.604681e-05 6.252845e-05 1.000000e+00
ExpTrainSv1p360e15YOfl2 2.246879e-07 5.394795e-04 4.920472e-04 9.999996e-01
