fname time Tem kT_1 A Rs Io Rsh dev 
19FR 19fr.dat 307 37.77 2.028E+001 2.978E+003 1.477E-009 1.000E+015 5.786E-003 
20FR 20fr.dat 310 37.4 2.009E+001 2.523E+003 1.889E-009 1.000E+015 3.789E-003 
21FR 21fr.dat 310 37.4 2.023E+001 2.605E+003 1.826E-009 1.000E+015 4.079E-003 
22FR 22fr.dat 310 37.4 2.045E+001 2.731E+003 1.703E-009 1.000E+015 5.011E-003 
23FR 23fr.dat 312 37.16 2.044E+001 2.747E+003 1.956E-009 1.000E+015 4.805E-003 
24FR 24fr.dat 312 37.16 2.062E+001 2.734E+003 1.812E-009 1.000E+015 5.008E-003 
25FR 25fr.dat 312 37.16 2.043E+001 2.592E+003 1.897E-009 1.000E+015 4.183E-003 
26FR 26fr.dat 312 37.16 2.029E+001 2.594E+003 2.004E-009 1.000E+015 4.485E-003 
27FR 27fr.dat 315 36.81 2.003E+001 2.733E+003 2.402E-009 1.000E+015 2.695E-003 
28FR 28fr.dat 315 36.81 2.033E+001 2.803E+003 2.170E-009 1.000E+015 3.341E-003 
29FR 29fr.dat 317 36.57 2.119E+001 2.800E+003 1.920E-009 1.000E+015 8.147E-003 
30FR 30fr.dat 317 36.57 2.022E+001 2.474E+003 2.701E-009 1.000E+015 3.196E-003 
31FR 31fr.dat 317 36.57 2.031E+001 2.423E+003 2.578E-009 1.000E+015 2.731E-003 
32FR 32fr.dat 317 36.57 2.015E+001 2.251E+003 2.676E-009 1.000E+015 3.940E-003 
33FR 33fr.dat 320 36.23 2.027E+001 2.116E+003 3.215E-009 1.000E+015 2.521E-003 
34FR 34fr.dat 320 36.23 2.042E+001 2.102E+003 3.189E-009 1.000E+015 2.968E-003 
35FR 35fr.dat 320 36.23 2.029E+001 2.092E+003 3.283E-009 1.000E+015 3.256E-003 
36FR 36fr.dat 322 36.01 2.055E+001 2.062E+003 3.392E-009 1.000E+015 2.963E-003 
37FR 37fr.dat 322 36.01 2.058E+001 1.964E+003 3.492E-009 1.000E+015 3.305E-003 
38FR 38fr.dat 322 36.01 2.070E+001 1.922E+003 3.137E-009 1.000E+015 4.715E-003 
39FR 39fr.dat 325 35.67 2.078E+001 1.884E+003 3.894E-009 1.000E+015 3.046E-003 
40FR 40fr.dat 325 35.67 2.081E+001 1.802E+003 3.973E-009 1.000E+015 2.649E-003 
41A1111FR 41A1111fr.dat 330.1 35.12 2.150E+001 1.452E+003 5.308E-009 1.000E+015 3.024E-003 
41A111FR 41A111fr.dat 327 35.46 2.168E+001 1.548E+003 4.461E-009 1.000E+015 2.480E-003 
41A11FR 41A11fr.dat 327 35.46 2.115E+001 1.019E+003 4.150E-009 1.000E+015 1.094E-002 
41A1FR 41A1fr.dat 327 35.46 2.071E+001 1.709E+003 4.455E-009 1.000E+015 3.745E-003 
41FR 41fr.dat 325 35.67 2.057E+001 1.883E+003 4.222E-009 1.000E+015 2.668E-003 
42FR 42fr.dat 330 35.13 2.174E+001 1.527E+003 5.289E-009 1.000E+015 3.821E-003 
43FR 43fr.dat 330 35.13 2.163E+001 1.567E+003 5.376E-009 1.000E+015 3.306E-003 
44FR 44fr.dat 330 35.13 2.175E+001 1.414E+003 4.614E-009 1.000E+015 3.877E-003 
45FR 45fr.dat 332 34.92 2.181E+001 1.461E+003 5.708E-009 1.000E+015 3.863E-003 
46FR 46fr.dat 335 34.61 2.160E+001 1.272E+003 6.886E-009 1.000E+015 3.842E-003 
47FR 47fr.dat 335 34.61 2.290E+001 1.535E+003 5.844E-009 1.000E+015 1.113E-002 
48FR 48fr.dat 337 34.4 2.183E+001 1.391E+003 7.626E-009 1.000E+015 3.586E-003 
49FR 49fr.dat 337 34.4 2.173E+001 1.250E+003 7.844E-009 1.000E+015 2.623E-003 
50FR 50fr.dat 340 34.1 2.168E+001 1.078E+003 9.074E-009 1.000E+015 3.902E-003 
51FR 51fr.dat 340 34.1 2.190E+001 9.639E+002 9.822E-009 1.000E+015 3.807E-003 
52FR 52fr.dat 340 34.1 2.197E+001 1.097E+003 9.675E-009 1.000E+015 3.483E-003 
