X GE200N GE300N Orion400N Orion600N Orion700N Osram200N Osram400N Osram600N Osram700N
4.77000E+2 3.38978E-2 7.00660E-2 2.69213E-2 6.34144E-2 7.47138E-2 1.60794E-2 3.14674E-2 6.31526E-2 7.34305E-2
4.78000E+2 3.60548E-2 7.20016E-2 2.69323E-2 6.39200E-2 7.53313E-2 1.71428E-2 3.28916E-2 6.41440E-2 7.47856E-2
4.79000E+2 3.81175E-2 7.43948E-2 2.88165E-2 6.45544E-2 7.56492E-2 1.80396E-2 3.46248E-2 6.52406E-2 7.60476E-2
4.80000E+2 4.02630E-2 7.61876E-2 2.96453E-2 6.49025E-2 7.62232E-2 1.86136E-2 3.56423E-2 6.63136E-2 7.72647E-2
4.81000E+2 4.21893E-2 7.77226E-2 3.06177E-2 6.52208E-2 7.67471E-2 1.88628E-2 3.61730E-2 6.70037E-2 7.80023E-2
4.82000E+2 4.36535E-2 7.95518E-2 3.14384E-2 6.57622E-2 7.75021E-2 1.94196E-2 3.72311E-2 6.77776E-2 7.85235E-2
4.83000E+2 4.51781E-2 8.09202E-2 3.20229E-2 6.66299E-2 7.83369E-2 2.00736E-2 3.82061E-2 6.80930E-2 7.93307E-2
4.84000E+2 4.64244E-2 8.23322E-2 3.26220E-2 6.74606E-2 7.90621E-2 2.08989E-2 3.89360E-2 6.87797E-2 7.97287E-2
4.85000E+2 4.85489E-2 8.39221E-2 3.32683E-2 6.88149E-2 8.03216E-2 2.13548E-2 4.00130E-2 6.95082E-2 8.06878E-2
4.86000E+2 4.99564E-2 8.50154E-2 3.38635E-2 6.99430E-2 8.15121E-2 2.18305E-2 4.07405E-2 7.02534E-2 8.14912E-2
4.87000E+2 5.12626E-2 8.67336E-2 3.46016E-2 7.11779E-2 8.29079E-2 2.21376E-2 4.15293E-2 7.12545E-2 8.29430E-2
4.88000E+2 5.30714E-2 8.84422E-2 3.53250E-2 7.21746E-2 8.45697E-2 2.32656E-2 4.27935E-2 7.20321E-2 8.35351E-2
4.89000E+2 5.49952E-2 9.03855E-2 3.57978E-2 7.38940E-2 8.65642E-2 2.39860E-2 4.39281E-2 7.31797E-2 8.45890E-2
4.90000E+2 5.62272E-2 9.22497E-2 3.66754E-2 7.58535E-2 8.79441E-2 2.46354E-2 4.50745E-2 7.44282E-2 8.60785E-2
4.91000E+2 5.79857E-2 9.39954E-2 3.77907E-2 7.78618E-2 8.97452E-2 2.52699E-2 4.68389E-2 7.60097E-2 8.75959E-2
4.92000E+2 6.00078E-2 9.66536E-2 3.86218E-2 7.94044E-2 9.21288E-2 2.61657E-2 4.81054E-2 7.76117E-2 8.90096E-2
4.93000E+2 6.21355E-2 9.89628E-2 3.93655E-2 8.15678E-2 9.39599E-2 2.73421E-2 4.93391E-2 7.96835E-2 9.15038E-2
4.94000E+2 6.44092E-2 1.01326E-1 4.04224E-2 8.33831E-2 9.58228E-2 2.85432E-2 5.11841E-2 8.15717E-2 9.34750E-2
4.95000E+2 6.65045E-2 1.04271E-1 4.14060E-2 8.48610E-2 9.75984E-2 2.96865E-2 5.30412E-2 8.36706E-2 9.54404E-2
4.96000E+2 6.87326E-2 1.07344E-1 4.25961E-2 8.60738E-2 9.87117E-2 3.09199E-2 5.49570E-2 8.61507E-2 9.81702E-2
4.97000E+2 7.14516E-2 1.10513E-1 4.40558E-2 8.70906E-2 9.98750E-2 3.22819E-2 5.70669E-2 8.84826E-2 1.00978E-1
4.98000E+2 7.41402E-2 1.13664E-1 4.53670E-2 8.84208E-2 1.01473E-1 3.34871E-2 5.91391E-2 9.08339E-2 1.03474E-1
4.99000E+2 7.64284E-2 1.17168E-1 4.65905E-2 8.99264E-2 1.03037E-1 3.53951E-2 6.13272E-2 9.34526E-2 1.05964E-1
5.00000E+2 7.93869E-2 1.19528E-1 4.78725E-2 9.15503E-2 1.04894E-1 3.73866E-2 6.35801E-2 9.59307E-2 1.08740E-1
5.01000E+2 8.09650E-2 1.21481E-1 4.94070E-2 9.37870E-2 1.07119E-1 3.75307E-2 6.52855E-2 9.77743E-2 1.11060E-1
5.02000E+2 8.22911E-2 1.23793E-1 5.08198E-2 9.58280E-2 1.09439E-1 3.88443E-2 6.63961E-2 9.92332E-2 1.12644E-1
5.03000E+2 8.34970E-2 1.25520E-1 5.17498E-2 9.78822E-2 1.11347E-1 3.95398E-2 6.76735E-2 1.00723E-1 1.14092E-1
5.04000E+2 8.55138E-2 1.27647E-1 5.24658E-2 9.94432E-2 1.12641E-1 3.97111E-2 6.90710E-2 1.02579E-1 1.15927E-1
5.05000E+2 8.78349E-2 1.30037E-1 5.34781E-2 1.00786E-1 1.13950E-1 4.14834E-2 7.05626E-2 1.04488E-1 1.17901E-1
5.06000E+2 8.96961E-2 1.32311E-1 5.46771E-2 1.02236E-1 1.15607E-1 4.32740E-2 7.23431E-2 1.06284E-1 1.20024E-1
5.07000E+2 9.15040E-2 1.35234E-1 5.57271E-2 1.03520E-1 1.17268E-1 4.46038E-2 7.41805E-2 1.08167E-1 1.22582E-1
5.08000E+2 9.37810E-2 1.38590E-1 5.71360E-2 1.05225E-1 1.19112E-1 4.63036E-2 7.61987E-2 1.10682E-1 1.25250E-1
5.09000E+2 9.65641E-2 1.41007E-1 5.89983E-2 1.06747E-1 1.21038E-1 4.72110E-2 7.86121E-2 1.13603E-1 1.27565E-1
5.10000E+2 9.85702E-2 1.43390E-1 6.01344E-2 1.08133E-1 1.22612E-1 4.68229E-2 8.05426E-2 1.15547E-1 1.29887E-1
5.11000E+2 1.00615E-1 1.45598E-1 6.10098E-2 1.09509E-1 1.23959E-1 4.76702E-2 8.20579E-2 1.17189E-1 1.32019E-1
5.12000E+2 1.02305E-1 1.47614E-1 6.24532E-2 1.10930E-1 1.25265E-1 4.90923E-2 8.36196E-2 1.19205E-1 1.33738E-1
5.13000E+2 1.04314E-1 1.49753E-1 6.38250E-2 1.12433E-1 1.26462E-1 5.02941E-2 8.51870E-2 1.21165E-1 1.35325E-1
5.14000E+2 1.07346E-1 1.52273E-1 6.46757E-2 1.13710E-1 1.27997E-1 5.14319E-2 8.68665E-2 1.22906E-1 1.37252E-1
5.15000E+2 1.08563E-1 1.55258E-1 6.57239E-2 1.14949E-1 1.29633E-1 5.26374E-2 8.86487E-2 1.24814E-1 1.39598E-1
5.16000E+2 1.10047E-1 1.57654E-1 6.78466E-2 1.16446E-1 1.31335E-1 5.37327E-2 9.00515E-2 1.26857E-1 1.41892E-1
5.17000E+2 1.12427E-1 1.60255E-1 7.02675E-2 1.18305E-1 1.33121E-1 5.50956E-2 9.17269E-2 1.28873E-1 1.43743E-1
5.18000E+2 1.14772E-1 1.62891E-1 7.15010E-2 1.20300E-1 1.34864E-1 5.65348E-2 9.34894E-2 1.30776E-1 1.45420E-1
5.19000E+2 1.16761E-1 1.65089E-1 7.29381E-2 1.21898E-1 1.36713E-1 5.76979E-2 9.50508E-2 1.32542E-1 1.47386E-1
5.20000E+2 1.19042E-1 1.67868E-1 7.44877E-2 1.23449E-1 1.38535E-1 5.85795E-2 9.64709E-2 1.34297E-1 1.49490E-1
5.21000E+2 1.20949E-1 1.70323E-1 7.56907E-2 1.25031E-1 1.40316E-1 5.95616E-2 9.79083E-2 1.36207E-1 1.51235E-1
5.22000E+2 1.23084E-1 1.72716E-1 7.67844E-2 1.26622E-1 1.42165E-1 6.09138E-2 9.93616E-2 1.38086E-1 1.53283E-1
5.23000E+2 1.25507E-1 1.75489E-1 7.84791E-2 1.28828E-1 1.44030E-1 6.21247E-2 1.00964E-1 1.40050E-1 1.55362E-1
5.24000E+2 1.27734E-1 1.78437E-1 8.06489E-2 1.30927E-1 1.46068E-1 6.30422E-2 1.02701E-1 1.42073E-1 1.57349E-1
5.25000E+2 1.30536E-1 1.81277E-1 8.27679E-2 1.32700E-1 1.48343E-1 6.40786E-2 1.04460E-1 1.43939E-1 1.59457E-1
5.26000E+2 1.33196E-1 1.84034E-1 8.44653E-2 1.34360E-1 1.50458E-1 6.54129E-2 1.06261E-1 1.45663E-1 1.61489E-1
5.27000E+2 1.35434E-1 1.87064E-1 8.58826E-2 1.35691E-1 1.51723E-1 6.66001E-2 1.07962E-1 1.47629E-1 1.63568E-1
5.28000E+2 1.37762E-1 1.90367E-1 8.73308E-2 1.37313E-1 1.53184E-1 6.76140E-2 1.09695E-1 1.49661E-1 1.65660E-1
5.29000E+2 1.40550E-1 1.93283E-1 8.92302E-2 1.39045E-1 1.55046E-1 6.87726E-2 1.11581E-1 1.51555E-1 1.67720E-1
5.30000E+2 1.43406E-1 1.96354E-1 9.16847E-2 1.40197E-1 1.56565E-1 7.01596E-2 1.13409E-1 1.53728E-1 1.69974E-1
5.31000E+2 1.46003E-1 1.99659E-1 9.38944E-2 1.41250E-1 1.57893E-1 7.14550E-2 1.15254E-1 1.55931E-1 1.72400E-1
5.32000E+2 1.48297E-1 2.02808E-1 9.56151E-2 1.42198E-1 1.58979E-1 7.26050E-2 1.17136E-1 1.58024E-1 1.74806E-1
5.33000E+2 1.50424E-1 2.05875E-1 9.69193E-2 1.43065E-1 1.59991E-1 7.38241E-2 1.18998E-1 1.60038E-1 1.77064E-1
5.34000E+2 1.52956E-1 2.08817E-1 9.79486E-2 1.44233E-1 1.61420E-1 7.52249E-2 1.20801E-1 1.61912E-1 1.79254E-1
5.35000E+2 1.55617E-1 2.11641E-1 9.93509E-2 1.45376E-1 1.62799E-1 7.65228E-2 1.22372E-1 1.63795E-1 1.81383E-1
5.36000E+2 1.57593E-1 2.14380E-1 1.00898E-1 1.46447E-1 1.63978E-1 7.76319E-2 1.23768E-1 1.65714E-1 1.83430E-1
5.37000E+2 1.59633E-1 2.16832E-1 1.01817E-1 1.47770E-1 1.65215E-1 7.87362E-2 1.25232E-1 1.67505E-1 1.85319E-1
5.38000E+2 1.61455E-1 2.18829E-1 1.02548E-1 1.49367E-1 1.66322E-1 7.98020E-2 1.26701E-1 1.69036E-1 1.86789E-1
5.39000E+2 1.62712E-1 2.20539E-1 1.03624E-1 1.50804E-1 1.67564E-1 8.07265E-2 1.28036E-1 1.70284E-1 1.88057E-1
5.40000E+2 1.64312E-1 2.22549E-1 1.05112E-1 1.51883E-1 1.69263E-1 8.14390E-2 1.29197E-1 1.71396E-1 1.89342E-1
5.41000E+2 1.65927E-1 2.24602E-1 1.06270E-1 1.53480E-1 1.70996E-1 8.19889E-2 1.30349E-1 1.72640E-1 1.90424E-1
5.42000E+2 1.67380E-1 2.26390E-1 1.07111E-1 1.55243E-1 1.72672E-1 8.26360E-2 1.31585E-1 1.73967E-1 1.91754E-1
5.43000E+2 1.69224E-1 2.28054E-1 1.07997E-1 1.56668E-1 1.74422E-1 8.34522E-2 1.32873E-1 1.75323E-1 1.93380E-1
5.44000E+2 1.71056E-1 2.29851E-1 1.08939E-1 1.58583E-1 1.76278E-1 8.42631E-2 1.34109E-1 1.76819E-1 1.94728E-1
5.45000E+2 1.72830E-1 2.31889E-1 1.10082E-1 1.60686E-1 1.78295E-1 8.53265E-2 1.35455E-1 1.78519E-1 1.96365E-1
5.46000E+2 1.75013E-1 2.34117E-1 1.11460E-1 1.62438E-1 1.80453E-1 8.65570E-2 1.36969E-1 1.80287E-1 1.98494E-1
5.47000E+2 1.77213E-1 2.36547E-1 1.12677E-1 1.64419E-1 1.82540E-1 8.75714E-2 1.38567E-1 1.81948E-1 2.00639E-1
5.48000E+2 1.79280E-1 2.39112E-1 1.13932E-1 1.66564E-1 1.84757E-1 8.87851E-2 1.40343E-1 1.83921E-1 2.02699E-1
5.49000E+2 1.81488E-1 2.41687E-1 1.15595E-1 1.68554E-1 1.87319E-1 9.02137E-2 1.42140E-1 1.86086E-1 2.04603E-1
5.50000E+2 1.83803E-1 2.44264E-1 1.17328E-1 1.70817E-1 1.89701E-1 9.14426E-2 1.43700E-1 1.87926E-1 2.06365E-1
5.51000E+2 1.86154E-1 2.47055E-1 1.18954E-1 1.73386E-1 1.92031E-1 9.27658E-2 1.45558E-1 1.90104E-1 2.08577E-1
5.52000E+2 1.88541E-1 2.50320E-1 1.20549E-1 1.75925E-1 1.94849E-1 9.42700E-2 1.47746E-1 1.92660E-1 2.11286E-1
5.53000E+2 1.91103E-1 2.53717E-1 1.22250E-1 1.78464E-1 1.97683E-1 9.57039E-2 1.49695E-1 1.94874E-1 2.13925E-1
5.54000E+2 1.93859E-1 2.56947E-1 1.24117E-1 1.80962E-1 2.00238E-1 9.72192E-2 1.51614E-1 1.97150E-1 2.16546E-1
5.55000E+2 1.96642E-1 2.60046E-1 1.26076E-1 1.83206E-1 2.02761E-1 9.89011E-2 1.53742E-1 1.99779E-1 2.19192E-1
5.56000E+2 1.99529E-1 2.63404E-1 1.28040E-1 1.85471E-1 2.05292E-1 1.00602E-1 1.56028E-1 2.02466E-1 2.21716E-1
5.57000E+2 2.02535E-1 2.67198E-1 1.29979E-1 1.87999E-1 2.07787E-1 1.02354E-1 1.58435E-1 2.05206E-1 2.24601E-1
5.58000E+2 2.05406E-1 2.70955E-1 1.31994E-1 1.90402E-1 2.10223E-1 1.04186E-1 1.60880E-1 2.08038E-1 2.27995E-1
5.59000E+2 2.08619E-1 2.74543E-1 1.34038E-1 1.92206E-1 2.12240E-1 1.05979E-1 1.63190E-1 2.10846E-1 2.30982E-1
5.60000E+2 2.12590E-1 2.78134E-1 1.35975E-1 1.93123E-1 2.13372E-1 1.07838E-1 1.65631E-1 2.13744E-1 2.33842E-1
5.61000E+2 2.16003E-1 2.82016E-1 1.37947E-1 1.93808E-1 2.14117E-1 1.09906E-1 1.68508E-1 2.16870E-1 2.37303E-1
5.62000E+2 2.18663E-1 2.86144E-1 1.40073E-1 1.94829E-1 2.15037E-1 1.11942E-1 1.71273E-1 2.19861E-1 2.40709E-1
5.63000E+2 2.21821E-1 2.90124E-1 1.42240E-1 1.95983E-1 2.16177E-1 1.13830E-1 1.73699E-1 2.22640E-1 2.43729E-1
5.64000E+2 2.25163E-1 2.93866E-1 1.44101E-1 1.97172E-1 2.17427E-1 1.15683E-1 1.76091E-1 2.25512E-1 2.46702E-1
5.65000E+2 2.27958E-1 2.97287E-1 1.45273E-1 1.98476E-1 2.18646E-1 1.17525E-1 1.78320E-1 2.28139E-1 2.49504E-1
5.66000E+2 2.30198E-1 3.00010E-1 1.46132E-1 1.99982E-1 2.20024E-1 1.19233E-1 1.80126E-1 2.30070E-1 2.51801E-1
5.67000E+2 2.32213E-1 3.01906E-1 1.47138E-1 2.01678E-1 2.21702E-1 1.20409E-1 1.81443E-1 2.31342E-1 2.53302E-1
5.68000E+2 2.34399E-1 3.03187E-1 1.48267E-1 2.03294E-1 2.23409E-1 1.21122E-1 1.82449E-1 2.32235E-1 2.54228E-1
5.69000E+2 2.36043E-1 3.04485E-1 1.49460E-1 2.04865E-1 2.25113E-1 1.21919E-1 1.83515E-1 2.33178E-1 2.55255E-1
5.70000E+2 2.36695E-1 3.06358E-1 1.50710E-1 2.06786E-1 2.27094E-1 1.22919E-1 1.84674E-1 2.34342E-1 2.56634E-1
5.71000E+2 2.37827E-1 3.08706E-1 1.52026E-1 2.08854E-1 2.29162E-1 1.24062E-1 1.85875E-1 2.35742E-1 2.58351E-1
5.72000E+2 2.40035E-1 3.11307E-1 1.53400E-1 2.10604E-1 2.30928E-1 1.25320E-1 1.87253E-1 2.37272E-1 2.60236E-1
5.73000E+2 2.42503E-1 3.13919E-1 1.54714E-1 2.12097E-1 2.32460E-1 1.26683E-1 1.88860E-1 2.38907E-1 2.62202E-1
5.74000E+2 2.44771E-1 3.16483E-1 1.55910E-1 2.13499E-1 2.33897E-1 1.28151E-1 1.90594E-1 2.40743E-1 2.64292E-1
5.75000E+2 2.46761E-1 3.19035E-1 1.57187E-1 2.14803E-1 2.35181E-1 1.29598E-1 1.92328E-1 2.42676E-1 2.66356E-1
5.76000E+2 2.48907E-1 3.21574E-1 1.58613E-1 2.16081E-1 2.36428E-1 1.30848E-1 1.93967E-1 2.44530E-1 2.68147E-1
5.77000E+2 2.51487E-1 3.24058E-1 1.60022E-1 2.17545E-1 2.38030E-1 1.31899E-1 1.95695E-1 2.46508E-1 2.69669E-1
5.78000E+2 2.54122E-1 3.26395E-1 1.61308E-1 2.19270E-1 2.40006E-1 1.32839E-1 1.97596E-1 2.48676E-1 2.71020E-1
5.79000E+2 2.56570E-1 3.28601E-1 1.62432E-1 2.21176E-1 2.42028E-1 1.33813E-1 1.99261E-1 2.50447E-1 2.72252E-1
5.80000E+2 2.58900E-1 3.30852E-1 1.63482E-1 2.23209E-1 2.44174E-1 1.34828E-1 2.00484E-1 2.51634E-1 2.73379E-1
5.81000E+2 2.61144E-1 3.33203E-1 1.64608E-1 2.25341E-1 2.46668E-1 1.35704E-1 2.01466E-1 2.52756E-1 2.74373E-1
5.82000E+2 2.63276E-1 3.35580E-1 1.65863E-1 2.27619E-1 2.49155E-1 1.36509E-1 2.02478E-1 2.53991E-1 2.75386E-1
5.83000E+2 2.65302E-1 3.37882E-1 1.67268E-1 2.30061E-1 2.51225E-1 1.37499E-1 2.03789E-1 2.55225E-1 2.76700E-1
5.84000E+2 2.67297E-1 3.40101E-1 1.68890E-1 2.32494E-1 2.53187E-1 1.38641E-1 2.05312E-1 2.56539E-1 2.78313E-1
5.85000E+2 2.69562E-1 3.42641E-1 1.70730E-1 2.34756E-1 2.55401E-1 1.39788E-1 2.06834E-1 2.58101E-1 2.80090E-1
5.86000E+2 2.72306E-1 3.45767E-1 1.72580E-1 2.36865E-1 2.57830E-1 1.41003E-1 2.08418E-1 2.59937E-1 2.81886E-1
5.87000E+2 2.75312E-1 3.49038E-1 1.74307E-1 2.38896E-1 2.60353E-1 1.42376E-1 2.10177E-1 2.61996E-1 2.83654E-1
5.88000E+2 2.78395E-1 3.52246E-1 1.76012E-1 2.40987E-1 2.62786E-1 1.43872E-1 2.12091E-1 2.64148E-1 2.85612E-1
5.89000E+2 2.81580E-1 3.55882E-1 1.77783E-1 2.43211E-1 2.65053E-1 1.45436E-1 2.14121E-1 2.66276E-1 2.87899E-1
5.90000E+2 2.84770E-1 3.60011E-1 1.79605E-1 2.45521E-1 2.67282E-1 1.47023E-1 2.16226E-1 2.68329E-1 2.90356E-1
5.91000E+2 2.87660E-1 3.63965E-1 1.81420E-1 2.47807E-1 2.69576E-1 1.48552E-1 2.18309E-1 2.70311E-1 2.92802E-1
5.92000E+2 2.90344E-1 3.67494E-1 1.83111E-1 2.49898E-1 2.71965E-1 1.49879E-1 2.20173E-1 2.72289E-1 2.95105E-1
5.93000E+2 2.93366E-1 3.70868E-1 1.84704E-1 2.51826E-1 2.74372E-1 1.51074E-1 2.21863E-1 2.74295E-1 2.97228E-1
5.94000E+2 2.96766E-1 3.74209E-1 1.86446E-1 2.53927E-1 2.76586E-1 1.52485E-1 2.23747E-1 2.76316E-1 2.99270E-1
5.95000E+2 3.00093E-1 3.77464E-1 1.88403E-1 2.56232E-1 2.78585E-1 1.54176E-1 2.25919E-1 2.78369E-1 3.01324E-1
5.96000E+2 3.03133E-1 3.80726E-1 1.90369E-1 2.58310E-1 2.80641E-1 1.55895E-1 2.28154E-1 2.80519E-1 3.03469E-1
5.97000E+2 3.05901E-1 3.84203E-1 1.92253E-1 2.60052E-1 2.82841E-1 1.57516E-1 2.30283E-1 2.82748E-1 3.05754E-1
5.98000E+2 3.08605E-1 3.87878E-1 1.94155E-1 2.61890E-1 2.84969E-1 1.59060E-1 2.32212E-1 2.84965E-1 3.08190E-1
5.99000E+2 3.11557E-1 3.91548E-1 1.96080E-1 2.63966E-1 2.86915E-1 1.60580E-1 2.34000E-1 2.87146E-1 3.10641E-1
6.00000E+2 3.14689E-1 3.95000E-1 1.97860E-1 2.65901E-1 2.88783E-1 1.62161E-1 2.35840E-1 2.89329E-1 3.12874E-1
6.01000E+2 3.17665E-1 3.98030E-1 1.99426E-1 2.67574E-1 2.90685E-1 1.63798E-1 2.37770E-1 2.91504E-1 3.14901E-1
6.02000E+2 3.20492E-1 4.00854E-1 2.00923E-1 2.69419E-1 2.92699E-1 1.65410E-1 2.39696E-1 2.93611E-1 3.16935E-1
6.03000E+2 3.23440E-1 4.03990E-1 2.02482E-1 2.71655E-1 2.94839E-1 1.66973E-1 2.41616E-1 2.95684E-1 3.18986E-1
6.04000E+2 3.26524E-1 4.07435E-1 2.04125E-1 2.73824E-1 2.96977E-1 1.68510E-1 2.43610E-1 2.97825E-1 3.20879E-1
6.05000E+2 3.29563E-1 4.10784E-1 2.05837E-1 2.75572E-1 2.99013E-1 1.70042E-1 2.45628E-1 2.99979E-1 3.22686E-1
6.06000E+2 3.32552E-1 4.13890E-1 2.07519E-1 2.77153E-1 3.01025E-1 1.71593E-1 2.47507E-1 3.01941E-1 3.24726E-1
6.07000E+2 3.35649E-1 4.16843E-1 2.09094E-1 2.78880E-1 3.03107E-1 1.73135E-1 2.49193E-1 3.03683E-1 3.26949E-1
6.08000E+2 3.38730E-1 4.19699E-1 2.10625E-1 2.80807E-1 3.05232E-1 1.74590E-1 2.50760E-1 3.05393E-1 3.28887E-1
6.09000E+2 3.41344E-1 4.22447E-1 2.12207E-1 2.82891E-1 3.07348E-1 1.75950E-1 2.52310E-1 3.07197E-1 3.30513E-1
6.10000E+2 3.43436E-1 4.25182E-1 2.13892E-1 2.84943E-1 3.09407E-1 1.77310E-1 2.53982E-1 3.09136E-1 3.32433E-1
6.11000E+2 3.45554E-1 4.28188E-1 2.15708E-1 2.86738E-1 3.11364E-1 1.78762E-1 2.55830E-1 3.11211E-1 3.34870E-1
6.12000E+2 3.48020E-1 4.31528E-1 2.17604E-1 2.88272E-1 3.13105E-1 1.80367E-1 2.57768E-1 3.13349E-1 3.37280E-1
6.13000E+2 3.50581E-1 4.34751E-1 2.19469E-1 2.89675E-1 3.14464E-1 1.82125E-1 2.59716E-1 3.15473E-1 3.39313E-1
6.14000E+2 3.53029E-1 4.37559E-1 2.21215E-1 2.91049E-1 3.15577E-1 1.83895E-1 2.61665E-1 3.17524E-1 3.41320E-1
6.15000E+2 3.55544E-1 4.40266E-1 2.22792E-1 2.92466E-1 3.16947E-1 1.85561E-1 2.63625E-1 3.19494E-1 3.43639E-1
6.16000E+2 3.58300E-1 4.43203E-1 2.24246E-1 2.93945E-1 3.18788E-1 1.87151E-1 2.65580E-1 3.21506E-1 3.46064E-1
6.17000E+2 3.61121E-1 4.46269E-1 2.25814E-1 2.95403E-1 3.20687E-1 1.88719E-1 2.67514E-1 3.23675E-1 3.48296E-1
6.18000E+2 3.63752E-1 4.49234E-1 2.27686E-1 2.96773E-1 3.22260E-1 1.90283E-1 2.69376E-1 3.25857E-1 3.50278E-1
6.19000E+2 3.66182E-1 4.52002E-1 2.29742E-1 2.98122E-1 3.23579E-1 1.91841E-1 2.71115E-1 3.27833E-1 3.52067E-1
6.20000E+2 3.68518E-1 4.54544E-1 2.31791E-1 2.99533E-1 3.24817E-1 1.93308E-1 2.72692E-1 3.29501E-1 3.53711E-1
6.21000E+2 3.70757E-1 4.56875E-1 2.33702E-1 3.00964E-1 3.25972E-1 1.94539E-1 2.74054E-1 3.30842E-1 3.55256E-1
6.22000E+2 3.72794E-1 4.59070E-1 2.35395E-1 3.02297E-1 3.26964E-1 1.95573E-1 2.75261E-1 3.31982E-1 3.56815E-1
6.23000E+2 3.74646E-1 4.61224E-1 2.36875E-1 3.03490E-1 3.27846E-1 1.96670E-1 2.76475E-1 3.33211E-1 3.58584E-1
6.24000E+2 3.76545E-1 4.63455E-1 2.38255E-1 3.04581E-1 3.28863E-1 1.97968E-1 2.77809E-1 3.34674E-1 3.60571E-1
6.25000E+2 3.78669E-1 4.65811E-1 2.39647E-1 3.05626E-1 3.30166E-1 1.99301E-1 2.79258E-1 3.36171E-1 3.62339E-1
6.26000E+2 3.80853E-1 4.68071E-1 2.41116E-1 3.06682E-1 3.31565E-1 2.00509E-1 2.80803E-1 3.37505E-1 3.63542E-1
6.27000E+2 3.82856E-1 4.69951E-1 2.42710E-1 3.07805E-1 3.32833E-1 2.01698E-1 2.82372E-1 3.38800E-1 3.64576E-1
6.28000E+2 3.84658E-1 4.71641E-1 2.44401E-1 3.09007E-1 3.34058E-1 2.03045E-1 2.83896E-1 3.40268E-1 3.66048E-1
6.29000E+2 3.86350E-1 4.73545E-1 2.46117E-1 3.10274E-1 3.35501E-1 2.04481E-1 2.85362E-1 3.41871E-1 3.67919E-1
6.30000E+2 3.88021E-1 4.75716E-1 2.47760E-1 3.11619E-1 3.37186E-1 2.05748E-1 2.86785E-1 3.43382E-1 3.69663E-1
6.31000E+2 3.89766E-1 4.77709E-1 2.49213E-1 3.13104E-1 3.38809E-1 2.06742E-1 2.88143E-1 3.44701E-1 3.71001E-1
6.32000E+2 3.91622E-1 4.79225E-1 2.50402E-1 3.14778E-1 3.40133E-1 2.07629E-1 2.89323E-1 3.45948E-1 3.72088E-1
6.33000E+2 3.93402E-1 4.80561E-1 2.51469E-1 3.16560E-1 3.41412E-1 2.08583E-1 2.90268E-1 3.47255E-1 3.73115E-1
6.34000E+2 3.94901E-1 4.82138E-1 2.52626E-1 3.18345E-1 3.43028E-1 2.09715E-1 2.91274E-1 3.48711E-1 3.74307E-1
6.35000E+2 3.96238E-1 4.84010E-1 2.53969E-1 3.20140E-1 3.45033E-1 2.11105E-1 2.92723E-1 3.50391E-1 3.75870E-1
6.36000E+2 3.97744E-1 4.86011E-1 2.55479E-1 3.22052E-1 3.47127E-1 2.12683E-1 2.94597E-1 3.52255E-1 3.77748E-1
