number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WaterWave
21 1.407343907E-6 1.596734055E-9 1.59673405E-9 1.601662238E-9 2.715060788E-7 7.005089798E-12 5.008590892E-12 1.59673411E-9 1E-16 3.157435887E-12 4.608397633E-15 2.807033613E-16 9.03912651E-7 7.047710392E-7
22 3.920535215E-8 1.59673408E-9 1.59673406E-9 1.596604994E-9 2.021321079E-8 1.596734065E-9 2.201092192E-9 1.596734067E-9 1E-16 1.118554721E-9 2.204944723E-10 2.257599297E-16 5.131653928E-15 6.469196719E-8
23 5.806737754E-10 1.596734067E-9 1.596734099E-9 3.168831613E-8 1.005430902E-8 1.596734065E-9 3.399473376E-16 1.596734021E-9 1E-16 5.414842923E-11 5.552159936E-9 4.695580203E-16 7.806889631E-12 8.225537235E-6
24 2.494172022E-7 1.773756472E-9 1.596734083E-9 7.895726057E-10 9.523651887E-6 1.002410952E-9 9.997108396E-6 1.596734023E-9 1E-16 5.322681116E-8 2.401455648E-6 1.694497441E-15 2.770418801E-7 1.259552038E-6
25 5.93132288E-9 1.596734078E-9 1.596734045E-9 2.196206391E-7 1.811841165E-16 1.145517316E-9 1.370651283E-6 1.596734036E-9 1E-5 1.518902913E-6 9.48846698E-6 2.293832523E-9 2.570293717E-13 2.886501807E-11
26 9.341565111E-12 1.59673406E-9 1.596734079E-9 1.594822984E-9 2.633806518E-6 1.131327427E-9 5.494194895E-6 1.596734054E-9 1E-5 5.101664379E-8 8.095717938E-8 1E-16 1E-5 4.291664947E-6
27 1.0703154E-12 2.072104888E-6 1.59673407E-9 2.633850389E-10 2.830187945E-12 1.596734089E-9 6.466592727E-11 1.596734026E-9 1E-5 2.766972239E-6 1.859268943E-6 2.547420614E-16 1E-16 1E-5
28 2.620442892E-7 1.596734069E-9 1.596734042E-9 2.965518649E-9 2.981793785E-8 1.596734095E-9 9.605433303E-6 1.596734062E-9 1E-5 2.437275724E-7 5.651466502E-7 5.822109962E-16 1.22228241E-7 2.058211869E-6
29 1.877287093E-10 1.596734058E-9 1.59673402E-9 1.715761969E-8 3.381342426E-14 1.596734085E-9 2.584073237E-10 1.596734064E-9 1E-16 4.127359766E-10 8.322547865E-14 1.781907503E-11 6.202515228E-15 8.095241436E-10
30 2.966584305E-10 2.657660285E-7 1.596734078E-9 7.049111902E-6 5.031727944E-14 1.125586584E-13 6.715496183E-14 1.596734051E-9 1E-5 7.474100999E-10 2.921650531E-13 2.299983175E-13 1E-5 5.241899247E-6
31 4.38583186E-9 1.596734077E-9 1.596734035E-9 6.101312097E-8 1.296189812E-13 4.606284439E-8 9.45518349E-12 1.596734075E-9 1E-5 2.258506057E-7 5.009572471E-16 1.230372824E-7 1.54089886E-16 2.698853759E-7
32 5.148862566E-7 1.596734051E-9 1.596734083E-9 2.869606186E-6 2.003139132E-7 1.578699352E-9 3.843303487E-8 1.596734063E-9 1E-16 2.890148919E-16 2.762125566E-6 6.191413574E-16 1.756870756E-14 1.902779599E-6
33 1.885877068E-8 1.596734095E-9 1.596734089E-9 1.786008041E-9 2.266047845E-7 1.596734052E-9 2.32785827E-8 1.596734016E-9 1E-16 1.433700158E-7 3.776454575E-6 2.293342633E-11 6.090328663E-16 1.565867926E-15
34 6.312394543E-9 1.596734057E-9 1.59673406E-9 7.89896409E-9 3.631166227E-15 8.143073325E-10 1.034471218E-8 1.596734093E-9 1E-16 1.121436945E-8 2.053327658E-7 7.474211034E-13 8.112716007E-7 1.001827685E-16
35 2.466652793E-7 1.596734052E-9 1.596734088E-9 1.596960867E-9 5.879005434E-9 1.867117075E-9 7.710882671E-15 1.596734069E-9 1E-5 2.881465953E-15 1.392707662E-7 4.098344362E-12 2.112315035E-14 1.360282513E-7
36 1.34813169E-11 1.596734079E-9 1.596734069E-9 5.849732001E-7 4.065715994E-7 1.596734092E-9 1.303227255E-8 1.596734102E-9 2.143528569E-6 9.270033081E-8 1.951512613E-7 8.10339359E-10 1E-16 6.122578038E-8
37 1.995914538E-7 1.596734066E-9 1.596734067E-9 1.77375626E-9 2.704785056E-11 1.596734076E-9 4.277253654E-8 1.596734055E-9 1E-16 4.985923276E-6 5.652546274E-7 8.214189675E-7 8.324554402E-8 2.438020249E-7
38 5.450306303E-15 9.238420153E-9 1.596734109E-9 3.069562754E-8 9.957532981E-6 1.171241515E-9 4.390228503E-6 1.59673409E-9 1E-16 6.754681433E-10 1.924394812E-7 1.082589705E-6 1E-5 9.442260215E-8
39 2.654443694E-6 1.596734081E-9 1.596734077E-9 3.258512999E-9 2.349915101E-11 1.59673408E-9 1.026326139E-16 1.59673408E-9 1.557291271E-6 1.742008982E-11 1.640383222E-7 7.207402569E-6 1E-16 9.61712566E-6
40 4.37894893E-10 1.596734085E-9 1.596734019E-9 3.422507736E-9 7.469322527E-7 1.688619433E-13 3.744100528E-10 1.596734074E-9 1E-5 3.848789043E-11 8.740025516E-6 3.785085615E-10 2.954791924E-12 1.41610966E-16
41 1.975485664E-11 1.596734082E-9 1.596734064E-9 7.934181185E-7 4.080128368E-7 1.596734072E-9 1.034979344E-8 1.596734084E-9 1E-16 1.096113656E-7 5.300468891E-6 1.908818283E-12 2.857434064E-10 2.578709069E-7
42 2.423151768E-14 1.596734062E-9 1.596734065E-9 6.503799769E-8 3.453155207E-6 2.93577411E-8 2.359855788E-7 1.59673406E-9 1E-5 7.114166448E-14 1.365012997E-10 2.510194599E-10 1E-16 2.977372866E-8
43 4.495534676E-13 1.596734055E-9 1.596734055E-9 3.676352629E-8 1.330107904E-15 1.355906625E-9 1.578597037E-6 1.596734083E-9 1.665307965E-6 1.109575365E-8 1.118853701E-6 1.119339825E-8 7.750711322E-10 7.97933315E-6
44 1.066887235E-9 1.596734081E-9 1.596734056E-9 3.141987956E-8 7.91407942E-6 1.560483158E-9 9.611612405E-6 1.596734055E-9 2.201360643E-8 1.284517383E-13 1.385227047E-8 4.652317487E-16 9.912521724E-11 3.939924222E-6
45 6.977683035E-7 1.59673409E-9 1.596734064E-9 2.064775211E-7 1.210845223E-7 4.861296014E-8 3.288472265E-13 1.596734056E-9 1E-16 1.470152014E-6 1.227999882E-16 1.09738434E-15 1.213350088E-10 6.554907918E-6
46 3.965786654E-6 1.596734091E-9 1.596734107E-9 4.642100082E-7 4.402702476E-6 1.59673409E-9 4.180892715E-8 1.59673406E-9 1.307377814E-7 5.884466723E-8 1.320526422E-8 3.876890434E-6 1.187832133E-13 2.104982292E-7
47 1.123103976E-8 1.596734089E-9 1.596734067E-9 3.884554146E-11 9.973003875E-6 1.596734051E-9 3.750917014E-12 1.596733997E-9 1E-5 5.641031644E-8 3.283286121E-7 6.268991041E-7 6.859558853E-8 5.18382941E-6
48 1.042928061E-7 1.596734094E-9 1.596734053E-9 2.01535136E-7 3.353215491E-7 1.596734089E-9 5.049308115E-10 1.596734094E-9 1E-16 3.175347246E-12 4.804171965E-9 1.006493774E-16 2.800231629E-11 2.880797496E-8
49 4.072664159E-9 1.596734072E-9 1.596734079E-9 4.47586824E-9 2.151196995E-12 1.596734056E-9 2.55169679E-8 1.596734052E-9 1E-16 9.671966737E-9 3.880810811E-7 9.55661941E-15 3.839290052E-8 8.80241774E-6
