number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WW
31 0.1150184874 0.1118034352 0.1118034352 0.1119916163 0.1692186462 0.1118416889 0.192678834 0.1118034352 0.1294149141 0.1801371587 0.8305272366 0.1488685953 0.8543783361 0.7595365339
32 0.1404290738 0.1118034352 0.1118034352 0.1147598662 0.853826721 0.111803488 0.8087443871 0.1118034352 0.8543783153 0.1242712432 0.5548369828 0.8131342361 0.8543173596 0.8534051674
33 0.1384480575 0.1118034352 0.1118034352 0.1118035658 0.1167541651 0.1118034352 0.1243648584 0.1118034352 0.1230981737 0.1123703884 1.019415763 0.8280020012 0.8543783173 0.7924320728
34 0.3214474979 0.1118034352 0.1118034352 0.1118121766 0.1172308481 0.111819435 0.1601096665 0.1118034352 0.854378313 0.1291062204 0.8481501334 0.3040141532 0.3159054484 0.8543783273
35 0.13758138 0.1118034352 0.1118034352 0.1118034351 0.8545174237 0.1118081721 0.8860786511 0.1118034352 0.8540270424 0.1160980041 0.8844295225 0.7817737799 0.8543783149 0.8604283446
36 0.1614982493 0.1118034352 0.1118034352 0.1122362016 0.1193514707 0.1118034352 0.8386118005 0.1118034352 0.1524173991 0.1424573121 0.82648603 0.9190323012 0.8543783068 0.8206387702
37 0.1752236252 0.1118034352 0.1118034352 0.1118035182 0.5358181934 0.1118034352 0.1403055795 0.1118034352 0.8543783141 0.2032185849 0.8657708491 0.8448753253 0.8540651215 0.7763804505
38 0.1512073287 0.1118549708 0.1118034352 0.1118713048 0.1160771008 0.1118057784 0.1893500039 0.1118034352 0.8543782989 0.1148340678 0.8434893878 0.8158659634 0.8543200296 0.853314758
39 0.3392111859 0.1118034352 0.1118034352 0.1118061354 0.7441356866 0.1118034352 0.8400193741 0.1118034352 0.1264670796 0.1669260551 0.8378041914 0.3657760412 0.7503370442 0.8546033961
40 0.2183091571 0.1118034352 0.1118034352 0.1118064954 0.169927661 0.1122182122 0.6682575463 0.1118034352 0.8525695706 0.11418079 0.1986188584 0.8716262363 0.8561916223 0.866103123
41 0.2300951567 0.1118034352 0.1118034352 0.1121230706 0.112349543 0.1118034352 0.8395790814 0.1118034352 0.8361243599 0.1586436706 0.7428387571 0.8159305562 0.1530015739 0.8557616027
42 0.1386602872 0.1118034352 0.1118034352 0.111952169 0.2574374285 0.1118275989 0.8468408354 0.1118034352 0.8503441964 0.1144042338 0.494993681 0.9173132013 0.776217502 0.8443408877
43 0.2147022783 0.1118034352 0.1118034352 0.1118410589 0.1373364845 0.1118043424 0.5171628125 0.1118034352 0.8506015572 0.1137541733 0.9515444551 0.7708782414 0.9569745382 0.828638624
44 0.1377754569 0.1118034352 0.1118034352 0.1119816863 0.8534741206 0.1118034832 0.8531571022 0.1118034352 0.1402433555 0.1314167826 0.8280740805 0.8661628451 0.8543783407 0.8540196412
45 0.1328042282 0.1118034352 0.1118034352 0.1120410395 0.8298667746 0.1118504989 0.8499181181 0.1118034352 0.8361243831 0.1183202826 0.8705223496 0.8931974279 0.8543782647 0.8056958553
46 0.358767384 0.1118034352 0.1118034352 0.1121019018 0.1165826835 0.1118034352 0.854640941 0.1118034352 0.132156266 0.1555178812 0.3311569572 0.2589857965 0.8543784818 0.8536806503
47 0.1792106452 0.1118034352 0.1118034352 0.1120324756 0.1287173073 0.1118034352 0.3076657355 0.1118034352 0.8503441117 0.1137270726 0.6178890369 0.8660989883 0.8543738833 0.6859505859
48 0.1809381051 0.1118034352 0.1118034352 0.1119512288 0.1127619869 0.1118034352 0.1504944837 0.1118034352 0.8543786637 0.1163287274 0.8508932324 0.8774415134 0.8543784972 0.8593377045
49 0.207670737 0.1118034352 0.1118034352 0.1118139471 0.8502653172 0.1118034352 0.1395345457 0.1118034352 0.854378357 0.1335027051 0.8037875449 0.8064218726 0.8543774412 0.860162357
