number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WW
12 1.60311188 2.353904823 1.919732279 2.424412904 3.311779214 1.919732274 15.85805686 1.919732279 50 1.137336449 1.721589187 4.073479125 4.607924554 4.261411448
13 2.053232367 1.919732278 1.919732281 2.314010106 1.337090419 1.91973228 29.5270929 1.919732275 0.8815327055 2.311753005 28.11119793 5.733096303 1.803196681 0.9767569369
14 0.9096642369 1.91973228 1.91973228 2.875677188 2.115997832 2.140646902 17.87545412 1.919732277 4.255307501 2.241835595 3.463316122 40.83858635 50 8.731518778
15 3.178946768 1.919732279 1.919732277 2.604661563 3.057336194 1.919732279 3.505887674 1.919732281 4.637732721 3.560426645 38.7519542 5.161952187 18.8063171 3.401327885
16 3.90627848 1.919732277 1.919732279 3.592360876 4.321148719 1.919732272 17.26774338 1.919732282 4.772021102 1.18436284 3.379315468 3.695442186 3.610588579 4.437326904
17 1.856462606 1.919732279 1.919732279 2.205556625 4.113174926 1.918706143 20.75184443 1.91973228 2.675638836 2.034013164 2.076729612 2.069138218 0.9111817119 8.578607125
18 2.763533562 1.919732279 1.919732281 1.745142972 1.684122534 1.919732279 3.498183889 1.919732275 50 3.411917997 1.607522866 3.009673164 27.32474267 4.098195263
19 2.465310546 1.919732279 1.91973228 2.265090405 2.661669486 1.916471811 5.51052243 1.919732272 0.9663564357 1.668457246 33.44075013 47.5144666 9.111206097 2.604360044
20 2.357526963 1.919732278 1.919732279 2.455878382 2.42730297 1.919732281 3.720638925 1.919732278 3.610588662 3.338640106 5.186000184 3.569705276 19.97209126 5.255667172
21 3.421209729 1.919732277 1.919732277 1.920120256 5.10239888 1.403047505 1.361888477 1.919732281 0.9170735406 1.355236045 18.05531546 1.06381952 50 5.215678697
22 2.469907654 1.919732279 1.919732277 1.919721977 3.38478755 1.919732278 11.22187564 1.919732278 0.9169984312 1.881384441 1.563702509 48.70842646 49.76603548 2.498964384
23 1.777686965 1.919732278 1.91973228 2.324823379 2.990178413 1.919732278 0.9683073685 1.919732274 0.8906863668 1.553909698 2.191657089 18.19562849 26.16868968 13.12972496
24 2.821625141 1.933480775 1.919732279 1.832313981 4.57954088 1.861114718 8.010763416 1.919732274 0.8815327059 2.481691578 29.13053635 28.82321992 18.32707815 4.888329274
25 2.094785691 1.919732279 1.919732276 2.87983985 0.9774002468 1.877450293 3.418320298 1.919732275 4.430294669 3.594167031 44.64105267 1.91448036 28.58006536 1.462229362
26 1.382245861 1.919732277 1.919732279 1.919577014 4.795254321 1.876006522 26.22118073 1.919732277 4.287702715 2.489360042 2.340756984 0.8399982645 4.287702665 9.645541251
27 1.251331432 3.779356193 1.919732278 2.134037195 1.32124329 1.91973228 1.662940148 1.919732275 50 3.885253263 3.291884556 16.93398113 47.92071593 5.243590272
28 2.787178266 1.919732278 1.919732276 2.003618407 3.573640361 1.91973228 5.75161956 1.919732278 50 2.929995912 3.022923409 16.5822948 25.17605696 3.596657826
29 1.665309523 1.919732277 1.919732274 2.287356942 1.083329789 1.919732279 20.17145241 1.919732278 0.916998346 1.734677423 12.00359355 1.669007954 8.502121976 1.565347485
30 1.697076138 2.938443311 1.919732279 4.353266435 1.131356654 1.167335464 33.73693961 1.919732277 50 1.806916018 1.16281214 1.105464491 3.610588579 2.937113772
31 1.994879559 1.919732279 1.919732275 2.548347403 1.152419076 2.48545258 1.383610754 1.919732279 4.348447451 2.853713323 5.986484313 2.609303579 41.68485716 3.091388936
32 3.090884423 1.919732277 1.919732279 3.868414521 4.966621839 1.918258879 3.222887544 1.919732278 50 0.9199264254 3.541882094 0.9405359671 20.49856593 6.419246769
33 2.22605296 1.91973228 1.91973228 1.934380891 2.889060208 1.919732277 2.247017126 1.919732274 0.8814114549 2.77252291 26.47953601 17.14353122 20.43525254 1.037272035
34 2.084274902 1.919732277 1.919732277 2.152913521 1.021029535 1.835867179 2.113861788 1.91973228 50 2.226384285 2.191412791 1.245145506 3.238710239 49.99999152
35 2.846578238 1.919732277 1.91973228 1.919750791 2.901801756 1.940330195 0.9894609826 1.919732278 50 0.9990971142 2.354148688 13.77982508 11.12116564 4.655602463
36 1.463615658 1.919732279 1.919732278 3.197974875 3.001037749 1.91973228 2.32393357 1.919732281 3.526652701 2.514530425 2.428508656 21.30461163 32.04569388 3.462537778
37 2.823170677 1.919732278 1.919732278 1.9335182 1.497094574 1.919732279 2.348002512 1.919732277 50 3.987944721 3.536297942 2.817091928 2.072024066 3.907316264
38 1.002595175 2.178399476 1.919732281 2.400238979 4.651841546 1.880242714 3.890925204 1.91973228 50 1.794794982 34.27595987 12.31841955 50 5.523878841
39 3.794411375 1.919732279 1.919732279 2.017190585 1.577025613 1.919732279 0.9184158914 1.919732279 3.348699736 1.454723542 38.62616416 4.157860513 0.9173691412 12.48486717
40 1.73543939 1.919732279 1.919732274 2.024270931 3.28021519 1.186776448 1.694946459 1.919732278 3.610648164 1.531088464 4.307512189 31.31805719 50 0.8679699825
41 1.469781056 1.919732279 1.919732278 3.314316965 3.073502798 1.919732278 2.589621011 1.919732279 0.9169984087 2.669645967 3.575620765 40.62704184 1.656610399 4.935847834
42 1.075648384 1.919732278 1.919732278 2.56332218 3.993988137 2.39089987 2.763951241 1.919732277 4.255310192 1.135605469 1.643882757 34.6459172 0.9157137453 3.551505991
43 1.209860361 1.919732277 1.919732277 2.437266438 0.9664292393 1.898651542 3.771248151 1.919732279 3.450594655 2.217598017 11.70534185 2.306965556 9.266839077 3.75074207
44 1.821635283 1.919732279 1.919732277 2.405210552 24.54520107 1.916746022 21.82023544 1.919732277 2.222599619 1.141934498 2.124595702 9.355952596 40.14072185 2.83129468
45 3.205341356 1.91973228 1.919732278 2.862098214 3.397615279 2.497202167 1.245573911 1.919732277 0.9169984127 3.517200355 12.65367 40.13811775 17.27531067 4.080725973
46 4.084523313 1.91973228 1.919732281 3.117443835 4.07533005 1.91973228 18.90496454 1.919732277 2.58517929 2.435089814 2.115909532 3.793571477 9.729809982 6.415880844
47 2.123812655 1.91973228 1.919732278 1.533888261 4.417809163 1.919732277 1.334120063 1.919732272 4.255305172 2.551155448 3.075360163 42.5304792 34.87932854 4.658018562
48 2.577253831 1.91973228 1.919732277 2.856060577 3.008020107 1.91973228 1.714045985 1.91973228 50 1.317513557 32.68524494 25.54092439 20.39308068 3.447969558
49 2.033462989 1.919732278 1.919732279 2.063777403 1.518909077 1.919732277 2.248843492 1.919732277 50 2.190885908 15.1642462 1.033371266 44.12571938 11.00575124
