T Isc Isc_fit DiffLength
3.021E+2 1.5280000E-4 1.5250718E-4 1.1227970E-4
3.021E+2 1.5240000E-4 1.5250718E-4 1.1227970E-4
3.039E+2 1.5300000E-4 1.5309782E-4 1.1262003E-4
3.039E+2 1.5280000E-4 1.5309782E-4 1.1262003E-4
3.039E+2 1.5310000E-4 1.5309782E-4 1.1262003E-4
3.039E+2 1.5320000E-4 1.5310134E-4 1.1262207E-4
3.039E+2 1.5320000E-4 1.5310134E-4 1.1262207E-4
3.059E+2 1.5400000E-4 1.5373054E-4 1.1298704E-4
3.059E+2 1.5360000E-4 1.5373054E-4 1.1298704E-4
3.059E+2 1.5360000E-4 1.5373403E-4 1.1298907E-4
3.059E+2 1.5380000E-4 1.5373403E-4 1.1298907E-4
3.059E+2 1.5400000E-4 1.5373403E-4 1.1298907E-4
3.080E+2 1.5430000E-4 1.5440424E-4 1.1338066E-4
3.080E+2 1.5430000E-4 1.5440738E-4 1.1338250E-4
3.080E+2 1.5460000E-4 1.5440738E-4 1.1338250E-4
3.080E+2 1.5440000E-4 1.5440738E-4 1.1338250E-4
3.080E+2 1.5410000E-4 1.5440738E-4 1.1338250E-4
3.101E+2 1.5530000E-4 1.5505004E-4 1.1376081E-4
3.101E+2 1.5510000E-4 1.5505004E-4 1.1376081E-4
3.101E+2 1.5480000E-4 1.5505004E-4 1.1376081E-4
3.101E+2 1.5480000E-4 1.5505004E-4 1.1376081E-4
3.101E+2 1.5500000E-4 1.5505004E-4 1.1376081E-4
3.120E+2 1.5540000E-4 1.5564652E-4 1.1411446E-4
3.120E+2 1.5540000E-4 1.5564652E-4 1.1411446E-4
3.120E+2 1.5560000E-4 1.5564652E-4 1.1411446E-4
3.120E+2 1.5570000E-4 1.5564652E-4 1.1411446E-4
3.120E+2 1.5580000E-4 1.5564990E-4 1.1411648E-4
3.140E+2 1.5590000E-4 1.5624004E-4 1.1446885E-4
3.140E+2 1.5610000E-4 1.5624339E-4 1.1447085E-4
3.140E+2 1.5620000E-4 1.5624673E-4 1.1447286E-4
3.140E+2 1.5620000E-4 1.5624977E-4 1.1447468E-4
3.140E+2 1.5630000E-4 1.5624977E-4 1.1447468E-4
3.160E+2 1.5680000E-4 1.5686005E-4 1.1484176E-4
3.160E+2 1.5700000E-4 1.5686005E-4 1.1484176E-4
3.160E+2 1.5700000E-4 1.5686005E-4 1.1484176E-4
3.160E+2 1.5660000E-4 1.5686005E-4 1.1484176E-4
3.160E+2 1.5650000E-4 1.5686005E-4 1.1484176E-4
3.181E+2 1.5770000E-4 1.5746981E-4 1.1521130E-4
3.181E+2 1.5750000E-4 1.5746981E-4 1.1521130E-4
3.181E+2 1.5720000E-4 1.5746981E-4 1.1521130E-4
3.181E+2 1.5720000E-4 1.5746981E-4 1.1521130E-4
3.181E+2 1.5720000E-4 1.5746981E-4 1.1521130E-4
3.201E+2 1.5790000E-4 1.5808273E-4 1.1558561E-4
3.201E+2 1.5830000E-4 1.5808273E-4 1.1558561E-4
3.201E+2 1.5820000E-4 1.5808273E-4 1.1558561E-4
3.201E+2 1.5770000E-4 1.5808273E-4 1.1558561E-4
3.201E+2 1.5780000E-4 1.5808273E-4 1.1558561E-4
3.220E+2 1.5860000E-4 1.5863590E-4 1.1592595E-4
3.220E+2 1.5840000E-4 1.5864202E-4 1.1592973E-4
3.220E+2 1.5840000E-4 1.5864202E-4 1.1592973E-4
3.220E+2 1.5870000E-4 1.5864202E-4 1.1592973E-4
3.220E+2 1.5870000E-4 1.5864202E-4 1.1592973E-4
3.240E+2 1.5900000E-4 1.5922677E-4 1.1629222E-4
3.240E+2 1.5900000E-4 1.5922677E-4 1.1629222E-4
3.240E+2 1.5920000E-4 1.5922677E-4 1.1629222E-4
3.241E+2 1.5960000E-4 1.5922994E-4 1.1629420E-4
3.241E+2 1.5910000E-4 1.5922994E-4 1.1629420E-4
3.261E+2 1.5980000E-4 1.5981119E-4 1.1665734E-4
3.261E+2 1.6000000E-4 1.5981119E-4 1.1665734E-4
3.261E+2 1.5970000E-4 1.5981119E-4 1.1665734E-4
3.261E+2 1.5960000E-4 1.5981119E-4 1.1665734E-4
3.261E+2 1.5970000E-4 1.5981119E-4 1.1665734E-4
3.281E+2 1.6010000E-4 1.6037681E-4 1.1701348E-4
3.281E+2 1.6050000E-4 1.6037681E-4 1.1701348E-4
3.281E+2 1.6050000E-4 1.6037681E-4 1.1701348E-4
3.281E+2 1.6040000E-4 1.6037681E-4 1.1701348E-4
3.281E+2 1.6010000E-4 1.6037681E-4 1.1701348E-4
3.301E+2 1.6090000E-4 1.6094277E-4 1.1737262E-4
3.301E+2 1.6090000E-4 1.6094277E-4 1.1737262E-4
3.301E+2 1.6100000E-4 1.6094277E-4 1.1737262E-4
3.301E+2 1.6110000E-4 1.6094277E-4 1.1737262E-4
3.301E+2 1.6100000E-4 1.6094277E-4 1.1737262E-4
3.321E+2 1.6130000E-4 1.6149040E-4 1.1772286E-4
3.321E+2 1.6140000E-4 1.6149040E-4 1.1772286E-4
3.321E+2 1.6170000E-4 1.6149040E-4 1.1772286E-4
3.321E+2 1.6200000E-4 1.6149343E-4 1.1772481E-4
3.321E+2 1.6150000E-4 1.6149343E-4 1.1772481E-4
3.341E+2 1.6220000E-4 1.6203816E-4 1.1807596E-4
3.341E+2 1.6230000E-4 1.6203816E-4 1.1807596E-4
3.341E+2 1.6260000E-4 1.6204116E-4 1.1807790E-4
3.341E+2 1.6280000E-4 1.6204116E-4 1.1807790E-4
3.341E+2 1.6250000E-4 1.6204116E-4 1.1807790E-4
