Name T sdV sdI I01med I01er n1med n1er Rsh1med Rsh1er I02med I02er n2med n2er Rsh2med Rsh2er Rsmed Rser Iphmed Ipher
STLBO 300 6E-5 2E-7 1.510893079E-05 7.262052533E-01 5.521518656E+00 8.506662413E-03 1.056754434E+04 5.675443383E+00 9.669490148E-05 3.792895330E-02 2.667295504E+00 2.358139285E-02 2.115134561E+03 2.546874270E-02 5.002569327E+01 5.138654543E-02 1.000161590E-03 1.615899157E-02
STLBO 300 6E-5 4E-7 1.467327395E-05 2.178173639E+00 5.469442980E+00 9.347140270E-01 1.117285413E+04 1.172854131E+01 9.662902624E-05 3.022378817E-02 2.658667005E+00 2.999873110E-01 2.112929700E+03 7.879990991E-02 5.194733699E+01 3.894673972E+00 1.001238463E-03 1.238462590E-01
STLBO 300 6E-5 6E-7 1.335149625E-05 1.099002497E+01 5.348328728E+00 3.128395915E+00 9.967246941E+03 3.275305893E-01 9.669716784E-05 4.027366582E-02 2.653540892E+00 4.922165458E-01 2.111347713E+03 1.536126543E-01 5.518704532E+01 1.037409064E+01 1.003431736E-03 3.431735710E-01
STLBO 300 6E-5 8E-7 1.314094574E-05 1.239369510E+01 5.309622505E+00 3.829462378E+00 1.014124532E+04 1.412453176E+00 9.627909046E-05 3.922578760E-01 2.636494740E+00 1.131447276E+00 2.104440259E+03 4.802686173E-01 5.723484063E+01 1.446968125E+01 1.004461334E-03 4.461333686E-01
STLBO 300 6E-5 1E-6 1.064773866E-05 2.901507557E+01 5.039556381E+00 8.721035039E+00 7.718719277E+03 2.281280723E+01 9.614741193E-05 5.284889242E-01 2.610786269E+00 2.095514916E+00 2.095338731E+03 9.106831403E-01 6.580606953E+01 3.161213906E+01 1.010256207E-03 1.025620708E+00
STLBO 300 8E-5 0 1.502205099E-05 1.470066305E-01 5.521925732E+00 1.587982983E-02 1.006247879E+04 6.247878884E-01 9.666256486E-05 4.474362010E-03 2.667080019E+00 1.550069357E-02 2.114683282E+03 4.127602355E-03 4.995650399E+01 8.699201143E-02 1.000003927E-03 3.926701429E-04
STLBO 300 8E-5 2E-7 1.537287420E-05 2.485827985E+00 5.539222120E+00 3.291606622E-01 1.137957719E+04 1.379577195E+01 9.665643621E-05 1.866170215E-03 2.668169214E+00 5.634552535E-02 2.114442026E+03 7.281500310E-03 4.961378833E+01 7.724233400E-01 9.998183543E-04 1.816457429E-02
STLBO 300 8E-5 4E-7 1.459391771E-05 2.707215245E+00 5.467531659E+00 9.693328203E-01 1.076211686E+04 7.621168618E+00 9.666844424E-05 1.055700993E-02 2.664258989E+00 9.028793517E-02 2.113630054E+03 4.567992049E-02 5.146630828E+01 2.932616558E+00 1.001302834E-03 1.302834291E-01
STLBO 300 8E-5 6E-7 1.253967076E-05 1.640219492E+01 5.270971728E+00 4.529524579E+00 9.248505260E+03 7.514947403E+00 9.643486636E-05 2.310963492E-01 2.633526541E+00 1.242754717E+00 2.105391052E+03 4.353052741E-01 5.851766242E+01 1.703532485E+01 1.004709324E-03 4.709323579E-01
STLBO 300 8E-5 8E-7 1.265848902E-05 1.561007318E+01 5.265196772E+00 4.634123455E+00 9.798280732E+03 2.017192678E+00 9.645414016E-05 2.111561945E-01 2.641488859E+00 9.441678122E-01 2.105360092E+03 4.367693822E-01 5.804589527E+01 1.609179053E+01 1.005308453E-03 5.308453014E-01
STLBO 300 8E-5 1E-6 1.057362197E-05 2.950918688E+01 5.028370344E+00 8.923642141E+00 7.670374456E+03 2.329625544E+01 9.623786662E-05 4.349069485E-01 2.606551795E+00 2.254307688E+00 2.096989729E+03 8.326068512E-01 6.647525130E+01 3.295050260E+01 1.010709101E-03 1.070910090E+00
STLBO 300 0.0001 0 1.501956054E-05 1.304036210E-01 5.521581429E+00 9.643632942E-03 1.006081088E+04 6.081088169E-01 9.666479312E-05 6.779662919E-03 2.667248802E+00 2.183007482E-02 2.114742678E+03 6.936472566E-03 4.994018472E+01 1.196305637E-01 1.000024047E-03 2.404677286E-03
STLBO 300 0.0001 2E-7 1.462423892E-05 2.505073840E+00 5.482016817E+00 7.069703911E-01 1.006192026E+04 6.192026376E-01 9.661430365E-05 4.545538279E-02 2.660582880E+00 2.281420066E-01 2.113031997E+03 7.396225027E-02 5.144756192E+01 2.895123849E+00 1.000662471E-03 6.624706186E-02
STLBO 300 0.0001 4E-7 1.375608745E-05 8.292750341E+00 5.389189022E+00 2.388313835E+00 1.011811981E+04 1.181198059E+00 9.653793676E-05 1.244624978E-01 2.651769021E+00 5.586617271E-01 2.109950230E+03 2.197001258E-01 5.414690537E+01 8.293810747E+00 1.002679512E-03 2.679511791E-01
STLBO 300 0.0001 6E-7 1.327403461E-05 1.150643593E+01 5.330851649E+00 3.444949506E+00 1.003775191E+04 3.775191354E-01 9.655704824E-05 1.046902781E-01 2.648927226E+00 6.652290230E-01 2.109398153E+03 2.458080409E-01 5.586771875E+01 1.173543749E+01 1.003799741E-03 3.799741059E-01
STLBO 300 0.0001 8E-7 1.235809962E-05 1.761266919E+01 5.217230041E+00 5.502920877E+00 9.670010301E+03 3.299896988E+00 9.646481004E-05 2.001174268E-01 2.642453939E+00 9.079773160E-01 2.104869116E+03 4.599878362E-01 5.889738916E+01 1.779477831E+01 1.007135109E-03 7.135108526E-01
STLBO 300 0.0001 1E-6 1.176811287E-05 2.154591418E+01 5.157221356E+00 6.589828188E+00 8.515317278E+03 1.484682722E+01 9.645581777E-05 2.094205878E-01 2.629211257E+00 1.404577884E+00 2.103954498E+03 5.032404265E-01 6.137115709E+01 2.274231419E+01 1.008169596E-03 8.169596169E-01
