fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
0020 12:00:48 345.6 33.55 1.395E+001 1.545E+002 2.579E-006 1.198E+004 2.685E-004 3.254E-001 2.607E-004 3.739E-005 4.409E-001 7.687E-003 
0021 12:05:26 345.3 33.58 1.391E+001 1.539E+002 2.592E-006 1.203E+004 2.691E-004 3.263E-001 2.612E-004 3.759E-005 4.410E-001 9.782E-003 
0022 12:08:30 345.7 33.54 1.356E+001 1.535E+002 2.975E-006 1.398E+004 2.686E-004 3.254E-001 2.606E-004 3.729E-005 4.398E-001 6.075E-003 
0023 12:12:28 345.3 33.58 1.374E+001 1.552E+002 2.771E-006 1.388E+004 2.681E-004 3.260E-001 2.604E-004 3.748E-005 4.415E-001 4.611E-003 
0024 12:16:20 345.5 33.56 1.374E+001 1.526E+002 2.748E-006 1.140E+004 2.697E-004 3.256E-001 2.614E-004 3.730E-005 4.381E-001 4.061E-003 
0031 13:11:08 345.2 33.59 1.412E+001 1.599E+002 2.326E-006 1.298E+004 2.695E-004 3.295E-001 2.621E-004 3.840E-005 4.447E-001 4.272E-002 
0032 13:25:08 345.6 33.55 1.431E+001 1.601E+002 2.161E-006 1.238E+004 2.694E-004 3.299E-001 2.620E-004 3.854E-005 4.459E-001 1.749E-002 
0033 13:38:36 345.4 33.57 1.436E+001 1.616E+002 2.106E-006 1.166E+004 2.696E-004 3.302E-001 2.621E-004 3.849E-005 4.449E-001 3.062E-002 
0034 13:42:04 345.7 33.54 1.422E+001 1.602E+002 2.213E-006 1.150E+004 2.698E-004 3.300E-001 2.621E-004 3.835E-005 4.434E-001 2.250E-002 
0035 13:45:52 345.3 33.58 1.424E+001 1.614E+002 2.197E-006 1.199E+004 2.691E-004 3.301E-001 2.616E-004 3.837E-005 4.442E-001 2.892E-002 
0036 13:51:44 345.5 33.56 1.434E+001 1.607E+002 2.148E-006 1.174E+004 2.702E-004 3.296E-001 2.626E-004 3.849E-005 4.446E-001 4.524E-002 
0037 13:55:22 345.5 33.56 1.458E+001 1.628E+002 1.951E-006 1.006E+004 2.716E-004 3.297E-001 2.637E-004 3.850E-005 4.428E-001 5.047E-002 
0038 14:18:42 345.5 33.56 1.421E+001 1.621E+002 2.247E-006 1.193E+004 2.703E-004 3.295E-001 2.626E-004 3.835E-005 4.431E-001 4.304E-002 
0039 14:23:20 345.2 33.59 1.434E+001 1.629E+002 2.118E-006 1.160E+004 2.704E-004 3.304E-001 2.628E-004 3.857E-005 4.441E-001 3.786E-002 
0040 14:26:40 345.3 33.58 1.417E+001 1.621E+002 2.253E-006 1.178E+004 2.703E-004 3.301E-001 2.625E-004 3.838E-005 4.428E-001 2.869E-002 
0041 14:30:02 345.4 33.57 1.430E+001 1.620E+002 2.140E-006 1.091E+004 2.708E-004 3.301E-001 2.629E-004 3.841E-005 4.425E-001 2.907E-002 
0042 14:33:02 345.5 33.56 1.421E+001 1.611E+002 2.213E-006 1.105E+004 2.703E-004 3.299E-001 2.625E-004 3.828E-005 4.420E-001 5.698E-002 
0043 14:37:08 345.5 33.56 1.417E+001 1.617E+002 2.262E-006 1.181E+004 2.697E-004 3.297E-001 2.620E-004 3.825E-005 4.428E-001 1.252E-002 
0044 14:40:42 345.2 33.59 1.444E+001 1.639E+002 2.036E-006 1.039E+004 2.712E-004 3.301E-001 2.632E-004 3.841E-005 4.421E-001 2.723E-002 
0045 14:44:16 345.5 33.56 1.427E+001 1.628E+002 2.177E-006 1.160E+004 2.693E-004 3.297E-001 2.617E-004 3.824E-005 4.432E-001 4.958E-001 
0046 14:47:28 345.3 33.58 1.436E+001 1.626E+002 2.088E-006 1.022E+004 2.712E-004 3.301E-001 2.632E-004 3.833E-005 4.413E-001 1.604E+000 
