P1 P2 T TCmean TCstd
60 50 300 4.1216 1.4174
60 55 300 3.1634 1.1177
60 5 300 21.6931 2.7280
60 60 300 2.5636 0.9388
60 65 300 1.9508 0.7798
60 70 300 1.4748 0.6122
60 75 300 1.2326 0.5731
65 10 300 17.9331 1.9980
65 15 300 15.1245 2.1066
65 20 300 12.6265 1.9642
65 25 300 10.4606 1.9008
65 30 300 8.5720 1.7711
65 35 300 6.8122 1.6364
65 40 300 5.4066 1.4796
65 45 300 4.1728 1.2861
65 50 300 3.1821 1.0510
65 55 300 2.4357 0.8791
65 5 300 20.7813 2.1481
65 60 300 1.9216 0.7471
65 65 300 1.6026 0.6820
65 70 300 1.1808 0.5505
65 75 300 0.9130 0.4506
70 10 300 17.9079 1.9178
70 15 300 15.0852 1.8450
70 20 300 12.3724 1.8346
70 25 300 10.0786 1.7721
70 30 300 8.0888 1.6655
70 35 300 6.3708 1.4954
70 40 300 4.8580 1.3440
70 45 300 3.6875 1.1671
70 50 300 2.6583 0.9205
70 55 300 2.0172 0.7966
70 5 300 21.0665 1.8648
70 60 300 1.5218 0.6080
70 65 300 1.1841 0.5127
70 70 300 0.9739 0.4627
70 75 300 0.6894 0.3573
75 10 300 18.7998 1.8808
75 15 300 15.5580 1.9413
75 20 300 12.6711 1.8773
75 25 300 10.1766 1.8316
75 30 300 7.9622 1.6515
75 35 300 6.1660 1.5169
75 40 300 4.6819 1.3200
75 45 300 3.4691 1.1547
75 50 300 2.4173 0.9293
75 55 300 1.7490 0.7070
75 5 300 22.1768 1.8588
75 60 300 1.2505 0.5512
75 65 300 0.9117 0.4488
75 70 300 0.6914 0.3548
75 75 300 0.5523 0.3049
15 10 300 68.7150 4.5370
15 15 300 62.1301 4.5355
15 20 300 53.6254 4.4524
15 25 300 46.7484 4.2723
15 30 300 40.6409 4.2476
15 35 300 35.2810 3.9440
15 40 300 30.5001 4.0545
15 45 300 26.1514 3.8635
15 50 300 22.1348 3.6094
15 55 300 18.5724 3.0646
15 5 300 76.6658 4.5303
15 60 300 16.2705 2.5975
15 65 300 15.1678 2.0602
15 70 300 15.1204 1.9192
15 75 300 15.4885 1.9024
25 10 300 51.6810 4.6259
25 15 300 46.6166 4.3017
25 20 300 42.2657 4.0857
25 25 300 37.8197 3.9789
25 30 300 32.4974 3.8267
25 35 300 28.0845 3.6429
25 40 300 24.3628 3.4713
25 45 300 20.5685 3.2744
25 50 300 16.8950 3.2302
25 55 300 13.8231 2.8389
25 5 300 57.3057 4.8844
25 60 300 11.7456 2.2885
25 65 300 10.4751 1.9763
25 70 300 10.1022 1.8467
25 75 300 10.2128 1.8271
35 10 300 38.8753 4.2938
35 15 300 35.2120 4.0171
35 20 300 31.3926 3.8580
35 25 300 28.1384 3.7652
35 30 300 25.2518 3.4680
35 35 300 22.4425 3.3564
35 40 300 18.8513 3.1952
35 45 300 15.5502 2.9226
35 50 300 12.6879 2.7844
35 55 300 9.7542 2.4700
35 5 300 43.3182 4.5172
35 60 300 7.9435 1.9508
35 65 300 6.7577 1.6595
35 70 300 6.3465 1.5487
35 75 300 6.2404 1.5141
45 10 300 29.1702 3.9899
45 15 300 26.0640 3.7519
45 20 300 23.1357 3.5485
45 25 300 20.4814 3.3508
45 30 300 18.0474 3.2208
45 35 300 15.6489 3.0240
45 40 300 13.5016 2.7318
45 45 300 11.6108 2.6373
45 50 300 8.9973 2.4501
45 55 300 6.7998 1.9683
45 5 300 32.2231 4.1754
45 60 300 5.0662 1.5070
45 65 300 4.1687 1.2801
45 70 300 3.6587 1.1674
45 75 300 3.4724 1.1587
5 10 300 89.3392 4.2160
5 15 300 76.8219 4.6308
5 20 300 66.2258 4.7547
5 25 300 57.2834 4.7778
5 30 300 49.7809 4.7962
5 35 300 43.3635 4.6815
5 40 300 37.4243 4.3138
5 45 300 32.4229 4.2961
5 50 300 27.5461 4.0045
5 55 300 23.9559 3.2554
5 5 300 105.4562 3.3851
5 60 300 21.5932 2.6482
5 65 300 20.9092 2.2250
5 70 300 21.0300 1.8924
5 75 300 22.0154 1.8226
