P1 P2 T TCmean TCstd
60 75 300 1.0717 0.5356
65 10 300 21.5791 2.5567
65 15 300 17.3991 2.5936
65 20 300 13.6665 2.6418
65 25 300 10.7094 2.4308
65 30 300 8.6845 2.3871
65 35 300 6.5925 1.9979
65 40 300 5.2054 1.6746
65 45 300 4.0501 1.3907
65 50 300 2.9513 1.0571
65 55 300 2.1005 0.8053
65 5 300 26.4885 2.7434
65 60 300 1.5310 0.6484
65 65 300 1.1784 0.5134
65 70 300 0.9248 0.4571
65 75 300 0.7266 0.3937
70 10 300 21.6651 2.5849
70 15 300 16.9642 2.7139
70 20 300 13.0860 2.6925
70 25 300 10.1675 2.5188
70 30 300 7.7209 2.3093
70 35 300 6.0051 2.0613
70 40 300 4.6509 1.7137
70 45 300 3.4345 1.3365
70 50 300 2.5270 1.0513
70 55 300 1.7748 0.7314
70 5 300 26.9049 2.6271
70 60 300 1.2551 0.5361
70 65 300 0.8916 0.4237
70 70 300 0.6792 0.3502
70 75 300 0.5207 0.3061
75 10 300 22.2731 2.9061
75 15 300 16.9816 2.9066
75 20 300 13.0762 2.9222
75 25 300 9.7476 2.6494
75 30 300 7.3692 2.3896
75 35 300 5.3811 2.0037
75 40 300 4.0268 1.6349
75 45 300 2.9885 1.2917
75 50 300 2.1431 0.9450
75 55 300 1.4523 0.7032
75 5 300 28.0389 2.6743
75 60 300 1.0239 0.5080
75 65 300 0.7090 0.3909
75 70 300 0.5037 0.2948
75 75 300 0.3708 0.2127
15 10 300 72.6897 6.6414
15 15 300 62.5748 6.2474
15 20 300 54.4584 6.2364
15 25 300 46.8601 6.1634
15 30 300 40.5749 5.6893
15 35 300 35.4368 5.5151
15 40 300 30.8033 4.8373
15 45 300 26.8042 4.2585
15 50 300 23.2518 3.7481
15 55 300 20.2995 3.1494
15 5 300 83.2962 7.2810
15 60 300 18.3190 2.7220
15 65 300 17.5463 2.6292
15 70 300 17.1227 2.6724
15 75 300 17.0210 2.8557
25 10 300 54.7460 6.5448
25 15 300 46.7482 6.3782
25 20 300 40.0402 5.8013
25 25 300 34.2591 5.6179
25 30 300 29.4793 5.3209
25 35 300 24.7861 4.7530
25 40 300 21.6550 4.1969
25 45 300 18.3828 3.5808
25 50 300 15.5050 3.2551
25 55 300 13.3896 2.9395
25 5 300 63.6028 7.2470
25 60 300 11.7162 2.5918
25 65 300 10.8791 2.4171
25 70 300 10.1791 2.5473
25 75 300 9.8917 2.6628
35 10 300 42.0524 5.5179
35 15 300 35.3360 5.5117
35 20 300 29.7268 5.0906
35 25 300 25.1219 4.7852
35 30 300 21.3313 4.3803
35 35 300 17.9663 4.0217
35 40 300 15.3218 3.6227
35 45 300 12.7867 3.1223
35 50 300 10.5560 2.7957
35 55 300 8.7662 2.4135
35 5 300 48.7784 6.5474
35 60 300 7.6024 2.1679
35 65 300 6.6147 2.0516
35 70 300 6.0203 2.0154
35 75 300 5.6227 1.9550
45 10 300 32.2395 4.8012
45 15 300 26.9755 4.3052
45 20 300 22.0035 4.0245
45 25 300 18.3669 3.8076
45 30 300 15.2822 3.5515
45 35 300 12.8617 3.0356
45 40 300 10.7610 2.7625
45 45 300 8.9511 2.3086
45 50 300 7.2186 2.0162
45 55 300 5.8196 1.7315
45 5 300 37.5639 4.9375
45 60 300 4.8036 1.4942
45 65 300 4.1143 1.3693
45 70 300 3.5608 1.3401
45 75 300 3.0867 1.3060
5 10 300 95.7531 6.0952
5 15 300 83.2615 7.3000
5 20 300 72.4807 7.5485
5 25 300 63.0836 7.5438
5 30 300 55.5640 6.6439
5 35 300 48.8814 6.3396
5 40 300 43.1825 6.1457
5 45 300 38.1628 5.3255
5 50 300 33.2022 4.4564
5 55 300 29.5344 3.9268
5 5 300 109.4572 5.7077
5 60 300 27.2187 3.0872
5 65 300 26.6043 2.6810
5 70 300 26.8683 2.5546
5 75 300 28.0657 2.6363
