P1 P2 T TCmean TCstd
65 70 300 1.1957 0.5507
65 75 300 0.9058 0.4213
70 10 300 5.9404 1.2617
70 15 300 5.2003 1.1483
70 20 300 4.6695 1.0750
70 25 300 4.3379 1.1190
70 30 300 3.8400 1.0132
70 35 300 3.4482 0.9695
70 40 300 3.0319 0.9129
70 45 300 2.6113 0.8266
70 50 300 2.1723 0.7411
70 55 300 1.8011 0.6854
70 5 300 7.1147 1.4485
70 60 300 1.4972 0.5980
70 65 300 1.2235 0.5431
70 70 300 0.9896 0.4692
70 75 300 0.7208 0.3787
75 10 300 5.6427 1.0512
75 15 300 4.7979 0.9802
75 20 300 4.1588 0.8873
75 25 300 3.6756 0.8226
75 30 300 3.3019 0.7879
75 35 300 2.9165 0.7497
75 40 300 2.5194 0.7023
75 45 300 2.1605 0.6747
75 50 300 1.7715 0.5922
75 55 300 1.4516 0.5685
75 5 300 6.8220 1.2081
75 60 300 1.1592 0.5052
75 65 300 0.9080 0.4225
75 70 300 0.7226 0.3777
75 75 300 0.5833 0.3390
15 10 300 68.1806 4.6012
15 15 300 62.2577 4.4934
15 20 300 53.4120 4.2499
15 25 300 45.3158 4.4686
15 30 300 38.4270 4.2361
15 35 300 31.8095 4.3396
15 40 300 26.2307 3.9986
15 45 300 20.6740 3.8793
15 50 300 16.0521 3.4663
15 55 300 11.4735 2.8957
15 5 300 73.9293 5.1632
15 60 300 8.2982 2.3209
15 65 300 6.3935 1.6722
15 70 300 5.2518 1.1497
15 75 300 4.6792 0.9498
25 10 300 48.1632 4.9341
25 15 300 45.1962 4.5852
25 20 300 41.7949 4.1158
25 25 300 37.9990 4.0853
25 30 300 32.4664 3.8493
25 35 300 27.5470 3.6299
25 40 300 22.8651 3.5471
25 45 300 18.2912 3.2747
25 50 300 13.8151 3.0578
25 55 300 10.2235 2.6990
25 5 300 51.6662 5.1403
25 60 300 7.4097 2.1241
25 65 300 5.5015 1.4924
25 70 300 4.4672 1.0962
25 75 300 3.9408 0.8294
35 10 300 33.1863 4.4657
35 15 300 31.2661 4.2402
35 20 300 29.5301 4.0650
35 25 300 27.1533 3.6449
35 30 300 24.9305 3.3678
35 35 300 22.4438 3.3424
35 40 300 18.7803 3.1028
35 45 300 15.3498 3.0175
35 50 300 11.7671 2.6399
35 55 300 8.4026 2.3288
35 5 300 34.6149 4.8354
35 60 300 5.9928 1.7984
35 65 300 4.4761 1.3427
35 70 300 3.6285 0.9490
35 75 300 3.1146 0.7479
45 10 300 21.4559 3.8245
45 15 300 20.4928 3.8580
45 20 300 19.4857 3.5588
45 25 300 18.1401 3.3601
45 30 300 16.7213 3.0997
45 35 300 15.0083 2.8936
45 40 300 13.4028 2.7572
45 45 300 11.8207 2.5587
45 50 300 8.9635 2.4163
45 55 300 6.6442 2.0248
45 5 300 22.0410 3.9293
45 60 300 4.6354 1.5402
45 65 300 3.3470 1.0928
45 70 300 2.6121 0.8162
45 75 300 2.2645 0.6979
5 10 300 88.6322 4.3952
5 15 300 74.5645 4.9610
5 20 300 62.0956 5.3794
5 25 300 52.0220 5.3160
5 30 300 42.9242 4.9988
5 35 300 35.1088 4.8333
5 40 300 28.5549 4.4472
5 45 300 22.4430 4.1537
5 50 300 17.0314 3.6861
5 55 300 12.3095 3.0479
5 5 300 105.2934 3.6188
5 60 300 9.1937 2.5090
5 65 300 7.1257 1.8028
5 70 300 5.9352 1.3727
5 75 300 5.2177 0.9906
