X GE200 GE300 Orion400 Orion600 Orion700 Osram200 Osram400 Osram600 Osram700
4.76000E+2 6.56024E-5 1.67853E-4 1.11500E-4 3.23378E-4 4.31808E-4 3.56128E-5 1.25887E-4 3.05443E-4 3.95109E-4
4.77000E+2 6.99380E-5 1.73676E-4 1.15474E-4 3.25370E-4 4.36352E-4 3.93594E-5 1.31155E-4 3.11316E-4 4.04627E-4
4.78000E+2 7.43883E-5 1.78474E-4 1.15521E-4 3.27964E-4 4.39958E-4 4.19625E-5 1.37091E-4 3.16203E-4 4.12094E-4
4.79000E+2 7.86441E-5 1.84406E-4 1.23603E-4 3.31219E-4 4.41815E-4 4.41576E-5 1.44315E-4 3.21609E-4 4.19048E-4
4.80000E+2 8.30707E-5 1.88850E-4 1.27158E-4 3.33005E-4 4.45167E-4 4.55628E-5 1.48556E-4 3.26898E-4 4.25755E-4
4.81000E+2 8.70449E-5 1.92655E-4 1.31329E-4 3.34638E-4 4.48227E-4 4.61727E-5 1.50768E-4 3.30300E-4 4.29819E-4
4.82000E+2 9.00659E-5 1.97189E-4 1.34849E-4 3.37416E-4 4.52636E-4 4.75358E-5 1.55178E-4 3.34115E-4 4.32691E-4
4.83000E+2 9.32114E-5 2.00581E-4 1.37356E-4 3.41868E-4 4.57512E-4 4.91365E-5 1.59242E-4 3.35670E-4 4.37139E-4
4.84000E+2 9.57828E-5 2.04081E-4 1.39926E-4 3.46130E-4 4.61747E-4 5.11567E-5 1.62284E-4 3.39055E-4 4.39332E-4
4.85000E+2 1.00166E-4 2.08022E-4 1.42698E-4 3.53079E-4 4.69103E-4 5.22727E-5 1.66773E-4 3.42646E-4 4.44617E-4
4.86000E+2 1.03070E-4 2.10732E-4 1.45251E-4 3.58867E-4 4.76056E-4 5.34372E-5 1.69805E-4 3.46320E-4 4.49044E-4
4.87000E+2 1.05765E-4 2.14991E-4 1.48417E-4 3.65203E-4 4.84208E-4 5.41889E-5 1.73093E-4 3.51255E-4 4.57044E-4
4.88000E+2 1.09497E-4 2.19226E-4 1.51520E-4 3.70317E-4 4.93913E-4 5.69499E-5 1.78362E-4 3.55088E-4 4.60307E-4
4.89000E+2 1.13466E-4 2.24043E-4 1.53548E-4 3.79139E-4 5.05562E-4 5.87135E-5 1.83091E-4 3.60745E-4 4.66114E-4
4.90000E+2 1.16008E-4 2.28664E-4 1.57312E-4 3.89193E-4 5.13621E-4 6.03030E-5 1.87869E-4 3.66900E-4 4.74322E-4
4.91000E+2 1.19636E-4 2.32991E-4 1.62096E-4 3.99497E-4 5.24140E-4 6.18561E-5 1.95223E-4 3.74696E-4 4.82683E-4
4.92000E+2 1.23808E-4 2.39580E-4 1.65661E-4 4.07412E-4 5.38061E-4 6.40489E-5 2.00502E-4 3.82593E-4 4.90473E-4
4.93000E+2 1.28198E-4 2.45304E-4 1.68851E-4 4.18512E-4 5.48755E-4 6.69285E-5 2.05644E-4 3.92806E-4 5.04217E-4
4.94000E+2 1.32889E-4 2.51163E-4 1.73384E-4 4.27826E-4 5.59635E-4 6.98685E-5 2.13334E-4 4.02114E-4 5.15079E-4
4.95000E+2 1.37212E-4 2.58462E-4 1.77603E-4 4.35409E-4 5.70005E-4 7.26672E-5 2.21074E-4 4.12461E-4 5.25909E-4
4.96000E+2 1.41809E-4 2.66078E-4 1.82708E-4 4.41632E-4 5.76507E-4 7.56864E-5 2.29059E-4 4.24687E-4 5.40951E-4
4.97000E+2 1.47419E-4 2.73935E-4 1.88969E-4 4.46849E-4 5.83301E-4 7.90203E-5 2.37853E-4 4.36182E-4 5.56424E-4
4.98000E+2 1.52966E-4 2.81744E-4 1.94593E-4 4.53674E-4 5.92631E-4 8.19705E-5 2.46490E-4 4.47773E-4 5.70178E-4
4.99000E+2 1.57687E-4 2.90430E-4 1.99841E-4 4.61399E-4 6.01770E-4 8.66408E-5 2.55610E-4 4.60682E-4 5.83899E-4
5.00000E+2 1.63791E-4 2.96281E-4 2.05340E-4 4.69731E-4 6.12611E-4 9.15157E-5 2.65000E-4 4.72898E-4 5.99194E-4
5.01000E+2 1.67047E-4 3.01121E-4 2.11922E-4 4.81207E-4 6.25608E-4 9.18683E-5 2.72108E-4 4.81986E-4 6.11980E-4
5.02000E+2 1.69783E-4 3.06851E-4 2.17982E-4 4.91679E-4 6.39156E-4 9.50838E-5 2.76737E-4 4.89178E-4 6.20705E-4
5.03000E+2 1.72271E-4 3.11133E-4 2.21971E-4 5.02219E-4 6.50302E-4 9.67862E-5 2.82061E-4 4.96522E-4 6.28687E-4
5.04000E+2 1.76432E-4 3.16406E-4 2.25042E-4 5.10228E-4 6.57858E-4 9.72056E-5 2.87886E-4 5.05673E-4 6.38796E-4
5.05000E+2 1.81221E-4 3.22328E-4 2.29384E-4 5.17120E-4 6.65505E-4 1.01544E-4 2.94103E-4 5.15081E-4 6.49673E-4
5.06000E+2 1.85061E-4 3.27966E-4 2.34527E-4 5.24557E-4 6.75183E-4 1.05927E-4 3.01524E-4 5.23934E-4 6.61371E-4
5.07000E+2 1.88791E-4 3.35212E-4 2.39031E-4 5.31148E-4 6.84881E-4 1.09182E-4 3.09182E-4 5.33218E-4 6.75471E-4
5.08000E+2 1.93489E-4 3.43531E-4 2.45074E-4 5.39892E-4 6.95649E-4 1.13343E-4 3.17594E-4 5.45616E-4 6.90169E-4
5.09000E+2 1.99231E-4 3.49521E-4 2.53062E-4 5.47703E-4 7.06901E-4 1.15564E-4 3.27653E-4 5.60016E-4 7.02929E-4
5.10000E+2 2.03370E-4 3.55428E-4 2.57935E-4 5.54814E-4 7.16092E-4 1.14614E-4 3.35699E-4 5.69599E-4 7.15722E-4
5.11000E+2 2.07588E-4 3.60902E-4 2.61690E-4 5.61872E-4 7.23958E-4 1.16688E-4 3.42015E-4 5.77692E-4 7.27467E-4
5.12000E+2 2.11076E-4 3.65898E-4 2.67881E-4 5.69163E-4 7.31586E-4 1.20169E-4 3.48524E-4 5.87632E-4 7.36943E-4
5.13000E+2 2.15220E-4 3.71200E-4 2.73765E-4 5.76878E-4 7.38577E-4 1.23111E-4 3.55057E-4 5.97295E-4 7.45689E-4
5.14000E+2 2.21476E-4 3.77446E-4 2.77414E-4 5.83429E-4 7.47541E-4 1.25896E-4 3.62057E-4 6.05876E-4 7.56306E-4
5.15000E+2 2.23987E-4 3.84845E-4 2.81910E-4 5.89786E-4 7.57099E-4 1.28847E-4 3.69485E-4 6.15279E-4 7.69231E-4
5.16000E+2 2.27050E-4 3.90784E-4 2.91015E-4 5.97466E-4 7.67039E-4 1.31528E-4 3.75332E-4 6.25352E-4 7.81875E-4
5.17000E+2 2.31960E-4 3.97231E-4 3.01399E-4 6.07007E-4 7.77467E-4 1.34864E-4 3.82315E-4 6.35290E-4 7.92073E-4
5.18000E+2 2.36798E-4 4.03766E-4 3.06690E-4 6.17239E-4 7.87648E-4 1.38387E-4 3.89661E-4 6.44669E-4 8.01315E-4
5.19000E+2 2.40901E-4 4.09215E-4 3.12854E-4 6.25439E-4 7.98448E-4 1.41234E-4 3.96169E-4 6.53378E-4 8.12149E-4
5.20000E+2 2.45607E-4 4.16104E-4 3.19501E-4 6.33399E-4 8.09087E-4 1.43392E-4 4.02088E-4 6.62028E-4 8.23739E-4
5.21000E+2 2.49541E-4 4.22187E-4 3.24661E-4 6.41517E-4 8.19491E-4 1.45796E-4 4.08079E-4 6.71443E-4 8.33356E-4
5.22000E+2 2.53946E-4 4.28121E-4 3.29352E-4 6.49680E-4 8.30287E-4 1.49106E-4 4.14136E-4 6.80706E-4 8.44642E-4
5.23000E+2 2.58947E-4 4.34994E-4 3.36621E-4 6.60998E-4 8.41180E-4 1.52070E-4 4.20813E-4 6.90389E-4 8.56098E-4
5.24000E+2 2.63541E-4 4.42301E-4 3.45928E-4 6.71765E-4 8.53081E-4 1.54316E-4 4.28053E-4 7.00361E-4 8.67048E-4
5.25000E+2 2.69322E-4 4.49340E-4 3.55017E-4 6.80863E-4 8.66368E-4 1.56853E-4 4.35388E-4 7.09560E-4 8.78660E-4
5.26000E+2 2.74810E-4 4.56175E-4 3.62298E-4 6.89380E-4 8.78720E-4 1.60119E-4 4.42891E-4 7.18059E-4 8.89857E-4
5.27000E+2 2.79427E-4 4.63684E-4 3.68377E-4 6.96211E-4 8.86111E-4 1.63025E-4 4.49981E-4 7.27747E-4 9.01316E-4
5.28000E+2 2.84230E-4 4.71872E-4 3.74589E-4 7.04531E-4 8.94643E-4 1.65507E-4 4.57207E-4 7.37764E-4 9.12845E-4
5.29000E+2 2.89983E-4 4.79101E-4 3.82736E-4 7.13420E-4 9.05515E-4 1.68343E-4 4.65068E-4 7.47103E-4 9.24193E-4
5.30000E+2 2.95876E-4 4.86712E-4 3.93264E-4 7.19332E-4 9.14390E-4 1.71738E-4 4.72687E-4 7.57814E-4 9.36612E-4
5.31000E+2 3.01234E-4 4.94904E-4 4.02742E-4 7.24735E-4 9.22145E-4 1.74909E-4 4.80375E-4 7.68676E-4 9.49980E-4
5.32000E+2 3.05967E-4 5.02710E-4 4.10123E-4 7.29596E-4 9.28489E-4 1.77724E-4 4.88219E-4 7.78990E-4 9.63240E-4
5.33000E+2 3.10355E-4 5.10312E-4 4.15717E-4 7.34045E-4 9.34395E-4 1.80708E-4 4.95979E-4 7.88918E-4 9.75682E-4
5.34000E+2 3.15579E-4 5.17606E-4 4.20132E-4 7.40037E-4 9.42740E-4 1.84137E-4 5.03495E-4 7.98156E-4 9.87752E-4
5.35000E+2 3.21069E-4 5.24605E-4 4.26147E-4 7.45904E-4 9.50799E-4 1.87314E-4 5.10041E-4 8.07441E-4 9.99484E-4
5.36000E+2 3.25146E-4 5.31395E-4 4.32783E-4 7.51397E-4 9.57684E-4 1.90029E-4 5.15861E-4 8.16899E-4 1.01076E-3
5.37000E+2 3.29354E-4 5.37473E-4 4.36726E-4 7.58187E-4 9.64909E-4 1.92732E-4 5.21964E-4 8.25731E-4 1.02117E-3
5.38000E+2 3.33113E-4 5.42422E-4 4.39859E-4 7.66379E-4 9.71371E-4 1.95341E-4 5.28088E-4 8.33276E-4 1.02927E-3
5.39000E+2 3.35708E-4 5.46661E-4 4.44476E-4 7.73752E-4 9.78626E-4 1.97604E-4 5.33649E-4 8.39431E-4 1.03626E-3
5.40000E+2 3.39008E-4 5.51643E-4 4.50856E-4 7.79290E-4 9.88546E-4 1.99348E-4 5.38491E-4 8.44911E-4 1.04334E-3
5.41000E+2 3.42341E-4 5.56732E-4 4.55824E-4 7.87483E-4 9.98669E-4 2.00694E-4 5.43289E-4 8.51044E-4 1.04930E-3
5.42000E+2 3.45339E-4 5.61164E-4 4.59434E-4 7.96528E-4 1.00846E-3 2.02278E-4 5.48443E-4 8.57582E-4 1.05663E-3
5.43000E+2 3.49142E-4 5.65289E-4 4.63231E-4 8.03838E-4 1.01868E-3 2.04276E-4 5.53809E-4 8.64269E-4 1.06559E-3
5.44000E+2 3.52922E-4 5.69743E-4 4.67274E-4 8.13664E-4 1.02952E-3 2.06261E-4 5.58962E-4 8.71642E-4 1.07302E-3
5.45000E+2 3.56582E-4 5.74794E-4 4.72175E-4 8.24457E-4 1.04130E-3 2.08864E-4 5.64571E-4 8.80023E-4 1.08204E-3
5.46000E+2 3.61087E-4 5.80317E-4 4.78085E-4 8.33444E-4 1.05390E-3 2.11876E-4 5.70881E-4 8.88741E-4 1.09377E-3
5.47000E+2 3.65625E-4 5.86342E-4 4.83308E-4 8.43611E-4 1.06609E-3 2.14359E-4 5.77545E-4 8.96926E-4 1.10559E-3
5.48000E+2 3.69890E-4 5.92700E-4 4.88688E-4 8.54614E-4 1.07904E-3 2.17330E-4 5.84947E-4 9.06655E-4 1.11694E-3
5.49000E+2 3.74447E-4 5.99081E-4 4.95821E-4 8.64827E-4 1.09400E-3 2.20827E-4 5.92435E-4 9.17328E-4 1.12743E-3
5.50000E+2 3.79223E-4 6.05470E-4 5.03257E-4 8.76438E-4 1.10791E-3 2.23835E-4 5.98936E-4 9.26396E-4 1.13714E-3
5.51000E+2 3.84072E-4 6.12388E-4 5.10232E-4 8.89620E-4 1.12152E-3 2.27074E-4 6.06682E-4 9.37131E-4 1.14933E-3
5.52000E+2 3.88997E-4 6.20481E-4 5.17070E-4 9.02643E-4 1.13798E-3 2.30756E-4 6.15802E-4 9.49732E-4 1.16426E-3
5.53000E+2 3.94284E-4 6.28902E-4 5.24369E-4 9.15671E-4 1.15453E-3 2.34266E-4 6.23923E-4 9.60645E-4 1.17880E-3
5.54000E+2 3.99970E-4 6.36907E-4 5.32375E-4 9.28488E-4 1.16945E-3 2.37975E-4 6.31922E-4 9.71867E-4 1.19324E-3
5.55000E+2 4.05711E-4 6.44589E-4 5.40780E-4 9.40000E-4 1.18419E-3 2.42092E-4 6.40792E-4 9.84829E-4 1.20782E-3
5.56000E+2 4.11668E-4 6.52912E-4 5.49202E-4 9.51622E-4 1.19897E-3 2.46255E-4 6.50320E-4 9.98073E-4 1.22173E-3
5.57000E+2 4.17870E-4 6.62317E-4 5.57520E-4 9.64595E-4 1.21354E-3 2.50544E-4 6.60354E-4 1.01158E-3 1.23763E-3
5.58000E+2 4.23794E-4 6.71630E-4 5.66162E-4 9.76925E-4 1.22777E-3 2.55028E-4 6.70543E-4 1.02554E-3 1.25633E-3
5.59000E+2 4.30423E-4 6.80524E-4 5.74931E-4 9.86181E-4 1.23955E-3 2.59418E-4 6.80171E-4 1.03938E-3 1.27279E-3
5.60000E+2 4.38616E-4 6.89425E-4 5.83241E-4 9.90884E-4 1.24616E-3 2.63969E-4 6.90346E-4 1.05367E-3 1.28855E-3
5.61000E+2 4.45658E-4 6.99048E-4 5.91697E-4 9.94399E-4 1.25051E-3 2.69030E-4 7.02337E-4 1.06908E-3 1.30762E-3
5.62000E+2 4.51146E-4 7.09279E-4 6.00816E-4 9.99640E-4 1.25588E-3 2.74013E-4 7.13860E-4 1.08382E-3 1.32639E-3
5.63000E+2 4.57662E-4 7.19146E-4 6.10110E-4 1.00556E-3 1.26254E-3 2.78636E-4 7.23974E-4 1.09752E-3 1.34303E-3
5.64000E+2 4.64556E-4 7.28420E-4 6.18094E-4 1.01166E-3 1.26984E-3 2.83170E-4 7.33941E-4 1.11168E-3 1.35941E-3
5.65000E+2 4.70323E-4 7.36900E-4 6.23120E-4 1.01835E-3 1.27696E-3 2.87681E-4 7.43232E-4 1.12463E-3 1.37485E-3
5.66000E+2 4.74944E-4 7.43651E-4 6.26806E-4 1.02608E-3 1.28501E-3 2.91861E-4 7.50760E-4 1.13415E-3 1.38751E-3
5.67000E+2 4.79102E-4 7.48350E-4 6.31120E-4 1.03478E-3 1.29481E-3 2.94740E-4 7.56247E-4 1.14042E-3 1.39578E-3
5.68000E+2 4.83611E-4 7.51526E-4 6.35963E-4 1.04307E-3 1.30478E-3 2.96485E-4 7.60444E-4 1.14482E-3 1.40088E-3
5.69000E+2 4.87003E-4 7.54742E-4 6.41079E-4 1.05113E-3 1.31473E-3 2.98435E-4 7.64884E-4 1.14947E-3 1.40654E-3
5.70000E+2 4.88350E-4 7.59384E-4 6.46442E-4 1.06099E-3 1.32630E-3 3.00884E-4 7.69714E-4 1.15521E-3 1.41414E-3
5.71000E+2 4.90684E-4 7.65206E-4 6.52086E-4 1.07160E-3 1.33838E-3 3.03682E-4 7.74722E-4 1.16211E-3 1.42360E-3
5.72000E+2 4.95240E-4 7.71652E-4 6.57982E-4 1.08058E-3 1.34869E-3 3.06762E-4 7.80465E-4 1.16965E-3 1.43399E-3
5.73000E+2 5.00333E-4 7.78127E-4 6.63615E-4 1.08824E-3 1.35764E-3 3.10098E-4 7.87163E-4 1.17771E-3 1.44482E-3
5.74000E+2 5.05012E-4 7.84481E-4 6.68746E-4 1.09543E-3 1.36603E-3 3.13691E-4 7.94391E-4 1.18676E-3 1.45634E-3
5.75000E+2 5.09118E-4 7.90808E-4 6.74224E-4 1.10212E-3 1.37353E-3 3.17233E-4 8.01616E-4 1.19629E-3 1.46771E-3
5.76000E+2 5.13544E-4 7.97101E-4 6.80340E-4 1.10868E-3 1.38081E-3 3.20293E-4 8.08449E-4 1.20543E-3 1.47758E-3
5.77000E+2 5.18867E-4 8.03260E-4 6.86382E-4 1.11619E-3 1.39017E-3 3.22866E-4 8.15651E-4 1.21518E-3 1.48597E-3
5.78000E+2 5.24305E-4 8.09052E-4 6.91900E-4 1.12504E-3 1.40171E-3 3.25167E-4 8.23575E-4 1.22587E-3 1.49341E-3
5.79000E+2 5.29355E-4 8.14519E-4 6.96721E-4 1.13482E-3 1.41352E-3 3.27551E-4 8.30515E-4 1.23460E-3 1.50020E-3
5.80000E+2 5.34162E-4 8.20099E-4 7.01225E-4 1.14525E-3 1.42605E-3 3.30034E-4 8.35613E-4 1.24045E-3 1.50641E-3
5.81000E+2 5.38792E-4 8.25927E-4 7.06054E-4 1.15619E-3 1.44062E-3 3.32178E-4 8.39703E-4 1.24598E-3 1.51189E-3
5.82000E+2 5.43192E-4 8.31818E-4 7.11436E-4 1.16788E-3 1.45514E-3 3.34149E-4 8.43922E-4 1.25207E-3 1.51747E-3
5.83000E+2 5.47372E-4 8.37525E-4 7.17466E-4 1.18041E-3 1.46723E-3 3.36574E-4 8.49387E-4 1.25815E-3 1.52471E-3
5.84000E+2 5.51488E-4 8.43025E-4 7.24422E-4 1.19289E-3 1.47869E-3 3.39369E-4 8.55736E-4 1.26463E-3 1.53360E-3
5.85000E+2 5.56161E-4 8.49321E-4 7.32313E-4 1.20450E-3 1.49162E-3 3.42176E-4 8.62078E-4 1.27233E-3 1.54339E-3
5.86000E+2 5.61822E-4 8.57071E-4 7.40251E-4 1.21532E-3 1.50581E-3 3.45150E-4 8.68679E-4 1.28138E-3 1.55329E-3
5.87000E+2 5.68024E-4 8.65179E-4 7.47657E-4 1.22574E-3 1.52054E-3 3.48512E-4 8.76010E-4 1.29153E-3 1.56303E-3
5.88000E+2 5.74385E-4 8.73131E-4 7.54971E-4 1.23647E-3 1.53475E-3 3.52173E-4 8.83990E-4 1.30214E-3 1.57382E-3
5.89000E+2 5.80956E-4 8.82143E-4 7.62565E-4 1.24788E-3 1.54799E-3 3.56000E-4 8.92449E-4 1.31263E-3 1.58642E-3
5.90000E+2 5.87537E-4 8.92377E-4 7.70382E-4 1.25973E-3 1.56101E-3 3.59887E-4 9.01225E-4 1.32275E-3 1.59996E-3
5.91000E+2 5.93500E-4 9.02179E-4 7.78165E-4 1.27146E-3 1.57441E-3 3.63629E-4 9.09906E-4 1.33252E-3 1.61344E-3
5.92000E+2 5.99038E-4 9.10925E-4 7.85418E-4 1.28219E-3 1.58836E-3 3.66877E-4 9.17675E-4 1.34227E-3 1.62613E-3
5.93000E+2 6.05273E-4 9.19290E-4 7.92253E-4 1.29208E-3 1.60242E-3 3.69803E-4 9.24717E-4 1.35216E-3 1.63783E-3
5.94000E+2 6.12288E-4 9.27571E-4 7.99723E-4 1.30286E-3 1.61535E-3 3.73257E-4 9.32572E-4 1.36212E-3 1.64908E-3
5.95000E+2 6.19152E-4 9.35639E-4 8.08118E-4 1.31469E-3 1.62702E-3 3.77396E-4 9.41624E-4 1.37224E-3 1.66040E-3
5.96000E+2 6.25424E-4 9.43724E-4 8.16552E-4 1.32535E-3 1.63903E-3 3.81602E-4 9.50938E-4 1.38284E-3 1.67222E-3
5.97000E+2 6.31134E-4 9.52343E-4 8.24634E-4 1.33429E-3 1.65188E-3 3.85570E-4 9.59814E-4 1.39383E-3 1.68481E-3
5.98000E+2 6.36713E-4 9.61452E-4 8.32791E-4 1.34372E-3 1.66431E-3 3.89351E-4 9.67853E-4 1.40476E-3 1.69823E-3
5.99000E+2 6.42804E-4 9.70550E-4 8.41047E-4 1.35437E-3 1.67567E-3 3.93072E-4 9.75304E-4 1.41551E-3 1.71174E-3
6.00000E+2 6.49266E-4 9.79107E-4 8.48683E-4 1.36430E-3 1.68658E-3 3.96942E-4 9.82972E-4 1.42627E-3 1.72404E-3
6.01000E+2 6.55406E-4 9.86617E-4 8.55402E-4 1.37288E-3 1.69769E-3 4.00948E-4 9.91018E-4 1.43699E-3 1.73521E-3
6.02000E+2 6.61240E-4 9.93616E-4 8.61823E-4 1.38235E-3 1.70945E-3 4.04894E-4 9.99044E-4 1.44738E-3 1.74642E-3
6.03000E+2 6.67322E-4 1.00139E-3 8.68507E-4 1.39382E-3 1.72195E-3 4.08720E-4 1.00705E-3 1.45760E-3 1.75772E-3
6.04000E+2 6.73684E-4 1.00993E-3 8.75556E-4 1.40495E-3 1.73444E-3 4.12482E-4 1.01536E-3 1.46815E-3 1.76815E-3
6.05000E+2 6.79955E-4 1.01823E-3 8.82900E-4 1.41392E-3 1.74633E-3 4.16233E-4 1.02377E-3 1.47877E-3 1.77811E-3
6.06000E+2 6.86121E-4 1.02593E-3 8.90115E-4 1.42203E-3 1.75808E-3 4.20029E-4 1.03160E-3 1.48844E-3 1.78935E-3
6.07000E+2 6.92511E-4 1.03325E-3 8.96867E-4 1.43089E-3 1.77024E-3 4.23803E-4 1.03863E-3 1.49703E-3 1.80160E-3
6.08000E+2 6.98867E-4 1.04033E-3 9.03434E-4 1.44078E-3 1.78265E-3 4.27365E-4 1.04516E-3 1.50546E-3 1.81228E-3
6.09000E+2 7.04260E-4 1.04714E-3 9.10222E-4 1.45147E-3 1.79501E-3 4.30694E-4 1.05162E-3 1.51435E-3 1.82124E-3
6.10000E+2 7.08577E-4 1.05392E-3 9.17450E-4 1.46200E-3 1.80703E-3 4.34024E-4 1.05859E-3 1.52391E-3 1.83182E-3
6.11000E+2 7.12947E-4 1.06137E-3 9.25237E-4 1.47121E-3 1.81846E-3 4.37577E-4 1.06629E-3 1.53414E-3 1.84525E-3
6.12000E+2 7.18035E-4 1.06965E-3 9.33372E-4 1.47908E-3 1.82863E-3 4.41506E-4 1.07437E-3 1.54468E-3 1.85853E-3
6.13000E+2 7.23318E-4 1.07764E-3 9.41372E-4 1.48628E-3 1.83657E-3 4.45809E-4 1.08249E-3 1.55515E-3 1.86973E-3
6.14000E+2 7.28369E-4 1.08460E-3 9.48859E-4 1.49333E-3 1.84307E-3 4.50141E-4 1.09061E-3 1.56526E-3 1.88079E-3
6.15000E+2 7.33558E-4 1.09131E-3 9.55623E-4 1.50060E-3 1.85107E-3 4.54220E-4 1.09878E-3 1.57497E-3 1.89357E-3
6.16000E+2 7.39244E-4 1.09859E-3 9.61860E-4 1.50819E-3 1.86182E-3 4.58113E-4 1.10693E-3 1.58489E-3 1.90693E-3
6.17000E+2 7.45064E-4 1.10619E-3 9.68587E-4 1.51567E-3 1.87291E-3 4.61951E-4 1.11499E-3 1.59558E-3 1.91923E-3
6.18000E+2 7.50494E-4 1.11354E-3 9.76614E-4 1.52270E-3 1.88210E-3 4.65778E-4 1.12275E-3 1.60634E-3 1.93015E-3
6.19000E+2 7.55507E-4 1.12040E-3 9.85435E-4 1.52962E-3 1.88980E-3 4.69593E-4 1.13000E-3 1.61608E-3 1.94001E-3
6.20000E+2 7.60327E-4 1.12670E-3 9.94224E-4 1.53686E-3 1.89703E-3 4.73183E-4 1.13657E-3 1.62430E-3 1.94907E-3
6.21000E+2 7.64946E-4 1.13248E-3 1.00242E-3 1.54420E-3 1.90378E-3 4.76196E-4 1.14225E-3 1.63091E-3 1.95758E-3
6.22000E+2 7.69149E-4 1.13792E-3 1.00968E-3 1.55104E-3 1.90957E-3 4.78727E-4 1.14728E-3 1.63653E-3 1.96617E-3
6.23000E+2 7.72969E-4 1.14326E-3 1.01603E-3 1.55716E-3 1.91472E-3 4.81412E-4 1.15234E-3 1.64259E-3 1.97592E-3
6.24000E+2 7.76888E-4 1.14879E-3 1.02195E-3 1.56276E-3 1.92066E-3 4.84590E-4 1.15790E-3 1.64980E-3 1.98687E-3
6.25000E+2 7.81269E-4 1.15463E-3 1.02792E-3 1.56812E-3 1.92827E-3 4.87853E-4 1.16394E-3 1.65718E-3 1.99661E-3
6.26000E+2 7.85775E-4 1.16023E-3 1.03422E-3 1.57354E-3 1.93644E-3 4.90811E-4 1.17038E-3 1.66376E-3 2.00324E-3
6.27000E+2 7.89909E-4 1.16489E-3 1.04106E-3 1.57930E-3 1.94385E-3 4.93720E-4 1.17692E-3 1.67014E-3 2.00894E-3
6.28000E+2 7.93627E-4 1.16908E-3 1.04831E-3 1.58547E-3 1.95100E-3 4.97018E-4 1.18327E-3 1.67738E-3 2.01705E-3
6.29000E+2 7.97117E-4 1.17380E-3 1.05567E-3 1.59197E-3 1.95943E-3 5.00533E-4 1.18938E-3 1.68528E-3 2.02736E-3
6.30000E+2 8.00564E-4 1.17918E-3 1.06272E-3 1.59887E-3 1.96927E-3 5.03633E-4 1.19531E-3 1.69273E-3 2.03697E-3
6.31000E+2 8.04166E-4 1.18412E-3 1.06895E-3 1.60649E-3 1.97875E-3 5.06067E-4 1.20097E-3 1.69923E-3 2.04434E-3
6.32000E+2 8.07995E-4 1.18788E-3 1.07405E-3 1.61508E-3 1.98648E-3 5.08238E-4 1.20589E-3 1.70538E-3 2.05033E-3
6.33000E+2 8.11668E-4 1.19119E-3 1.07863E-3 1.62422E-3 1.99395E-3 5.10574E-4 1.20983E-3 1.71182E-3 2.05599E-3
6.34000E+2 8.14759E-4 1.19510E-3 1.08359E-3 1.63338E-3 2.00339E-3 5.13344E-4 1.21402E-3 1.71900E-3 2.06256E-3
6.35000E+2 8.17518E-4 1.19974E-3 1.08935E-3 1.64259E-3 2.01510E-3 5.16748E-4 1.22006E-3 1.72728E-3 2.07117E-3
6.36000E+2 8.20625E-4 1.20470E-3 1.09583E-3 1.65240E-3 2.02733E-3 5.20609E-4 1.22787E-3 1.73647E-3 2.08152E-3
