fname time Tem kT_1 Io Et Ud Iph dev 
38RV 38rv.dat 327.5 35.4 8.250E-003 1.816E-003 1.240E+000 0.000E+000 9.377E-003 
39RV 39rv.dat 327.5 35.4 8.366E-002 2.276E-003 2.193E+000 0.000E+000 1.176E-002 
40RV 40rv.dat 330.1 35.12 3.666E-002 2.103E-003 1.873E+000 0.000E+000 1.154E-002 
41RV 41rv.dat 330 35.13 4.312E-002 2.143E-003 1.988E+000 0.000E+000 8.950E-003 
42RV 42rv.dat 330 35.13 4.353E-002 2.129E-003 1.903E+000 0.000E+000 9.637E-003 
43RV 43rv.dat 332.5 34.87 1.468E-002 1.905E-003 1.448E+000 0.000E+000 8.149E-003 
44RV 44rv.dat 332.5 34.87 1.524E-002 1.917E-003 1.502E+000 0.000E+000 1.028E-002 
45RV 45rv.dat 332.5 34.87 3.550E-002 2.081E-003 1.831E+000 0.000E+000 9.128E-003 
46RV 46rv.dat 335.1 34.6 5.160E-002 2.145E-003 2.002E+000 0.000E+000 8.162E-003 
47RV 47rv.dat 335 34.61 1.995E-002 1.961E-003 1.623E+000 0.000E+000 1.092E-002 
48RV 48rv.dat 335 34.61 2.427E-002 2.001E-003 1.707E+000 0.000E+000 1.436E-002 
49RV 49rv.dat 337.6 34.34 3.202E-002 2.048E-003 1.860E+000 0.000E+000 9.391E-003 
50RV 50rv.dat 337.5 34.35 6.062E-002 2.168E-003 2.102E+000 0.000E+000 8.498E-003 
51RV 51rv.dat 337.5 34.35 1.665E-002 1.907E-003 1.528E+000 0.000E+000 1.150E-002 
52RV 52rv.dat 340.1 34.09 1.813E-002 1.923E-003 1.622E+000 0.000E+000 9.521E-003 
53RV 53rv.dat 340 34.1 1.208E-002 1.838E-003 1.437E+000 0.000E+000 1.346E-002 
54RV 54rv.dat 340 34.1 3.379E-002 2.048E-003 1.904E+000 0.000E+000 9.745E-003 
55RV 55rv.dat 340.1 34.09 3.642E+005 5.019E-003 7.557E+000 0.000E+000 4.348E-002 
