T	I01_mA50.dat	T	I01_mA100.dat	T	I01_mA150.dat	T	I01_mA200.dat	T	I01_mA250.dat	
Tem	I01	Tem	I01	Tem	I01	Tem	I01	Tem	I01
319.01	2.680721133E-10	319.02	1.498883504E-09	319.04	1.990940714E-08	323.02	5.908704427E-07	319.03	8.949239417E-05
320	2.724429832E-10	320.02	3.540283650E-09	319.97	1.474039065E-08	324.03	7.720520166E-07	320.05	1.363439794E-04
321.02	3.148348294E-10	321.01	1.980698709E-09	321.03	3.511520302E-08	325.02	9.259227931E-07	321.01	6.292961926E-05
322.02	3.153081726E-10	322.03	7.710972382E-09	322.02	5.185245118E-08	326.02	8.421409357E-07	322.01	1.401377232E-04
323.02	2.821590549E-10	323.01	5.809137804E-09	323.06	3.223520466E-08	327.02	1.401096726E-06	323.02	5.429317385E-05
324.02	2.329028828E-10	324.04	9.347896285E-09	323.99	6.528211924E-08	328.01	3.914020548E-06	324.03	1.499497320E-04
325.01	6.970919617E-10	325.01	7.604400015E-09	325.01	6.389421232E-08	329.01	3.893777591E-06	325.01	1.522210923E-04
326.02	4.063893993E-10	326.03	1.113027545E-08	326.02	2.811964768E-07	330.01	4.309437835E-06	326.01	1.757461811E-04
327.03	1.456969284E-11	327.03	2.854601283E-09	327.02	2.138217365E-07	331.03	5.690331775E-06	327.01	1.969592593E-04
328.05	1.101010343E-11	328.04	1.255147188E-09	328.02	7.687550329E-08	332.03	9.506376292E-06	328.03	1.819933204E-04
329.05	8.277125539E-16	329.02	1.433889492E-08	329.03	2.195184525E-07	333.02	6.795221001E-06	329.01	1.813555265E-04
330.02	4.373193561E-12	330	7.128269840E-08	330.02	1.271464977E-07	334.03	7.343766280E-05	330.02	3.575065895E-05
331.01	6.507921807E-14	331.01	2.881926807E-09	331.03	4.806217753E-07	335.02	7.250776713E-05	331.02	1.861118296E-04
332.06	1.095707729E-13	332.04	9.305970626E-10	332.04	9.624173200E-07	336.02	7.606124003E-05	332.01	2.007020802E-04
333.04	3.174856113E-13	333.02	2.271187909E-09	333.01	7.154290982E-07	337.03	9.129223160E-05	333.04	2.197635763E-04
334.03	1.374395066E-13	334.05	4.906177683E-09	334	6.801750032E-07	338.03	9.620071862E-05	334.01	2.239156904E-04
335.04	1.809978923E-12	335	9.691132699E-09	335.03	2.381630421E-06	339.03	9.539056650E-05	335	2.617257868E-04
336	7.292660605E-12	336.03	1.744038731E-09	336.05	1.633133739E-06	340.02	1.052852082E-04	336.02	2.366566530E-04
338	2.440306440E-11	337.04	1.279850948E-08	336.99	1.125493520E-05	337.01	2.762837907E-04
339.05	4.684258662E-11	338.03	7.074982501E-10	293.06	1.000000000E-17	338	2.395861837E-04
340.03	3.203816315E-09	339.02	5.684437218E-12	339.01	2.735636165E-04
291.98	1.000008617E-17	340.04	7.444952539E-12	340.02	2.753247576E-04
290.92	1.000000000E-17	289.34	2.088923657E-14

