T	I02_mA50.dat	T	I02_mA100.dat	T	I02_mA150.dat	T	I02_mA200.dat	T	I02_mA250.dat	
Tem	I02	Tem	I02	Tem	I02	Tem	I02	Tem	I02
315.02	1.814270852E-04	315.02	2.115726625E-04	315.02	2.434738703E-04	319.03	2.692522735E-04	315.05	2.202368527E-04
316.01	1.936114374E-04	316.04	2.128627987E-04	316.01	2.398528583E-04	320.03	2.955923660E-04	316.01	2.315882563E-04
317.02	2.023045459E-04	317.03	2.673905155E-04	317.04	2.365301256E-04	321.02	2.967865361E-04	317.02	2.495263561E-04
318.01	2.148023446E-04	318.03	2.602738919E-04	318.03	2.684006051E-04	322.01	3.212489934E-04	318.05	2.585106026E-04
319.01	2.414395476E-04	319.02	2.617573885E-04	319.04	2.729485673E-04	323.02	3.425811545E-04	319.03	2.784688097E-04
320	2.510705197E-04	320.02	2.702368896E-04	319.97	3.105090572E-04	324.03	3.312204832E-04	320.05	2.903553968E-04
321.02	2.622366651E-04	321.01	2.856154062E-04	321.03	3.004149562E-04	325.02	3.421011663E-04	321.01	2.049764006E-04
322.02	2.905413325E-04	322.03	2.836164280E-04	322.02	3.181200646E-04	326.02	3.821131380E-04	322.01	3.012194549E-04
323.02	3.098914699E-04	323.01	3.000394404E-04	323.06	3.602401978E-04	327.02	4.049256620E-04	323.02	3.389533269E-04
324.02	3.447392037E-04	324.04	3.261603328E-04	323.99	3.522350495E-04	328.01	3.876838414E-04	324.03	3.498983628E-04
325.01	3.189655134E-04	325.01	3.514844002E-04	325.01	3.777137044E-04	329.01	4.090511285E-04	325.01	3.565971280E-04
326.02	3.606474358E-04	326.03	3.648534382E-04	326.02	3.534951336E-04	330.01	4.385903561E-04	326.01	3.810816613E-04
327.03	5.739052420E-04	327.03	4.392649016E-04	327.02	3.690358479E-04	331.03	4.394011230E-04	327.01	3.635887748E-04
328.05	6.435923648E-04	328.04	5.390623538E-04	328.02	4.503961565E-04	332.03	4.568725647E-04	328.03	4.221491241E-04
329.05	1.049114807E-03	329.02	4.500390599E-04	329.03	4.407297511E-04	333.02	4.958334965E-04	329.01	4.291873398E-04
330.02	7.742851935E-04	330	3.801251465E-04	330.02	5.106626237E-04	334.03	4.986469907E-04	330.02	4.644916680E-04
331.01	1.017218694E-03	331.01	5.915923322E-04	331.03	4.788419319E-04	335.02	5.165606331E-04	331.02	4.673199180E-04
332.06	1.057106212E-03	332.04	7.396281622E-04	332.04	4.999722685E-04	336.02	5.506583477E-04	332.01	4.947369123E-04
333.04	1.029942277E-03	333.02	7.286631626E-04	333.01	5.325606372E-04	337.03	5.906615927E-04	333.04	4.757519827E-04
334.03	1.112682049E-03	334.05	7.603507296E-04	334	5.901276034E-04	338.03	6.436089644E-04	334.01	5.443503116E-04
335.04	1.034581554E-03	335	7.533552440E-04	335.03	5.294549245E-04	339.03	6.544484308E-04	335	5.689207627E-04
336	1.020315533E-03	336.03	9.307046630E-04	336.05	6.254600434E-04	340.02	7.287959949E-04	336.02	6.089467758E-04
338	1.037797121E-03	337.04	8.661635659E-04	336.99	5.792103002E-04	337.01	5.897072033E-04
339.05	1.076258115E-03	338.03	1.178352310E-03	293.06	1.398055589E-04	338	6.406186166E-04
340.03	3.429722691E-06	339.02	1.504547203E-03	339.01	6.735483215E-04
291.98	1.000135392E-06	340.04	1.546094648E-03	340.02	6.857308079E-04
290.92	1.305153542E-04	289.34	1.315781476E-04

