T	n1_mA50.dat	T	n1_mA100.dat	T	n1_mA150.dat	T	n1_mA200.dat	T	n1_mA250.dat	
Tem	n1	Tem	n1	Tem	n1	Tem	n1	Tem	n1
314.03	2.271995489E+00	314.04	2.608027942E+00	314.03	3.047837984E+00	318.02	3.536293868E+00	314.03	5.091536285E+00
315.02	2.247589848E+00	315.02	2.608972521E+00	315.02	2.943962022E+00	319.03	3.695883742E+00	315.05	5.700500776E+00
316.01	2.247335024E+00	316.04	2.638283346E+00	316.01	3.024914024E+00	320.03	3.605531110E+00	316.01	5.630593490E+00
317.02	2.342262064E+00	317.03	2.296046791E+00	317.04	3.041697731E+00	321.02	3.753801004E+00	317.02	5.666801147E+00
318.01	2.261173731E+00	318.03	2.518985110E+00	318.03	3.065823641E+00	322.01	3.717703028E+00	318.05	5.690442496E+00
319.01	2.225007152E+00	319.02	2.525552164E+00	319.04	3.051976774E+00	323.02	3.923923444E+00	319.03	5.661272136E+00
320	2.210054764E+00	320.02	2.638184635E+00	319.97	3.007654846E+00	324.03	3.946848683E+00	320.05	5.734909811E+00
321.02	2.204634532E+00	321.01	2.536385427E+00	321.03	3.128090867E+00	325.02	3.963001968E+00	321.01	5.923930143E+00
322.02	2.195056299E+00	322.03	2.705780417E+00	322.02	3.201485753E+00	326.02	3.943410588E+00	322.01	5.714246185E+00
323.02	2.182888465E+00	323.01	2.648862462E+00	323.06	3.118432825E+00	327.02	4.061713323E+00	323.02	5.447963454E+00
324.02	2.168570591E+00	324.04	2.734806246E+00	323.99	3.204793504E+00	328.01	4.246831644E+00	324.03	5.693599728E+00
325.01	2.239374092E+00	325.01	2.684773591E+00	325.01	3.212342162E+00	329.01	4.249349201E+00	325.01	5.690776547E+00
326.02	2.185187609E+00	326.03	2.717904018E+00	326.02	3.454983233E+00	330.01	4.244071513E+00	326.01	5.644784618E+00
327.03	2.079310389E+00	327.03	2.572187445E+00	327.02	3.368976787E+00	331.03	4.410021299E+00	327.01	5.760918583E+00
328.05	2.110609203E+00	328.04	2.553524110E+00	328.02	3.208862207E+00	332.03	4.436952537E+00	328.03	5.669173039E+00
329.05	2.134016542E+00	329.02	2.743290158E+00	329.03	3.376739009E+00	333.02	4.295015794E+00	329.01	5.696196420E+00
330.02	2.125529452E+00	330	2.939857153E+00	330.02	3.311334559E+00	334.03	4.603016064E+00	330.02	5.323455170E+00
331.01	2.120408745E+00	331.01	2.615166526E+00	331.03	3.498862017E+00	335.02	4.581256974E+00	331.02	5.724844171E+00
332.06	2.149937139E+00	332.04	2.611256126E+00	332.04	3.606068249E+00	336.02	4.570752131E+00	332.01	5.666208206E+00
333.04	2.107691650E+00	333.02	2.673057884E+00	333.01	3.556978611E+00	337.03	4.580642134E+00	333.04	5.749684755E+00
334.03	2.142515214E+00	334.05	2.750209049E+00	334	3.544976881E+00	338.03	4.534607673E+00	334.01	5.722304781E+00
335.04	2.109036158E+00	335	2.785853030E+00	335.03	3.712923704E+00	339.03	4.550979378E+00	335	5.745072813E+00
336	2.127353176E+00	336.03	2.739605454E+00	336.05	3.661729247E+00	340.02	4.516931996E+00	336.02	5.669762544E+00
338	2.126441223E+00	337.04	2.844810868E+00	336.99	3.877583400E+00	337.01	5.762346348E+00
339.05	2.176192860E+00	338.03	2.833973825E+00	293.06	3.273404886E+00	338	5.730684862E+00
340.03	1.899510985E+00	339.02	2.769268956E+00	339.01	5.771308418E+00
291.98	1.821646459E+00	340.04	2.758227882E+00	340.02	5.786655970E+00
290.92	3.240032176E+00	289.34	3.600255629E+00

