T	Rsh1_mA50.dat	T	Rsh1_mA100.dat	T	Rsh1_mA150.dat	T	Rsh1_mA200.dat	T	Rsh1_mA250.dat	
Tem	Rsh1	Tem	Rsh1	Tem	Rsh1	Tem	Rsh1	Tem	Rsh1
320	5.308961509E+04	320.02	2.205394975E+04	319.97	1.365253499E+04	324.03	1.478748408E+04	320.05	6.201685358E+04
321.02	5.495763625E+04	321.01	2.027206716E+04	321.03	1.480657504E+04	325.02	1.544036415E+04	321.01	2.351947435E+04
322.02	5.761548223E+04	322.03	2.459224812E+04	322.02	1.576813625E+04	326.02	1.566936383E+04	322.01	5.825214326E+04
323.02	5.659655712E+04	323.01	2.338222240E+04	323.06	1.533386442E+04	327.02	1.839688093E+04	323.02	3.764456719E+04
324.02	5.750635601E+04	324.04	2.508269433E+04	323.99	1.691694366E+04	328.01	2.477550709E+04	324.03	6.196845636E+04
325.01	6.269950321E+04	325.01	2.567225936E+04	325.01	1.668238979E+04	329.01	2.432018404E+04	325.01	5.969197236E+04
326.02	6.111312384E+04	326.03	2.769870255E+04	326.02	2.186435362E+04	330.01	2.627035873E+04	326.01	6.856844706E+04
327.03	5.484746187E+04	327.03	2.346415873E+04	327.02	2.049001613E+04	331.03	2.413498955E+04	327.01	6.130027681E+04
328.05	6.023739360E+04	328.04	2.352699990E+04	328.02	1.812142667E+04	332.03	3.235608438E+04	328.03	6.691136672E+04
329.05	6.208531474E+04	329.02	3.109624794E+04	329.03	2.202904567E+04	333.02	3.066008528E+04	329.01	6.191740074E+04
330.02	6.208074373E+04	330	3.578880558E+04	330.02	2.080723198E+04	334.03	1.109544540E+05	330.02	2.622149873E+04
331.01	6.458506446E+04	331.01	2.589711573E+04	331.03	2.736933021E+04	335.02	1.089814880E+05	331.02	5.885083048E+04
332.06	6.848947252E+04	332.04	2.766871098E+04	332.04	3.525937502E+04	336.02	1.150192350E+05	332.01	6.459084260E+04
333.04	6.278460999E+04	333.02	2.916777118E+04	333.01	3.185481575E+04	337.03	1.317317187E+05	333.04	5.867014546E+04
334.03	6.943213528E+04	334.05	3.655458518E+04	334	3.440277889E+04	338.03	1.499240691E+05	334.01	6.505152046E+04
335.04	6.676142440E+04	335	4.029770907E+04	335.03	4.536496930E+04	339.03	1.378002671E+05	335	7.045267483E+04
336	7.104631277E+04	336.03	3.570691183E+04	336.05	4.662564831E+04	340.02	1.685657370E+05	336.02	6.974709282E+04
338	7.537725886E+04	337.04	4.997436828E+04	336.99	1.026244417E+05	337.01	6.603880050E+04
339.05	8.584663079E+04	338.03	5.143304344E+04	293.06	1.784429126E+04	338	6.246040544E+04
340.03	5.927172916E+04	339.02	3.988957978E+04	339.01	6.660323253E+04
291.98	8.938445867E+03	340.04	3.981330703E+04	340.02	6.298933740E+04
290.92	1.812166205E+04	289.34	1.480478222E+04

