T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD
300 035_300 38.647 5.626230E-1 3.050351E+1 7.909500E+1 1.357430E+1 4.717090E-1 2.877677E+1 1.000000E+2 4.642000E+12
300 036_300 38.647 5.600580E-1 3.023154E+1 7.897780E+1 1.337210E+1 4.690330E-1 2.850985E+1 1.000000E+2 5.560000E+12
300 037_300 38.647 5.571300E-1 2.994356E+1 7.890220E+1 1.316280E+1 4.662990E-1 2.822829E+1 1.000000E+2 6.661000E+12
300 038_300 38.647 5.539970E-1 2.964130E+1 7.885120E+1 1.294830E+1 4.635640E-1 2.793208E+1 1.000000E+2 7.979000E+12
300 039_300 38.647 5.507210E-1 2.932647E+1 7.881410E+1 1.272900E+1 4.608300E-1 2.762196E+1 1.000000E+2 9.559000E+12
300 040_300 38.647 5.473300E-1 2.900065E+1 7.879050E+1 1.250640E+1 4.580760E-1 2.730191E+1 1.000000E+2 1.145000E+13
300 041_300 38.647 5.439210E-1 2.866517E+1 7.876770E+1 1.228110E+1 4.553030E-1 2.697357E+1 1.000000E+2 1.372000E+13
300 042_300 38.647 5.405270E-1 2.832108E+1 7.874330E+1 1.205430E+1 4.525880E-1 2.663409E+1 1.000000E+2 1.643000E+13
300 043_300 38.647 5.371290E-1 2.796924E+1 7.871600E+1 1.182560E+1 4.498540E-1 2.628759E+1 1.000000E+2 1.968000E+13
300 044_300 38.647 5.337630E-1 2.761027E+1 7.868200E+1 1.159560E+1 4.471190E-1 2.593413E+1 1.000000E+2 2.358000E+13
300 045_300 38.647 5.304310E-1 2.724599E+1 7.864290E+1 1.136560E+1 4.443850E-1 2.557594E+1 1.000000E+2 2.825000E+13
300 046_300 38.647 5.271100E-1 2.687405E+1 7.859780E+1 1.113380E+1 4.416890E-1 2.520737E+1 1.000000E+2 3.384000E+13
300 047_300 38.647 5.238200E-1 2.649610E+1 7.854470E+1 1.090140E+1 4.389550E-1 2.483480E+1 1.000000E+2 4.054000E+13
300 048_300 38.647 5.205640E-1 2.611244E+1 7.848260E+1 1.066830E+1 4.362400E-1 2.445511E+1 1.000000E+2 4.856000E+13
300 049_300 38.647 5.173130E-1 2.572333E+1 7.841680E+1 1.043490E+1 4.335060E-1 2.407104E+1 1.000000E+2 5.817000E+13
300 050_300 38.647 5.140910E-1 2.532906E+1 7.834030E+1 1.020100E+1 4.307910E-1 2.367979E+1 1.000000E+2 6.968000E+13
300 051_300 38.647 5.108980E-1 2.492994E+1 7.825360E+1 9.966900E+0 4.280570E-1 2.328406E+1 1.000000E+2 8.348000E+13
