fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
0L14 36680 311.03 37.277 5.221923234E-08 3.470136579E+00 9.403443395E+03 1.734542387E-04 4.697565138E+00 1.579132516E+03 0.000000000E+00 2.548934200E-04 4.558199299E-01 2.370554006E-04 3.902460814E-01 4.216787490E-05 2.716864548E-01 1.552085595E-04 2.998970873E-02 
0L15 37252 312.02 37.159 5.783591438E-08 3.500493404E+00 9.388232084E+03 1.881346215E-04 4.756717638E+00 1.537081585E+03 0.000000000E+00 2.551473070E-04 4.547813000E-01 2.370705268E-04 3.904094839E-01 4.209209313E-05 2.700559780E-01 1.558688647E-04 3.661697500E-02 
0L16 37814 313.02 37.04 5.342249618E-09 2.991416700E+00 7.221871906E+03 2.128443490E-04 5.737150230E+00 1.577941770E+03 0.000000000E+00 2.593676340E-04 4.525557419E-01 2.369083104E-04 3.922049500E-01 4.204994628E-05 2.704106113E-01 1.555077710E-04 1.187809511E-02 
0L17 38382 314.02 36.922 8.586139075E-08 3.557866842E+00 9.989558874E+03 2.081740622E-04 4.782339992E+00 1.428332782E+03 0.000000000E+00 2.539194207E-04 4.507865303E-01 2.369768081E-04 3.942857389E-01 4.211994985E-05 2.681077593E-01 1.571013578E-04 2.999114426E-02 
0L18 38946 315.03 36.803 1.190913446E-07 3.619686072E+00 1.062751215E+04 2.209219732E-04 4.887224432E+00 1.379577618E+03 0.000000000E+00 2.535438448E-04 4.501602242E-01 2.369799977E-04 3.943521901E-01 4.206908502E-05 2.664211147E-01 1.579101614E-04 3.588224993E-02 
0L19 39508 316.04 36.686 9.613540757E-08 3.565077110E+00 1.016801066E+04 2.373100962E-04 5.081770357E+00 1.353839313E+03 0.000000000E+00 2.541895495E-04 4.479963463E-01 2.371029479E-04 3.949190663E-01 4.194879858E-05 2.685200819E-01 1.562252018E-04 2.587615866E-02 
0L20 40076 317.03 36.571 1.833774275E-08 3.201259140E+00 8.103548955E+03 2.649206047E-04 5.865918600E+00 1.369734725E+03 0.000000000E+00 2.565250972E-04 4.471189499E-01 2.365087091E-04 3.972039767E-01 4.200333772E-05 2.669936258E-01 1.573169874E-04 9.112411034E-03 
0L21 40642 318.02 36.457 1.036643055E-07 3.536293870E+00 1.037015157E+04 2.608146902E-04 5.276014477E+00 1.264035066E+03 0.000000000E+00 2.534953537E-04 4.451744659E-01 2.369300076E-04 3.987564623E-01 4.205891346E-05 2.651187229E-01 1.586446511E-04 3.198268566E-02 
0L22 41210 319.03 36.342 2.085301431E-07 3.695883738E+00 1.154067702E+04 2.692522715E-04 5.027434801E+00 1.202118803E+03 0.000000000E+00 2.522706925E-04 5.550000000E+02 2.367277148E-04 3.182940604E-04 4.181870917E-05 2.647801913E-01 1.579397177E-04 2.506598532E-02 
0L23 41768 320.03 36.228 1.460068759E-07 3.605531125E+00 1.102458573E+04 2.955923663E-04 5.441901862E+00 1.199677840E+03 0.000000000E+00 2.529775758E-04 5.550000000E+02 2.369086182E-04 3.174557742E-04 4.174044488E-05 2.652639898E-01 1.573481772E-04 3.333477031E-02 
0L24 42320 321.02 36.117 3.050808865E-07 3.753800992E+00 1.249353393E+04 2.967865374E-04 5.080039117E+00 1.126749546E+03 0.000000000E+00 2.515646351E-04 5.550000000E+02 2.366737506E-04 3.174512868E-04 4.169847460E-05 2.632914972E-01 1.583748069E-04 3.910552548E-02 
0L25 42868 322.01 36.006 2.617066353E-07 3.717703022E+00 1.205114396E+04 3.212489955E-04 5.387920680E+00 1.110635963E+03 0.000000000E+00 2.524694419E-04 5.550000000E+02 2.369910885E-04 3.156015490E-04 4.151108881E-05 2.622606050E-01 1.582828820E-04 4.266779760E-02 
0L26 43430 323.02 35.893 5.908703921E-07 3.923923422E+00 1.469813613E+04 3.425811550E-04 5.187405836E+00 1.076553358E+03 0.000000000E+00 2.510152887E-04 4.369296593E-01 2.365767632E-04 4.002821414E-01 4.137612605E-05 2.622097176E-01 1.577984381E-04 4.240039259E-02 
0L27 43988 324.03 35.781 7.720520018E-07 3.946848677E+00 1.478748413E+04 3.312204854E-04 4.842006791E+00 9.996534965E+02 0.000000000E+00 2.503242199E-04 4.343429039E-01 2.366198113E-04 4.016209567E-01 4.127624680E-05 2.615504864E-01 1.578133844E-04 9.630058881E-03 
0L28 44540 325.02 35.672 9.259230061E-07 3.963002024E+00 1.544036489E+04 3.421011598E-04 4.863278688E+00 9.605311709E+02 0.000000000E+00 2.498227346E-04 4.329145798E-01 2.365200128E-04 4.009347304E-01 4.105289459E-05 2.595377375E-01 1.581813220E-04 3.745175446E-02 
0L29 45096 326.02 35.563 8.421409678E-07 3.943410602E+00 1.566936392E+04 3.821131376E-04 5.285828335E+00 9.704210603E+02 0.000000000E+00 2.504844804E-04 4.312728867E-01 2.366388220E-04 4.028210454E-01 4.111026749E-05 2.589667131E-01 1.587411790E-04 2.818166715E-02 
0L30 45638 327.02 35.454 1.401096737E-06 4.061713323E+00 1.839688080E+04 4.049256585E-04 5.206140418E+00 9.447783133E+02 0.000000000E+00 2.494582251E-04 4.294242493E-01 2.364028111E-04 4.022629138E-01 4.083656432E-05 2.591325108E-01 1.575914432E-04 2.006985367E-02 
0L31 46186 328.01 35.347 3.914020236E-06 4.246831623E+00 2.477550643E+04 3.876838421E-04 4.667555931E+00 8.605062293E+02 0.000000000E+00 2.461125403E-04 4.278262596E-01 2.362057678E-04 4.025644719E-01 4.068116484E-05 2.582808889E-01 1.575096585E-04 7.245872769E-02 
0L32 46732 329.01 35.24 3.893778035E-06 4.249349228E+00 2.432018504E+04 4.090511273E-04 4.720002898E+00 8.399124333E+02 0.000000000E+00 2.461675432E-04 4.256166809E-01 2.360606974E-04 4.051460699E-01 4.070558090E-05 2.570937645E-01 1.583291917E-04 5.083604378E-02 
0L33 47270 330.01 35.133 4.309437535E-06 4.244071502E+00 2.627035796E+04 4.385903573E-04 4.939215273E+00 8.344108029E+02 0.000000000E+00 2.458521594E-04 4.239658035E-01 2.360756074E-04 4.028178155E-01 4.031722331E-05 2.560408632E-01 1.574599154E-04 1.465601667E-02 
0L34 47818 331.03 35.025 5.690332375E-06 4.410021320E+00 2.413498985E+04 4.394011095E-04 4.452335082E+00 7.779355632E+02 0.000000000E+00 2.457650108E-04 4.223107189E-01 2.362684063E-04 4.017532479E-01 4.008640897E-05 2.534185295E-01 1.581817893E-04 4.847486167E-02 
0L35 48378 332.03 34.919 9.506377300E-06 4.436952559E+00 3.235608561E+04 4.568725607E-04 4.477596926E+00 7.570582479E+02 0.000000000E+00 2.412010563E-04 5.550000000E+02 2.360308556E-04 3.061332253E-04 4.010257234E-05 2.534152361E-01 1.582500255E-04 2.390246013E-02 
0L36 48930 333.02 34.815 6.795219407E-06 4.295015748E+00 3.066008303E+04 4.958335093E-04 5.110757599E+00 7.635924984E+02 0.000000000E+00 2.435968989E-04 5.550000000E+02 2.360103787E-04 3.044083066E-04 3.987315344E-05 2.533598673E-01 1.573789379E-04 1.738837976E-02 
0L37 49478 334.03 34.71 6.322684986E-05 4.591809904E+00 1.000000000E+05 4.965676021E-04 4.533164244E+00 7.093704795E+02 0.000000000E+00 1.872569548E-04 5.550000000E+02 2.357106968E-04 3.039245459E-04 3.975923789E-05 2.510673012E-01 1.583597242E-04 3.870921819E-02 
0L38 50016 335.02 34.607 6.315252459E-05 4.569496338E+00 1.000000000E+05 5.179569101E-04 4.567033226E+00 6.952744181E+02 0.000000000E+00 1.871977711E-04 4.154063950E-01 2.354991603E-04 4.036251921E-01 3.948578766E-05 2.518494436E-01 1.567834404E-04 6.854549118E-02 
0L39 50560 336.02 34.505 6.212899775E-05 4.555953528E+00 1.000000000E+05 5.481662090E-04 4.650408517E+00 6.857104217E+02 0.000000000E+00 1.882060757E-04 4.130162651E-01 2.353776936E-04 4.049476246E-01 3.936690877E-05 2.500130026E-01 1.574576914E-04 3.839707641E-02 
0L40 51102 337.03 34.401 5.907940038E-05 4.544767950E+00 1.000000000E+05 5.939962658E-04 4.933018881E+00 6.837110152E+02 0.000000000E+00 1.914856749E-04 4.118758118E-01 2.354192730E-04 4.034793360E-01 3.912277029E-05 2.484913396E-01 1.574353004E-04 2.902576531E-02 
0L41 51648 338.03 34.299 5.212469635E-05 4.491257486E+00 1.000000000E+05 6.446389303E-04 5.346835013E+00 6.892402903E+02 0.000000000E+00 1.982921810E-04 4.098605698E-01 2.352177806E-04 4.022599294E-01 3.878046931E-05 2.473773664E-01 1.567660042E-04 3.051758471E-02 
0L42 52180 339.03 34.198 4.187836822E-05 4.480195916E+00 8.582579847E+04 6.776681408E-04 5.416833226E+00 6.793247629E+02 0.000000000E+00 2.086913911E-04 4.084931496E-01 2.350806565E-04 4.025549491E-01 3.865688390E-05 2.477819025E-01 1.560020881E-04 5.598239280E-02 
0L43 52726 340.02 34.099 4.887464683E-05 4.467522784E+00 1.000000000E+05 7.262272134E-04 5.665683402E+00 6.778243164E+02 0.000000000E+00 2.016281251E-04 4.060075745E-01 2.349150019E-04 4.026789351E-01 3.840641758E-05 2.440719101E-01 1.573577364E-04 6.587093830E-02 
