fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
0L21 41908 314.03 36.921 2.436741080E-10 2.271995485E+00 5.012083617E+04 1.717601568E-04 4.069840558E+00 1.451343085E+03 0.000000000E+00 5.358704140E-05 4.119938507E-01 5.225131549E-05 5.283615121E-01 1.137415487E-05 2.921918762E-01 3.892699549E-05 7.918989252E-01 
0L22 42524 315.02 36.805 2.230240809E-10 2.247589844E+00 4.969504320E+04 1.814270863E-04 4.259259732E+00 1.410238000E+03 0.000000000E+00 5.357130078E-05 4.112254700E-01 5.218317706E-05 5.260784071E-01 1.128914364E-05 2.902798405E-01 3.889160898E-05 7.004708385E-01 
0L23 43146 316.01 36.689 2.480614643E-10 2.247335030E+00 5.052144831E+04 1.936114345E-04 4.481355790E+00 1.366873287E+03 0.000000000E+00 5.347418961E-05 4.097782761E-01 5.211756927E-05 5.271849600E-01 1.125890346E-05 2.880274181E-01 3.908817860E-05 8.016589741E-01 
0L24 43762 317.02 36.572 6.324099918E-10 2.342262069E+00 5.794108022E+04 2.023045429E-04 4.222449674E+00 1.298398081E+03 0.000000000E+00 5.306278514E-05 4.075848618E-01 5.188468062E-05 5.284003221E-01 1.117429846E-05 2.881301809E-01 3.878329355E-05 6.313547802E-01 
0L25 44378 318.01 36.459 3.584797852E-10 2.261173740E+00 5.380764357E+04 2.148023461E-04 4.655570185E+00 1.277618610E+03 0.000000000E+00 5.307243573E-05 4.056849663E-01 5.174680865E-05 5.296568276E-01 1.111903405E-05 2.861831966E-01 3.885253955E-05 8.033184375E-01 
0L26 44986 319.01 36.344 2.680721233E-10 2.225007149E+00 5.345145044E+04 2.414395438E-04 5.333082876E+00 1.283910761E+03 0.000000000E+00 5.316407920E-05 4.041090683E-01 5.172011831E-05 5.277031302E-01 1.102929559E-05 2.839599232E-01 3.884067776E-05 8.875133586E-01 
0L27 45616 320 36.232 2.724429795E-10 2.210054756E+00 5.308961471E+04 2.510705151E-04 5.508297218E+00 1.239196525E+03 0.000000000E+00 5.308869923E-05 4.025350258E-01 5.161624018E-05 5.318347213E-01 1.105011326E-05 2.831962826E-01 3.902001201E-05 7.795034172E-01 
0L28 46226 321.02 36.117 3.148348558E-10 2.204634536E+00 5.495763639E+04 2.622366594E-04 5.683170997E+00 1.199074381E+03 0.000000000E+00 5.289912229E-05 4.005674324E-01 5.152183788E-05 5.302338699E-01 1.094295086E-05 2.817463682E-01 3.883985989E-05 8.950159197E-01 
0L29 46836 322.02 36.005 3.153081910E-10 2.195056299E+00 5.761548210E+04 2.905413265E-04 6.202066821E+00 1.198969578E+03 0.000000000E+00 5.276977980E-05 3.979227325E-01 5.134116071E-05 5.311991291E-01 1.085229991E-05 2.797604906E-01 3.879145294E-05 9.027688477E-01 
0L30 47450 323.02 35.893 2.821590756E-10 2.182888470E+00 5.659655739E+04 3.098914668E-04 6.526158552E+00 1.170412143E+03 0.000000000E+00 5.277534116E-05 3.974405502E-01 5.133695276E-05 5.329992165E-01 1.087498915E-05 2.797121868E-01 3.887838060E-05 1.098268580E+00 
0L31 48060 324.02 35.782 2.329028584E-10 2.168570590E+00 5.750635618E+04 3.447392127E-04 7.098522236E+00 1.171929953E+03 0.000000000E+00 5.278715454E-05 3.955372223E-01 5.122853583E-05 5.327912938E-01 1.079583957E-05 2.779657331E-01 3.883886067E-05 1.014717671E+00 
0L32 48668 325.01 35.673 6.970919699E-10 2.239374101E+00 6.269950358E+04 3.189655163E-04 6.226892485E+00 1.065350286E+03 0.000000000E+00 5.245052867E-05 3.941475311E-01 5.122442310E-05 5.319766980E-01 1.074059884E-05 2.761445255E-01 3.889499621E-05 7.872869582E-01 
0L33 49278 326.02 35.563 4.063894511E-10 2.185187616E+00 6.111312395E+04 3.606474287E-04 7.037393246E+00 1.081399016E+03 0.000000000E+00 5.249662005E-05 5.550000000E+02 5.111164531E-05 3.762928896E-04 1.067428653E-05 2.755080919E-01 3.874599380E-05 1.020490047E+00 
0L34 49886 327.03 35.453 1.456967623E-11 2.079310381E+00 5.484746126E+04 5.739053065E-04 1.074502200E+01 1.351655707E+03 0.000000000E+00 5.382390812E-05 3.894861053E-01 5.103663769E-05 5.309289226E-01 1.055383764E-05 2.740888124E-01 3.850310315E-05 1.094880493E+00 
0L35 50684 328.05 35.343 1.101010367E-11 2.110609204E+00 6.023739382E+04 6.435923640E-04 1.130038797E+01 1.395669591E+03 0.000000000E+00 5.367572518E-05 3.876892059E-01 5.078733103E-05 5.331889733E-01 1.049833095E-05 2.713240387E-01 3.869306180E-05 9.420961569E-01 
0L36 51288 329.05 35.235 5.291472248E-16 2.133449399E+00 6.206414674E+04 1.060587504E-03 1.512851497E+01 2.790711106E+03 0.000000000E+00 5.791858554E-05 3.865970627E-01 5.078543176E-05 5.322230685E-01 1.044940095E-05 2.704111151E-01 3.864189978E-05 1.044028178E+00 
0L37 52414 330.02 35.132 4.373197341E-12 2.125529454E+00 6.208074417E+04 7.742851512E-04 1.249791962E+01 1.432327857E+03 0.000000000E+00 5.394735490E-05 3.846505142E-01 5.062182129E-05 5.326904432E-01 1.037239361E-05 2.692337255E-01 3.852575549E-05 8.487123085E-01 
0L38 53024 331.01 35.027 1.083850968E-15 2.115069008E+00 6.436866047E+04 1.162241983E-03 1.650000000E+01 2.309112969E+03 0.000000000E+00 5.712876141E-05 3.821957199E-01 5.050301310E-05 5.348973959E-01 1.032460850E-05 2.678876434E-01 3.854005020E-05 1.302383600E+00 
0L39 53694 332.06 34.916 1.746504226E-14 2.147240374E+00 6.835841864E+04 1.130704491E-03 1.573125608E+01 1.964444817E+03 0.000000000E+00 5.591219413E-05 5.550000000E+02 5.046875529E-05 3.660907869E-04 1.025426122E-05 2.661846325E-01 3.852325517E-05 1.026542882E+00 
0L40 54458 333.04 34.813 9.297192730E-15 2.102862356E+00 6.259100350E+04 1.184244695E-03 1.650000000E+01 1.872292853E+03 0.000000000E+00 5.635078593E-05 3.783318909E-01 5.037537335E-05 5.311026151E-01 1.012207775E-05 2.654937628E-01 3.812439104E-05 1.100711868E+00 
0L41 55048 334.03 34.71 2.412213785E-15 2.137452731E+00 6.917534901E+04 1.272405579E-03 1.650000000E+01 2.110560740E+03 0.000000000E+00 5.641814672E-05 3.768477844E-01 5.016113616E-05 5.330886285E-01 1.007703460E-05 2.631391876E-01 3.829603495E-05 9.499097944E-01 
0L42 55654 335.04 34.605 8.645579322E-14 2.104677687E+00 6.656003434E+04 1.196713074E-03 1.650000000E+01 1.554457024E+03 0.000000000E+00 5.496438849E-05 3.755079407E-01 4.999849755E-05 5.329893701E-01 1.000678634E-05 2.612990206E-01 3.829628688E-05 1.363281616E+00 
0L43 56250 336 34.507 4.935528260E-13 2.123268037E+00 7.083202528E+04 1.185405378E-03 1.650000000E+01 1.378462005E+03 0.000000000E+00 5.404833180E-05 3.739675125E-01 4.985109758E-05 5.336250961E-01 9.948207754E-06 2.603779730E-01 3.820632383E-05 1.261100439E+00 
0L44 57460 338 34.302 2.105362383E-12 2.122697794E+00 7.514550495E+04 1.210624635E-03 1.650000000E+01 1.216346403E+03 0.000000000E+00 5.345875229E-05 3.673221298E-01 4.992075970E-05 5.328287292E-01 9.770480287E-06 2.551144968E-01 3.829813687E-05 1.360565538E+00 
0L45 58238 339.05 34.196 4.192091515E-12 2.172526572E+00 8.553747277E+04 1.256305318E-03 1.650000000E+01 1.179355470E+03 0.000000000E+00 5.283940836E-05 3.662536484E-01 4.974149686E-05 5.331019908E-01 9.712054574E-06 2.556107527E-01 3.799544165E-05 1.115224993E+00 
0L46 59028 340.03 34.098 1.441678867E-11 2.161357355E+00 8.041120744E+04 1.215159238E-03 1.650000000E+01 1.057311524E+03 0.000000000E+00 5.240744823E-05 3.654369385E-01 4.949787550E-05 5.310910978E-01 9.606562764E-06 2.526993870E-01 3.801658090E-05 8.924297824E-01 
