name T n1 I01 n2 I02 Rs Rsh
d53bi2pr 295.97 1.0000000E+0 2.0332708E-31 2.4637847E+0 1.9055937E-6 1.1142413E+2 3.9280798E+4
d53bi1pr 295.95 1.0000000E+0 3.3199303E-10 2.6608431E+0 2.5713087E-6 1.4086719E+2 6.2747573E+4
d53ci3pr 296.1 1.0000000E+0 8.5989283E-23 1.3004776E+0 3.8852975E-6 1.8426731E+2 4.0591418E+3
d53ci2pr 296.08 1.0000000E+0 5.7503864E-22 1.2679772E+0 3.5115404E-6 1.8559689E+2 3.7565340E+3
d53ci1pr 296.05 1.0000000E+0 9.2601402E-23 1.2836219E+0 3.6492699E-6 1.8504036E+2 3.9433628E+3
d44biv3pr 297.09 1.0000000E+0 2.0660184E-25 1.7353898E+0 3.6422606E-7 2.8209875E+2 1.4236078E+4
d44biv2pr 297.11 1.0000000E+0 9.1133819E-25 1.7396902E+0 3.7126388E-7 2.8172326E+2 1.4275347E+4
d44biv1pr 297.13 1.0000000E+0 2.2684679E-25 1.7335140E+0 3.6552285E-7 2.8178260E+2 1.4032274E+4
d52ai3pr 296.19 1.0000000E+0 5.0381313E-22 1.0667231E+0 3.9199111E-6 9.6125351E+1 1.3812753E+3
d52ai2pr 296.16 1.0000000E+0 8.2823894E-22 1.1151058E+0 4.9196344E-6 9.5320280E+1 1.4857097E+3
d52ai1pr 296.09 1.0000000E+0 3.8260442E-30 1.0764413E+0 4.3506777E-6 9.6044672E+1 1.4409933E+3
d52bi3pr 295.87 1.0000000E+0 2.9260640E-25 9.2729908E-1 3.3371944E-6 4.5015275E+1 1.9879637E+3
d52bi2pr 295.87 1.0000000E+0 2.2927415E-25 9.1742253E-1 3.1808160E-6 4.5123885E+1 1.9436655E+3
d52bi1pr 295.87 1.0000000E+0 6.7904909E-32 9.1672705E-1 3.1768740E-6 4.5113720E+1 1.9343077E+3
d54ci3pr 296.08 1.0000000E+0 3.4695171E-24 1.7822724E+0 4.8829614E-6 4.1327246E+1 9.3779513E+19
d54ci2pr 296.07 1.0000000E+0 2.8625998E-24 1.7886692E+0 4.9996350E-6 4.1246705E+1 9.3800408E+19
d54ci1pr 296.06 1.0000000E+0 2.0113752E-24 1.8385298E+0 5.7677786E-6 4.0603405E+1 8.1374258E+19
d54ci1pr 296.06 1.0000000E+0 3.2130715E-24 1.7557361E+0 4.8900284E-6 4.2762313E+1 5.7354983E+4
d74ai4pr 291.97 1.0000000E+0 1.2407652E-12 3.5425336E+0 1.5844175E-6 3.6688265E+1 1.6850991E+4
d74ai3pr 291.98 1.0000000E+0 1.2688632E-12 3.5468336E+0 1.5974651E-6 3.6892192E+1 1.6966026E+4
d74ai2pr 292 1.0000000E+0 9.0021495E-13 3.1253410E+0 8.9348916E-7 3.4546807E+1 1.4252906E+4
d74ai1pr 291.99 1.0000000E+0 1.2730192E-12 3.5386119E+0 1.5820036E-6 3.7158344E+1 1.6774583E+4
d74bi4pr 291.99 1.0000000E+0 1.0000000E-35 1.8846301E+0 4.9210589E-7 6.1418749E+1 1.6139725E+5
d74bi3pr 292.01 1.0000000E+0 1.2078508E-35 1.8979329E+0 5.1853819E-7 6.0859732E+1 2.0116106E+5
d74bi2pr 292.02 1.0000000E+0 3.2253596E-26 1.8817787E+0 4.9818269E-7 6.1393051E+1 1.6113406E+5
d74bi1pr 292.01 1.0000000E+0 3.7945421E-31 1.9103845E+0 5.5674951E-7 6.0523595E+1 1.9436820E+5
d81ai4pr 296.09 1.0000000E+0 1.0000000E-35 1.9240220E+0 1.4317560E-6 1.1991190E+2 1.0538844E+5
d81ai3pr 296.09 1.0000000E+0 1.5914048E-30 1.9238758E+0 1.4280599E-6 1.1973972E+2 1.0285287E+5
d81ai2pr 296.07 1.0000000E+0 1.3546463E-27 1.9233502E+0 1.4350216E-6 1.2041515E+2 1.0993657E+5
d81bi4pr 296 9.4013662E-1 3.8506679E-13 3.0749012E+0 1.6142174E-6 1.3944384E+1 1.0307848E+5
d81bi3pr 296 9.4013018E-1 3.8439125E-13 3.0719751E+0 1.6081707E-6 1.3945700E+1 1.0263324E+5
d81bi2pr 296 9.5265944E-1 5.1899622E-13 3.0902883E+0 1.6564232E-6 1.3921112E+1 1.0908233E+5
d81bi1pr 295.99 9.5108620E-1 4.9316765E-13 3.0853642E+0 1.6479493E-6 1.3896423E+1 1.0899153E+5
d81ci4pr 295.85 1.0000000E+0 2.7694967E-22 1.5123915E+0 1.2862448E-5 1.0247469E+1 9.1845208E+3
d81ci3pr 295.85 1.0000000E+0 3.8415763E-22 1.5100740E+0 1.2835197E-5 1.0253071E+1 9.0524928E+3
d81ci2pr 295.94 1.0000000E+0 2.9522662E-8 1.5307307E+0 1.3454945E-5 1.0318616E+1 1.0300117E+4
d81ci1pr 295.94 1.0000000E+0 3.5187333E-8 1.5315080E+0 1.3496687E-5 1.0335752E+1 9.7972510E+3
d71ai4pr 292.11 1.0000000E+0 9.8167687E-13 3.7967388E+0 2.0666013E-6 4.5874852E+1 7.4731410E+19
d71ai3pr 292.1 1.0000000E+0 9.6699148E-13 3.7921205E+0 2.0526519E-6 4.5615655E+1 6.9397342E+19
d71ai2pr 292.08 1.0000000E+0 1.1069617E-12 3.7939178E+0 2.0587938E-6 5.0279986E+1 7.5457603E+19
d71ai1pr 292.04 1.0000000E+0 9.6567416E-13 3.7926905E+0 2.0489606E-6 4.6284738E+1 6.8244375E+19
d71bi4pr 291.95 1.0000000E+0 3.1131330E-13 2.7807638E+0 1.5075268E-7 5.2907745E-13 9.9664353E+19
d71bi3pr 291.99 1.0000000E+0 4.1200694E-13 2.8037654E+0 1.5664867E-7 1.5595514E+1 9.9664450E+19
d71bi2pr 292.03 1.0000000E+0 4.3045077E-13 2.7898633E+0 1.5243131E-7 1.9107313E+1 7.1744707E+6
d71bi1pr 292.09 1.0000000E+0 5.0751227E-13 2.8188696E+0 1.6148700E-7 2.7886362E+1 1.0000000E+20
d72ai4pr 291.92 1.0000000E+0 1.1850740E-12 4.0775826E+0 1.0898230E-6 1.1616535E+2 7.3763552E+19
d72ai3pr 291.94 1.0000000E+0 1.2191806E-12 4.0694048E+0 1.0764825E-6 1.1791279E+2 7.4003684E+19
d72ai2pr 291.95 1.0000000E+0 1.1295650E-12 4.0495938E+0 1.0717334E-6 1.1049479E+2 8.4043278E+19
d72ai1pr 291.95 1.0000000E+0 1.2802320E-12 4.0678826E+0 1.0818995E-6 1.1866432E+2 8.7809799E+19
d72bi4pr 292.43 1.0000000E+0 1.0180163E-22 1.2477499E+0 3.2365732E-6 1.8160896E+1 3.5563282E+5
d72bi3pr 292.33 1.0000000E+0 1.0786734E-22 1.2513968E+0 3.2777194E-6 1.8130325E+1 3.0043137E+5
d72bi2pr 292.33 1.0000000E+0 1.3492329E-22 1.2504117E+0 3.2819012E-6 1.8138943E+1 4.5609029E+5
d72bi1pr 292.23 1.0000000E+0 9.8116328E-23 1.2454969E+0 3.2343143E-6 1.8204238E+1 2.0856517E+5
d72ci4pr 292.12 1.0000000E+0 5.3617018E-13 3.1934697E+0 9.1051808E-7 4.7629798E+1 7.7236357E+19
d72ci3pr 292.13 1.0000000E+0 4.3202816E-13 3.2277863E+0 9.3492268E-7 3.2676593E+1 8.4780257E+19
d72ci1pr 292.13 1.0000000E+0 4.6817602E-13 3.2576026E+0 9.7868339E-7 3.5122475E+1 7.8664965E+19
