name T n1 Rs I01 Rsh n2 I02
D63BI2PR 294 8.217438996E-01 1.337042281E+01 1.832544799E-14 2.089950648E+06 2.749797261E+00 5.834295323E-07
D63BI3PR 293.99 7.885436611E-01 1.346531296E+01 6.089274364E-15 3.554665668E+05 2.675266493E+00 4.996366255E-07
D63BI3PR 293.99 7.885436604E-01 1.346531297E+01 6.089274232E-15 3.554665652E+05 2.675266492E+00 4.996366247E-07
D63BI4PR 293.97 8.173641012E-01 1.341784716E+01 1.584786151E-14 1.260874927E+06 2.738815594E+00 5.655277652E-07
D63BI4PR 293.97 8.173641022E-01 1.341784716E+01 1.584786202E-14 1.260874962E+06 2.738815595E+00 5.655277662E-07
D83AI1PR 295.95 1.000000000E+00 1.763789972E+01 6.911891023E-23 9.561305593E+19 1.205645314E+00 2.077693480E-06
D83AI1PR 295.95 1.000000000E+00 1.763789972E+01 6.954277846E-23 1.000000000E+20 1.205645314E+00 2.077693482E-06
D83AI2PR 295.93 1.000000000E+00 1.765997717E+01 6.849912575E-23 1.000000000E+20 1.203439865E+00 2.038717387E-06
D83AI2PR 295.93 1.000000000E+00 1.765997717E+01 6.908611892E-23 1.000000000E+20 1.203439865E+00 2.038717387E-06
D83AI3PR 295.91 1.000000000E+00 1.766728389E+01 6.870407981E-23 7.623230513E+19 1.202041187E+00 2.009263639E-06
D83AI3PR 295.91 1.000000000E+00 1.766728389E+01 6.510510577E-23 1.000000000E+20 1.202041187E+00 2.009263640E-06
D83AI4PR 295.89 1.000000000E+00 1.767921970E+01 7.197848679E-23 9.492841452E+19 1.200876577E+00 1.987160623E-06
D83AI4PR 295.89 1.000000000E+00 1.767921970E+01 6.872757744E-23 9.583539699E+19 1.200876577E+00 1.987160625E-06
D83BI1PR 296.01 1.617580890E+00 8.291391812E+00 4.984316770E-25 9.028543700E+05 2.674268703E+00 9.929137224E-07
D83BI1PR 296.01 1.870926827E+00 8.291391769E+00 1.447610767E-23 9.028545060E+05 2.674268706E+00 9.929137294E-07
D83BI2PR 296.02 6.713556078E-01 1.455091847E+01 3.403334210E-17 4.024923031E+06 2.689593592E+00 1.034896653E-06
D83BI2PR 296.02 6.713556093E-01 1.455091846E+01 3.403334425E-17 4.024921655E+06 2.689593590E+00 1.034896649E-06
D83BI3PR 296.03 6.688956772E-01 1.456645136E+01 3.045176113E-17 2.452493369E+06 2.687422060E+00 1.028291717E-06
D83BI3PR 296.03 6.688956867E-01 1.456645130E+01 3.045177428E-17 2.452493445E+06 2.687422061E+00 1.028291717E-06
D83BI4PR 296.02 6.712781399E-01 1.455697993E+01 3.394843302E-17 2.586817870E+06 2.684902496E+00 1.020023431E-06
D83BI4PR 296.02 6.712781392E-01 1.455697993E+01 3.394843179E-17 2.586817777E+06 2.684902496E+00 1.020023431E-06
D62AI1PR 294 1.000000000E+00 3.254825906E+01 5.417069973E-24 1.000000000E+20 1.552503643E+00 4.132612087E-06
D62AI1PR 294 1.000000000E+00 3.254825906E+01 5.424991959E-24 1.000000000E+20 1.552503643E+00 4.132612086E-06
D62AI2PR 293.99 1.000000000E+00 3.254703831E+01 5.747358843E-24 9.461091510E+19 1.553770548E+00 4.140876457E-06
D62AI2PR 293.99 1.000000000E+00 3.254703833E+01 5.757108781E-24 9.653334439E+19 1.553770547E+00 4.140876448E-06
D62AI3PR 293.98 1.000000000E+00 3.263256937E+01 5.823288682E-24 1.000000000E+20 1.547594544E+00 4.052830614E-06
D62AI3PR 293.98 1.000000000E+00 3.263256936E+01 5.542044274E-24 9.591531992E+19 1.547594545E+00 4.052830617E-06
D62AI4PR 293.96 1.000000000E+00 3.259839230E+01 1.000000000E-35 9.712720996E+19 1.551728277E+00 4.099677652E-06
D62AI4PR 293.96 1.000000000E+00 3.259839232E+01 1.000000000E-35 1.000000000E+20 1.551728275E+00 4.099677633E-06
D62BI1PR 294.01 8.977957343E-01 1.029071448E+01 1.267902780E-13 9.854063860E+19 2.419956875E+00 2.573082927E-07
D62BI1PR 294.01 8.977957263E-01 1.029071451E+01 1.267902525E-13 9.935267199E+19 2.419956874E+00 2.573082925E-07
D62BI2PR 294.02 9.758305638E-01 1.011554616E+01 8.693921482E-13 9.958856494E+19 2.487236072E+00 2.904535647E-07
D62BI2PR 294.02 9.758305732E-01 1.011554613E+01 8.693923237E-13 9.978505466E+19 2.487236073E+00 2.904535645E-07
D62BI3PR 294.02 9.538868103E-01 1.014874986E+01 5.066286708E-13 4.260630848E+05 2.423145636E+00 2.447698903E-07
D62BI3PR 294.02 9.538868143E-01 1.014874985E+01 5.066287180E-13 4.260630866E+05 2.423145637E+00 2.447698912E-07
D62BI4PR 294 9.046598092E-01 1.026016666E+01 1.447538933E-13 2.885295010E+05 2.366127976E+00 2.126841014E-07
D62BI4PR 294 9.046598099E-01 1.026016666E+01 1.447538957E-13 2.885295001E+05 2.366127975E+00 2.126841009E-07
D42IV1PR 296.85 7.613108175E-01 1.679895849E+02 1.145773168E-12 9.582365417E+04 2.607416936E+00 2.048389607E-06
D42IV1PR 296.85 7.613108185E-01 1.679895848E+02 1.145773191E-12 9.582365337E+04 2.607416934E+00 2.048389600E-06
D42IV2PR 296.82 7.646703098E-01 1.684170146E+02 1.279353242E-12 1.039177668E+05 2.619485017E+00 2.085847435E-06
D42IV2PR 296.82 7.646703120E-01 1.684170145E+02 1.279353310E-12 1.039177674E+05 2.619485018E+00 2.085847439E-06
D42IV3PR 296.8 7.842870249E-01 1.681733684E+02 2.053353551E-12 1.237590173E+05 2.642919179E+00 2.161941223E-06
D42IV3PR 296.8 7.842870214E-01 1.681733686E+02 2.053353400E-12 1.237590188E+05 2.642919180E+00 2.161941227E-06
D61AI1PR 294.01 8.036197881E-01 1.279942465E+01 1.757544898E-14 1.236664036E+04 3.433537948E+00 5.158078115E-06
D61AI1PR 294.01 8.036197893E-01 1.279942465E+01 1.757544967E-14 1.236664028E+04 3.433537945E+00 5.158078089E-06
D61AI2PR 294.06 9.516495794E-01 1.249973307E+01 1.089062059E-12 6.446883154E+03 3.817640255E+00 7.444585655E-06
D61AI2PR 294.06 9.516495809E-01 1.249973306E+01 1.089062096E-12 6.446883155E+03 3.817640258E+00 7.444585668E-06
D61AI3PR 294.11 9.529227890E-01 1.250540561E+01 1.142713066E-12 6.050311812E+03 3.855675859E+00 7.835154722E-06
D61AI3PR 294.11 9.529227873E-01 1.250540561E+01 1.142713021E-12 6.050311809E+03 3.855675858E+00 7.835154718E-06
D61AI4PR 294.13 9.146746795E-01 1.259366883E+01 4.508725050E-13 1.192607392E+04 3.752159351E+00 7.120935414E-06
D61AI4PR 294.13 9.146746785E-01 1.259366883E+01 4.508724937E-13 1.192607382E+04 3.752159345E+00 7.120935366E-06
D61BI1PR 294.02 1.000000000E+00 3.299895254E+02 6.259613164E-12 1.449923108E+19 3.330127173E+00 1.099468214E-05
D61BI1PR 294.02 1.000000000E+00 3.299895249E+02 6.259608138E-12 1.566100589E+19 3.330127173E+00 1.099468214E-05
D61BI2PR 294 1.000000000E+00 3.314449557E+02 1.013658824E-12 1.435816959E+19 3.291880243E+00 1.033117360E-05
D61BI2PR 294 1.000000000E+00 3.314449558E+02 1.013658747E-12 1.429463519E+19 3.291880240E+00 1.033117358E-05
D61BI3PR 293.98 1.000000000E+00 3.340717045E+02 5.672578831E-13 1.556366149E+19 3.258209085E+00 9.838401251E-06
D61BI3PR 293.98 1.000000000E+00 3.340717034E+02 5.672512935E-13 1.497934609E+19 3.258209087E+00 9.838401256E-06
D61BI4PR 293.95 1.000000000E+00 3.336439406E+02 8.194990525E-14 1.458171402E+19 3.253239340E+00 9.468436142E-06
D61BI4PR 293.95 1.000000000E+00 3.336439400E+02 8.194860359E-14 1.621240778E+19 3.253239342E+00 9.468436151E-06
D61CI1PR 293.89 1.105846634E+00 1.098251028E+01 2.108457752E-11 2.997057748E+04 2.953535989E+00 8.947018491E-07
D61CI1PR 293.89 1.105846633E+00 1.098251028E+01 2.108457723E-11 2.997057745E+04 2.953535988E+00 8.947018485E-07
D61CI2PR 293.88 1.110013565E+00 1.098823802E+01 2.264997947E-11 3.065328030E+04 2.980961687E+00 9.324210172E-07
D61CI2PR 293.88 1.110013566E+00 1.098823802E+01 2.264997987E-11 3.065328026E+04 2.980961688E+00 9.324210176E-07
D61CI3PR 293.86 1.107746087E+00 1.100270304E+01 2.168346643E-11 3.057816773E+04 2.978408786E+00 9.264492651E-07
D61CI3PR 293.86 1.107746086E+00 1.100270304E+01 2.168346595E-11 3.057816767E+04 2.978408784E+00 9.264492619E-07
D61CI4PR 293.84 1.089820362E+00 1.105061156E+01 1.566346737E-11 2.860739124E+04 2.913586389E+00 8.329505675E-07
D61CI4PR 293.84 1.089820360E+00 1.105061156E+01 1.566346703E-11 2.860739118E+04 2.913586385E+00 8.329505631E-07
D64AI1PR 294.07 1.000000000E+00 5.888823319E+01 1.000000000E-35 1.000000000E+20 2.123893121E+00 1.328369582E-06
D64AI1PR 294.07 1.000000000E+00 5.888823309E+01 2.361964021E-26 4.870794903E+19 2.123893121E+00 1.328369581E-06
D64AI2PR 294.12 1.000000000E+00 6.027283680E+01 3.143954654E-26 9.877842556E+19 2.097316720E+00 1.257792056E-06
D64AI2PR 294.12 1.000000000E+00 6.027283661E+01 1.000000000E-35 1.000000000E+20 2.097316721E+00 1.257792059E-06
D64AI3PR 294.14 1.000000000E+00 5.943325702E+01 2.468465254E-29 9.854306545E+19 2.114146420E+00 1.300595123E-06
D64AI3PR 294.14 1.000000000E+00 5.943325690E+01 9.428975591E-33 9.997394332E+19 2.114146422E+00 1.300595124E-06
D64AI4PR 294.15 1.000000000E+00 5.982150924E+01 2.878060825E-26 1.000000000E+20 2.106224243E+00 1.277743645E-06
D64AI4PR 294.15 1.000000000E+00 5.982150939E+01 1.000000000E-35 9.580050826E+19 2.106224241E+00 1.277743643E-06
D64BI1PR 294.03 1.098394815E+00 8.804838695E+00 9.218658142E-12 4.962021586E+04 2.966825973E+00 1.127636057E-06
D64BI1PR 294.03 1.098394815E+00 8.804838691E+00 9.218658077E-12 4.962021559E+04 2.966825970E+00 1.127636052E-06
D64BI2PR 294.01 1.116815131E+00 8.790199648E+00 1.280549133E-11 5.460379792E+04 3.010013816E+00 1.202464500E-06
D64BI2PR 294.01 1.116815130E+00 8.790199647E+00 1.280549109E-11 5.460379796E+04 3.010013815E+00 1.202464499E-06
D64BI3PR 293.98 1.116971958E+00 8.803785680E+00 1.273585854E-11 5.510460214E+04 3.012749366E+00 1.202979530E-06
D64BI3PR 293.98 1.116971957E+00 8.803785680E+00 1.273585831E-11 5.510460222E+04 3.012749367E+00 1.202979533E-06
D64BI4PR 293.97 1.093695007E+00 8.860478170E+00 8.268837827E-12 4.891800309E+04 2.959799146E+00 1.099726305E-06
D64BI4PR 293.97 1.093695008E+00 8.860478168E+00 8.268837896E-12 4.891800320E+04 2.959799146E+00 1.099726306E-06
D84AI1PR 295.99 8.327820491E-01 1.763691591E+01 2.968344049E-14 3.657552318E+04 3.289275674E+00 2.312512007E-06
D84AI1PR 295.99 8.327820495E-01 1.763691590E+01 2.968344075E-14 3.657552317E+04 3.289275675E+00 2.312512010E-06
D84AI2PR 295.99 8.370371630E-01 1.762721030E+01 3.346045418E-14 3.924723402E+04 3.270093400E+00 2.206032243E-06
D84AI2PR 295.99 8.370371653E-01 1.762721029E+01 3.346045641E-14 3.924723417E+04 3.270093404E+00 2.206032253E-06
D84AI3PR 295.95 8.376377064E-01 1.762299589E+01 3.372248987E-14 3.981246435E+04 3.252241189E+00 2.117848112E-06
D84AI3PR 295.95 8.376377052E-01 1.762299590E+01 3.372248881E-14 3.981246449E+04 3.252241191E+00 2.117848118E-06
D84AI4PR 295.95 8.386038256E-01 1.761907363E+01 3.459393025E-14 4.130634302E+04 3.240231962E+00 2.055214852E-06
D84AI4PR 295.95 8.386038266E-01 1.761907363E+01 3.459393122E-14 4.130634301E+04 3.240231962E+00 2.055214851E-06
D84BI1PR 296 1.000000000E+00 8.955983105E+00 3.826586372E-35 1.000000000E+20 2.614318306E+00 8.430619784E-07
D84BI1PR 296 1.000000000E+00 8.955983110E+00 1.000000000E-35 1.000000000E+20 2.614318305E+00 8.430619778E-07
D84BI2PR 295.98 1.000000000E+00 9.025414945E+00 1.000000000E-35 1.000000000E+20 2.601952885E+00 8.045792532E-07
D84BI2PR 295.98 1.000000000E+00 9.025414945E+00 7.809187816E-31 9.639953753E+19 2.601952886E+00 8.045792539E-07
D84BI3PR 295.94 1.000000000E+00 9.041108199E+00 1.000000000E-35 1.000000000E+20 2.595942230E+00 7.862348097E-07
D84BI3PR 295.94 1.000000000E+00 9.041108183E+00 1.000000000E-35 1.000000000E+20 2.595942230E+00 7.862348102E-07
D84BI4PR 295.91 1.000000000E+00 9.032883610E+00 1.000000000E-35 1.000000000E+20 2.593083491E+00 7.753357210E-07
D84BI4PR 295.91 1.000000000E+00 9.032883601E+00 1.000000000E-35 1.000000000E+20 2.593083490E+00 7.753357200E-07
D33AD33A1PR 295.96 1.000000000E+00 9.091401889E+00 5.262132361E-14 9.158475680E+19 3.633647203E+00 8.845819037E-06
D33AD33A1PR 295.96 1.000000000E+00 9.091401852E+00 5.262132240E-14 8.839939168E+19 3.633647203E+00 8.845819038E-06
D33AD33A2PR 295.9 1.000000000E+00 9.105955994E+00 5.293269176E-14 9.238658281E+19 3.634530799E+00 8.810356982E-06
D33AD33A2PR 295.9 1.000000000E+00 9.105955957E+00 5.293269045E-14 9.415743618E+19 3.634530799E+00 8.810356976E-06
D33AD33A3PR 295.84 1.000000000E+00 9.117415765E+00 5.292341360E-14 8.978172166E+19 3.635429319E+00 8.771863314E-06
D33AD33A3PR 295.84 1.000000000E+00 9.117415744E+00 5.292341262E-14 9.384374464E+19 3.635429319E+00 8.771863315E-06
D33BD33B1PR 295.86 1.000000000E+00 1.066946662E+01 2.251961135E-26 7.290494695E+03 2.083638688E+00 2.263515943E-06
D33BD33B1PR 295.86 1.000000000E+00 1.066946661E+01 1.918298879E-26 7.290494696E+03 2.083638688E+00 2.263515937E-06
D33BD33B2PR 295.9 1.000000000E+00 1.064189667E+01 1.888095040E-26 7.328201658E+03 2.088717646E+00 2.298090189E-06
D33BD33B2PR 295.9 1.000000000E+00 1.064189667E+01 1.898829857E-26 7.328201637E+03 2.088717646E+00 2.298090186E-06
D33BD33B3PR 295.9 1.000000000E+00 1.063362616E+01 1.875665675E-26 7.313472029E+03 2.090589799E+00 2.289707998E-06
D33BD33B3PR 295.9 1.000000000E+00 1.063362613E+01 1.865018876E-26 7.313472063E+03 2.090589802E+00 2.289708015E-06
D35D351PR 295.83 1.380500119E+00 4.822445661E+01 2.016090445E-10 8.149759942E+19 3.677153576E+00 4.157515487E-06
D35D351PR 295.83 1.380500117E+00 4.822445659E+01 2.016090400E-10 8.258899190E+19 3.677153576E+00 4.157515487E-06
D35D352PR 295.85 1.451232902E+00 4.734143814E+01 4.032263947E-10 6.285492355E+19 3.722666949E+00 4.270928900E-06
D35D352PR 295.85 1.451232892E+00 4.734143832E+01 4.032263593E-10 6.289881327E+19 3.722666946E+00 4.270928895E-06
D35D353PR 295.86 1.383725571E+00 4.809562687E+01 2.049514445E-10 8.667874545E+19 3.698614806E+00 4.211182492E-06
D35D353PR 295.86 1.383725569E+00 4.809562688E+01 2.049514414E-10 8.730932641E+19 3.698614806E+00 4.211182491E-06
D34D341PR 296.03 1.000000000E+00 7.815978024E+01 1.000000000E-35 2.205169053E+04 2.863164920E+00 2.707009306E-06
D34D341PR 296.03 1.000000000E+00 7.815978017E+01 1.000000000E-35 2.205169054E+04 2.863164921E+00 2.707009311E-06
D34D342PR 295.92 1.000000000E+00 7.943320030E+01 2.116848844E-35 2.064803862E+04 2.831477902E+00 2.558174735E-06
D34D342PR 295.92 1.000000000E+00 7.943320042E+01 1.000000000E-35 2.064803860E+04 2.831477900E+00 2.558174730E-06
D34D343PR 295.88 1.000000000E+00 7.860018370E+01 1.095280445E-35 2.198498589E+04 2.861875495E+00 2.684985688E-06
D34D343PR 295.88 1.000000000E+00 7.860018375E+01 1.000000000E-35 2.198498585E+04 2.861875495E+00 2.684985685E-06
D43SIV1PR 297.01 1.000000000E+00 5.052312415E+00 6.696144815E-13 1.226077246E+04 2.603173282E+00 3.686291788E-06
D43SIV1PR 297.01 1.000000000E+00 5.052312421E+00 6.696144930E-13 1.226077246E+04 2.603173282E+00 3.686291788E-06
D43SIV2PR 297 1.000000000E+00 5.078344997E+00 7.375533243E-13 1.227013559E+04 2.607122677E+00 3.690051213E-06
D43SIV2PR 297 1.000000000E+00 5.078345002E+00 7.375533331E-13 1.227013559E+04 2.607122676E+00 3.690051208E-06
D43SIV3PR 297 1.000000000E+00 5.107971411E+00 8.097447280E-13 1.219148094E+04 2.609597432E+00 3.680068375E-06
D43SIV3PR 297 1.000000000E+00 5.107971385E+00 8.097446717E-13 1.219148092E+04 2.609597432E+00 3.680068373E-06
D43BIV1PR 296.95 1.000000000E+00 2.252108621E+01 9.547523074E-13 1.135638343E+05 2.925335465E+00 5.829880168E-06
D43BIV1PR 296.95 1.000000000E+00 2.252108617E+01 9.547522466E-13 1.135638360E+05 2.925335466E+00 5.829880177E-06
D43BIV2PR 296.94 1.000000000E+00 2.247899544E+01 9.484470276E-13 1.142180197E+05 2.922525415E+00 5.774425063E-06
D43BIV2PR 296.94 1.000000000E+00 2.247899544E+01 9.484470220E-13 1.142180173E+05 2.922525415E+00 5.774425061E-06
D43BIV3PR 296.92 1.000000000E+00 2.247025775E+01 9.424666108E-13 1.009692371E+05 2.916998137E+00 5.689793682E-06
D43BIV3PR 296.92 1.000000000E+00 2.247025780E+01 9.424666567E-13 1.009692390E+05 2.916998138E+00 5.689793693E-06
D51AI1PR 296.04 1.123326841E+00 4.517319685E+00 6.624372821E-12 1.000000000E+20 3.121923621E+00 4.482157445E-06
D51AI1PR 296.04 1.123326844E+00 4.517319687E+00 6.624373188E-12 9.833270641E+19 3.121923622E+00 4.482157447E-06
D51AI2PR 296.09 1.110786953E+00 4.521169723E+00 5.165497062E-12 1.000000000E+20 3.114858322E+00 4.445279529E-06
D51AI2PR 296.09 1.110786948E+00 4.521169737E+00 5.165496587E-12 9.708694116E+19 3.114858320E+00 4.445279518E-06
D51AI3PR 296.09 1.113924890E+00 4.509575528E+00 5.382453984E-12 1.000000000E+20 3.116830965E+00 4.455169820E-06
D51AI3PR 296.09 1.113924895E+00 4.509575510E+00 5.382454492E-12 9.502675906E+19 3.116830966E+00 4.455169825E-06
D51BI1PR 295.83 1.078983686E+00 7.594085016E+00 3.669914861E-12 1.072489994E+05 2.959820391E+00 2.800558003E-06
D51BI1PR 295.83 1.078983686E+00 7.594085012E+00 3.669914801E-12 1.072489973E+05 2.959820389E+00 2.800557994E-06
D51BI2PR 295.82 1.064953253E+00 7.622401060E+00 2.779651803E-12 1.043650414E+05 2.954027653E+00 2.775955777E-06
D51BI2PR 295.82 1.064953253E+00 7.622401054E+00 2.779651792E-12 1.043650412E+05 2.954027653E+00 2.775955777E-06
D51BI3PR 295.81 1.039683053E+00 7.669708607E+00 1.654833856E-12 8.584353379E+04 2.935570994E+00 2.684745578E-06
D51BI3PR 295.81 1.039683053E+00 7.669708607E+00 1.654833844E-12 8.584353312E+04 2.935570993E+00 2.684745575E-06
D51CI1PR 295.92 1.093429999E+00 8.873243692E+00 5.299410469E-11 2.175459419E+04 4.098918325E+00 2.250852555E-05
D51CI1PR 295.92 1.093430015E+00 8.873243655E+00 5.299411849E-11 2.175459579E+04 4.098918353E+00 2.250852603E-05
D51CI2PR 295.92 1.086547608E+00 8.873915250E+00 4.655265285E-11 1.995918869E+04 4.102835827E+00 2.251047736E-05
D51CI2PR 295.92 1.086547614E+00 8.873915236E+00 4.655265808E-11 1.995918871E+04 4.102835840E+00 2.251047752E-05
D51CI3PR 295.91 1.082245307E+00 8.874793003E+00 4.280088980E-11 1.667012018E+04 4.087671202E+00 2.213106929E-05
D51CI3PR 295.91 1.082245295E+00 8.874793027E+00 4.280088108E-11 1.667011943E+04 4.087671179E+00 2.213106892E-05
D51DI1PR 295.99 1.000000000E+00 9.694540757E+00 3.183439797E-10 1.000000000E+20 3.476804604E+00 2.418112685E-04
D51DI1PR 295.99 1.000000000E+00 9.694540757E+00 3.183439812E-10 4.391276878E+19 3.476804605E+00 2.418112688E-04
D51DI2PR 296.02 1.000000000E+00 9.701046231E+00 3.164083156E-10 1.000000000E+20 3.475747698E+00 2.405430011E-04
D51DI2PR 296.02 1.000000000E+00 9.701046238E+00 3.164083274E-10 2.204558821E+19 3.475747698E+00 2.405430011E-04
D51DI3PR 296.03 1.000000000E+00 9.696833483E+00 3.122599226E-10 1.000000000E+20 3.478867691E+00 2.404406409E-04
D51DI3PR 296.03 1.000000000E+00 9.696833483E+00 3.122599185E-10 1.000000000E+20 3.478867691E+00 2.404406411E-04
D73AI1PR 292.05 5.315729829E-01 1.678728354E+01 8.860335489E-21 8.571443421E+05 3.503748363E+00 3.593304668E-06
D73AI1PR 292.05 5.315729823E-01 1.678728360E+01 8.860335335E-21 8.571443661E+05 3.503748363E+00 3.593304666E-06
D73AI2PR 292.07 5.164280924E-01 1.686346683E+01 2.811169344E-21 2.425253555E+05 3.466924888E+00 3.419918333E-06
D73AI2PR 292.07 5.164280939E-01 1.686346680E+01 2.811169659E-21 2.425253456E+05 3.466924887E+00 3.419918326E-06
D73AI3PR 292.06 5.215985901E-01 1.680283471E+01 4.153915734E-21 3.304629895E+05 3.478065069E+00 3.472567467E-06
D73AI3PR 292.06 5.215985909E-01 1.680283470E+01 4.153915979E-21 3.304630178E+05 3.478065072E+00 3.472567488E-06
D73AI4PR 292.06 5.139090487E-01 1.686199147E+01 2.286716310E-21 2.206005025E+05 3.459835257E+00 3.381519981E-06
D73AI4PR 292.06 5.139090505E-01 1.686199145E+01 2.286716636E-21 2.206005091E+05 3.459835259E+00 3.381519990E-06
D73BI1PR 291.76 8.606654953E-01 1.704057593E+01 3.082736437E-14 1.057822695E+05 2.454935225E+00 3.407316196E-07
D73BI1PR 291.76 8.606654927E-01 1.704057595E+01 3.082736215E-14 1.057822690E+05 2.454935224E+00 3.407316182E-07
D73BI2PR 291.76 8.755227108E-01 1.708779509E+01 4.593540004E-14 1.117858641E+05 2.467390539E+00 3.444588084E-07
D73BI2PR 291.76 8.755227093E-01 1.708779511E+01 4.593539833E-14 1.117858637E+05 2.467390537E+00 3.444588073E-07
D73BI3PR 291.76 8.655176149E-01 1.719802649E+01 3.351049262E-14 1.056656575E+05 2.453179001E+00 3.266973500E-07
D73BI3PR 291.76 8.655176138E-01 1.719802651E+01 3.351049181E-14 1.056656577E+05 2.453179002E+00 3.266973512E-07
D73BI4PR 291.75 8.751524452E-01 1.725763231E+01 4.322370030E-14 1.047131827E+05 2.447612515E+00 3.152392412E-07
D73BI4PR 291.75 8.751524471E-01 1.725763229E+01 4.322370230E-14 1.047131829E+05 2.447612516E+00 3.152392420E-07
D73CI1PR 291.8 1.000000000E+00 8.790063803E+01 5.638884928E-25 2.197397685E+05 1.437349720E+00 3.396540321E-07
D73CI1PR 291.8 1.000000000E+00 8.790063800E+01 5.638796554E-25 2.197397700E+05 1.437349721E+00 3.396540331E-07
D73CI2PR 291.8 1.000000000E+00 8.662198177E+01 5.101288440E-25 1.353366745E+06 1.471461021E+00 3.924148260E-07
D73CI2PR 291.8 1.000000000E+00 8.662198173E+01 5.158677158E-25 1.353366633E+06 1.471461021E+00 3.924148248E-07
D73CI3PR 291.8 1.000000000E+00 8.644590275E+01 4.974900836E-25 2.325422511E+06 1.474196607E+00 3.960025445E-07
D73CI3PR 291.8 1.000000000E+00 8.644590273E+01 2.501674426E-24 2.325422736E+06 1.474196607E+00 3.960025453E-07
D73CI4PR 291.8 1.000000000E+00 8.642139582E+01 2.456028361E-24 4.116567755E+06 1.475358357E+00 3.979731546E-07
D73CI4PR 291.8 1.000000000E+00 8.642139583E+01 5.061297441E-25 4.116567242E+06 1.475358356E+00 3.979731532E-07
D82AI1PR 296 7.199057820E-01 1.466177384E+01 7.039689078E-16 5.227438710E+04 3.067910927E+00 2.014603775E-06
D82AI1PR 296 7.199057837E-01 1.466177383E+01 7.039689555E-16 5.227438698E+04 3.067910927E+00 2.014603775E-06
D82AI2PR 296.06 7.173080559E-01 1.468701128E+01 6.401165647E-16 5.198863086E+04 3.065270060E+00 2.011554671E-06
D82AI2PR 296.06 7.173080543E-01 1.468701128E+01 6.401165199E-16 5.198863067E+04 3.065270059E+00 2.011554665E-06
D82AI3PR 296.09 7.168354555E-01 1.467360123E+01 6.316080543E-16 5.250853134E+04 3.064663513E+00 2.011507442E-06
