Model MSEav MSEstd MREav MREstd R2av R2std
Xg1p360e15MbPp 3.232874e-02 6.592226e-03 1.935277e-01 1.002291e-02 9.428792e-01 1.860830e-02
1p360e15MbPp 5.310025e-02 1.675078e-02 2.767526e-01 4.628976e-02 9.221194e-01 4.445849e-02
Sv1p360e15MbPp 4.013868e-02 1.415052e-02 2.103849e-01 5.135336e-02 9.481082e-01 1.668416e-02
Rf1p360e15NNCp 1.915885e-01 9.974745e-02 5.894992e-01 2.714411e-01 8.105258e-01 1.378689e-01
Gb1p360e15NNCp 1.858083e-01 4.890203e-02 6.391129e-01 1.677240e-01 8.033515e-01 4.870670e-02
Xg1p360e15NNCp 4.137949e-02 1.153921e-02 2.506809e-01 4.438444e-02 5.549118e-01 2.403283e-01
1p360e15NNCp 1.244617e-02 3.028876e-03 1.209154e-01 1.547937e-02 9.769193e-01 1.333913e-02
Sv1p360e15NNCp 2.129748e-02 1.465030e-02 1.556360e-01 6.519686e-02 9.823487e-01 6.418487e-03
Gb1p360e15YOflp 5.887258e-01 1.775202e-01 1.665387e+00 7.107649e-01 1.428691e-01 9.700172e-02
Sv1p360e15RsC 4.445971e-01 9.674756e-02 1.300018e+00 3.803993e-01 -2.788984e+01 3.300625e+01
Rf1p360e15EfC 5.506526e-02 1.301137e-02 2.870831e-01 4.924769e-02 8.941058e-01 3.342195e-02
Gb1p360e15EfC 5.581774e-02 1.894181e-02 2.865861e-01 5.157576e-02 9.064905e-01 2.658461e-02
Rf1p360e15EfP 4.734196e-02 2.363169e-02 2.626900e-01 9.260986e-02 9.065896e-01 3.685249e-02
Gb1p360e15EfP 5.589584e-02 2.620058e-02 2.628792e-01 6.590335e-02 8.733040e-01 8.227611e-02
Rf1p360e15MbC 6.255287e-02 3.694081e-02 3.052903e-01 1.405499e-01 8.974086e-01 2.001005e-02
Gb1p360e15MbC 5.324999e-02 1.324451e-02 2.747490e-01 4.317671e-02 9.012382e-01 4.525672e-02
Rf1p360e15MbP 6.386689e-02 2.050228e-02 3.039179e-01 7.819014e-02 8.684593e-01 4.200368e-02
Gb1p360e15MbP 5.936454e-02 2.200110e-02 2.867445e-01 6.420989e-02 8.598700e-01 5.109818e-02
Rf1p360e15NNC 9.320143e-02 6.973392e-02 4.322890e-01 3.343242e-01 9.081089e-01 5.278557e-02
Gb1p360e15NNC 9.174596e-02 6.775258e-02 3.710933e-01 3.063713e-01 9.093753e-01 8.427638e-02
Rf1p360e15NNP 2.461466e-02 9.298944e-03 1.730147e-01 3.954179e-02 9.489521e-01 1.449281e-02
Gb1p360e15NNP 3.233981e-02 1.842763e-02 2.069597e-01 7.088753e-02 9.507522e-01 1.067035e-02
Rf1p360e15RsC 2.203885e-01 5.350939e-02 6.574381e-01 2.169851e-01 6.700335e-01 1.364049e-01
Gb1p360e15RsC 2.541447e-01 1.089121e-01 8.018707e-01 3.287179e-01 6.820811e-01 1.721917e-01
Rf1p360e15RsP 4.736399e-02 2.511451e-02 2.463686e-01 9.897915e-02 8.921624e-01 3.791392e-02
Gb1p360e15RsP 5.111224e-02 2.443393e-02 2.681111e-01 9.099076e-02 8.914877e-01 7.347752e-02
Rf1p360e15XcC 1.086888e-01 2.098277e-02 3.831054e-01 7.896483e-02 7.748895e-01 6.643779e-02
Gb1p360e15XcC 8.908822e-02 2.617909e-02 3.611429e-01 5.564175e-02 7.906747e-01 7.261249e-02
Rf1p360e15XcP 6.596060e-02 2.659308e-02 3.049827e-01 7.344841e-02 8.424423e-01 8.354131e-02
Gb1p360e15XcP 4.525557e-02 8.636010e-03 2.372807e-01 2.958819e-02 8.845561e-01 1.441854e-02
Rf1p360e15YOL 3.539312e-01 2.078500e-01 1.124074e+00 9.796203e-01 5.667739e-01 2.060811e-01
Gb1p360e15YOL 2.327632e-01 7.520419e-02 7.385735e-01 1.945356e-01 5.766002e-01 1.138677e-01
Rf1p360e15YOL2 1.989076e-01 6.788639e-02 6.461461e-01 1.745764e-01 6.164575e-01 1.485406e-01
Gb1p360e15YOL2 1.900509e-01 5.566753e-02 6.265754e-01 1.990200e-01 6.690041e-01 1.299508e-01
Rf1p360e15EfPp 3.739559e-02 7.297515e-03 2.283231e-01 3.224119e-02 8.687105e-01 4.801731e-02
Gb1p360e15EfPp 2.610852e-02 2.533289e-03 1.952169e-01 1.247881e-02 9.137165e-01 5.220316e-02
Rf1p360e15YOfl2p 1.610321e-01 7.718846e-02 6.154996e-01 2.805090e-01 7.160889e-01 3.431090e-02
Gb1p360e15YOfl2p 1.262563e-01 5.346698e-02 5.090753e-01 1.495173e-01 7.751411e-01 6.856405e-02
Rf1p360e15YOflp 4.384586e-01 1.305004e-01 1.271481e+00 5.036504e-01 4.530558e-01 1.848267e-01
Gb1p360e15YOflp 3.461749e-01 8.532041e-02 9.661725e-01 3.922403e-01 4.057886e-01 1.696775e-01
Rf1p360e15MbPp 1.030098e-01 2.754461e-02 3.936614e-01 7.354155e-02 8.030071e-01 7.782860e-02
Gb1p360e15MbPp 1.002821e-01 3.620261e-02 3.959366e-01 8.906543e-02 8.699956e-01 4.265414e-02
Rf1p360e15NNCp 1.360210e-01 6.192397e-02 5.091356e-01 1.823010e-01 8.569855e-01 2.661157e-02
Gb1p360e15NNCp 1.072855e-01 3.378882e-02 4.204803e-01 1.298630e-01 8.935271e-01 4.097562e-02
