X GeCrNph200 GeCrNph300 GeCrNph400 OrCrNph200 OrCrNph300 OrCrNph400 OrCrNph500 OrCrNph600 OrCrNph700 OrCrNph750 OsCrNph200 OsCrNph300 OsCrNph400 OsCrNph500 OsCrNph600 OsCrNph700
4.76000E+2 4.62243E+13 1.31320E+14 2.23652E+14 0.00000E+0 3.79891E+12 8.50305E+13 1.78219E+14 2.78956E+14 3.70677E+14 4.16405E+14 2.92494E+13 6.84423E+13 1.08434E+14 2.02280E+14 3.04537E+14 3.97954E+14
4.77000E+2 4.93828E+13 1.36161E+14 2.30188E+14 0.00000E+0 7.20579E+12 8.82461E+13 1.81044E+14 2.81264E+14 3.75364E+14 4.22276E+14 3.23945E+13 7.24145E+13 1.13209E+14 2.07941E+14 3.11044E+14 4.08397E+14
4.78000E+2 5.26352E+13 1.40216E+14 2.34949E+14 0.00000E+0 6.37951E+12 8.84671E+13 1.82510E+14 2.84101E+14 3.79260E+14 4.26700E+14 3.46093E+13 7.62003E+13 1.18581E+14 2.13474E+14 3.16589E+14 4.16806E+14
4.79000E+2 5.57629E+13 1.45179E+14 2.41780E+14 0.00000E+0 1.36079E+13 9.48544E+13 1.87568E+14 2.87521E+14 3.81657E+14 4.28591E+14 3.64960E+13 8.03766E+13 1.25090E+14 2.19881E+14 3.22676E+14 4.24726E+14
4.80000E+2 5.90246E+13 1.48988E+14 2.46010E+14 0.00000E+0 1.66946E+13 9.77862E+13 1.90166E+14 2.89675E+14 3.85356E+14 4.33058E+14 3.77360E+13 8.29573E+13 1.29035E+14 2.24847E+14 3.28667E+14 4.32425E+14
4.81000E+2 6.19772E+13 1.52307E+14 2.49565E+14 0.00000E+0 2.04846E+13 1.01204E+14 1.92966E+14 2.91702E+14 3.88813E+14 4.37227E+14 3.83208E+13 8.43386E+13 1.31229E+14 2.27976E+14 3.32779E+14 4.37462E+14
4.82000E+2 6.42616E+13 1.56215E+14 2.55154E+14 0.00000E+0 2.32188E+13 1.04133E+14 1.95981E+14 2.94735E+14 3.93454E+14 4.42669E+14 3.95341E+13 8.69914E+13 1.35349E+14 2.32356E+14 3.37323E+14 4.41300E+14
4.83000E+2 6.66438E+13 1.59232E+14 2.58740E+14 0.00000E+0 2.43307E+13 1.06289E+14 1.99281E+14 2.99243E+14 3.98517E+14 4.48010E+14 4.09502E+13 8.96078E+13 1.39181E+14 2.35512E+14 3.39596E+14 4.46762E+14
4.84000E+2 6.86241E+13 1.62346E+14 2.63005E+14 0.00000E+0 2.55786E+13 1.08502E+14 2.02541E+14 3.03601E+14 4.03039E+14 4.52615E+14 4.27220E+13 9.19747E+13 1.42134E+14 2.39064E+14 3.43730E+14 4.49933E+14
4.85000E+2 7.19128E+13 1.65823E+14 2.66500E+14 0.00000E+0 2.61071E+13 1.10880E+14 2.07018E+14 3.10336E+14 4.10306E+14 4.60150E+14 4.37442E+13 9.45850E+13 1.46367E+14 2.43419E+14 3.48089E+14 4.56286E+14
4.86000E+2 7.41502E+13 1.68329E+14 2.69176E+14 0.00000E+0 2.68135E+13 1.13096E+14 2.10935E+14 3.16074E+14 4.17246E+14 4.67690E+14 4.48109E+13 9.65959E+13 1.49336E+14 2.47132E+14 3.52546E+14 4.61779E+14
4.87000E+2 7.62456E+13 1.72085E+14 2.74663E+14 0.00000E+0 2.79736E+13 1.15799E+14 2.15353E+14 3.22316E+14 4.25264E+14 4.76594E+14 4.55348E+13 9.85462E+13 1.52540E+14 2.51586E+14 3.58306E+14 4.70973E+14
4.88000E+2 7.90981E+13 1.75835E+14 2.79249E+14 0.00000E+0 2.95001E+13 1.18463E+14 2.19248E+14 3.27501E+14 4.34678E+14 4.88114E+14 4.79531E+13 1.02237E+14 1.57507E+14 2.56478E+14 3.62960E+14 4.75310E+14
4.89000E+2 8.21331E+13 1.80067E+14 2.84641E+14 0.00000E+0 2.85998E+13 1.20295E+14 2.24265E+14 3.35990E+14 4.45842E+14 5.00611E+14 4.95394E+13 1.05274E+14 1.62014E+14 2.62008E+14 3.69498E+14 4.82292E+14
4.90000E+2 8.41449E+13 1.84157E+14 2.90934E+14 0.00000E+0 2.90936E+13 1.23495E+14 2.30553E+14 3.45605E+14 4.53875E+14 5.07863E+14 5.09846E+13 1.08267E+14 1.66582E+14 2.67821E+14 3.76570E+14 4.91789E+14
4.91000E+2 8.69535E+13 1.88024E+14 2.95820E+14 0.00000E+0 3.05792E+13 1.27511E+14 2.37402E+14 3.55479E+14 4.64116E+14 5.18290E+14 5.24045E+13 1.12381E+14 1.73456E+14 2.75697E+14 3.85357E+14 5.01479E+14
4.92000E+2 9.01691E+13 1.93735E+14 3.04130E+14 0.00000E+0 3.16229E+13 1.30580E+14 2.42748E+14 3.63260E+14 4.77413E+14 5.34333E+14 5.43727E+13 1.15883E+14 1.78509E+14 2.82645E+14 3.94280E+14 5.10610E+14
4.93000E+2 9.35561E+13 1.98767E+14 3.10801E+14 0.00000E+0 3.11459E+13 1.33365E+14 2.49307E+14 3.73916E+14 4.87891E+14 5.44728E+14 5.69328E+13 1.19640E+14 1.83459E+14 2.90678E+14 4.05628E+14 5.25986E+14
4.94000E+2 9.71762E+13 2.03928E+14 3.17470E+14 0.00000E+0 3.27281E+13 1.37224E+14 2.55702E+14 3.83013E+14 4.98574E+14 5.56204E+14 5.95542E+13 1.24558E+14 1.90706E+14 2.99540E+14 4.16082E+14 5.38406E+14
4.95000E+2 1.00541E+14 2.10279E+14 3.26961E+14 0.00000E+0 3.45966E+13 1.40847E+14 2.61249E+14 3.90590E+14 5.08840E+14 5.67810E+14 6.20651E+13 1.29454E+14 1.98025E+14 3.08968E+14 4.27652E+14 5.50840E+14
4.96000E+2 1.04119E+14 2.16912E+14 3.36797E+14 0.00000E+0 3.79025E+13 1.45188E+14 2.66614E+14 3.96973E+14 5.15684E+14 5.74887E+14 6.47744E+13 1.34575E+14 2.05592E+14 3.19468E+14 4.41218E+14 5.67739E+14
4.97000E+2 1.08456E+14 2.23768E+14 3.46212E+14 0.00000E+0 4.28171E+13 1.50466E+14 2.72063E+14 4.02472E+14 5.22813E+14 5.82829E+14 6.77640E+13 1.40213E+14 2.13915E+14 3.30047E+14 4.54074E+14 5.85156E+14
4.98000E+2 1.12763E+14 2.30610E+14 3.55633E+14 0.00000E+0 4.64936E+13 1.55256E+14 2.77948E+14 4.09442E+14 5.32245E+14 5.93487E+14 7.04354E+13 1.45633E+14 2.22129E+14 3.40636E+14 4.67078E+14 6.00827E+14
4.99000E+2 1.16477E+14 2.38197E+14 3.67328E+14 0.00000E+0 4.94583E+13 1.59764E+14 2.84080E+14 4.17250E+14 5.41538E+14 6.03522E+14 7.45980E+13 1.52052E+14 2.30810E+14 3.52150E+14 4.81509E+14 6.16521E+14
5.00000E+2 1.21228E+14 2.43482E+14 3.72934E+14 0.00000E+0 5.24869E+13 1.64489E+14 2.90603E+14 4.25636E+14 5.52398E+14 6.15617E+14 7.89532E+13 1.58706E+14 2.39769E+14 3.63499E+14 4.95268E+14 6.33938E+14
5.01000E+2 1.23885E+14 2.47955E+14 3.79278E+14 0.00000E+0 5.55650E+13 1.70101E+14 2.98973E+14 4.36907E+14 5.65246E+14 6.29254E+14 7.94159E+13 1.62352E+14 2.46692E+14 3.72221E+14 5.05795E+14 6.48760E+14
5.02000E+2 1.26166E+14 2.53177E+14 3.87653E+14 0.00000E+0 5.84526E+13 1.75314E+14 3.06715E+14 4.47305E+14 5.78640E+14 6.44141E+14 8.23596E+13 1.66182E+14 2.51390E+14 3.78810E+14 5.14367E+14 6.59323E+14
5.03000E+2 1.28270E+14 2.57222E+14 3.93742E+14 0.00000E+0 5.90841E+13 1.78878E+14 3.13618E+14 4.57804E+14 5.89903E+14 6.55790E+14 8.40012E+13 1.69659E+14 2.56737E+14 3.85842E+14 5.23129E+14 6.69132E+14
5.04000E+2 1.31629E+14 2.62101E+14 4.00123E+14 0.00000E+0 5.96370E+13 1.81713E+14 3.19050E+14 4.66030E+14 5.97944E+14 6.63742E+14 8.45329E+13 1.72799E+14 2.62560E+14 3.94046E+14 5.33830E+14 6.81243E+14
5.05000E+2 1.35470E+14 2.67536E+14 4.07114E+14 0.00000E+0 6.19781E+13 1.85587E+14 3.24567E+14 4.73262E+14 6.06094E+14 6.72353E+14 8.84810E+13 1.77887E+14 2.68762E+14 4.02602E+14 5.44840E+14 6.94218E+14
5.06000E+2 1.38615E+14 2.72755E+14 4.14466E+14 0.00000E+0 6.50027E+13 1.90124E+14 3.30690E+14 4.81019E+14 6.16126E+14 6.83520E+14 9.24829E+13 1.83557E+14 2.76089E+14 4.11512E+14 5.55302E+14 7.08117E+14
5.07000E+2 1.41688E+14 2.79332E+14 4.24776E+14 0.00000E+0 6.76491E+13 1.94158E+14 3.36187E+14 4.88025E+14 6.26211E+14 6.95138E+14 9.55132E+13 1.88846E+14 2.83660E+14 4.20788E+14 5.66259E+14 7.24643E+14
5.08000E+2 1.45500E+14 2.86829E+14 4.36165E+14 0.00000E+0 7.12037E+13 1.99459E+14 3.43317E+14 4.97038E+14 6.37311E+14 7.07280E+14 9.93488E+13 1.94905E+14 2.91953E+14 4.32033E+14 5.80568E+14 7.41871E+14
5.09000E+2 1.50113E+14 2.92405E+14 4.42547E+14 0.00000E+0 7.72437E+13 2.06366E+14 3.50916E+14 5.05221E+14 6.48894E+14 7.20557E+14 1.01495E+14 2.00854E+14 3.01793E+14 4.45150E+14 5.97064E+14 7.57075E+14
5.10000E+2 1.53533E+14 2.97931E+14 4.50226E+14 0.00000E+0 8.01431E+13 2.10753E+14 3.56868E+14 5.12786E+14 6.58623E+14 7.31365E+14 1.00858E+14 2.04470E+14 3.09811E+14 4.54882E+14 6.08474E+14 7.72367E+14
5.11000E+2 1.57024E+14 3.03112E+14 4.57091E+14 0.00000E+0 8.18429E+13 2.14240E+14 3.62325E+14 5.20328E+14 6.67163E+14 7.40405E+14 1.02885E+14 2.08688E+14 3.16259E+14 4.63028E+14 6.18329E+14 7.86581E+14
5.12000E+2 1.59975E+14 3.07910E+14 4.63778E+14 0.00000E+0 8.61480E+13 2.19738E+14 3.68977E+14 5.28111E+14 6.75512E+14 7.49039E+14 1.06161E+14 2.13651E+14 3.22908E+14 4.72232E+14 6.30199E+14 7.98387E+14
5.13000E+2 1.63435E+14 3.12982E+14 4.70449E+14 0.00000E+0 8.99743E+13 2.25003E+14 3.75704E+14 5.36315E+14 6.83299E+14 7.56623E+14 1.08973E+14 2.18396E+14 3.29604E+14 4.81340E+14 6.41813E+14 8.09440E+14
5.14000E+2 1.68513E+14 3.18868E+14 4.76942E+14 0.00000E+0 9.17711E+13 2.28446E+14 3.80950E+14 5.43463E+14 6.92940E+14 7.67507E+14 1.11655E+14 2.23299E+14 3.36757E+14 4.90169E+14 6.52303E+14 8.22565E+14
5.15000E+2 1.70755E+14 3.25752E+14 4.88877E+14 0.00000E+0 9.45849E+13 2.32600E+14 3.86503E+14 5.50453E+14 7.03165E+14 7.79344E+14 1.14495E+14 2.28493E+14 3.44335E+14 4.99662E+14 6.63715E+14 8.38250E+14
5.16000E+2 1.73426E+14 3.31421E+14 4.97739E+14 0.00000E+0 1.02039E+14 2.40579E+14 3.94710E+14 5.58704E+14 7.13781E+14 7.91138E+14 1.17104E+14 2.32854E+14 3.50463E+14 5.08726E+14 6.75891E+14 8.53683E+14
5.17000E+2 1.77520E+14 3.37541E+14 5.05884E+14 0.00000E+0 1.10254E+14 2.49646E+14 4.04344E+14 5.68726E+14 7.24887E+14 8.02788E+14 1.20307E+14 2.38055E+14 3.57675E+14 5.18331E+14 6.87963E+14 8.66493E+14
5.18000E+2 1.81573E+14 3.43758E+14 5.14280E+14 0.00000E+0 1.12564E+14 2.54520E+14 4.12049E+14 5.79431E+14 7.35800E+14 8.13809E+14 1.23688E+14 2.43528E+14 3.65253E+14 5.27869E+14 6.99470E+14 8.78299E+14
5.19000E+2 1.85076E+14 3.49070E+14 5.21407E+14 1.64929E+11 1.16614E+14 2.60137E+14 4.19263E+14 5.88263E+14 7.47329E+14 8.26684E+14 1.26477E+14 2.48321E+14 3.72070E+14 5.36669E+14 7.10288E+14 8.91892E+14
5.20000E+2 1.89055E+14 3.55630E+14 5.30618E+14 3.44192E+12 1.21310E+14 2.66176E+14 4.26610E+14 5.96897E+14 7.58746E+14 8.39488E+14 1.28657E+14 2.52539E+14 3.78356E+14 5.45167E+14 7.21078E+14 9.06363E+14
5.21000E+2 1.92452E+14 3.61523E+14 5.39099E+14 4.80382E+12 1.24295E+14 2.70995E+14 4.33387E+14 6.05710E+14 7.69980E+14 8.51931E+14 1.31065E+14 2.56919E+14 3.84732E+14 5.54123E+14 7.32739E+14 9.18708E+14
5.22000E+2 1.96226E+14 3.67308E+14 5.46911E+14 5.56476E+12 1.26748E+14 2.75438E+14 4.39995E+14 6.14595E+14 7.81621E+14 8.64946E+14 1.34298E+14 2.61765E+14 3.91192E+14 5.63066E+14 7.44273E+14 9.32938E+14
5.23000E+2 2.00473E+14 3.73920E+14 5.55915E+14 7.56487E+12 1.30927E+14 2.82056E+14 4.49208E+14 6.26499E+14 7.93393E+14 8.76657E+14 1.37230E+14 2.66756E+14 3.98261E+14 5.72574E+14 7.56307E+14 9.47403E+14
5.24000E+2 2.04420E+14 3.80928E+14 5.66111E+14 1.24368E+13 1.37627E+14 2.90409E+14 4.59123E+14 6.37922E+14 8.06156E+14 8.90093E+14 1.39523E+14 2.71691E+14 4.05887E+14 5.82555E+14 7.68698E+14 9.61355E+14
5.25000E+2 2.09303E+14 3.87729E+14 5.74769E+14 1.80920E+13 1.44735E+14 2.98608E+14 4.68220E+14 6.47795E+14 8.20275E+14 9.06326E+14 1.42088E+14 2.76824E+14 4.13630E+14 5.92219E+14 7.80281E+14 9.76089E+14
5.26000E+2 2.13975E+14 3.94376E+14 5.83350E+14 2.18828E+13 1.50040E+14 3.05312E+14 4.76266E+14 6.57148E+14 8.33554E+14 9.21562E+14 1.45322E+14 2.82394E+14 4.21560E+14 6.01640E+14 7.91131E+14 9.90411E+14
5.27000E+2 2.17983E+14 4.01630E+14 5.93994E+14 2.52408E+13 1.54639E+14 3.11025E+14 4.83029E+14 6.64921E+14 8.42163E+14 9.30591E+14 1.48241E+14 2.87621E+14 4.29123E+14 6.11495E+14 8.03329E+14 1.00507E+15
5.28000E+2 2.22151E+14 4.09498E+14 6.05751E+14 2.78486E+13 1.58841E+14 3.16870E+14 4.90551E+14 6.74144E+14 8.51886E+14 9.40566E+14 1.50784E+14 2.92731E+14 4.36841E+14 6.21625E+14 8.15932E+14 1.01986E+15
5.29000E+2 2.27076E+14 4.16559E+14 6.14908E+14 3.25289E+13 1.65045E+14 3.24375E+14 4.99239E+14 6.83943E+14 8.63871E+14 9.53643E+14 1.53658E+14 2.98323E+14 4.45194E+14 6.31767E+14 8.27825E+14 1.03449E+15
5.30000E+2 2.32129E+14 4.23976E+14 6.24672E+14 4.20723E+13 1.75121E+14 3.33928E+14 5.07685E+14 6.90914E+14 8.73987E+14 9.65325E+14 1.57053E+14 3.04084E+14 4.53342E+14 6.42532E+14 8.41281E+14 1.05038E+15
5.31000E+2 2.36779E+14 4.31926E+14 6.36035E+14 5.06533E+13 1.84227E+14 3.42621E+14 5.15446E+14 6.97417E+14 8.83062E+14 9.75682E+14 1.60255E+14 3.09792E+14 4.61585E+14 6.53449E+14 8.54949E+14 1.06738E+15
5.32000E+2 2.40952E+14 4.39564E+14 6.47301E+14 5.69713E+13 1.91171E+14 3.49557E+14 5.22024E+14 7.03417E+14 8.90812E+14 9.84305E+14 1.63141E+14 3.15424E+14 4.70006E+14 6.64197E+14 8.68052E+14 1.08432E+15
5.33000E+2 2.44867E+14 4.47050E+14 6.58546E+14 6.13216E+13 1.96247E+14 3.54991E+14 5.27614E+14 7.09037E+14 8.98163E+14 9.92520E+14 1.66191E+14 3.21115E+14 4.78374E+14 6.74734E+14 8.80768E+14 1.10039E+15
5.34000E+2 2.49456E+14 4.54291E+14 6.68480E+14 6.32270E+13 1.99395E+14 3.59435E+14 5.33388E+14 7.16166E+14 9.07885E+14 1.00353E+15 1.69663E+14 3.26921E+14 4.86534E+14 6.84814E+14 8.92753E+14 1.11609E+15
5.35000E+2 2.54271E+14 4.61296E+14 6.77650E+14 6.72405E+13 2.04443E+14 3.65263E+14 5.39860E+14 7.23195E+14 9.17361E+14 1.01423E+15 1.72913E+14 3.32165E+14 4.93782E+14 6.94441E+14 9.04830E+14 1.13146E+15
5.36000E+2 2.57981E+14 4.68140E+14 6.87777E+14 7.22919E+13 2.10370E+14 3.71645E+14 5.46466E+14 7.29883E+14 9.25731E+14 1.02344E+15 1.75747E+14 3.36859E+14 5.00350E+14 7.03807E+14 9.17140E+14 1.14636E+15
5.37000E+2 2.61807E+14 4.74378E+14 6.96485E+14 7.31220E+13 2.12704E+14 3.75730E+14 5.52448E+14 7.37852E+14 9.34455E+14 1.03254E+15 1.78580E+14 3.41697E+14 5.07214E+14 7.13022E+14 9.28785E+14 1.16033E+15
5.38000E+2 2.65288E+14 4.79637E+14 7.03527E+14 7.20341E+13 2.13566E+14 3.79130E+14 5.58722E+14 7.47214E+14 9.42465E+14 1.03988E+15 1.81334E+14 3.46517E+14 5.14121E+14 7.21595E+14 9.39017E+14 1.17171E+15
5.39000E+2 2.67852E+14 4.84284E+14 7.10351E+14 7.33530E+13 2.16469E+14 3.83822E+14 5.65325E+14 7.55804E+14 9.51269E+14 1.04880E+15 1.83776E+14 3.50915E+14 5.20501E+14 7.29158E+14 9.47712E+14 1.18186E+15
5.40000E+2 2.70986E+14 4.89604E+14 7.17928E+14 7.80962E+13 2.22141E+14 3.90054E+14 5.71915E+14 7.62626E+14 9.62694E+14 1.06252E+15 1.85742E+14 3.54733E+14 5.26198E+14 7.36002E+14 9.55668E+14 1.19214E+15
5.41000E+2 2.74157E+14 4.95036E+14 7.25700E+14 7.93547E+13 2.25158E+14 3.95082E+14 5.79104E+14 7.72071E+14 9.74353E+14 1.07528E+15 1.87342E+14 3.58349E+14 5.31869E+14 7.43192E+14 9.64388E+14 1.20118E+15
5.42000E+2 2.77070E+14 4.99899E+14 7.32572E+14 7.83329E+13 2.26268E+14 3.98947E+14 5.86080E+14 7.82383E+14 9.85725E+14 1.08718E+15 1.89170E+14 3.62263E+14 5.37907E+14 7.50809E+14 9.73593E+14 1.21180E+15
5.43000E+2 2.80638E+14 5.04503E+14 7.38124E+14 7.86596E+13 2.28276E+14 4.02986E+14 5.92353E+14 7.91020E+14 9.97551E+14 1.10060E+15 1.91391E+14 3.66491E+14 5.44172E+14 7.58642E+14 9.82995E+14 1.22433E+15
5.44000E+2 2.84198E+14 5.09415E+14 7.44336E+14 7.76863E+13 2.29595E+14 4.07252E+14 5.99940E+14 8.02163E+14 1.01002E+15 1.11374E+15 1.93607E+14 3.70623E+14 5.50247E+14 7.66753E+14 9.93206E+14 1.23514E+15
5.45000E+2 2.87673E+14 5.14875E+14 7.51812E+14 7.71910E+13 2.31546E+14 4.12280E+14 6.08407E+14 8.14298E+14 1.02346E+15 1.12782E+15 1.96410E+14 3.75289E+14 5.56790E+14 7.75674E+14 1.00460E+15 1.24781E+15
5.46000E+2 2.91842E+14 5.20776E+14 7.59404E+14 7.91600E+13 2.35397E+14 4.18206E+14 6.16526E+14 8.24685E+14 1.03774E+15 1.14405E+15 1.99608E+14 3.80510E+14 5.64047E+14 7.85182E+14 1.01641E+15 1.26365E+15
5.47000E+2 2.96051E+14 5.27147E+14 7.67942E+14 7.94853E+13 2.37987E+14 4.23549E+14 6.24903E+14 8.36274E+14 1.05167E+15 1.15914E+15 2.02317E+14 3.85661E+14 5.71676E+14 7.94622E+14 1.02765E+15 1.27965E+15
5.48000E+2 3.00052E+14 5.33837E+14 7.77402E+14 7.94733E+13 2.40442E+14 4.29047E+14 6.33775E+14 8.48730E+14 1.06639E+15 1.17500E+15 2.05496E+14 3.91427E+14 5.80061E+14 8.05324E+14 1.04070E+15 1.29515E+15
5.49000E+2 3.04303E+14 5.40569E+14 7.86657E+14 8.22469E+13 2.45288E+14 4.36104E+14 6.43130E+14 8.60440E+14 1.08315E+15 1.19427E+15 2.09184E+14 3.97511E+14 5.88559E+14 8.16617E+14 1.05487E+15 1.30970E+15
5.50000E+2 3.08746E+14 5.47329E+14 7.95746E+14 8.45155E+13 2.49956E+14 4.43451E+14 6.53321E+14 8.73580E+14 1.09892E+15 1.21135E+15 2.12420E+14 4.02891E+14 5.96101E+14 8.26541E+14 1.06724E+15 1.32338E+15
5.51000E+2 3.13262E+14 5.54590E+14 8.05806E+14 8.51691E+13 2.53472E+14 4.50414E+14 6.64071E+14 8.88331E+14 1.11444E+15 1.22726E+15 2.15885E+14 4.09012E+14 6.04908E+14 8.38076E+14 1.08157E+15 1.34000E+15
5.52000E+2 3.17855E+14 5.62939E+14 8.18082E+14 8.57495E+13 2.56900E+14 4.57279E+14 6.74715E+14 9.02971E+14 1.13285E+15 1.24755E+15 2.19784E+14 4.16046E+14 6.15116E+14 8.51410E+14 1.09810E+15 1.35987E+15
5.53000E+2 3.22759E+14 5.71612E+14 8.30680E+14 8.69305E+13 2.60884E+14 4.64574E+14 6.85615E+14 9.17663E+14 1.15140E+15 1.26804E+15 2.23531E+14 4.22527E+14 6.24357E+14 8.63323E+14 1.11273E+15 1.37935E+15
5.54000E+2 3.28005E+14 5.79935E+14 8.42131E+14 8.91787E+13 2.65809E+14 4.72520E+14 6.96787E+14 9.32191E+14 1.16839E+15 1.28626E+15 2.27481E+14 4.29065E+14 6.33505E+14 8.75375E+14 1.12777E+15 1.39877E+15
5.55000E+2 3.33314E+14 5.87989E+14 8.52942E+14 9.28133E+13 2.71746E+14 4.80847E+14 7.07562E+14 9.45452E+14 1.18526E+15 1.30492E+15 2.31834E+14 4.36257E+14 6.43557E+14 8.88893E+14 1.14487E+15 1.41842E+15
5.56000E+2 3.38817E+14 5.96654E+14 8.64817E+14 9.64104E+13 2.77679E+14 4.89215E+14 7.18431E+14 9.58866E+14 1.20221E+15 1.32364E+15 2.36246E+14 4.43821E+14 6.54303E+14 9.02969E+14 1.16236E+15 1.43734E+15
5.57000E+2 3.44540E+14 6.06338E+14 8.78588E+14 9.89941E+13 2.82968E+14 4.97518E+14 7.29934E+14 9.73686E+14 1.21901E+15 1.34143E+15 2.40793E+14 4.51722E+14 6.65593E+14 9.17511E+14 1.18021E+15 1.45866E+15
5.58000E+2 3.50052E+14 6.15967E+14 8.92495E+14 1.02437E+14 2.88920E+14 5.06137E+14 7.41319E+14 9.87903E+14 1.23552E+15 1.35908E+15 2.45542E+14 4.59822E+14 6.77076E+14 9.32435E+14 1.19864E+15 1.48336E+15
5.59000E+2 3.56165E+14 6.25243E+14 9.04946E+14 1.08090E+14 2.96277E+14 5.14897E+14 7.51323E+14 9.99050E+14 1.24961E+15 1.37464E+15 2.50217E+14 4.67623E+14 6.88029E+14 9.47031E+14 1.21699E+15 1.50549E+15
5.60000E+2 3.63594E+14 6.34554E+14 9.15925E+14 1.16167E+14 3.04935E+14 5.23274E+14 7.58941E+14 1.00561E+15 1.25852E+15 1.38472E+15 2.55062E+14 4.75801E+14 6.99571E+14 9.62223E+14 1.23593E+15 1.52686E+15
5.61000E+2 3.70091E+14 6.44560E+14 9.29470E+14 1.25253E+14 3.14277E+14 5.31808E+14 7.66078E+14 1.01098E+15 1.26517E+15 1.39201E+15 2.60416E+14 4.85168E+14 7.12993E+14 9.79086E+14 1.25625E+15 1.55222E+15
5.62000E+2 3.75316E+14 6.55159E+14 9.45766E+14 1.34106E+14 3.23756E+14 5.40967E+14 7.74392E+14 1.01812E+15 1.27286E+15 1.39999E+15 2.65712E+14 4.94292E+14 7.25982E+14 9.95373E+14 1.27584E+15 1.57731E+15
5.63000E+2 3.81414E+14 6.65455E+14 9.60394E+14 1.42770E+14 3.33204E+14 5.50313E+14 7.83144E+14 1.02597E+15 1.28189E+15 1.40960E+15 2.70676E+14 5.02558E+14 7.37578E+14 1.01035E+15 1.29427E+15 1.59994E+15
5.64000E+2 3.87848E+14 6.75234E+14 9.73534E+14 1.49598E+14 3.41021E+14 5.58504E+14 7.91374E+14 1.03403E+15 1.29159E+15 1.42013E+15 2.75569E+14 5.10732E+14 7.49061E+14 1.02555E+15 1.31329E+15 1.62233E+15
