Isc(A) T(K) L(mkm)
6.04342E-1 305 2.14E-4
6.01525E-1 336 1.74E-4
6.15866E-1 313 2.25E-4
6.38185E-1 339 2.39E-4
2.55079E-1 301 2.80E-5
3.87710E-1 323 5.10E-5
5.67587E-1 334 1.37E-4
4.89297E-1 327 8.60E-5
6.04777E-1 340 1.76E-4
3.09084E-1 292 4.00E-5
5.17981E-1 317 1.09E-4
5.00587E-1 331 9.00E-5
5.67813E-1 327 1.42E-4
4.67131E-1 334 7.30E-5
