N_A T tau
6.30957344480193E20 305 0.785168193798269
6.30957344480193E20 310 0.806637380371552
6.30957344480193E20 315 0.832951557751789
6.30957344480193E20 320 0.863079793398725
6.30957344480193E20 325 0.89527329426738
6.30957344480193E20 330 0.92687037237445
6.30957344480193E20 335 0.95412701130257
6.30957344480193E20 340 0.972143921623999
6.30957344480193E20 345 0.974995787807543
6.30957344480193E20 350 0.956202181481514
1E21 280 0.439727664455885
1E21 285 0.438501343904959
1E21 290 0.439511610349941
1E21 295 0.443105447364021
1E21 300 0.44952357471973
1E21 305 0.458876953800416
1E21 310 0.471109636601587
1E21 315 0.485944312278874
1E21 320 0.502809298027979
1E21 325 0.520749900698886
1E21 330 0.538333485680778
1E21 335 0.553566444568298
1E21 340 0.563852620736731
1E21 345 0.566037060386498
1E21 350 0.556597342080893
1.58489319246111E21 280 0.246936892779429
1.58489319246111E21 285 0.246883409966825
1.58489319246111E21 290 0.247927256008898
1.58489319246111E21 295 0.250257995517416
1.58489319246111E21 300 0.254007480899092
1.58489319246111E21 305 0.25923612252996
1.58489319246111E21 310 0.265913568701894
1.58489319246111E21 315 0.273892383070218
1.58489319246111E21 320 0.282874484187095
1.58489319246111E21 325 0.292371877443897
1.58489319246111E21 330 0.301665484801232
1.58489319246111E21 335 0.309768513366715
1.58489319246111E21 340 0.31540388431349
1.58489319246111E21 345 0.317009760768558
1.58489319246111E21 350 0.312795842306624
2.51188643150958E21 280 0.132681796857684
2.51188643150958E21 285 0.133065328886584
2.51188643150958E21 290 0.133938547141232
2.51188643150958E21 295 0.135397101388285
2.51188643150958E21 300 0.137507794776592
2.51188643150958E21 305 0.140301053017837
2.51188643150958E21 310 0.143761600177021
2.51188643150958E21 315 0.147816947102233
2.51188643150958E21 320 0.152323766192249
2.51188643150958E21 325 0.157052796867207
2.51188643150958E21 330 0.161673440704962
2.51188643150958E21 335 0.165739513559429
2.51188643150958E21 340 0.168677799391542
2.51188643150958E21 345 0.169781794435358
2.51188643150958E21 350 0.168216180628079
3.98107170553497E21 280 0.0677760357766323
3.98107170553497E21 285 0.0682035127500816
3.98107170553497E21 290 0.0688269946484172
3.98107170553497E21 295 0.0696900727587558
3.98107170553497E21 300 0.0708233556856826
3.98107170553497E21 305 0.0722407071023564
3.98107170553497E21 310 0.073935132093801
3.98107170553497E21 315 0.0758742798060604
3.98107170553497E21 320 0.0779956557527382
3.98107170553497E21 325 0.0802017330685893
3.98107170553497E21 330 0.0823551220349911
3.98107170553497E21 335 0.0842737286002489
3.98107170553497E21 340 0.0857254489535981
3.98107170553497E21 345 0.0864217128120283
3.98107170553497E21 350 0.0860098854056723
6.30957344480193E21 280 0.0328531666494703
6.30957344480193E21 285 0.0331717117371258
6.30957344480193E21 290 0.0335602402874791
6.30957344480193E21 295 0.034036457938405
6.30957344480193E21 300 0.0346128696838544
6.30957344480193E21 305 0.0352951079693388
6.30957344480193E21 310 0.0360802904788344
6.30957344480193E21 315 0.0369554511321881
6.30957344480193E21 320 0.037896094051712
6.30957344480193E21 325 0.0388648911808395
6.30957344480193E21 330 0.0398104435879987
6.30957344480193E21 335 0.0406658315526334
6.30957344480193E21 340 0.0413464047844866
6.30957344480193E21 345 0.0417459956222995
6.30957344480193E21 350 0.0417306856441427
1E22 280 0.0151644076543446
1E22 285 0.0153574368651242
1E22 290 0.0155728187446864
1E22 295 0.0158169638800654
1E22 300 0.0160944233323899
1E22 305 0.0164072329986592
1E22 310 0.0167543212197168
1E22 315 0.0171310135411607
1E22 320 0.0175286534125434
1E22 325 0.01793432427817
1E22 330 0.0183305979760558
1E22 335 0.0186951420091139
1E22 340 0.0189998965502785
1E22 345 0.0192093909692553
1E22 350 0.0192776337654299
