x y
2.25000E+2 1.14234E+0
4.76000E+2 1.06857E+0
1.43000E+2 1.15752E+0
3.72000E+2 1.10335E+0
2.84000E+2 1.12832E+0
4.91000E+2 1.06314E+0
2.77000E+2 1.13010E+0
4.04000E+2 1.09321E+0
4.21000E+2 1.08761E+0
1.98000E+2 1.14792E+0
3.32000E+2 1.11526E+0
3.51000E+2 1.10971E+0
1.72000E+2 1.15277E+0
1.95000E+2 1.14851E+0
4.29000E+2 1.08493E+0
3.62000E+2 1.10641E+0
2.71000E+2 1.13161E+0
4.06000E+2 1.09256E+0
1.96000E+2 1.14832E+0
4.97000E+2 1.06095E+0
2.50000E+2 1.13669E+0
2.67000E+2 1.13260E+0
4.27000E+2 1.08560E+0
4.68000E+2 1.07143E+0
4.20000E+2 1.08795E+0
3.16000E+2 1.11977E+0
4.40000E+2 1.08119E+0
2.33000E+2 1.14058E+0
2.17000E+2 1.14405E+0
1.33000E+2 1.15899E+0
1.61000E+2 1.15466E+0
2.19000E+2 1.14362E+0
4.95000E+2 1.06168E+0
1.82000E+2 1.15097E+0
2.85000E+2 1.12806E+0
2.21000E+2 1.14320E+0
2.86000E+2 1.12780E+0
2.07000E+2 1.14612E+0
2.69000E+2 1.13210E+0
3.85000E+2 1.09930E+0
4.37000E+2 1.08222E+0
4.57000E+2 1.07530E+0
2.41000E+2 1.13877E+0
4.02000E+2 1.09386E+0
1.35000E+2 1.15871E+0
1.10000E+2 1.16203E+0
4.89000E+2 1.06387E+0
4.12000E+2 1.09059E+0
3.77000E+2 1.10180E+0
3.63000E+2 1.10611E+0
1.24000E+2 1.16024E+0
3.70000E+2 1.10397E+0
4.25000E+2 1.08628E+0
2.40000E+2 1.13900E+0
4.24000E+2 1.08661E+0
