fname time Tem kT_1 n Rs Io Rsh Fb rmsre 
0L31 48188 324.02 35.782 1.721801506E+00 8.634053537E+02 3.636750468E-10 9.615766686E+19 9.656689655E-01 4.968806545E-02 
0L32 48822 325.02 35.672 1.715560165E+00 8.468026940E+02 3.787590272E-10 1.391628755E+10 9.676827625E-01 5.852540029E-02 
0L33 49452 326.03 35.562 1.709638115E+00 8.380062284E+02 4.015619533E-10 1.796890405E+08 9.692203868E-01 5.507112745E-02 
0L34 50080 327.02 35.454 1.695860806E+00 8.366931805E+02 4.092261924E-10 9.907528044E+19 9.718012292E-01 5.016160113E-02 
0L35 50712 328.01 35.347 1.703153889E+00 7.974913995E+02 4.601876064E-10 2.369278567E+08 9.715938419E-01 6.358844771E-02 
0L36 51396 329 35.241 1.688996313E+00 8.054702236E+02 4.712437315E-10 6.036230852E+07 9.740236535E-01 4.862262763E-02 
0L37 52090 330.02 35.132 1.673788524E+00 7.916468805E+02 4.771138883E-10 3.043258512E+07 9.768672644E-01 5.766898067E-02 
0L38 52726 331.03 35.025 1.680906587E+00 7.643075045E+02 5.426149307E-10 3.194646932E+07 9.763584023E-01 5.349025357E-02 
0L39 53420 332.03 34.919 1.660873062E+00 7.717195635E+02 5.541848046E-10 2.738975053E+07 9.788764142E-01 5.236782452E-02 
0L40 54134 333.04 34.813 1.659714641E+00 7.612699621E+02 6.083559668E-10 2.984776084E+07 9.793496200E-01 6.058425623E-02 
0L41 54826 334 34.713 1.649127191E+00 7.483010886E+02 6.268689161E-10 2.172765487E+07 9.814748993E-01 4.907103855E-02 
0L42 55512 335.02 34.607 1.638732104E+00 7.487123478E+02 6.589691684E-10 1.879641232E+07 9.832054166E-01 5.017402252E-02 
0L43 56216 336.03 34.503 1.635520715E+00 7.509804128E+02 7.479762659E-10 3.475066760E+07 9.826720836E-01 5.922564966E-02 
0L44 57012 337 34.404 1.625962675E+00 7.438781879E+02 7.599770017E-10 2.117704590E+07 9.852136320E-01 5.288778900E-02 
0L45 57726 338.02 34.3 1.633870037E+00 7.170513552E+02 8.946171572E-10 2.492563429E+07 9.836165217E-01 4.999797397E-02 
0L46 58516 338.99 34.202 1.619167016E+00 7.170198582E+02 8.748561508E-10 1.599774914E+07 9.872597934E-01 4.705432828E-02 
0L47 59224 340.01 34.1 1.607200264E+00 7.154875396E+02 9.066218788E-10 1.786570627E+07 9.893606755E-01 4.585280210E-02 
DARK1 29086 295.01 39.301 1.579097735E+00 2.805603201E+03 1.067188158E-11 3.625716576E+07 9.642230491E-01 3.330184163E-02 
DARK10 35154 304.05 38.133 1.546275700E+00 1.437022329E+03 3.563692471E-11 2.993243079E+07 9.637323289E-01 1.950035537E-02 
DARK11 35832 305.02 38.011 1.483428972E+00 1.293603825E+03 3.467511550E-11 9.978710372E+19 9.676942684E-01 4.435144869E-01 
DARK12 36502 306.03 37.886 1.562185390E+00 1.273089573E+03 5.195327101E-11 8.219613751E+07 9.604009425E-01 1.573940756E-02 
DARK13 37162 307.03 37.762 1.598512144E+00 1.311680358E+03 5.653330405E-11 3.096578546E+07 9.614746994E-01 1.801665892E-02 
DARK14 37826 308.02 37.641 1.628201541E+00 1.272223147E+03 7.009719199E-11 3.801380310E+07 9.590327184E-01 1.986413578E-02 
DARK15 38470 309.01 37.52 1.642372134E+00 1.231521873E+03 8.084481199E-11 4.646559547E+07 9.584842839E-01 2.376763809E-02 
DARK16 39122 310.04 37.396 1.669380655E+00 1.184494323E+03 1.017790791E-10 4.779968929E+07 9.556993760E-01 2.685873960E-02 
DARK17 39782 311.02 37.278 1.692884464E+00 1.143267913E+03 1.220019182E-10 1.525932768E+08 9.540279066E-01 3.476390811E-02 
DARK18 40452 312.04 37.156 1.705536449E+00 1.111920667E+03 1.392002285E-10 7.910809865E+07 9.537836548E-01 3.057672045E-02 
DARK19 41094 313.04 37.037 1.726521005E+00 1.074501520E+03 1.642853357E-10 1.198962629E+08 9.525394204E-01 3.632800954E-02 
DARK2 29744 296.01 39.168 1.550767669E+00 2.636718868E+03 9.931560791E-12 2.554397226E+07 9.694998180E-01 3.625228424E-02 
DARK20 41746 314.02 36.922 1.744517747E+00 1.040541361E+03 1.888175377E-10 9.989100559E+19 9.519212613E-01 4.124170950E-02 
DARK21 42396 315.03 36.803 1.743719608E+00 1.029136968E+03 1.963358601E-10 9.982895961E+19 9.540965616E-01 3.880208425E-02 
DARK22 43040 316.03 36.687 1.762848121E+00 1.003107880E+03 2.342072877E-10 9.971257973E+19 9.524902367E-01 4.597841600E-02 
DARK23 43684 317.03 36.571 1.770020787E+00 9.709094459E+02 2.593136870E-10 9.915542016E+19 9.528924577E-01 5.315416562E-02 
DARK24 44328 318.01 36.459 1.766367509E+00 9.569499376E+02 2.746161951E-10 9.905987240E+19 9.544347081E-01 4.920542743E-02 
DARK25 44972 319.03 36.342 1.749286071E+00 9.463034751E+02 2.736838547E-10 1.940570934E+08 9.577658168E-01 5.135705023E-02 
DARK26 45616 320.03 36.228 1.756667028E+00 9.137229473E+02 3.138469334E-10 2.206126097E+08 9.571610341E-01 4.849798352E-02 
DARK27 46254 321.02 36.117 1.746411730E+00 9.098469856E+02 3.263714651E-10 9.997010311E+19 9.592095596E-01 5.374793208E-02 
DARK28 46898 322.01 36.006 1.746972045E+00 8.895843044E+02 3.530039460E-10 9.885361423E+19 9.601600963E-01 4.733422154E-02 
DARK29 47538 323.01 35.894 1.737312637E+00 8.849107419E+02 3.678072157E-10 8.105653216E+07 9.621701705E-01 5.783066891E-02 
DARK3 30430 297.02 39.035 1.518648382E+00 2.451084355E+03 9.883496914E-12 1.985669079E+07 9.731065981E-01 3.718820748E-02 
DARK30 48174 324.02 35.782 1.741538826E+00 8.628405663E+02 4.097727689E-10 8.232024976E+07 9.623337462E-01 5.253396879E-02 
DARK31 48808 325.02 35.672 1.739594768E+00 8.575198143E+02 4.422460022E-10 2.793753581E+08 9.633386016E-01 5.004209786E-02 
DARK32 49438 326.03 35.562 1.742648055E+00 8.306977821E+02 4.887280267E-10 1.270548118E+08 9.636963552E-01 5.765882863E-02 
DARK33 50068 327.02 35.454 1.720260958E+00 8.245898275E+02 4.714535038E-10 3.779999652E+07 9.678086753E-01 5.166723694E-02 
DARK34 50698 328.01 35.347 1.723413693E+00 8.106008031E+02 5.252546304E-10 8.378276076E+07 9.678524062E-01 5.800473760E-02 
DARK35 51384 329.01 35.24 1.701734190E+00 8.167506664E+02 5.120515481E-10 3.314001236E+07 9.716982688E-01 5.699343534E-02 
DARK36 52076 330.02 35.132 1.703147235E+00 7.924295517E+02 5.681287716E-10 3.336488955E+07 9.718976133E-01 4.955621487E-02 
DARK37 52714 331.03 35.025 1.702018797E+00 7.782326480E+02 6.291516235E-10 4.952427265E+07 9.721335933E-01 6.082913666E-02 
DARK38 53406 332.03 34.919 1.686257483E+00 7.711966488E+02 6.375178399E-10 3.183814084E+07 9.748647451E-01 5.293942596E-02 
DARK39 54120 333.01 34.816 1.683152331E+00 7.608559466E+02 6.895821617E-10 2.343837875E+07 9.756566081E-01 5.527554748E-02 
DARK4 31096 298.01 38.905 1.485311212E+00 2.233446520E+03 1.014950516E-11 1.560053049E+07 9.758384833E-01 4.181530922E-02 
DARK40 54814 334.01 34.712 1.668392174E+00 7.597302650E+02 7.086352465E-10 1.997865788E+07 9.779740044E-01 5.064243411E-02 
DARK41 55500 335.04 34.605 1.657363390E+00 7.567657166E+02 7.349731275E-10 2.295534121E+07 9.801132249E-01 5.155914859E-02 
DARK42 56200 336.01 34.506 1.657917257E+00 7.299944690E+02 8.062208164E-10 1.467631920E+07 9.804369753E-01 5.818998696E-02 
DARK43 57000 337 34.404 1.648720934E+00 7.430296325E+02 8.490115801E-10 1.704794362E+07 9.819935375E-01 5.660131106E-02 
DARK44 57710 338.02 34.3 1.652263191E+00 7.138242174E+02 9.474478671E-10 1.602848357E+07 9.819437676E-01 5.435487043E-02 
DARK45 58504 339.01 34.2 1.623595792E+00 7.465539257E+02 8.964390733E-10 1.497208003E+07 9.866088962E-01 5.256557337E-02 
DARK46 59212 340.01 34.1 1.632977073E+00 7.145644694E+02 1.026899059E-09 1.443575549E+07 9.857074518E-01 5.557047998E-02 
DARK5 31770 299.03 38.773 1.488495901E+00 2.016391395E+03 1.307502274E-11 1.762122994E+07 9.728223413E-01 3.709177704E-02 
DARK6 32446 300.02 38.645 1.491370511E+00 1.814962213E+03 1.673236927E-11 2.022788874E+07 9.698318551E-01 3.425291631E-02 
DARK7 33122 301.02 38.516 1.483406374E+00 1.569074055E+03 2.416824944E-11 9.997194641E+19 9.636907528E-01 3.800894977E-01 
DARK8 33808 302.02 38.389 1.514704094E+00 1.567962526E+03 2.771788158E-11 4.444000284E+07 9.634952234E-01 3.010986226E-02 
DARK9 34494 303.02 38.262 1.541043954E+00 1.485587571E+03 3.364875029E-11 6.089314373E+07 9.617905582E-01 2.489424914E-02 
