r0 A5A5 A5A10 A3A6 A5A15 A10A10 A5A20 A3A13
2.500E-8 6.944E-16 3.562E-3 1.282E-3 1.428E-2 6.944E-16 3.224E-2 1.428E-2
2.550E-8 -9.412E-16 3.599E-3 1.295E-3 1.443E-2 -9.412E-16 3.258E-2 1.443E-2
2.600E-8 1.773E-16 3.635E-3 1.308E-3 1.457E-2 1.773E-16 3.291E-2 1.457E-2
2.650E-8 4.010E-16 3.670E-3 1.321E-3 1.471E-2 4.010E-16 3.323E-2 1.471E-2
2.700E-8 1.474E-15 3.704E-3 1.333E-3 1.485E-2 1.474E-15 3.354E-2 1.485E-2
2.750E-8 -7.702E-16 3.737E-3 1.345E-3 1.498E-2 -7.702E-16 3.384E-2 1.498E-2
2.800E-8 -8.721E-16 3.769E-3 1.356E-3 1.511E-2 -8.721E-16 3.414E-2 1.511E-2
2.850E-8 0.000E+0 3.800E-3 1.367E-3 1.524E-2 0.000E+0 3.443E-2 1.524E-2
2.900E-8 -7.466E-16 3.831E-3 1.378E-3 1.536E-2 -7.466E-16 3.470E-2 1.536E-2
2.950E-8 4.233E-16 3.860E-3 1.389E-3 1.548E-2 4.233E-16 3.498E-2 1.548E-2
3.000E-8 -1.200E-16 3.889E-3 1.399E-3 1.560E-2 -1.200E-16 3.524E-2 1.560E-2
3.050E-8 -1.498E-15 3.917E-3 1.409E-3 1.571E-2 -1.498E-15 3.550E-2 1.571E-2
3.100E-8 6.186E-16 3.945E-3 1.419E-3 1.582E-2 6.186E-16 3.575E-2 1.582E-2
3.150E-8 -5.269E-16 3.971E-3 1.429E-3 1.593E-2 -5.269E-16 3.599E-2 1.593E-2
3.200E-8 3.991E-16 3.997E-3 1.438E-3 1.603E-2 3.991E-16 3.623E-2 1.603E-2
3.250E-8 -1.701E-15 4.022E-3 1.447E-3 1.613E-2 -1.701E-15 3.646E-2 1.613E-2
3.300E-8 6.446E-16 4.047E-3 1.456E-3 1.623E-2 6.446E-16 3.669E-2 1.623E-2
3.350E-8 -1.613E-15 4.071E-3 1.465E-3 1.633E-2 -1.613E-15 3.691E-2 1.633E-2
3.400E-8 5.005E-16 4.095E-3 1.473E-3 1.642E-2 5.005E-16 3.712E-2 1.642E-2
3.450E-8 -5.696E-16 4.118E-3 1.481E-3 1.652E-2 -5.696E-16 3.733E-2 1.652E-2
3.500E-8 -8.646E-16 4.140E-3 1.489E-3 1.661E-2 -8.646E-16 3.754E-2 1.661E-2
3.550E-8 -1.600E-15 4.162E-3 1.497E-3 1.669E-2 -1.600E-15 3.774E-2 1.669E-2
3.600E-8 -1.542E-15 4.183E-3 1.505E-3 1.678E-2 -1.542E-15 3.794E-2 1.678E-2
3.650E-8 0.000E+0 4.204E-3 1.513E-3 1.686E-2 0.000E+0 3.813E-2 1.686E-2
3.700E-8 0.000E+0 4.224E-3 1.520E-3 1.695E-2 0.000E+0 3.832E-2 1.695E-2
3.750E-8 -1.246E-15 4.244E-3 1.527E-3 1.703E-2 -1.246E-15 3.850E-2 1.703E-2
3.800E-8 -1.065E-15 4.264E-3 1.534E-3 1.711E-2 -1.065E-15 3.868E-2 1.711E-2
3.850E-8 -1.351E-15 4.283E-3 1.541E-3 1.718E-2 -1.351E-15 3.885E-2 1.718E-2
3.900E-8 1.079E-15 4.302E-3 1.548E-3 1.726E-2 1.079E-15 3.902E-2 1.726E-2
3.950E-8 -3.518E-16 4.320E-3 1.554E-3 1.733E-2 -3.518E-16 3.919E-2 1.733E-2
4.000E-8 -4.016E-16 4.338E-3 1.561E-3 1.740E-2 -4.016E-16 3.936E-2 1.740E-2
4.050E-8 1.605E-15 4.355E-3 1.567E-3 1.747E-2 1.605E-15 3.952E-2 1.747E-2
4.100E-8 1.440E-15 4.372E-3 1.573E-3 1.754E-2 1.440E-15 3.967E-2 1.754E-2
4.150E-8 1.047E-15 4.389E-3 1.579E-3 1.761E-2 1.047E-15 3.983E-2 1.761E-2
4.200E-8 6.838E-16 4.406E-3 1.585E-3 1.768E-2 6.838E-16 3.998E-2 1.768E-2
4.250E-8 -9.770E-16 4.422E-3 1.591E-3 1.774E-2 -9.770E-16 4.013E-2 1.774E-2
4.300E-8 -1.564E-15 4.438E-3 1.596E-3 1.781E-2 -1.564E-15 4.027E-2 1.781E-2
4.350E-8 7.663E-16 4.453E-3 1.602E-3 1.787E-2 7.663E-16 4.041E-2 1.787E-2
4.400E-8 7.304E-16 4.468E-3 1.607E-3 1.793E-2 7.304E-16 4.055E-2 1.793E-2
4.450E-8 1.003E-15 4.483E-3 1.613E-3 1.799E-2 1.003E-15 4.069E-2 1.799E-2
4.500E-8 7.648E-16 4.498E-3 1.618E-3 1.805E-2 7.648E-16 4.083E-2 1.805E-2
4.550E-8 -1.094E-15 4.512E-3 1.623E-3 1.811E-2 -1.094E-15 4.096E-2 1.811E-2
4.600E-8 -8.766E-16 4.526E-3 1.628E-3 1.816E-2 -8.766E-16 4.109E-2 1.816E-2
4.650E-8 -1.434E-16 4.540E-3 1.633E-3 1.822E-2 -1.434E-16 4.121E-2 1.822E-2
4.700E-8 4.925E-16 4.553E-3 1.638E-3 1.827E-2 4.925E-16 4.134E-2 1.827E-2
4.750E-8 7.521E-16 4.567E-3 1.643E-3 1.833E-2 7.521E-16 4.146E-2 1.833E-2
4.800E-8 1.292E-15 4.580E-3 1.648E-3 1.838E-2 1.292E-15 4.158E-2 1.838E-2
4.850E-8 -1.727E-15 4.593E-3 1.652E-3 1.843E-2 -1.727E-15 4.170E-2 1.843E-2
4.900E-8 9.897E-16 4.605E-3 1.657E-3 1.848E-2 9.897E-16 4.181E-2 1.848E-2
4.950E-8 -1.620E-16 4.618E-3 1.661E-3 1.853E-2 -1.620E-16 4.193E-2 1.853E-2
5.000E-8 -5.572E-16 4.630E-3 1.665E-3 1.858E-2 -5.572E-16 4.204E-2 1.858E-2
