r0 A5A5 A5A10 A3A6 A5A15 A10A10 A5A20 A3A13
2.150E-8 -2.721E-3 -6.104E-3 -2.205E-3 -1.081E-2 -1.081E-2 -1.680E-2 -6.940E-3
2.200E-8 -2.674E-3 -6.000E-3 -2.167E-3 -1.062E-2 -1.062E-2 -1.652E-2 -6.822E-3
2.250E-8 -2.630E-3 -5.900E-3 -2.131E-3 -1.045E-2 -1.045E-2 -1.624E-2 -6.709E-3
2.300E-8 -2.587E-3 -5.804E-3 -2.096E-3 -1.028E-2 -1.028E-2 -1.598E-2 -6.599E-3
2.350E-8 -2.545E-3 -5.710E-3 -2.062E-3 -1.011E-2 -1.011E-2 -1.572E-2 -6.492E-3
2.400E-8 -2.504E-3 -5.619E-3 -2.029E-3 -9.953E-3 -9.953E-3 -1.548E-2 -6.389E-3
2.450E-8 -2.465E-3 -5.531E-3 -1.997E-3 -9.798E-3 -9.798E-3 -1.524E-2 -6.289E-3
2.500E-8 -2.427E-3 -5.446E-3 -1.966E-3 -9.647E-3 -9.647E-3 -1.500E-2 -6.192E-3
2.550E-8 -2.390E-3 -5.363E-3 -1.936E-3 -9.501E-3 -9.501E-3 -1.478E-2 -6.098E-3
2.600E-8 -2.354E-3 -5.283E-3 -1.907E-3 -9.360E-3 -9.360E-3 -1.456E-2 -6.007E-3
2.650E-8 -2.319E-3 -5.205E-3 -1.879E-3 -9.222E-3 -9.222E-3 -1.435E-2 -5.919E-3
2.700E-8 -2.285E-3 -5.129E-3 -1.852E-3 -9.088E-3 -9.088E-3 -1.414E-2 -5.833E-3
2.750E-8 -2.252E-3 -5.056E-3 -1.825E-3 -8.959E-3 -8.959E-3 -1.394E-2 -5.749E-3
2.800E-8 -2.220E-3 -4.984E-3 -1.799E-3 -8.832E-3 -8.832E-3 -1.374E-2 -5.668E-3
2.850E-8 -2.189E-3 -4.915E-3 -1.774E-3 -8.709E-3 -8.709E-3 -1.355E-2 -5.589E-3
2.900E-8 -2.159E-3 -4.847E-3 -1.749E-3 -8.590E-3 -8.590E-3 -1.337E-2 -5.512E-3
2.950E-8 -2.130E-3 -4.781E-3 -1.726E-3 -8.474E-3 -8.474E-3 -1.319E-2 -5.437E-3
3.000E-8 -2.101E-3 -4.717E-3 -1.702E-3 -8.360E-3 -8.360E-3 -1.301E-2 -5.364E-3
3.050E-8 -2.073E-3 -4.655E-3 -1.680E-3 -8.250E-3 -8.250E-3 -1.284E-2 -5.293E-3
3.100E-8 -2.046E-3 -4.594E-3 -1.658E-3 -8.143E-3 -8.143E-3 -1.267E-2 -5.224E-3
3.150E-8 -2.020E-3 -4.535E-3 -1.636E-3 -8.038E-3 -8.038E-3 -1.251E-2 -5.157E-3
3.200E-8 -1.994E-3 -4.477E-3 -1.615E-3 -7.936E-3 -7.936E-3 -1.235E-2 -5.091E-3
3.250E-8 -1.969E-3 -4.421E-3 -1.595E-3 -7.836E-3 -7.836E-3 -1.220E-2 -5.027E-3
3.300E-8 -1.944E-3 -4.366E-3 -1.575E-3 -7.739E-3 -7.739E-3 -1.205E-2 -4.965E-3
3.350E-8 -1.920E-3 -4.312E-3 -1.556E-3 -7.645E-3 -7.645E-3 -1.190E-2 -4.904E-3
3.400E-8 -1.897E-3 -4.260E-3 -1.537E-3 -7.552E-3 -7.552E-3 -1.176E-2 -4.844E-3
3.450E-8 -1.874E-3 -4.209E-3 -1.518E-3 -7.462E-3 -7.462E-3 -1.162E-2 -4.786E-3
3.500E-8 -1.852E-3 -4.159E-3 -1.500E-3 -7.374E-3 -7.374E-3 -1.148E-2 -4.729E-3
3.550E-8 -1.830E-3 -4.110E-3 -1.483E-3 -7.288E-3 -7.288E-3 -1.135E-2 -4.674E-3
3.600E-8 -1.809E-3 -4.062E-3 -1.466E-3 -7.203E-3 -7.203E-3 -1.122E-2 -4.620E-3
3.650E-8 -1.788E-3 -4.016E-3 -1.449E-3 -7.121E-3 -7.121E-3 -1.109E-2 -4.567E-3
3.700E-8 -1.768E-3 -3.970E-3 -1.432E-3 -7.041E-3 -7.041E-3 -1.097E-2 -4.515E-3
3.750E-8 -1.748E-3 -3.926E-3 -1.416E-3 -6.962E-3 -6.962E-3 -1.084E-2 -4.465E-3
3.800E-8 -1.729E-3 -3.882E-3 -1.401E-3 -6.885E-3 -6.885E-3 -1.072E-2 -4.415E-3
3.850E-8 -1.710E-3 -3.840E-3 -1.385E-3 -6.810E-3 -6.810E-3 -1.061E-2 -4.367E-3
3.900E-8 -1.691E-3 -3.798E-3 -1.370E-3 -6.736E-3 -6.736E-3 -1.049E-2 -4.320E-3
3.950E-8 -1.673E-3 -3.758E-3 -1.355E-3 -6.664E-3 -6.664E-3 -1.038E-2 -4.274E-3
4.000E-8 -1.655E-3 -3.718E-3 -1.341E-3 -6.594E-3 -6.594E-3 -1.027E-2 -4.228E-3
4.050E-8 -1.638E-3 -3.679E-3 -1.327E-3 -6.525E-3 -6.525E-3 -1.016E-2 -4.184E-3
4.100E-8 -1.621E-3 -3.640E-3 -1.313E-3 -6.457E-3 -6.457E-3 -1.006E-2 -4.140E-3
4.150E-8 -1.604E-3 -3.603E-3 -1.300E-3 -6.391E-3 -6.391E-3 -9.957E-3 -4.098E-3
4.200E-8 -1.588E-3 -3.566E-3 -1.286E-3 -6.326E-3 -6.326E-3 -9.856E-3 -4.056E-3
4.250E-8 -1.572E-3 -3.530E-3 -1.273E-3 -6.262E-3 -6.262E-3 -9.757E-3 -4.015E-3
4.300E-8 -1.556E-3 -3.495E-3 -1.261E-3 -6.200E-3 -6.200E-3 -9.660E-3 -3.975E-3
4.350E-8 -1.540E-3 -3.461E-3 -1.248E-3 -6.139E-3 -6.139E-3 -9.565E-3 -3.936E-3
4.400E-8 -1.525E-3 -3.427E-3 -1.236E-3 -6.079E-3 -6.079E-3 -9.472E-3 -3.897E-3
4.450E-8 -1.511E-3 -3.393E-3 -1.224E-3 -6.020E-3 -6.020E-3 -9.381E-3 -3.860E-3
4.500E-8 -1.496E-3 -3.361E-3 -1.212E-3 -5.962E-3 -5.962E-3 -9.291E-3 -3.823E-3
4.550E-8 -1.482E-3 -3.329E-3 -1.200E-3 -5.906E-3 -5.906E-3 -9.203E-3 -3.786E-3
4.600E-8 -1.468E-3 -3.298E-3 -1.189E-3 -5.850E-3 -5.850E-3 -9.117E-3 -3.750E-3
4.650E-8 -1.454E-3 -3.267E-3 -1.178E-3 -5.796E-3 -5.796E-3 -9.032E-3 -3.715E-3
4.700E-8 -1.441E-3 -3.237E-3 -1.167E-3 -5.742E-3 -5.742E-3 -8.949E-3 -3.681E-3
4.750E-8 -1.427E-3 -3.207E-3 -1.156E-3 -5.690E-3 -5.690E-3 -8.867E-3 -3.647E-3
4.800E-8 -1.414E-3 -3.178E-3 -1.146E-3 -5.638E-3 -5.638E-3 -8.787E-3 -3.614E-3
4.850E-8 -1.402E-3 -3.149E-3 -1.136E-3 -5.587E-3 -5.587E-3 -8.708E-3 -3.582E-3
4.900E-8 -1.389E-3 -3.121E-3 -1.125E-3 -5.538E-3 -5.538E-3 -8.631E-3 -3.550E-3
4.950E-8 -1.377E-3 -3.093E-3 -1.115E-3 -5.489E-3 -5.489E-3 -8.555E-3 -3.518E-3
5.000E-8 -1.365E-3 -3.066E-3 -1.106E-3 -5.441E-3 -5.441E-3 -8.480E-3 -3.488E-3
