T Rsh logRsh n tauR logTR tauG logTG Voc ff
320 1.000E+2 2.000E+0 3.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.871E-2 2.501E-1
320 1.000E+2 2.000E+0 3.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.872E-2 2.501E-1
320 1.000E+2 2.000E+0 3.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.872E-2 2.501E-1
320 1.000E+2 2.000E+0 3.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.872E-2 2.501E-1
320 1.000E+2 2.000E+0 3.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.872E-2 2.501E-1
320 1.000E+2 2.000E+0 3.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.873E-2 2.501E-1
320 1.000E+2 2.000E+0 3.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.873E-2 2.501E-1
320 1.000E+2 2.000E+0 3.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.873E-2 2.501E-1
320 1.000E+2 2.000E+0 3.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.873E-2 2.501E-1
320 1.000E+2 2.000E+0 3.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 1.874E-2 2.501E-1
320 1.318E+2 2.120E+0 2.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.412E-2 2.509E-1
320 1.318E+2 2.120E+0 2.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.414E-2 2.509E-1
320 1.318E+2 2.120E+0 2.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.416E-2 2.508E-1
320 1.318E+2 2.120E+0 2.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.418E-2 2.508E-1
320 1.318E+2 2.120E+0 2.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.419E-2 2.508E-1
320 1.318E+2 2.120E+0 2.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.421E-2 2.507E-1
320 1.318E+2 2.120E+0 2.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.423E-2 2.507E-1
320 1.318E+2 2.120E+0 2.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.424E-2 2.507E-1
320 1.318E+2 2.120E+0 2.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.426E-2 2.506E-1
320 1.318E+2 2.120E+0 2.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.427E-2 2.506E-1
320 1.318E+2 2.120E+0 2.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.429E-2 2.506E-1
320 1.318E+2 2.120E+0 2.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.430E-2 2.506E-1
320 1.318E+2 2.120E+0 2.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.431E-2 2.505E-1
320 1.318E+2 2.120E+0 2.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.433E-2 2.505E-1
320 1.318E+2 2.120E+0 2.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.434E-2 2.505E-1
320 1.318E+2 2.120E+0 2.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.435E-2 2.505E-1
320 1.318E+2 2.120E+0 2.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.436E-2 2.505E-1
320 1.318E+2 2.120E+0 2.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.437E-2 2.505E-1
320 1.318E+2 2.120E+0 2.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.438E-2 2.504E-1
320 1.318E+2 2.120E+0 2.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.439E-2 2.505E-1
320 1.318E+2 2.120E+0 2.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.440E-2 2.504E-1
320 1.318E+2 2.120E+0 2.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.441E-2 2.504E-1
320 1.318E+2 2.120E+0 2.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.442E-2 2.504E-1
320 1.318E+2 2.120E+0 2.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.443E-2 2.504E-1
320 1.318E+2 2.120E+0 2.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.444E-2 2.504E-1
320 1.318E+2 2.120E+0 3.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.445E-2 2.503E-1
320 1.318E+2 2.120E+0 3.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.446E-2 2.503E-1
320 1.318E+2 2.120E+0 3.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.446E-2 2.503E-1
320 1.318E+2 2.120E+0 3.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.447E-2 2.503E-1
320 1.318E+2 2.120E+0 3.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.448E-2 2.503E-1
320 1.318E+2 2.120E+0 3.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.449E-2 2.503E-1
320 1.318E+2 2.120E+0 3.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.449E-2 2.503E-1
320 1.318E+2 2.120E+0 3.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.450E-2 2.503E-1
320 1.318E+2 2.120E+0 3.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.451E-2 2.503E-1
320 1.318E+2 2.120E+0 3.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.452E-2 2.503E-1
320 1.318E+2 2.120E+0 3.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.452E-2 2.503E-1
320 1.318E+2 2.120E+0 3.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.453E-2 2.503E-1
320 1.318E+2 2.120E+0 3.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.453E-2 2.503E-1
320 1.318E+2 2.120E+0 3.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.454E-2 2.503E-1
320 1.318E+2 2.120E+0 3.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.455E-2 2.502E-1
320 1.318E+2 2.120E+0 3.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.455E-2 2.502E-1
320 1.318E+2 2.120E+0 3.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.456E-2 2.502E-1
320 1.318E+2 2.120E+0 3.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.456E-2 2.502E-1
320 1.318E+2 2.120E+0 3.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.457E-2 2.502E-1
320 1.318E+2 2.120E+0 3.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.457E-2 2.502E-1
320 1.318E+2 2.120E+0 3.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.458E-2 2.502E-1
320 1.318E+2 2.120E+0 3.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.458E-2 2.502E-1
320 1.318E+2 2.120E+0 3.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.459E-2 2.502E-1
320 1.318E+2 2.120E+0 3.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.459E-2 2.502E-1
320 1.318E+2 2.120E+0 3.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 2.460E-2 2.502E-1
320 1.738E+2 2.240E+0 2.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.134E-2 2.516E-1
320 1.738E+2 2.240E+0 2.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.137E-2 2.516E-1
320 1.738E+2 2.240E+0 2.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.141E-2 2.515E-1
320 1.738E+2 2.240E+0 2.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.145E-2 2.514E-1
320 1.738E+2 2.240E+0 2.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.148E-2 2.514E-1
320 1.738E+2 2.240E+0 2.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.152E-2 2.513E-1
320 1.738E+2 2.240E+0 2.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.155E-2 2.513E-1
320 1.738E+2 2.240E+0 2.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.157E-2 2.512E-1
320 1.738E+2 2.240E+0 2.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.160E-2 2.512E-1
320 1.738E+2 2.240E+0 2.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.163E-2 2.511E-1
320 1.738E+2 2.240E+0 2.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.166E-2 2.511E-1
320 1.738E+2 2.240E+0 2.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.169E-2 2.510E-1
320 1.738E+2 2.240E+0 2.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.171E-2 2.510E-1
320 1.738E+2 2.240E+0 2.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.173E-2 2.510E-1
320 1.738E+2 2.240E+0 2.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.176E-2 2.509E-1
320 1.738E+2 2.240E+0 2.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.178E-2 2.509E-1
320 1.738E+2 2.240E+0 2.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.180E-2 2.509E-1
320 1.738E+2 2.240E+0 2.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.182E-2 2.508E-1
320 1.738E+2 2.240E+0 2.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.184E-2 2.508E-1
320 1.738E+2 2.240E+0 2.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.186E-2 2.508E-1
320 1.738E+2 2.240E+0 2.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.188E-2 2.508E-1
320 1.738E+2 2.240E+0 2.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.190E-2 2.507E-1
320 1.738E+2 2.240E+0 2.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.191E-2 2.507E-1
320 1.738E+2 2.240E+0 2.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.193E-2 2.507E-1
320 1.738E+2 2.240E+0 2.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.195E-2 2.507E-1
320 1.738E+2 2.240E+0 3.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.196E-2 2.507E-1
320 1.738E+2 2.240E+0 3.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.198E-2 2.506E-1
320 1.738E+2 2.240E+0 3.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.199E-2 2.506E-1
320 1.738E+2 2.240E+0 3.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.200E-2 2.506E-1
320 1.738E+2 2.240E+0 3.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.202E-2 2.506E-1
320 1.738E+2 2.240E+0 3.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.203E-2 2.506E-1
320 1.738E+2 2.240E+0 3.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.205E-2 2.505E-1
320 1.738E+2 2.240E+0 3.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.206E-2 2.505E-1
320 1.738E+2 2.240E+0 3.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.207E-2 2.505E-1
320 1.738E+2 2.240E+0 3.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.208E-2 2.505E-1
320 1.738E+2 2.240E+0 3.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.210E-2 2.505E-1
320 1.738E+2 2.240E+0 3.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.211E-2 2.505E-1
320 1.738E+2 2.240E+0 3.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.212E-2 2.505E-1
320 1.738E+2 2.240E+0 3.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.213E-2 2.504E-1
320 1.738E+2 2.240E+0 3.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.214E-2 2.504E-1
320 1.738E+2 2.240E+0 3.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.215E-2 2.504E-1
320 1.738E+2 2.240E+0 3.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.216E-2 2.504E-1
320 1.738E+2 2.240E+0 3.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.217E-2 2.504E-1
320 1.738E+2 2.240E+0 3.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.218E-2 2.504E-1
320 1.738E+2 2.240E+0 3.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.219E-2 2.504E-1
320 1.738E+2 2.240E+0 3.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.220E-2 2.504E-1
320 1.738E+2 2.240E+0 3.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.221E-2 2.504E-1
320 1.738E+2 2.240E+0 3.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.222E-2 2.503E-1
320 1.738E+2 2.240E+0 3.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.222E-2 2.504E-1
320 1.738E+2 2.240E+0 3.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 3.223E-2 2.503E-1
320 2.291E+2 2.360E+0 2.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.044E-2 2.529E-1
320 2.291E+2 2.360E+0 2.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.052E-2 2.528E-1
320 2.291E+2 2.360E+0 2.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.059E-2 2.527E-1
320 2.291E+2 2.360E+0 2.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.066E-2 2.526E-1
320 2.291E+2 2.360E+0 2.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.072E-2 2.525E-1
320 2.291E+2 2.360E+0 2.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.079E-2 2.524E-1
320 2.291E+2 2.360E+0 2.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.084E-2 2.523E-1
320 2.291E+2 2.360E+0 2.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.090E-2 2.522E-1
320 2.291E+2 2.360E+0 2.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.096E-2 2.521E-1
320 2.291E+2 2.360E+0 2.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.101E-2 2.520E-1
320 2.291E+2 2.360E+0 2.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.106E-2 2.519E-1
320 2.291E+2 2.360E+0 2.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.111E-2 2.519E-1
320 2.291E+2 2.360E+0 2.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.115E-2 2.518E-1
320 2.291E+2 2.360E+0 2.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.120E-2 2.517E-1
320 2.291E+2 2.360E+0 2.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.124E-2 2.517E-1
320 2.291E+2 2.360E+0 2.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.129E-2 2.516E-1
320 2.291E+2 2.360E+0 2.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.132E-2 2.516E-1
320 2.291E+2 2.360E+0 2.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.137E-2 2.515E-1
320 2.291E+2 2.360E+0 2.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.140E-2 2.515E-1
320 2.291E+2 2.360E+0 2.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.144E-2 2.514E-1
320 2.291E+2 2.360E+0 2.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.148E-2 2.514E-1
320 2.291E+2 2.360E+0 2.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.151E-2 2.513E-1
320 2.291E+2 2.360E+0 2.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.154E-2 2.513E-1
320 2.291E+2 2.360E+0 2.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.157E-2 2.512E-1
320 2.291E+2 2.360E+0 2.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.160E-2 2.512E-1
320 2.291E+2 2.360E+0 3.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.164E-2 2.512E-1
320 2.291E+2 2.360E+0 3.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.166E-2 2.512E-1
320 2.291E+2 2.360E+0 3.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.169E-2 2.511E-1
320 2.291E+2 2.360E+0 3.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.171E-2 2.511E-1
320 2.291E+2 2.360E+0 3.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.174E-2 2.510E-1
320 2.291E+2 2.360E+0 3.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.177E-2 2.510E-1
320 2.291E+2 2.360E+0 3.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.179E-2 2.510E-1
320 2.291E+2 2.360E+0 3.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.182E-2 2.510E-1
320 2.291E+2 2.360E+0 3.320E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.184E-2 2.509E-1
320 2.291E+2 2.360E+0 3.360E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.187E-2 2.509E-1
320 2.291E+2 2.360E+0 3.400E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.189E-2 2.509E-1
320 2.291E+2 2.360E+0 3.440E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.191E-2 2.509E-1
320 2.291E+2 2.360E+0 3.480E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.193E-2 2.508E-1
320 2.291E+2 2.360E+0 3.520E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.195E-2 2.508E-1
320 2.291E+2 2.360E+0 3.560E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.197E-2 2.508E-1
320 2.291E+2 2.360E+0 3.600E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.199E-2 2.508E-1
320 2.291E+2 2.360E+0 3.640E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.201E-2 2.508E-1
320 2.291E+2 2.360E+0 3.680E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.203E-2 2.507E-1
320 2.291E+2 2.360E+0 3.720E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.204E-2 2.507E-1
320 2.291E+2 2.360E+0 3.760E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.206E-2 2.507E-1
320 2.291E+2 2.360E+0 3.800E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.208E-2 2.507E-1
320 2.291E+2 2.360E+0 3.840E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.209E-2 2.507E-1
320 2.291E+2 2.360E+0 3.880E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.211E-2 2.507E-1
320 2.291E+2 2.360E+0 3.920E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.213E-2 2.506E-1
320 2.291E+2 2.360E+0 3.960E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 4.214E-2 2.506E-1
320 3.020E+2 2.480E+0 2.000E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.163E-2 2.554E-1
320 3.020E+2 2.480E+0 2.040E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.178E-2 2.551E-1
320 3.020E+2 2.480E+0 2.080E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.192E-2 2.549E-1
320 3.020E+2 2.480E+0 2.120E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.205E-2 2.547E-1
320 3.020E+2 2.480E+0 2.160E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.218E-2 2.545E-1
320 3.020E+2 2.480E+0 2.200E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.230E-2 2.543E-1
320 3.020E+2 2.480E+0 2.240E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.242E-2 2.541E-1
320 3.020E+2 2.480E+0 2.280E+0 3.000E-6 -5.523E+0 5.000E-8 -7.301E+0 5.253E-2 2.540E-1
