r0 AplusA epsL
5.000E-9 1.450E-9 -1.260E-2
5.000E-9 1.500E-9 -1.347E-2
5.000E-9 1.550E-9 -1.437E-2
5.000E-9 1.600E-9 -1.529E-2
5.000E-9 1.650E-9 -1.625E-2
5.000E-9 1.700E-9 -1.723E-2
5.000E-9 1.750E-9 -1.823E-2
5.000E-9 1.800E-9 -1.926E-2
5.000E-9 1.850E-9 -2.032E-2
5.000E-9 1.900E-9 -2.141E-2
5.000E-9 1.950E-9 -2.252E-2
5.000E-9 2.000E-9 -2.366E-2
5.000E-9 2.050E-9 -2.482E-2
5.000E-9 2.100E-9 -2.601E-2
5.000E-9 2.150E-9 -2.723E-2
5.000E-9 2.200E-9 -2.847E-2
5.000E-9 2.250E-9 -2.973E-2
5.000E-9 2.300E-9 -3.102E-2
5.000E-9 2.350E-9 -3.233E-2
5.000E-9 2.400E-9 -3.367E-2
5.000E-9 2.450E-9 -3.503E-2
5.000E-9 2.500E-9 -3.642E-2
5.000E-9 2.550E-9 -3.782E-2
5.000E-9 2.600E-9 -3.925E-2
5.000E-9 2.650E-9 -4.071E-2
5.000E-9 2.700E-9 -4.218E-2
5.000E-9 2.750E-9 -4.368E-2
5.000E-9 2.800E-9 -4.520E-2
5.000E-9 2.850E-9 -4.675E-2
5.000E-9 2.900E-9 -4.831E-2
5.000E-9 2.950E-9 -4.990E-2
5.000E-9 3.000E-9 -5.150E-2
5.500E-9 3.000E-10 -5.292E-4
5.500E-9 3.500E-10 -7.202E-4
5.500E-9 4.000E-10 -9.404E-4
5.500E-9 4.500E-10 -1.190E-3
5.500E-9 5.000E-10 -1.468E-3
5.500E-9 5.500E-10 -1.776E-3
5.500E-9 6.000E-10 -2.113E-3
5.500E-9 6.500E-10 -2.479E-3
5.500E-9 7.000E-10 -2.874E-3
5.500E-9 7.500E-10 -3.297E-3
5.500E-9 8.000E-10 -3.750E-3
5.500E-9 8.500E-10 -4.231E-3
5.500E-9 9.000E-10 -4.740E-3
5.500E-9 9.500E-10 -5.278E-3
5.500E-9 1.000E-9 -5.845E-3
5.500E-9 1.050E-9 -6.440E-3
5.500E-9 1.100E-9 -7.062E-3
5.500E-9 1.150E-9 -7.713E-3
5.500E-9 1.200E-9 -8.392E-3
5.500E-9 1.250E-9 -9.099E-3
5.500E-9 1.300E-9 -9.833E-3
5.500E-9 1.350E-9 -1.059E-2
5.500E-9 1.400E-9 -1.138E-2
5.500E-9 1.450E-9 -1.220E-2
5.500E-9 1.500E-9 -1.304E-2
5.500E-9 1.550E-9 -1.391E-2
5.500E-9 1.600E-9 -1.481E-2
5.500E-9 1.650E-9 -1.573E-2
5.500E-9 1.700E-9 -1.668E-2
5.500E-9 1.750E-9 -1.766E-2
5.500E-9 1.800E-9 -1.866E-2
5.500E-9 1.850E-9 -1.969E-2
5.500E-9 1.900E-9 -2.074E-2
5.500E-9 1.950E-9 -2.182E-2
5.500E-9 2.000E-9 -2.293E-2
5.500E-9 2.050E-9 -2.406E-2
5.500E-9 2.100E-9 -2.521E-2
5.500E-9 2.150E-9 -2.639E-2
5.500E-9 2.200E-9 -2.759E-2
5.500E-9 2.250E-9 -2.882E-2
5.500E-9 2.300E-9 -3.007E-2
5.500E-9 2.350E-9 -3.135E-2
5.500E-9 2.400E-9 -3.265E-2
5.500E-9 2.450E-9 -3.397E-2
5.500E-9 2.500E-9 -3.531E-2
5.500E-9 2.550E-9 -3.668E-2
5.500E-9 2.600E-9 -3.807E-2
5.500E-9 2.650E-9 -3.949E-2
5.500E-9 2.700E-9 -4.092E-2
5.500E-9 2.750E-9 -4.238E-2
5.500E-9 2.800E-9 -4.386E-2
5.500E-9 2.850E-9 -4.536E-2
5.500E-9 2.900E-9 -4.688E-2
5.500E-9 2.950E-9 -4.843E-2
5.500E-9 3.000E-9 -4.999E-2
6.000E-9 3.000E-10 -5.123E-4
6.000E-9 3.500E-10 -6.971E-4
6.000E-9 4.000E-10 -9.103E-4
6.000E-9 4.500E-10 -1.152E-3
6.000E-9 5.000E-10 -1.422E-3
6.000E-9 5.500E-10 -1.720E-3
6.000E-9 6.000E-10 -2.046E-3
6.000E-9 6.500E-10 -2.400E-3
6.000E-9 7.000E-10 -2.782E-3
6.000E-9 7.500E-10 -3.192E-3
6.000E-9 8.000E-10 -3.630E-3
6.000E-9 8.500E-10 -4.096E-3
6.000E-9 9.000E-10 -4.590E-3
6.000E-9 9.500E-10 -5.111E-3
6.000E-9 1.000E-9 -5.660E-3
6.000E-9 1.050E-9 -6.236E-3
6.000E-9 1.100E-9 -6.839E-3
6.000E-9 1.150E-9 -7.470E-3
6.000E-9 1.200E-9 -8.128E-3
6.000E-9 1.250E-9 -8.812E-3
6.000E-9 1.300E-9 -9.524E-3
6.000E-9 1.350E-9 -1.026E-2
6.000E-9 1.400E-9 -1.103E-2
6.000E-9 1.450E-9 -1.182E-2
6.000E-9 1.500E-9 -1.264E-2
6.000E-9 1.550E-9 -1.348E-2
6.000E-9 1.600E-9 -1.435E-2
6.000E-9 1.650E-9 -1.524E-2
6.000E-9 1.700E-9 -1.617E-2
6.000E-9 1.750E-9 -1.711E-2
6.000E-9 1.800E-9 -1.808E-2
6.000E-9 1.850E-9 -1.908E-2
6.000E-9 1.900E-9 -2.010E-2
6.000E-9 1.950E-9 -2.115E-2
6.000E-9 2.000E-9 -2.222E-2
6.000E-9 2.050E-9 -2.332E-2
6.000E-9 2.100E-9 -2.444E-2
6.000E-9 2.150E-9 -2.559E-2
6.000E-9 2.200E-9 -2.675E-2
6.000E-9 2.250E-9 -2.795E-2
6.000E-9 2.300E-9 -2.916E-2
6.000E-9 2.350E-9 -3.040E-2
6.000E-9 2.400E-9 -3.166E-2
6.000E-9 2.450E-9 -3.295E-2
6.000E-9 2.500E-9 -3.426E-2
6.000E-9 2.550E-9 -3.559E-2
6.000E-9 2.600E-9 -3.694E-2
6.000E-9 2.650E-9 -3.831E-2
6.000E-9 2.700E-9 -3.971E-2
6.000E-9 2.750E-9 -4.113E-2
6.000E-9 2.800E-9 -4.256E-2
6.000E-9 2.850E-9 -4.402E-2
6.000E-9 2.900E-9 -4.551E-2
6.000E-9 2.950E-9 -4.701E-2
6.000E-9 3.000E-9 -4.853E-2
6.500E-9 3.000E-10 -4.962E-4
6.500E-9 3.500E-10 -6.752E-4
6.500E-9 4.000E-10 -8.817E-4
6.500E-9 4.500E-10 -1.116E-3
6.500E-9 5.000E-10 -1.377E-3
6.500E-9 5.500E-10 -1.666E-3
6.500E-9 6.000E-10 -1.981E-3
6.500E-9 6.500E-10 -2.325E-3
6.500E-9 7.000E-10 -2.695E-3
6.500E-9 7.500E-10 -3.092E-3
6.500E-9 8.000E-10 -3.517E-3
6.500E-9 8.500E-10 -3.968E-3
6.500E-9 9.000E-10 -4.446E-3
6.500E-9 9.500E-10 -4.951E-3
6.500E-9 1.000E-9 -5.483E-3
6.500E-9 1.050E-9 -6.041E-3
6.500E-9 1.100E-9 -6.626E-3
6.500E-9 1.150E-9 -7.238E-3
6.500E-9 1.200E-9 -7.875E-3
6.500E-9 1.250E-9 -8.539E-3
6.500E-9 1.300E-9 -9.229E-3
6.500E-9 1.350E-9 -9.945E-3
6.500E-9 1.400E-9 -1.069E-2
6.500E-9 1.450E-9 -1.145E-2
6.500E-9 1.500E-9 -1.225E-2
6.500E-9 1.550E-9 -1.306E-2
6.500E-9 1.600E-9 -1.391E-2
6.500E-9 1.650E-9 -1.478E-2
6.500E-9 1.700E-9 -1.567E-2
6.500E-9 1.750E-9 -1.659E-2
6.500E-9 1.800E-9 -1.753E-2
6.500E-9 1.850E-9 -1.850E-2
6.500E-9 1.900E-9 -1.949E-2
6.500E-9 1.950E-9 -2.051E-2
6.500E-9 2.000E-9 -2.155E-2
6.500E-9 2.050E-9 -2.261E-2
6.500E-9 2.100E-9 -2.370E-2
6.500E-9 2.150E-9 -2.481E-2
6.500E-9 2.200E-9 -2.595E-2
6.500E-9 2.250E-9 -2.711E-2
6.500E-9 2.300E-9 -2.829E-2
6.500E-9 2.350E-9 -2.949E-2
6.500E-9 2.400E-9 -3.072E-2
6.500E-9 2.450E-9 -3.197E-2
6.500E-9 2.500E-9 -3.324E-2
6.500E-9 2.550E-9 -3.453E-2
6.500E-9 2.600E-9 -3.585E-2
6.500E-9 2.650E-9 -3.718E-2
6.500E-9 2.700E-9 -3.854E-2
6.500E-9 2.750E-9 -3.992E-2
6.500E-9 2.800E-9 -4.132E-2
6.500E-9 2.850E-9 -4.274E-2
6.500E-9 2.900E-9 -4.418E-2
6.500E-9 2.950E-9 -4.564E-2
6.500E-9 3.000E-9 -4.713E-2
7.000E-9 3.000E-10 -4.808E-4
7.000E-9 3.500E-10 -6.543E-4
7.000E-9 4.000E-10 -8.545E-4
7.000E-9 4.500E-10 -1.081E-3
7.000E-9 5.000E-10 -1.334E-3
7.000E-9 5.500E-10 -1.614E-3
7.000E-9 6.000E-10 -1.920E-3
7.000E-9 6.500E-10 -2.253E-3
7.000E-9 7.000E-10 -2.612E-3
7.000E-9 7.500E-10 -2.997E-3
7.000E-9 8.000E-10 -3.409E-3
7.000E-9 8.500E-10 -3.846E-3
7.000E-9 9.000E-10 -4.310E-3
7.000E-9 9.500E-10 -4.800E-3
7.000E-9 1.000E-9 -5.315E-3
7.000E-9 1.050E-9 -5.857E-3
7.000E-9 1.100E-9 -6.424E-3
7.000E-9 1.150E-9 -7.017E-3
7.000E-9 1.200E-9 -7.635E-3
7.000E-9 1.250E-9 -8.279E-3
7.000E-9 1.300E-9 -8.948E-3
7.000E-9 1.350E-9 -9.642E-3
7.000E-9 1.400E-9 -1.036E-2
7.000E-9 1.450E-9 -1.111E-2
7.000E-9 1.500E-9 -1.188E-2
7.000E-9 1.550E-9 -1.267E-2
7.000E-9 1.600E-9 -1.349E-2
7.000E-9 1.650E-9 -1.433E-2
7.000E-9 1.700E-9 -1.520E-2
7.000E-9 1.750E-9 -1.609E-2
7.000E-9 1.800E-9 -1.701E-2
7.000E-9 1.850E-9 -1.795E-2
7.000E-9 1.900E-9 -1.891E-2
7.000E-9 1.950E-9 -1.990E-2
7.000E-9 2.000E-9 -2.091E-2
7.000E-9 2.050E-9 -2.194E-2
7.000E-9 2.100E-9 -2.300E-2
7.000E-9 2.150E-9 -2.408E-2
7.000E-9 2.200E-9 -2.518E-2
7.000E-9 2.250E-9 -2.631E-2
7.000E-9 2.300E-9 -2.745E-2
7.000E-9 2.350E-9 -2.862E-2
7.000E-9 2.400E-9 -2.982E-2
7.000E-9 2.450E-9 -3.103E-2
7.000E-9 2.500E-9 -3.227E-2
7.000E-9 2.550E-9 -3.352E-2
7.000E-9 2.600E-9 -3.480E-2
7.000E-9 2.650E-9 -3.610E-2
7.000E-9 2.700E-9 -3.742E-2
7.000E-9 2.750E-9 -3.877E-2
7.000E-9 2.800E-9 -4.013E-2
7.000E-9 2.850E-9 -4.151E-2
7.000E-9 2.900E-9 -4.291E-2
7.000E-9 2.950E-9 -4.434E-2
7.000E-9 3.000E-9 -4.578E-2
7.500E-9 3.000E-10 -4.663E-4
7.500E-9 3.500E-10 -6.345E-4
7.500E-9 4.000E-10 -8.286E-4
7.500E-9 4.500E-10 -1.048E-3
7.500E-9 5.000E-10 -1.294E-3
7.500E-9 5.500E-10 -1.565E-3
7.500E-9 6.000E-10 -1.862E-3
7.500E-9 6.500E-10 -2.185E-3
7.500E-9 7.000E-10 -2.533E-3
7.500E-9 7.500E-10 -2.907E-3
7.500E-9 8.000E-10 -3.306E-3
7.500E-9 8.500E-10 -3.730E-3
7.500E-9 9.000E-10 -4.180E-3
7.500E-9 9.500E-10 -4.655E-3
7.500E-9 1.000E-9 -5.155E-3
7.500E-9 1.050E-9 -5.681E-3
7.500E-9 1.100E-9 -6.231E-3
7.500E-9 1.150E-9 -6.806E-3
7.500E-9 1.200E-9 -7.406E-3
7.500E-9 1.250E-9 -8.031E-3
7.500E-9 1.300E-9 -8.681E-3
7.500E-9 1.350E-9 -9.354E-3
7.500E-9 1.400E-9 -1.005E-2
7.500E-9 1.450E-9 -1.078E-2
7.500E-9 1.500E-9 -1.152E-2
7.500E-9 1.550E-9 -1.229E-2
7.500E-9 1.600E-9 -1.309E-2
7.500E-9 1.650E-9 -1.391E-2
7.500E-9 1.700E-9 -1.475E-2
7.500E-9 1.750E-9 -1.562E-2
7.500E-9 1.800E-9 -1.651E-2
7.500E-9 1.850E-9 -1.742E-2
7.500E-9 1.900E-9 -1.835E-2
7.500E-9 1.950E-9 -1.931E-2
7.500E-9 2.000E-9 -2.029E-2
7.500E-9 2.050E-9 -2.130E-2
7.500E-9 2.100E-9 -2.233E-2
7.500E-9 2.150E-9 -2.338E-2
7.500E-9 2.200E-9 -2.445E-2
7.500E-9 2.250E-9 -2.554E-2
7.500E-9 2.300E-9 -2.666E-2
7.500E-9 2.350E-9 -2.780E-2
7.500E-9 2.400E-9 -2.896E-2
7.500E-9 2.450E-9 -3.014E-2
7.500E-9 2.500E-9 -3.134E-2
7.500E-9 2.550E-9 -3.256E-2
7.500E-9 2.600E-9 -3.381E-2
7.500E-9 2.650E-9 -3.507E-2
7.500E-9 2.700E-9 -3.636E-2
7.500E-9 2.750E-9 -3.766E-2
7.500E-9 2.800E-9 -3.899E-2
7.500E-9 2.850E-9 -4.033E-2
7.500E-9 2.900E-9 -4.170E-2
7.500E-9 2.950E-9 -4.308E-2
7.500E-9 3.000E-9 -4.449E-2
8.000E-9 3.000E-10 -4.524E-4
8.000E-9 3.500E-10 -6.157E-4
8.000E-9 4.000E-10 -8.041E-4
8.000E-9 4.500E-10 -1.017E-3
8.000E-9 5.000E-10 -1.256E-3
8.000E-9 5.500E-10 -1.519E-3
8.000E-9 6.000E-10 -1.807E-3
8.000E-9 6.500E-10 -2.120E-3
8.000E-9 7.000E-10 -2.458E-3
8.000E-9 7.500E-10 -2.821E-3
8.000E-9 8.000E-10 -3.208E-3
8.000E-9 8.500E-10 -3.620E-3
8.000E-9 9.000E-10 -4.057E-3
8.000E-9 9.500E-10 -4.518E-3
8.000E-9 1.000E-9 -5.004E-3
8.000E-9 1.050E-9 -5.514E-3
8.000E-9 1.100E-9 -6.048E-3
8.000E-9 1.150E-9 -6.606E-3
8.000E-9 1.200E-9 -7.189E-3
8.000E-9 1.250E-9 -7.796E-3
8.000E-9 1.300E-9 -8.426E-3
8.000E-9 1.350E-9 -9.081E-3
8.000E-9 1.400E-9 -9.759E-3
8.000E-9 1.450E-9 -1.046E-2
8.000E-9 1.500E-9 -1.119E-2
8.000E-9 1.550E-9 -1.194E-2
8.000E-9 1.600E-9 -1.271E-2
8.000E-9 1.650E-9 -1.350E-2
8.000E-9 1.700E-9 -1.432E-2
8.000E-9 1.750E-9 -1.516E-2
8.000E-9 1.800E-9 -1.603E-2
8.000E-9 1.850E-9 -1.691E-2
8.000E-9 1.900E-9 -1.782E-2
8.000E-9 1.950E-9 -1.876E-2
8.000E-9 2.000E-9 -1.971E-2
8.000E-9 2.050E-9 -2.069E-2
8.000E-9 2.100E-9 -2.169E-2
8.000E-9 2.150E-9 -2.271E-2
8.000E-9 2.200E-9 -2.375E-2
8.000E-9 2.250E-9 -2.481E-2
8.000E-9 2.300E-9 -2.590E-2
8.000E-9 2.350E-9 -2.701E-2
8.000E-9 2.400E-9 -2.813E-2
8.000E-9 2.450E-9 -2.928E-2
8.000E-9 2.500E-9 -3.045E-2
8.000E-9 2.550E-9 -3.164E-2
8.000E-9 2.600E-9 -3.285E-2
8.000E-9 2.650E-9 -3.408E-2
8.000E-9 2.700E-9 -3.534E-2
8.000E-9 2.750E-9 -3.661E-2
8.000E-9 2.800E-9 -3.790E-2
8.000E-9 2.850E-9 -3.921E-2
8.000E-9 2.900E-9 -4.054E-2
8.000E-9 2.950E-9 -4.189E-2
8.000E-9 3.000E-9 -4.326E-2
8.500E-9 3.000E-10 -4.393E-4
8.500E-9 3.500E-10 -5.979E-4
8.500E-9 4.000E-10 -7.807E-4
8.500E-9 4.500E-10 -9.879E-4
8.500E-9 5.000E-10 -1.219E-3
8.500E-9 5.500E-10 -1.475E-3
8.500E-9 6.000E-10 -1.755E-3
8.500E-9 6.500E-10 -2.059E-3
8.500E-9 7.000E-10 -2.387E-3
8.500E-9 7.500E-10 -2.739E-3
8.500E-9 8.000E-10 -3.116E-3
8.500E-9 8.500E-10 -3.516E-3
8.500E-9 9.000E-10 -3.940E-3
8.500E-9 9.500E-10 -4.388E-3
8.500E-9 1.000E-9 -4.859E-3
8.500E-9 1.050E-9 -5.355E-3
8.500E-9 1.100E-9 -5.874E-3
8.500E-9 1.150E-9 -6.416E-3
8.500E-9 1.200E-9 -6.982E-3
8.500E-9 1.250E-9 -7.572E-3
8.500E-9 1.300E-9 -8.185E-3
8.500E-9 1.350E-9 -8.820E-3
8.500E-9 1.400E-9 -9.480E-3
8.500E-9 1.450E-9 -1.016E-2
8.500E-9 1.500E-9 -1.087E-2
8.500E-9 1.550E-9 -1.159E-2
8.500E-9 1.600E-9 -1.235E-2
8.500E-9 1.650E-9 -1.312E-2
8.500E-9 1.700E-9 -1.391E-2
8.500E-9 1.750E-9 -1.473E-2
