delta fi L
8 2 9.939E-4
8 4 9.854E-4
8 6 9.715E-4
8 8 9.520E-4
8 10 9.271E-4
8 12 8.970E-4
8 14 8.617E-4
8 16 8.215E-4
8 18 7.765E-4
8 20 7.269E-4
8 22 6.731E-4
8 24 6.153E-4
8 26 5.537E-4
8 28 4.886E-4
8 30 4.204E-4
8 32 3.494E-4
8 34 2.760E-4
8 36 2.005E-4
8 38 1.232E-4
8 40 4.463E-5
8 42 -3.493E-5
8 44 -1.151E-4
8 46 -1.954E-4
8 48 -2.755E-4
8 50 -3.550E-4
8 52 -4.335E-4
8 54 -5.107E-4
8 56 -5.861E-4
8 58 -6.594E-4
8 60 -7.302E-4
8 62 -7.982E-4
8 64 -8.631E-4
8 66 -9.246E-4
8 68 -9.822E-4
8 70 -1.036E-3
8 72 -1.085E-3
8 74 -1.130E-3
8 76 -1.170E-3
8 78 -1.205E-3
8 80 -1.235E-3
8 82 -1.260E-3
8 84 -1.279E-3
8 86 -1.293E-3
8 88 -1.302E-3
8 90 -1.305E-3
8 92 -1.302E-3
8 94 -1.293E-3
8 96 -1.279E-3
8 98 -1.260E-3
8 100 -1.235E-3
8 102 -1.205E-3
8 104 -1.170E-3
8 106 -1.130E-3
8 108 -1.085E-3
8 110 -1.036E-3
8 112 -9.822E-4
8 114 -9.246E-4
8 116 -8.631E-4
8 118 -7.982E-4
8 120 -7.302E-4
8 122 -6.594E-4
8 124 -5.861E-4
8 126 -5.107E-4
8 128 -4.335E-4
8 130 -3.550E-4
8 132 -2.755E-4
8 134 -1.954E-4
8 136 -1.151E-4
8 138 -3.493E-5
8 140 4.463E-5
8 142 1.232E-4
8 144 2.005E-4
8 146 2.760E-4
8 148 3.494E-4
8 150 4.204E-4
8 152 4.886E-4
8 154 5.537E-4
8 156 6.153E-4
8 158 6.731E-4
8 160 7.269E-4
8 162 7.765E-4
8 164 8.215E-4
8 166 8.617E-4
8 168 8.970E-4
8 170 9.271E-4
8 172 9.520E-4
8 174 9.715E-4
8 176 9.854E-4
8 178 9.939E-4
8 180 9.967E-4
10 0 1.018E-3
10 2 1.015E-3
10 4 1.006E-3
10 6 9.918E-4
10 8 9.720E-4
10 10 9.466E-4
10 12 9.158E-4
10 14 8.798E-4
10 16 8.387E-4
10 18 7.928E-4
10 20 7.422E-4
10 22 6.872E-4
10 24 6.282E-4
10 26 5.652E-4
10 28 4.988E-4
10 30 4.292E-4
10 32 3.567E-4
10 34 2.818E-4
10 36 2.046E-4
10 38 1.258E-4
10 40 4.553E-5
10 42 -3.569E-5
10 44 -1.175E-4
10 46 -1.995E-4
10 48 -2.813E-4
10 50 -3.625E-4
10 52 -4.426E-4
10 54 -5.214E-4
10 56 -5.984E-4
10 58 -6.732E-4
10 60 -7.456E-4
10 62 -8.150E-4
10 64 -8.813E-4
10 66 -9.440E-4
10 68 -1.003E-3
10 70 -1.058E-3
10 72 -1.108E-3
10 74 -1.154E-3
10 76 -1.195E-3
10 78 -1.231E-3
10 80 -1.261E-3
10 82 -1.287E-3
10 84 -1.306E-3
10 86 -1.321E-3
10 88 -1.329E-3
10 90 -1.332E-3
10 92 -1.329E-3
10 94 -1.321E-3
10 96 -1.306E-3
10 98 -1.287E-3
10 100 -1.261E-3
10 102 -1.231E-3
10 104 -1.195E-3
10 106 -1.154E-3
10 108 -1.108E-3
10 110 -1.058E-3
10 112 -1.003E-3
10 114 -9.440E-4
10 116 -8.813E-4
10 118 -8.150E-4
10 120 -7.456E-4
10 122 -6.732E-4
10 124 -5.984E-4
10 126 -5.214E-4
10 128 -4.426E-4
10 130 -3.625E-4
10 132 -2.813E-4
10 134 -1.995E-4
10 136 -1.175E-4
10 138 -3.569E-5
10 140 4.553E-5
10 142 1.258E-4
10 144 2.046E-4
10 146 2.818E-4
10 148 3.567E-4
10 150 4.292E-4
10 152 4.988E-4
10 154 5.652E-4
10 156 6.282E-4
10 158 6.872E-4
10 160 7.422E-4
10 162 7.928E-4
10 164 8.387E-4
10 166 8.798E-4
10 168 9.158E-4
10 170 9.466E-4
10 172 9.720E-4
10 174 9.918E-4
10 176 1.006E-3
10 178 1.015E-3
10 180 1.018E-3
12 0 1.043E-3
12 2 1.040E-3
12 4 1.031E-3
12 6 1.017E-3
12 8 9.963E-4
12 10 9.703E-4
12 12 9.387E-4
12 14 9.018E-4
12 16 8.597E-4
12 18 8.126E-4
12 20 7.608E-4
12 22 7.044E-4
12 24 6.439E-4
12 26 5.794E-4
12 28 5.113E-4
12 30 4.399E-4
12 32 3.656E-4
12 34 2.888E-4
12 36 2.097E-4
12 38 1.289E-4
12 40 4.663E-5
12 42 -3.663E-5
12 44 -1.205E-4
12 46 -2.045E-4
12 48 -2.884E-4
12 50 -3.716E-4
12 52 -4.538E-4
12 54 -5.345E-4
12 56 -6.134E-4
12 58 -6.902E-4
12 60 -7.643E-4
12 62 -8.355E-4
12 64 -9.034E-4
12 66 -9.677E-4
12 68 -1.028E-3
12 70 -1.084E-3
12 72 -1.136E-3
12 74 -1.183E-3
12 76 -1.225E-3
12 78 -1.261E-3
12 80 -1.293E-3
12 82 -1.319E-3
12 84 -1.339E-3
12 86 -1.354E-3
12 88 -1.362E-3
12 90 -1.365E-3
12 92 -1.362E-3
12 94 -1.354E-3
12 96 -1.339E-3
12 98 -1.319E-3
12 100 -1.293E-3
12 102 -1.261E-3
12 104 -1.225E-3
12 106 -1.183E-3
12 108 -1.136E-3
12 110 -1.084E-3
12 112 -1.028E-3
12 114 -9.677E-4
12 116 -9.034E-4
12 118 -8.355E-4
12 120 -7.643E-4
12 122 -6.902E-4
12 124 -6.134E-4
12 126 -5.345E-4
12 128 -4.538E-4
12 130 -3.716E-4
12 132 -2.884E-4
12 134 -2.045E-4
12 136 -1.205E-4
12 138 -3.663E-5
12 140 4.663E-5
12 142 1.289E-4
12 144 2.097E-4
12 146 2.888E-4
12 148 3.656E-4
12 150 4.399E-4
12 152 5.113E-4
12 154 5.794E-4
12 156 6.439E-4
12 158 7.044E-4
12 160 7.608E-4
12 162 8.126E-4
12 164 8.597E-4
12 166 9.018E-4
12 168 9.387E-4
12 170 9.703E-4
12 172 9.963E-4
12 174 1.017E-3
12 176 1.031E-3
12 178 1.040E-3
12 180 1.043E-3
14 0 1.073E-3
14 2 1.070E-3
14 4 1.061E-3
14 6 1.046E-3
14 8 1.025E-3
14 10 9.983E-4
14 12 9.658E-4
14 14 9.278E-4
14 16 8.845E-4
14 18 8.360E-4
14 20 7.827E-4
14 22 7.247E-4
14 24 6.624E-4
14 26 5.961E-4
14 28 5.260E-4
14 30 4.526E-4
14 32 3.761E-4
14 34 2.971E-4
14 36 2.157E-4
14 38 1.326E-4
14 40 4.793E-5
14 42 -3.774E-5
14 44 -1.240E-4
14 46 -2.105E-4
14 48 -2.967E-4
14 50 -3.824E-4
14 52 -4.669E-4
14 54 -5.500E-4
14 56 -6.312E-4
14 58 -7.101E-4
14 60 -7.864E-4
14 62 -8.596E-4
14 64 -9.295E-4
14 66 -9.956E-4
14 68 -1.058E-3
14 70 -1.115E-3
14 72 -1.169E-3
14 74 -1.217E-3
14 76 -1.260E-3
14 78 -1.298E-3
14 80 -1.330E-3
14 82 -1.357E-3
14 84 -1.378E-3
14 86 -1.393E-3
14 88 -1.402E-3
14 90 -1.405E-3
14 92 -1.402E-3
14 94 -1.393E-3
14 96 -1.378E-3
14 98 -1.357E-3
14 100 -1.330E-3
14 102 -1.298E-3
14 104 -1.260E-3
14 106 -1.217E-3
14 108 -1.169E-3
14 110 -1.115E-3
14 112 -1.058E-3
14 114 -9.956E-4
14 116 -9.295E-4
14 118 -8.596E-4
14 120 -7.864E-4
14 122 -7.101E-4
14 124 -6.312E-4
14 126 -5.500E-4
14 128 -4.669E-4
14 130 -3.824E-4
14 132 -2.967E-4
14 134 -2.105E-4
14 136 -1.240E-4
14 138 -3.774E-5
14 140 4.793E-5
14 142 1.326E-4
14 144 2.157E-4
14 146 2.971E-4
14 148 3.761E-4
14 150 4.526E-4
14 152 5.260E-4
14 154 5.961E-4
14 156 6.624E-4
14 158 7.247E-4
14 160 7.827E-4
14 162 8.360E-4
14 164 8.845E-4
14 166 9.278E-4
14 168 9.658E-4
14 170 9.983E-4
14 172 1.025E-3
14 174 1.046E-3
14 176 1.061E-3
14 178 1.070E-3
14 180 1.073E-3
16 0 1.108E-3
16 2 1.105E-3
16 4 1.095E-3
16 6 1.080E-3
16 8 1.058E-3
16 10 1.030E-3
16 12 9.969E-4
16 14 9.577E-4
16 16 9.130E-4
16 18 8.629E-4
16 20 8.079E-4
16 22 7.480E-4
16 24 6.837E-4
16 26 6.152E-4
16 28 5.429E-4
16 30 4.671E-4
16 32 3.882E-4
16 34 3.066E-4
16 36 2.226E-4
16 38 1.368E-4
16 40 4.941E-5
16 42 -3.901E-5
16 44 -1.281E-4
16 46 -2.173E-4
16 48 -3.064E-4
16 50 -3.947E-4
16 52 -4.820E-4
16 54 -5.678E-4
16 56 -6.516E-4
16 58 -7.330E-4
16 60 -8.118E-4
16 62 -8.874E-4
16 64 -9.595E-4
16 66 -1.028E-3
16 68 -1.092E-3
16 70 -1.151E-3
16 72 -1.206E-3
16 74 -1.256E-3
16 76 -1.301E-3
16 78 -1.340E-3
16 80 -1.373E-3
16 82 -1.401E-3
16 84 -1.422E-3
16 86 -1.438E-3
16 88 -1.447E-3
16 90 -1.450E-3
16 92 -1.447E-3
16 94 -1.438E-3
16 96 -1.422E-3
16 98 -1.401E-3
16 100 -1.373E-3
16 102 -1.340E-3
16 104 -1.301E-3
16 106 -1.256E-3
16 108 -1.206E-3
16 110 -1.151E-3
16 112 -1.092E-3
16 114 -1.028E-3
16 116 -9.595E-4
16 118 -8.874E-4
16 120 -8.118E-4
16 122 -7.330E-4
16 124 -6.516E-4
16 126 -5.678E-4
16 128 -4.820E-4
16 130 -3.947E-4
16 132 -3.064E-4
16 134 -2.173E-4
16 136 -1.281E-4
16 138 -3.901E-5
16 140 4.941E-5
16 142 1.368E-4
16 144 2.226E-4
16 146 3.066E-4
16 148 3.882E-4
16 150 4.671E-4
16 152 5.429E-4
16 154 6.152E-4
16 156 6.837E-4
16 158 7.480E-4
16 160 8.079E-4
16 162 8.629E-4
16 164 9.130E-4
16 166 9.577E-4
16 168 9.969E-4
16 170 1.030E-3
16 172 1.058E-3
16 174 1.080E-3
16 176 1.095E-3
16 178 1.105E-3
16 180 1.108E-3
18 0 1.147E-3
18 2 1.144E-3
18 4 1.134E-3
18 6 1.118E-3
18 8 1.095E-3
18 10 1.067E-3
18 12 1.032E-3
18 14 9.914E-4
18 16 9.451E-4
18 18 8.934E-4
18 20 8.363E-4
18 22 7.744E-4
18 24 7.078E-4
18 26 6.369E-4
18 28 5.620E-4
18 30 4.835E-4
18 32 4.018E-4
18 34 3.173E-4
18 36 2.304E-4
18 38 1.415E-4
18 40 5.109E-5
18 42 -4.046E-5
18 44 -1.327E-4
18 46 -2.251E-4
18 48 -3.173E-4
18 50 -4.087E-4
18 52 -4.991E-4
18 54 -5.879E-4
18 56 -6.746E-4
18 58 -7.590E-4
18 60 -8.405E-4
18 62 -9.187E-4
18 64 -9.934E-4
18 66 -1.064E-3
18 68 -1.130E-3
18 70 -1.192E-3
18 72 -1.249E-3
18 74 -1.301E-3
18 76 -1.347E-3
18 78 -1.387E-3
18 80 -1.422E-3
18 82 -1.450E-3
18 84 -1.472E-3
18 86 -1.488E-3
18 88 -1.498E-3
18 90 -1.501E-3
18 92 -1.498E-3
18 94 -1.488E-3
18 96 -1.472E-3
18 98 -1.450E-3
18 100 -1.422E-3
18 102 -1.387E-3
18 104 -1.347E-3
18 106 -1.301E-3
18 108 -1.249E-3
18 110 -1.192E-3
18 112 -1.130E-3
18 114 -1.064E-3
18 116 -9.934E-4
18 118 -9.187E-4
18 120 -8.405E-4
18 122 -7.590E-4
18 124 -6.746E-4
18 126 -5.879E-4
18 128 -4.991E-4
18 130 -4.087E-4
18 132 -3.173E-4
18 134 -2.251E-4
18 136 -1.327E-4
18 138 -4.046E-5
18 140 5.109E-5
18 142 1.415E-4
18 144 2.304E-4
18 146 3.173E-4
18 148 4.018E-4
18 150 4.835E-4
18 152 5.620E-4
18 154 6.369E-4
18 156 7.078E-4
18 158 7.744E-4
18 160 8.363E-4
18 162 8.934E-4
18 164 9.451E-4
18 166 9.914E-4
18 168 1.032E-3
18 170 1.067E-3
18 172 1.095E-3
18 174 1.118E-3
18 176 1.134E-3
18 178 1.144E-3
18 180 1.147E-3
20 0 1.190E-3
20 2 1.187E-3
20 4 1.177E-3
20 6 1.160E-3
20 8 1.137E-3
20 10 1.107E-3
20 12 1.071E-3
20 14 1.029E-3
20 16 9.810E-4
20 18 9.272E-4
20 20 8.680E-4
20 22 8.037E-4
20 24 7.346E-4
20 26 6.610E-4
20 28 5.833E-4
20 30 5.018E-4
20 32 4.170E-4
20 34 3.293E-4
20 36 2.391E-4
20 38 1.468E-4
20 40 5.294E-5
20 42 -4.208E-5
20 44 -1.378E-4
20 46 -2.337E-4
20 48 -3.294E-4
20 50 -4.243E-4
20 52 -5.181E-4
20 54 -6.102E-4
20 56 -7.003E-4
20 58 -7.878E-4
20 60 -8.724E-4
20 62 -9.537E-4
20 64 -1.031E-3
20 66 -1.104E-3
20 68 -1.173E-3
20 70 -1.237E-3
20 72 -1.296E-3
20 74 -1.350E-3
20 76 -1.398E-3
20 78 -1.440E-3
20 80 -1.476E-3
20 82 -1.505E-3
20 84 -1.528E-3
20 86 -1.545E-3
20 88 -1.555E-3
20 90 -1.558E-3
20 92 -1.555E-3
20 94 -1.545E-3
20 96 -1.528E-3
20 98 -1.505E-3
20 100 -1.476E-3
20 102 -1.440E-3
20 104 -1.398E-3
20 106 -1.350E-3
20 108 -1.296E-3
20 110 -1.237E-3
20 112 -1.173E-3
20 114 -1.104E-3
20 116 -1.031E-3
20 118 -9.537E-4
20 120 -8.724E-4
20 122 -7.878E-4
20 124 -7.003E-4
20 126 -6.102E-4
20 128 -5.181E-4
20 130 -4.243E-4
20 132 -3.294E-4
20 134 -2.337E-4
20 136 -1.378E-4
20 138 -4.208E-5
20 140 5.294E-5
20 142 1.468E-4
20 144 2.391E-4
20 146 3.293E-4
20 148 4.170E-4
20 150 5.018E-4
20 152 5.833E-4
20 154 6.610E-4
20 156 7.346E-4
20 158 8.037E-4
20 160 8.680E-4
20 162 9.272E-4
20 164 9.810E-4
20 166 1.029E-3
20 168 1.071E-3
20 170 1.107E-3
20 172 1.137E-3
20 174 1.160E-3
20 176 1.177E-3
20 178 1.187E-3
20 180 1.190E-3
22 0 1.238E-3
22 2 1.235E-3
22 4 1.224E-3
22 6 1.207E-3
22 8 1.183E-3
22 10 1.152E-3
22 12 1.114E-3
22 14 1.070E-3
22 16 1.020E-3
22 18 9.645E-4
22 20 9.029E-4
22 22 8.360E-4
22 24 7.641E-4
22 26 6.875E-4
22 28 6.067E-4
22 30 5.219E-4
22 32 4.337E-4
22 34 3.425E-4
22 36 2.486E-4
22 38 1.526E-4
22 40 5.498E-5
22 42 -4.386E-5
22 44 -1.434E-4
22 46 -2.432E-4
22 48 -3.427E-4
22 50 -4.415E-4
22 52 -5.390E-4
22 54 -6.349E-4
22 56 -7.286E-4
22 58 -8.196E-4
22 60 -9.076E-4
22 62 -9.921E-4
22 64 -1.073E-3
22 66 -1.149E-3
22 68 -1.221E-3
22 70 -1.287E-3
22 72 -1.349E-3
22 74 -1.404E-3
22 76 -1.454E-3
22 78 -1.498E-3
22 80 -1.535E-3
22 82 -1.566E-3
22 84 -1.590E-3
22 86 -1.607E-3
22 88 -1.617E-3
22 90 -1.621E-3
22 92 -1.617E-3
22 94 -1.607E-3
22 96 -1.590E-3
22 98 -1.566E-3
22 100 -1.535E-3
22 102 -1.498E-3
22 104 -1.454E-3
22 106 -1.404E-3
22 108 -1.349E-3
22 110 -1.287E-3
22 112 -1.221E-3
22 114 -1.149E-3
22 116 -1.073E-3
22 118 -9.921E-4
22 120 -9.076E-4
22 122 -8.196E-4
22 124 -7.286E-4
22 126 -6.349E-4
22 128 -5.390E-4
22 130 -4.415E-4
22 132 -3.427E-4
22 134 -2.432E-4
22 136 -1.434E-4
22 138 -4.386E-5
22 140 5.498E-5
22 142 1.526E-4
22 144 2.486E-4
22 146 3.425E-4
22 148 4.337E-4
22 150 5.219E-4
22 152 6.067E-4
22 154 6.875E-4
22 156 7.641E-4
22 158 8.360E-4
22 160 9.029E-4
22 162 9.645E-4
22 164 1.020E-3
22 166 1.070E-3
22 168 1.114E-3
22 170 1.152E-3
22 172 1.183E-3
22 174 1.207E-3
22 176 1.224E-3
22 178 1.235E-3
22 180 1.238E-3
24 0 1.290E-3
24 2 1.287E-3
24 4 1.276E-3
24 6 1.258E-3
24 8 1.232E-3
24 10 1.200E-3
24 12 1.161E-3
24 14 1.115E-3
24 16 1.063E-3
24 18 1.005E-3
24 20 9.409E-4
24 22 8.712E-4
24 24 7.962E-4
24 26 7.164E-4
24 28 6.322E-4
24 30 5.439E-4
24 32 4.519E-4
24 34 3.568E-4
24 36 2.590E-4
24 38 1.590E-4
24 40 5.720E-5
24 42 -4.582E-5
24 44 -1.496E-4
24 46 -2.536E-4
24 48 -3.573E-4
24 50 -4.602E-4
24 52 -5.619E-4
24 54 -6.617E-4
24 56 -7.594E-4
24 58 -8.542E-4
24 60 -9.459E-4
24 62 -1.034E-3
24 64 -1.118E-3
24 66 -1.197E-3
24 68 -1.272E-3
24 70 -1.342E-3
24 72 -1.405E-3
24 74 -1.463E-3
24 76 -1.515E-3
24 78 -1.561E-3
24 80 -1.600E-3
24 82 -1.632E-3
24 84 -1.657E-3
24 86 -1.675E-3
24 88 -1.686E-3
24 90 -1.689E-3
24 92 -1.686E-3
24 94 -1.675E-3
24 96 -1.657E-3
24 98 -1.632E-3
24 100 -1.600E-3
24 102 -1.561E-3
24 104 -1.515E-3
24 106 -1.463E-3
24 108 -1.405E-3
24 110 -1.342E-3
24 112 -1.272E-3
24 114 -1.197E-3
24 116 -1.118E-3
24 118 -1.034E-3
24 120 -9.459E-4
24 122 -8.542E-4
24 124 -7.594E-4
24 126 -6.617E-4
24 128 -5.619E-4
24 130 -4.602E-4
24 132 -3.573E-4
24 134 -2.536E-4
24 136 -1.496E-4
24 138 -4.582E-5
24 140 5.720E-5
24 142 1.590E-4
24 144 2.590E-4
24 146 3.568E-4
24 148 4.519E-4
24 150 5.439E-4
24 152 6.322E-4
24 154 7.164E-4
24 156 7.962E-4
24 158 8.712E-4
24 160 9.409E-4
24 162 1.005E-3
24 164 1.063E-3
24 166 1.115E-3
24 168 1.161E-3
24 170 1.200E-3
24 172 1.232E-3
24 174 1.258E-3
24 176 1.276E-3
24 178 1.287E-3
24 180 1.290E-3
26 0 1.347E-3
26 2 1.343E-3
26 4 1.332E-3
26 6 1.313E-3
26 8 1.286E-3
26 10 1.253E-3
26 12 1.212E-3
26 14 1.164E-3
26 16 1.110E-3
26 18 1.049E-3
26 20 9.820E-4
26 22 9.092E-4
26 24 8.310E-4
26 26 7.477E-4
26 28 6.597E-4
26 30 5.676E-4
26 32 4.716E-4
26 34 3.723E-4
26 36 2.702E-4
26 38 1.658E-4
26 40 5.958E-5
26 42 -4.794E-5
26 44 -1.562E-4
26 46 -2.648E-4
26 48 -3.730E-4
26 50 -4.805E-4
26 52 -5.866E-4
26 54 -6.908E-4
26 56 -7.927E-4
