delta fi R2
6 36 1.996E-3
6 38 1.996E-3
6 40 1.996E-3
6 42 1.996E-3
6 44 1.996E-3
6 46 1.996E-3
6 48 1.996E-3
6 50 1.996E-3
6 52 1.996E-3
6 54 1.996E-3
6 56 1.996E-3
6 58 1.996E-3
6 60 1.996E-3
6 62 1.996E-3
6 64 1.996E-3
6 66 1.996E-3
6 68 1.996E-3
6 70 1.996E-3
6 72 1.996E-3
6 74 1.996E-3
6 76 1.996E-3
6 78 1.996E-3
6 80 1.996E-3
6 82 1.996E-3
6 84 1.996E-3
6 86 1.996E-3
6 88 1.996E-3
6 90 1.996E-3
6 92 1.996E-3
6 94 1.996E-3
6 96 1.996E-3
6 98 1.996E-3
6 100 1.996E-3
6 102 1.996E-3
6 104 1.996E-3
6 106 1.996E-3
6 108 1.996E-3
6 110 1.996E-3
6 112 1.996E-3
6 114 1.996E-3
6 116 1.996E-3
6 118 1.996E-3
6 120 1.996E-3
6 122 1.996E-3
6 124 1.996E-3
6 126 1.996E-3
6 128 1.996E-3
6 130 1.996E-3
6 132 1.996E-3
6 134 1.996E-3
6 136 1.996E-3
6 138 1.996E-3
6 140 1.996E-3
6 142 1.996E-3
6 144 1.996E-3
6 146 1.996E-3
6 148 1.996E-3
6 150 1.996E-3
6 152 1.996E-3
6 154 1.996E-3
6 156 1.996E-3
6 158 1.996E-3
6 160 1.996E-3
6 162 1.996E-3
6 164 1.996E-3
6 166 1.996E-3
6 168 1.996E-3
6 170 1.996E-3
6 172 1.996E-3
6 174 1.996E-3
6 176 1.996E-3
6 178 1.996E-3
6 180 1.996E-3
8 0 2.029E-3
8 2 2.029E-3
8 4 2.029E-3
8 6 2.029E-3
8 8 2.029E-3
8 10 2.029E-3
8 12 2.029E-3
8 14 2.029E-3
8 16 2.029E-3
8 18 2.029E-3
8 20 2.029E-3
8 22 2.029E-3
8 24 2.029E-3
8 26 2.029E-3
8 28 2.029E-3
8 30 2.029E-3
8 32 2.029E-3
8 34 2.029E-3
8 36 2.029E-3
8 38 2.029E-3
8 40 2.029E-3
8 42 2.029E-3
8 44 2.029E-3
8 46 2.029E-3
8 48 2.029E-3
8 50 2.029E-3
8 52 2.029E-3
8 54 2.029E-3
8 56 2.029E-3
8 58 2.029E-3
8 60 2.029E-3
8 62 2.029E-3
8 64 2.029E-3
8 66 2.029E-3
8 68 2.029E-3
8 70 2.029E-3
8 72 2.029E-3
8 74 2.029E-3
8 76 2.029E-3
8 78 2.029E-3
8 80 2.029E-3
8 82 2.029E-3
8 84 2.029E-3
8 86 2.029E-3
8 88 2.029E-3
8 90 2.029E-3
8 92 2.029E-3
8 94 2.029E-3
8 96 2.029E-3
8 98 2.029E-3
8 100 2.029E-3
8 102 2.029E-3
8 104 2.029E-3
8 106 2.029E-3
8 108 2.029E-3
8 110 2.029E-3
8 112 2.029E-3
8 114 2.029E-3
8 116 2.029E-3
8 118 2.029E-3
8 120 2.029E-3
8 122 2.029E-3
8 124 2.029E-3
8 126 2.029E-3
8 128 2.029E-3
8 130 2.029E-3
8 132 2.029E-3
8 134 2.029E-3
8 136 2.029E-3
8 138 2.029E-3
8 140 2.029E-3
8 142 2.029E-3
8 144 2.029E-3
8 146 2.029E-3
8 148 2.029E-3
8 150 2.029E-3
8 152 2.029E-3
8 154 2.029E-3
8 156 2.029E-3
8 158 2.029E-3
8 160 2.029E-3
8 162 2.029E-3
8 164 2.029E-3
8 166 2.029E-3
8 168 2.029E-3
8 170 2.029E-3
8 172 2.029E-3
8 174 2.029E-3
8 176 2.029E-3
8 178 2.029E-3
8 180 2.029E-3
10 0 2.072E-3
10 2 2.072E-3
10 4 2.072E-3
10 6 2.072E-3
10 8 2.072E-3
10 10 2.072E-3
10 12 2.072E-3
10 14 2.072E-3
10 16 2.072E-3
10 18 2.072E-3
10 20 2.072E-3
10 22 2.072E-3
10 24 2.072E-3
10 26 2.072E-3
10 28 2.072E-3
10 30 2.072E-3
10 32 2.072E-3
10 34 2.072E-3
10 36 2.072E-3
10 38 2.072E-3
10 40 2.072E-3
10 42 2.072E-3
10 44 2.072E-3
10 46 2.072E-3
10 48 2.072E-3
10 50 2.072E-3
10 52 2.072E-3
10 54 2.072E-3
10 56 2.072E-3
10 58 2.072E-3
10 60 2.072E-3
10 62 2.072E-3
10 64 2.072E-3
10 66 2.072E-3
10 68 2.072E-3
10 70 2.072E-3
10 72 2.072E-3
10 74 2.072E-3
10 76 2.072E-3
10 78 2.072E-3
10 80 2.072E-3
10 82 2.072E-3
10 84 2.072E-3
10 86 2.072E-3
10 88 2.072E-3
10 90 2.072E-3
10 92 2.072E-3
10 94 2.072E-3
10 96 2.072E-3
10 98 2.072E-3
10 100 2.072E-3
10 102 2.072E-3
10 104 2.072E-3
10 106 2.072E-3
10 108 2.072E-3
10 110 2.072E-3
10 112 2.072E-3
10 114 2.072E-3
10 116 2.072E-3
10 118 2.072E-3
10 120 2.072E-3
10 122 2.072E-3
10 124 2.072E-3
10 126 2.072E-3
10 128 2.072E-3
10 130 2.072E-3
10 132 2.072E-3
10 134 2.072E-3
10 136 2.072E-3
10 138 2.072E-3
10 140 2.072E-3
10 142 2.072E-3
10 144 2.072E-3
10 146 2.072E-3
10 148 2.072E-3
10 150 2.072E-3
10 152 2.072E-3
10 154 2.072E-3
10 156 2.072E-3
10 158 2.072E-3
10 160 2.072E-3
10 162 2.072E-3
10 164 2.072E-3
10 166 2.072E-3
10 168 2.072E-3
10 170 2.072E-3
10 172 2.072E-3
10 174 2.072E-3
10 176 2.072E-3
10 178 2.072E-3
10 180 2.072E-3
12 0 2.124E-3
12 2 2.124E-3
12 4 2.124E-3
12 6 2.124E-3
12 8 2.124E-3
12 10 2.124E-3
12 12 2.124E-3
12 14 2.124E-3
12 16 2.124E-3
12 18 2.124E-3
12 20 2.124E-3
12 22 2.124E-3
12 24 2.124E-3
12 26 2.124E-3
12 28 2.124E-3
12 30 2.124E-3
12 32 2.124E-3
12 34 2.124E-3
12 36 2.124E-3
12 38 2.124E-3
12 40 2.124E-3
12 42 2.124E-3
12 44 2.124E-3
12 46 2.124E-3
12 48 2.124E-3
12 50 2.124E-3
12 52 2.124E-3
12 54 2.124E-3
12 56 2.124E-3
12 58 2.124E-3
12 60 2.124E-3
12 62 2.124E-3
12 64 2.124E-3
12 66 2.124E-3
12 68 2.124E-3
12 70 2.124E-3
12 72 2.124E-3
12 74 2.124E-3
12 76 2.124E-3
12 78 2.124E-3
12 80 2.124E-3
12 82 2.124E-3
12 84 2.124E-3
12 86 2.124E-3
12 88 2.124E-3
12 90 2.124E-3
12 92 2.124E-3
12 94 2.124E-3
12 96 2.124E-3
12 98 2.124E-3
12 100 2.124E-3
12 102 2.124E-3
12 104 2.124E-3
12 106 2.124E-3
12 108 2.124E-3
12 110 2.124E-3
12 112 2.124E-3
12 114 2.124E-3
12 116 2.124E-3
12 118 2.124E-3
12 120 2.124E-3
12 122 2.124E-3
12 124 2.124E-3
12 126 2.124E-3
12 128 2.124E-3
12 130 2.124E-3
12 132 2.124E-3
12 134 2.124E-3
12 136 2.124E-3
12 138 2.124E-3
12 140 2.124E-3
12 142 2.124E-3
12 144 2.124E-3
12 146 2.124E-3
12 148 2.124E-3
12 150 2.124E-3
12 152 2.124E-3
12 154 2.124E-3
12 156 2.124E-3
12 158 2.124E-3
12 160 2.124E-3
12 162 2.124E-3
12 164 2.124E-3
12 166 2.124E-3
12 168 2.124E-3
12 170 2.124E-3
12 172 2.124E-3
12 174 2.124E-3
12 176 2.124E-3
12 178 2.124E-3
12 180 2.124E-3
14 0 2.185E-3
14 2 2.185E-3
14 4 2.185E-3
14 6 2.185E-3
14 8 2.185E-3
14 10 2.185E-3
14 12 2.185E-3
14 14 2.185E-3
14 16 2.185E-3
14 18 2.185E-3
14 20 2.185E-3
14 22 2.185E-3
14 24 2.185E-3
14 26 2.185E-3
14 28 2.185E-3
14 30 2.185E-3
14 32 2.185E-3
14 34 2.185E-3
14 36 2.185E-3
14 38 2.185E-3
14 40 2.185E-3
14 42 2.185E-3
14 44 2.185E-3
14 46 2.185E-3
14 48 2.185E-3
14 50 2.185E-3
14 52 2.185E-3
14 54 2.185E-3
14 56 2.185E-3
14 58 2.185E-3
14 60 2.185E-3
14 62 2.185E-3
14 64 2.185E-3
14 66 2.185E-3
14 68 2.185E-3
14 70 2.185E-3
14 72 2.185E-3
14 74 2.185E-3
14 76 2.185E-3
14 78 2.185E-3
14 80 2.185E-3
14 82 2.185E-3
14 84 2.185E-3
14 86 2.185E-3
14 88 2.185E-3
14 90 2.185E-3
14 92 2.185E-3
14 94 2.185E-3
14 96 2.185E-3
14 98 2.185E-3
14 100 2.185E-3
14 102 2.185E-3
14 104 2.185E-3
14 106 2.185E-3
14 108 2.185E-3
14 110 2.185E-3
14 112 2.185E-3
14 114 2.185E-3
14 116 2.185E-3
14 118 2.185E-3
14 120 2.185E-3
14 122 2.185E-3
14 124 2.185E-3
14 126 2.185E-3
14 128 2.185E-3
14 130 2.185E-3
14 132 2.185E-3
14 134 2.185E-3
14 136 2.185E-3
14 138 2.185E-3
14 140 2.185E-3
14 142 2.185E-3
14 144 2.185E-3
14 146 2.185E-3
14 148 2.185E-3
14 150 2.185E-3
14 152 2.185E-3
14 154 2.185E-3
14 156 2.185E-3
14 158 2.185E-3
14 160 2.185E-3
14 162 2.185E-3
14 164 2.185E-3
14 166 2.185E-3
14 168 2.185E-3
14 170 2.185E-3
14 172 2.185E-3
14 174 2.185E-3
14 176 2.185E-3
14 178 2.185E-3
14 180 2.185E-3
16 0 2.256E-3
16 2 2.256E-3
16 4 2.256E-3
16 6 2.256E-3
16 8 2.256E-3
16 10 2.256E-3
16 12 2.256E-3
16 14 2.256E-3
16 16 2.256E-3
16 18 2.256E-3
16 20 2.256E-3
16 22 2.256E-3
16 24 2.256E-3
16 26 2.256E-3
16 28 2.256E-3
16 30 2.256E-3
16 32 2.256E-3
16 34 2.256E-3
16 36 2.256E-3
16 38 2.256E-3
16 40 2.256E-3
16 42 2.256E-3
16 44 2.256E-3
16 46 2.256E-3
16 48 2.256E-3
16 50 2.256E-3
16 52 2.256E-3
16 54 2.256E-3
16 56 2.256E-3
16 58 2.256E-3
16 60 2.256E-3
16 62 2.256E-3
16 64 2.256E-3
16 66 2.256E-3
16 68 2.256E-3
16 70 2.256E-3
16 72 2.256E-3
16 74 2.256E-3
16 76 2.256E-3
16 78 2.256E-3
16 80 2.256E-3
16 82 2.256E-3
16 84 2.256E-3
16 86 2.256E-3
16 88 2.256E-3
16 90 2.256E-3
16 92 2.256E-3
16 94 2.256E-3
16 96 2.256E-3
16 98 2.256E-3
16 100 2.256E-3
16 102 2.256E-3
16 104 2.256E-3
16 106 2.256E-3
16 108 2.256E-3
16 110 2.256E-3
16 112 2.256E-3
16 114 2.256E-3
16 116 2.256E-3
16 118 2.256E-3
16 120 2.256E-3
16 122 2.256E-3
16 124 2.256E-3
16 126 2.256E-3
16 128 2.256E-3
16 130 2.256E-3
16 132 2.256E-3
16 134 2.256E-3
16 136 2.256E-3
16 138 2.256E-3
16 140 2.256E-3
16 142 2.256E-3
16 144 2.256E-3
16 146 2.256E-3
16 148 2.256E-3
16 150 2.256E-3
16 152 2.256E-3
16 154 2.256E-3
16 156 2.256E-3
16 158 2.256E-3
16 160 2.256E-3
16 162 2.256E-3
16 164 2.256E-3
16 166 2.256E-3
16 168 2.256E-3
16 170 2.256E-3
16 172 2.256E-3
16 174 2.256E-3
16 176 2.256E-3
16 178 2.256E-3
16 180 2.256E-3
18 0 2.335E-3
18 2 2.335E-3
18 4 2.335E-3
18 6 2.335E-3
18 8 2.335E-3
18 10 2.335E-3
18 12 2.335E-3
18 14 2.335E-3
18 16 2.335E-3
18 18 2.335E-3
18 20 2.335E-3
18 22 2.335E-3
18 24 2.335E-3
18 26 2.335E-3
18 28 2.335E-3
18 30 2.335E-3
18 32 2.335E-3
18 34 2.335E-3
18 36 2.335E-3
18 38 2.335E-3
18 40 2.335E-3
18 42 2.335E-3
18 44 2.335E-3
18 46 2.335E-3
18 48 2.335E-3
18 50 2.335E-3
18 52 2.335E-3
18 54 2.335E-3
18 56 2.335E-3
18 58 2.335E-3
18 60 2.335E-3
18 62 2.335E-3
18 64 2.335E-3
18 66 2.335E-3
18 68 2.335E-3
18 70 2.335E-3
18 72 2.335E-3
18 74 2.335E-3
18 76 2.335E-3
18 78 2.335E-3
18 80 2.335E-3
18 82 2.335E-3
18 84 2.335E-3
18 86 2.335E-3
18 88 2.335E-3
18 90 2.335E-3
18 92 2.335E-3
18 94 2.335E-3
18 96 2.335E-3
18 98 2.335E-3
18 100 2.335E-3
18 102 2.335E-3
18 104 2.335E-3
18 106 2.335E-3
18 108 2.335E-3
18 110 2.335E-3
18 112 2.335E-3
18 114 2.335E-3
18 116 2.335E-3
18 118 2.335E-3
18 120 2.335E-3
18 122 2.335E-3
18 124 2.335E-3
18 126 2.335E-3
18 128 2.335E-3
18 130 2.335E-3
18 132 2.335E-3
18 134 2.335E-3
18 136 2.335E-3
18 138 2.335E-3
18 140 2.335E-3
18 142 2.335E-3
18 144 2.335E-3
18 146 2.335E-3
18 148 2.335E-3
18 150 2.335E-3
18 152 2.335E-3
18 154 2.335E-3
18 156 2.335E-3
18 158 2.335E-3
18 160 2.335E-3
18 162 2.335E-3
18 164 2.335E-3
18 166 2.335E-3
18 168 2.335E-3
18 170 2.335E-3
18 172 2.335E-3
18 174 2.335E-3
18 176 2.335E-3
18 178 2.335E-3
18 180 2.335E-3
20 0 2.424E-3
20 2 2.424E-3
20 4 2.424E-3
20 6 2.424E-3
20 8 2.424E-3
20 10 2.424E-3
20 12 2.424E-3
20 14 2.424E-3
20 16 2.424E-3
20 18 2.424E-3
20 20 2.424E-3
20 22 2.424E-3
20 24 2.424E-3
20 26 2.424E-3
20 28 2.424E-3
20 30 2.424E-3
20 32 2.424E-3
20 34 2.424E-3
20 36 2.424E-3
20 38 2.424E-3
20 40 2.424E-3
20 42 2.424E-3
20 44 2.424E-3
20 46 2.424E-3
20 48 2.424E-3
20 50 2.424E-3
20 52 2.424E-3
20 54 2.424E-3
20 56 2.424E-3
20 58 2.424E-3
20 60 2.424E-3
20 62 2.424E-3
20 64 2.424E-3
20 66 2.424E-3
20 68 2.424E-3
20 70 2.424E-3
20 72 2.424E-3
20 74 2.424E-3
20 76 2.424E-3
20 78 2.424E-3
20 80 2.424E-3
20 82 2.424E-3
20 84 2.424E-3
20 86 2.424E-3
20 88 2.424E-3
20 90 2.424E-3
20 92 2.424E-3
20 94 2.424E-3
20 96 2.424E-3
20 98 2.424E-3
20 100 2.424E-3
20 102 2.424E-3
20 104 2.424E-3
20 106 2.424E-3
20 108 2.424E-3
20 110 2.424E-3
20 112 2.424E-3
20 114 2.424E-3
20 116 2.424E-3
20 118 2.424E-3
20 120 2.424E-3
20 122 2.424E-3
20 124 2.424E-3
20 126 2.424E-3
20 128 2.424E-3
20 130 2.424E-3
20 132 2.424E-3
20 134 2.424E-3
20 136 2.424E-3
20 138 2.424E-3
20 140 2.424E-3
20 142 2.424E-3
20 144 2.424E-3
20 146 2.424E-3
20 148 2.424E-3
20 150 2.424E-3
20 152 2.424E-3
20 154 2.424E-3
20 156 2.424E-3
20 158 2.424E-3
20 160 2.424E-3
20 162 2.424E-3
20 164 2.424E-3
20 166 2.424E-3
20 168 2.424E-3
20 170 2.424E-3
20 172 2.424E-3
20 174 2.424E-3
20 176 2.424E-3
20 178 2.424E-3
20 180 2.424E-3
22 0 2.522E-3
22 2 2.522E-3
22 4 2.522E-3
22 6 2.522E-3
22 8 2.522E-3
22 10 2.522E-3
22 12 2.522E-3
22 14 2.522E-3
22 16 2.522E-3
22 18 2.522E-3
22 20 2.522E-3
22 22 2.522E-3
22 24 2.522E-3
22 26 2.522E-3
22 28 2.522E-3
22 30 2.522E-3
22 32 2.522E-3
22 34 2.522E-3
22 36 2.522E-3
22 38 2.522E-3
22 40 2.522E-3
22 42 2.522E-3
22 44 2.522E-3
22 46 2.522E-3
22 48 2.522E-3
22 50 2.522E-3
22 52 2.522E-3
22 54 2.522E-3
22 56 2.522E-3
22 58 2.522E-3
22 60 2.522E-3
22 62 2.522E-3
22 64 2.522E-3
22 66 2.522E-3
22 68 2.522E-3
22 70 2.522E-3
22 72 2.522E-3
22 74 2.522E-3
22 76 2.522E-3
22 78 2.522E-3
22 80 2.522E-3
22 82 2.522E-3
22 84 2.522E-3
22 86 2.522E-3
22 88 2.522E-3
22 90 2.522E-3
22 92 2.522E-3
22 94 2.522E-3
22 96 2.522E-3
22 98 2.522E-3
22 100 2.522E-3
22 102 2.522E-3
22 104 2.522E-3
22 106 2.522E-3
22 108 2.522E-3
22 110 2.522E-3
22 112 2.522E-3
22 114 2.522E-3
22 116 2.522E-3
22 118 2.522E-3
22 120 2.522E-3
22 122 2.522E-3
22 124 2.522E-3
22 126 2.522E-3
22 128 2.522E-3
22 130 2.522E-3
22 132 2.522E-3
22 134 2.522E-3
22 136 2.522E-3
22 138 2.522E-3
22 140 2.522E-3
22 142 2.522E-3
22 144 2.522E-3
22 146 2.522E-3
22 148 2.522E-3
22 150 2.522E-3
22 152 2.522E-3
22 154 2.522E-3
22 156 2.522E-3
22 158 2.522E-3
22 160 2.522E-3
22 162 2.522E-3
22 164 2.522E-3
22 166 2.522E-3
22 168 2.522E-3
22 170 2.522E-3
22 172 2.522E-3
22 174 2.522E-3
22 176 2.522E-3
22 178 2.522E-3
22 180 2.522E-3
24 0 2.629E-3
24 2 2.629E-3
24 4 2.629E-3
24 6 2.629E-3
24 8 2.629E-3
24 10 2.629E-3
24 12 2.629E-3
24 14 2.629E-3
24 16 2.629E-3
24 18 2.629E-3
24 20 2.629E-3
24 22 2.629E-3
24 24 2.629E-3
24 26 2.629E-3
24 28 2.629E-3
24 30 2.629E-3
24 32 2.629E-3
24 34 2.629E-3
24 36 2.629E-3
24 38 2.629E-3
24 40 2.629E-3
24 42 2.629E-3
24 44 2.629E-3
24 46 2.629E-3
24 48 2.629E-3
24 50 2.629E-3
24 52 2.629E-3
24 54 2.629E-3
24 56 2.629E-3
24 58 2.629E-3
24 60 2.629E-3
24 62 2.629E-3
24 64 2.629E-3
24 66 2.629E-3
24 68 2.629E-3
24 70 2.629E-3
24 72 2.629E-3
24 74 2.629E-3
24 76 2.629E-3
24 78 2.629E-3
24 80 2.629E-3
24 82 2.629E-3
24 84 2.629E-3
24 86 2.629E-3
24 88 2.629E-3
24 90 2.629E-3
24 92 2.629E-3
24 94 2.629E-3
24 96 2.629E-3
24 98 2.629E-3
24 100 2.629E-3
24 102 2.629E-3
24 104 2.629E-3
24 106 2.629E-3
24 108 2.629E-3
24 110 2.629E-3
24 112 2.629E-3
24 114 2.629E-3
24 116 2.629E-3
24 118 2.629E-3
24 120 2.629E-3
24 122 2.629E-3
24 124 2.629E-3
24 126 2.629E-3
24 128 2.629E-3
24 130 2.629E-3
24 132 2.629E-3
24 134 2.629E-3
24 136 2.629E-3
24 138 2.629E-3
24 140 2.629E-3
24 142 2.629E-3
24 144 2.629E-3
24 146 2.629E-3
24 148 2.629E-3
24 150 2.629E-3
24 152 2.629E-3
24 154 2.629E-3
24 156 2.629E-3
24 158 2.629E-3
24 160 2.629E-3
24 162 2.629E-3
24 164 2.629E-3
24 166 2.629E-3
24 168 2.629E-3
24 170 2.629E-3
24 172 2.629E-3
24 174 2.629E-3
24 176 2.629E-3
24 178 2.629E-3
24 180 2.629E-3
26 0 2.744E-3
26 2 2.744E-3
26 4 2.744E-3
26 6 2.744E-3
26 8 2.744E-3
26 10 2.744E-3
26 12 2.744E-3
26 14 2.744E-3
26 16 2.744E-3
26 18 2.744E-3
26 20 2.744E-3
26 22 2.744E-3
26 24 2.744E-3
26 26 2.744E-3
26 28 2.744E-3
26 30 2.744E-3
26 32 2.744E-3
26 34 2.744E-3
26 36 2.744E-3
26 38 2.744E-3
26 40 2.744E-3
26 42 2.744E-3
26 44 2.744E-3
26 46 2.744E-3
26 48 2.744E-3
26 50 2.744E-3
26 52 2.744E-3
26 54 2.744E-3
26 56 2.744E-3
26 58 2.744E-3
26 60 2.744E-3
26 62 2.744E-3
26 64 2.744E-3
26 66 2.744E-3
26 68 2.744E-3
26 70 2.744E-3
26 72 2.744E-3
26 74 2.744E-3
26 76 2.744E-3
26 78 2.744E-3
26 80 2.744E-3
26 82 2.744E-3
26 84 2.744E-3
26 86 2.744E-3
26 88 2.744E-3
26 90 2.744E-3
26 92 2.744E-3
26 94 2.744E-3
26 96 2.744E-3
26 98 2.744E-3
26 100 2.744E-3
26 102 2.744E-3
26 104 2.744E-3
26 106 2.744E-3
26 108 2.744E-3
26 110 2.744E-3
26 112 2.744E-3
26 114 2.744E-3
26 116 2.744E-3
26 118 2.744E-3
26 120 2.744E-3
26 122 2.744E-3
26 124 2.744E-3
26 126 2.744E-3
26 128 2.744E-3
26 130 2.744E-3
26 132 2.744E-3
26 134 2.744E-3
26 136 2.744E-3
26 138 2.744E-3
26 140 2.744E-3
26 142 2.744E-3
26 144 2.744E-3
26 146 2.744E-3
26 148 2.744E-3
26 150 2.744E-3
26 152 2.744E-3
26 154 2.744E-3
26 156 2.744E-3
26 158 2.744E-3
26 160 2.744E-3
26 162 2.744E-3
26 164 2.744E-3
26 166 2.744E-3
26 168 2.744E-3
26 170 2.744E-3
26 172 2.744E-3
26 174 2.744E-3
