fname time Tem kT_1 A Rs Io Rsh dev 
DARK25 38034 331 35.02 2.002370805E+01 8.837668189E+02 6.679232499E-10 1.524801141E+07 5.969695915E-03 
DARK26 39354 331.1 35.02 2.061561192E+01 8.841240398E+02 4.972108480E-10 1.357373423E+07 5.902980873E-03 
DARK27 39382 334 34.71 2.010893661E+01 8.352199254E+02 7.934654261E-10 1.169876914E+07 5.664622125E-03 
DARK28 40186 334 34.71 2.079859812E+01 8.593895034E+02 5.807791002E-10 1.066200804E+07 5.970403502E-03 
DARK29 40214 337 34.4 2.024211720E+01 8.046937758E+02 9.445416597E-10 1.041378256E+07 5.215704515E-03 
DARK3 29694 298 38.9 2.080351578E+01 2.281204992E+03 5.012244442E-11 6.177577790E+07 3.103762906E-03 
DARK30 40900 337 34.4 2.053549073E+01 7.804676294E+02 8.277416096E-10 1.197457918E+07 5.930397256E-03 
DARK31 40928 340 34.1 2.037567354E+01 7.773971327E+02 1.109851419E-09 7.763229194E+06 6.115445294E-03 
DARK32 41972 340 34.1 2.076297429E+01 7.715768010E+02 9.589633317E-10 8.734063831E+06 5.303676005E-03 
DARK4 30484 298 38.9 2.155595574E+01 2.303607830E+03 3.196937808E-11 7.917483979E+07 3.113971070E-03 
DARK5 30522 301 38.52 2.030583365E+01 1.966648854E+03 7.268598652E-11 7.173697426E+07 3.720146243E-03 
DARK6 31260 301 38.52 2.110065891E+01 1.988282746E+03 4.518592419E-11 8.738596215E+07 3.616877331E-03 
DARK7 31300 304 38.14 1.977309676E+01 1.678470217E+03 1.079222622E-10 2.313616293E+15 4.156416393E-03 
DARK8 31886 304 38.14 2.056526058E+01 1.706639765E+03 6.798776043E-11 1.801921716E+08 4.451511886E-03 
DARK9 31926 307 37.76 1.948455639E+01 1.468853700E+03 1.486188352E-10 4.115026447E+08 4.133314849E-03 
