Model	MSEn	MRE	MedRE	R2	BestVar
ExpSv1p360e15EfPp	0.63675	0.18674	0.17667	0.89845	Var1
ExpRf1p360e15YOflp	0.16932	0.67882	0.4052	0.21618	Var1
ExpGb1p360e15YOflp	0.13615	0.46429	0.42056	0.3171	Var1
ExpXg1p360e15YOflp	0.15184	0.50116	0.44252	0.19017	Var1
Exp1p360e15YOflp	0.35656	0.30313	0.2489	0.66429	Var1
ExpSv1p360e15YOflp	0.31926	0.2506	0.2429	0.63747	Var1
ExpRf1p360e15MbPp	0.21937	0.23973	0.1627	0.41838	Var1
ExpGb1p360e15MbPp	0.2093	0.25249	0.1793	0.46216	Var1
ExpXg1p360e15MbPp	0.23205	0.14593	0.08288	0.96217	Var1
Exp1p360e15MbPp	0.23187	0.31662	0.31335	0.50865	Var1
ExpSv1p360e15MbPp	0.27861	0.15286	0.08043	0.95977	Var1
ExpRf1p360e15NNCp	0.22239	0.26679	0.21844	0.47915	Var1
ExpGb1p360e15NNCp	0.2541	0.24436	0.15792	0.61533	Var1
ExpXg1p360e15NNCp	0.3619	0.21996	0.17603	0.86216	Var1
Exp1p360e15NNCp	0.32217	0.16431	0.08672	0.70344	Var1
ExpSv1p360e15NNCp	0.31249	0.17799	0.12275	0.6304	Var1
ExpRf1p360e15YOfl2p	0.14823	0.28296	0.28062	0.36213	Var1
ExpGb1p360e15YOfl2p	0.15819	0.29529	0.23978	0.3589	Var1
ExpXg1p360e15YOfl2p	0.09044	0.36506	0.33355	0.13476	Var1
Exp1p360e15YOfl2p	0.3575	0.25522	0.21776	0.65171	Var1
ExpSv1p360e15YOfl2p	0.33441	0.22644	0.17976	0.66693	Var1
