Model	MSEn	MRE	MedRE	R2	BestVar
ExpTest1p360e15MbP	0.61211	2.19533	0.36799	0.70791	Var1
ExpTestSv1p360e15MbP	0.01898	0.16148	0.09782	0.97542	Var1
ExpTestRf1p360e15XcC	0.05963	0.28657	0.17612	0.90978	Var1
ExpTestGb1p360e15XcC	0.06648	0.30436	0.23471	0.87308	Var1
ExpTestXg1p360e15XcC	0.03215	0.22566	0.18923	0.861	Var1
ExpTest1p360e15XcC	0.0258	0.19476	0.15724	0.97594	Var1
ExpTestSv1p360e15XcC	0.02774	0.18731	0.07383	0.98625	Var1
ExpTestRf1p360e15XcP	0.05964	0.27709	0.15652	0.90293	Var1
ExpTestGb1p360e15XcP	0.05525	0.26487	0.13326	0.90041	Var1
ExpTestXg1p360e15XcP	0.02326	0.18021	0.13372	0.93919	Var1
ExpTest1p360e15XcP	0.02163	0.1617	0.09443	0.98588	Var1
ExpTestSv1p360e15XcP	0.01834	0.16124	0.11826	0.95661	Var1
ExpTestRf1p360e15NNC	0.07499	0.3492	0.19563	0.97264	Var1
ExpTestGb1p360e15NNC	0.03417	0.19117	0.05271	0.98695	Var1
ExpTestXg1p360e15NNC	0.01135	0.13045	0.11075	0.95795	Var1
ExpTest1p360e15NNC	0.01302	0.12688	0.08168	0.99102	Var1
ExpTestSv1p360e15NNC	0.00716	0.09648	0.07069	0.99615	Var1
ExpTestRf1p360e15NNP	0.03983	0.23235	0.09583	0.95672	Var1
ExpTestGb1p360e15NNP	0.044	0.24432	0.09412	0.96698	Var1
ExpTestXg1p360e15NNP	0.01486	0.1438	0.08442	0.99231	Var1
ExpTest1p360e15NNP	0.02257	0.14885	0.06215	0.99665	Var1
ExpTestSv1p360e15NNP	0.01411	0.14015	0.09417	0.99278	Var1
ExpTestRf1p360e15YOL2	0.13712	0.51679	0.26159	0.79092	Var1
ExpTestGb1p360e15YOL2	0.11247	0.44032	0.20876	0.82231	Var1
ExpTestXg1p360e15YOL2	0.04361	0.24518	0.17697	0.92039	Var1
ExpTest1p360e15YOL2	0.05178	0.24737	0.15021	0.90986	Var1
ExpTestSv1p360e15YOL2	0.06422	0.28127	0.14447	0.93327	Var1
ExpTestRf1p360e15EfPp	0.03877	0.22344	0.10982	0.9595	Var1
ExpTestGb1p360e15EfPp	0.0262	0.16181	0.04334	0.96937	Var1
ExpTestXg1p360e15EfPp	0.01857	0.16924	0.14692	0.97583	Var1
ExpTest1p360e15EfPp	0.01522	0.13623	0.06988	0.99382	Var1
ExpTestSv1p360e15EfPp	0.01912	0.17216	0.1522	0.9685	Var1
ExpTestRf1p360e15YOflp	0.40739	1.36676	0.49019	0.65125	Var1
ExpTestGb1p360e15YOflp	0.24071	0.88968	0.33583	0.81258	Var1
ExpTestXg1p360e15YOflp	0.2567	0.94302	0.31971	0.77289	Var1
ExpTest1p360e15YOflp	0.02845	0.18673	0.13159	0.93569	Var1
ExpTestSv1p360e15YOflp	0.05075	0.24567	0.15935	0.9221	Var1
ExpTestRf1p360e15MbPp	0.09361	0.41913	0.25289	0.8771	Var1
ExpTestGb1p360e15MbPp	0.08247	0.36336	0.23286	0.90955	Var1
ExpTestXg1p360e15MbPp	0.0273	0.18945	0.08041	0.97375	Var1
ExpTest1p360e15MbPp	0.0528	0.26849	0.10864	0.96194	Var1
ExpTestSv1p360e15MbPp	0.03507	0.20854	0.13184	0.959	Var1
ExpTestRf1p360e15NNCp	0.16859	0.65774	0.2484	0.92994	Var1
ExpTestGb1p360e15NNCp	0.09882	0.44354	0.2493	0.92465	Var1
ExpTestXg1p360e15NNCp	0.01953	0.16863	0.13351	0.98071	Var1
ExpTest1p360e15NNCp	0.02167	0.15177	0.06616	0.99578	Var1
ExpTestSv1p360e15NNCp	0.01716	0.16124	0.12858	0.98875	Var1
ExpTestRf1p360e15YOfl2p	0.101	0.44093	0.22864	0.90512	Var1
ExpTestGb1p360e15YOfl2p	0.0974	0.43668	0.21545	0.9144	Var1
ExpTestXg1p360e15YOfl2p	0.12394	0.50433	0.24658	0.84473	Var1
ExpTest1p360e15YOfl2p	0.05276	0.30301	0.24704	0.95991	Var1
ExpTestSv1p360e15YOfl2p	0.03805	0.21991	0.13443	0.94411	Var1
